[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[00:06.520 --> 00:08.520]  Which
[00:08.640 --> 00:10.120]  2015
[00:10.120 --> 00:14.760]  Mega franchise sequel news. Are you more excited about this week?
[00:14.760 --> 00:17.120]  We've got Star Wars with a new trailer that came out
[00:17.460 --> 00:21.840]  like the week before Thanksgiving and we've got now as of today the day we're recording a
[00:22.280 --> 00:26.980]  title and cast for the 24th Bond movie I think it's
[00:26.980 --> 00:31.700]  to me Star Wars and only because I've seen some of it
[00:32.340 --> 00:40.200]  Getting to see the Millennium Falcon flying over some sand wherever that was tattooing or whatever was that like you get chills
[00:40.260 --> 00:43.500]  It's pretty interesting to me because they're probably my two favorite franchises
[00:44.060 --> 00:45.020]  That if you're at that
[00:45.020 --> 00:49.580]  Yeah, drawing a blank on anything else that you would call a franchise that I could put up there with them
[00:50.900 --> 00:53.380]  Well, maybe not up there with them. But like the the Marvel
[00:53.380 --> 00:59.900]  You know cinematic universe stuff. I like that stuff, but it's not there's no Marvel movie that's ever been announced
[00:59.900 --> 01:02.580]  that's gotten me anywhere near as excited as
[01:05.380 --> 01:09.620]  Either of these that maybe it's because it's so new like do you think maybe in 30 years?
[01:09.620 --> 01:14.500]  Do you think someday Jonas when they reboot the Marvel stuff Jonas would get that excited? I don't know
[01:14.500 --> 01:19.540]  I know I wouldn't I just don't think that they're of the caliber. Wait, you've seen Guardians, right? Yeah
[01:19.540 --> 01:23.940]  Yeah, I wouldn't I wouldn't say that it's of the caliber of Star Wars
[01:23.940 --> 01:28.660]  But I'd say that that's the thing that I've seen in theaters lately that gave me anywhere near that same level of feeling
[01:31.660 --> 01:33.340]  Yeah, but it's still a
[01:33.340 --> 01:38.180]  Guardian knowing that Guardians of the Galaxy 2 is coming out or when they when they announced the trailer or whatever
[01:38.180 --> 01:41.820]  It's there's no way that I'm gonna be as excited as I am about either of these movies
[01:41.820 --> 01:46.380]  Yeah, but that's cuz you grew up with Star Wars. Well, it's and grew up with James Bond. Maybe that's it
[01:46.380 --> 01:49.980]  I'm not even saying it's because the quality I'm just saying right right me
[01:50.940 --> 01:55.700]  and there's an it's just interesting to me though because they're the two my two favorite franchises and
[01:56.420 --> 02:01.580]  They're coming out in such close proximity to each other. So Star Wars is I don't think there's a date
[02:01.580 --> 02:04.020]  It's like just December 2015
[02:04.020 --> 02:09.140]  Yeah, December and then was it November 9th for bond or 6th or something, but it's a specific date
[02:09.820 --> 02:15.000]  Yeah, I'm surprised that the Bond movie. It doesn't even start filming until Monday
[02:15.000 --> 02:18.860]  So it hasn't even started filming it and it's gonna be in theaters in November
[02:18.860 --> 02:25.020]  I honestly thought that blockbuster action movies like that took more than a year. Well, maybe they they've
[02:25.540 --> 02:30.100]  They knew about the movie. So maybe like the visual effects are all done. They just got to go and shoot it real quick
[02:32.460 --> 02:33.780]  All the effects are canned
[02:33.780 --> 02:39.140]  But I guess it just goes to show how much longer production cuz and clearly these are two franchises that are known for
[02:39.340 --> 02:43.300]  For high production values, you know Bond and Star Wars. Yeah
[02:43.300 --> 02:44.860]  I
[02:44.860 --> 02:49.540]  Think it just goes to show how much more time it takes to make a truly effects
[02:50.620 --> 02:53.500]  laden film like a Star Wars film than
[02:54.500 --> 02:58.680]  Than a bond movie. I mean obviously there's a lot of effects work in a Bond movie
[02:58.680 --> 03:04.180]  But a lot of the sets and everything are practical and so I guess it doesn't take that much longer to edit
[03:04.660 --> 03:10.740]  You know after shooting then Star Wars. Well, yeah the visual thing not just that there's more visual effects
[03:10.740 --> 03:16.260]  But I don't I'm I haven't seen the script for the new Bond movie, but I'm guessing that none of the characters are fully CG
[03:16.900 --> 03:19.300]  Yeah, I mean, I hope there's no Jar Jar
[03:21.980 --> 03:23.420]  I
[03:23.420 --> 03:25.860]  I guess I just as curious to me
