[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[00:05.160 --> 00:07.440]  Where better to start than January?
[00:08.040 --> 00:10.220]  It was a quiet beginning of the year
[00:10.220 --> 00:14.380]  It was so quiet that people were again pounding the doom drums that Apple wasn't doing anything anymore
[00:14.960 --> 00:18.800]  Yeah, and maybe even before we get into details like January
[00:19.520 --> 00:26.440]  Maybe just take that and and use it like to me like the year in review as a whole like with zoom out big level
[00:26.440 --> 00:28.440]  What are we gonna look back on this year? I?
[00:28.440 --> 00:31.080]  I would say that this was the year where?
[00:32.280 --> 00:33.800]  that
[00:33.800 --> 00:40.640]  That sense that that Apple can't do it anymore since got rubbed away slowly, but surely over the course of the year. I
[00:41.320 --> 00:46.520]  Agree, I think it built up to I think it reached a crescendo because you know people kept making a big deal of Tim Cook
[00:46.520 --> 00:52.960]  Saying we'd be releasing new product character categories throughout the year and then as the months ticked on they seem to get more and more
[00:53.120 --> 00:55.120]  personally angry with him
[00:55.120 --> 00:59.580]  Yeah, I think so too, and I think because it the the naysayers
[01:00.520 --> 01:06.640]  Have been the down on cook overall anyway like that's the root of their naysaying
[01:07.080 --> 01:12.320]  Yeah, we go over the short term at least they wanted him fired. They said he was destroying Apple
[01:12.320 --> 01:18.420]  They kept comparing him to Steve Jobs in a very negative way and looking back at an eyesight. It's absolutely ridiculous
[01:18.800 --> 01:20.800]  Yeah, I was just thinking that
[01:20.800 --> 01:26.000]  Before we started recording. I was thinking that I don't think anybody called for that in 2014
[01:26.000 --> 01:30.960]  But at least in 2013 you can find several instances of ostensibly serious
[01:32.200 --> 01:39.120]  business writers calling either for Tim Cook to be outright fired or at least calling for Apple's board to like
[01:39.480 --> 01:42.200]  Rain him in and and have him rejigger the company
[01:42.760 --> 01:48.360]  We did have haunted Empire. I think earlier this year which sort of showed that Apple was completely doomed without Steve Jobs
[01:48.360 --> 01:53.080]  Yeah, I think it's I think that's sort of the publication of haunted Empire
[01:55.480 --> 02:01.300]  Her first name her last name is Kane. Yeah, you could you could Tori. Yeah, you could Tori Kane
[02:01.960 --> 02:08.760]  Sure, I would say that the publication of her book haunted Empire was sort of the I was gonna say high-water mark
[02:08.760 --> 02:13.360]  But I would say maybe the low watermark of Apple nay saying yeah
[02:14.760 --> 02:16.760]  When did that come in that was probably February
[02:16.760 --> 02:22.520]  Yeah, it must it was when I was with Jason Snell, which means it had to be around Macworld time or something
[02:22.520 --> 02:25.480]  Yeah, which was I think February. Yeah last year
[02:27.600 --> 02:33.800]  Yeah, and I could not help but get the feeling when I read it that it was rushed into publication
[02:34.760 --> 02:39.280]  because I kind of felt like at least if she didn't know at least her the
[02:39.800 --> 02:41.800]  editorial team at her publisher
[02:41.800 --> 02:48.880]  Sort of got the sense that that the time was kicking on that sort of doom and gloom which was interesting because you could probably
[02:48.960 --> 02:50.800]  Make an argument
[02:50.800 --> 02:53.400]  For a haunted Empire, but they didn't even make an attempt to make it
[02:53.400 --> 02:56.760]  It was a bunch of pages strung together and nothing resembling a book
[02:57.360 --> 03:00.480]  Yeah, and a bunch of a couple of anecdotes to string it together
[03:00.600 --> 03:01.120]  Yeah
[03:01.120 --> 03:06.840]  I do think though like if there is I think it was a very bad book and I think it's already
[03:07.040 --> 03:10.520]  Showing its age and I think it's only gonna look worse as the years go on
[03:10.520 --> 03:11.840]  but
[03:11.840 --> 03:15.040]  On the other hand, I'm kind of glad the book exists
[03:16.080 --> 03:19.040]  because it captures that sort of
[03:21.560 --> 03:25.200]  Like post Steve Jobs pre Apple watch
[03:25.920 --> 03:27.640]  negative Apple
[03:27.640 --> 03:30.680]  Perspective like and in hindsight, you know, I mean, it's like these years
[03:30.680 --> 03:33.840]  They always blur together and four or five years from now
[03:33.840 --> 03:41.000]  It's like this whole, you know period in between where the Apple watch was announced him when we actually, you know
[03:41.000 --> 03:44.600]  Have it and we have generation two and three by, you know, four or five years from now
[03:45.320 --> 03:47.320]  it'll just you know be a
[03:47.640 --> 03:54.440]  Blink, you know, we'll snap our fingers and think about these this interim period but I feel like her book sort of captures the epitomizes
[03:54.440 --> 03:58.320]  That that sort of negative viewpoint. Yeah, I think that's absolutely true
[03:58.320 --> 04:01.980]  We do tend to look back so the rose-colored glasses like the original iPhone the original iPad
[04:01.980 --> 04:05.760]  They couldn't do anywhere nearly what they could do now, but we still look at them with fondness
[04:05.760 --> 04:10.360]  We think of current software updates as being buggy, but you look back at iOS, you know
[04:10.360 --> 04:15.280]  Two-point something when everyone's complaining it couldn't attach to a 3g network and Apple was rushing out a fix
[04:15.360 --> 04:19.000]  We have this weird sort of affection I think for the past. Yeah
[04:21.520 --> 04:27.880]  So I do I think that's 2014 in a nutshell is that the the the world at large and the conventional wisdom
[04:27.880 --> 04:33.980]  About Apple and about Tim Cook's leadership have caught up to reality which is that the company
[04:34.420 --> 04:40.700]  Was you know, Steve Jobs left the company in very good shape and in very good hands. Yes
[04:41.420 --> 04:48.140]  And it took about two or three years. It seems for the mainstream financial media to sort of concede that point
[04:48.140 --> 04:52.260]  I would say that almost a full three years right because he died in 2011
[04:52.600 --> 04:56.320]  Yes, I would say it was a full three years and Tim Cook
[04:56.320 --> 04:59.300]  I mean the company has never been worth more the stock price is through the roof
[04:59.300 --> 05:03.760]  They've introduced not only the Apple watch but Apple pay they have an a8x processor
[05:03.760 --> 05:08.900]  they have a 5k iMac and you still look at fortune contributor network sometimes and and
[05:09.420 --> 05:11.500]  You just want to know how they get published. Yeah
[05:12.380 --> 05:14.380]  All right, you're in review January
[05:15.700 --> 05:17.700]  Definitely a slow start I think
[05:17.800 --> 05:22.500]  Yeah again for some years. I mean one year we got the Verizon iPhone in January one year
[05:22.500 --> 05:28.540]  We got an education event previous years. We had the introduction of the iPad. We've had macworld the introduction of the iPhone
[05:28.540 --> 05:30.580]  So there was sort of for a long period of time
[05:30.580 --> 05:37.300]  There were events that were there was news in January and I think last year there was nothing until WEC and this year
[05:37.300 --> 05:39.300]  I think it was almost identical to that
[05:40.820 --> 05:42.820]  Yeah, I would say so I
[05:43.100 --> 05:44.820]  Mean there's you know
[05:44.820 --> 05:46.820]  Now that Apple doesn't make
[05:47.220 --> 05:51.260]  Announcements in January or at least they they haven't in recent years. I
[05:51.260 --> 05:55.220]  Mean who knows this year in theory, they might have a watch event, but
[05:56.220 --> 06:00.940]  It's pretty much left to CES which Apple doesn't take part in. Yes
[06:01.700 --> 06:03.900]  for all of the industry news, I
[06:04.540 --> 06:09.700]  Don't recall anything from this year to 2014 CES that ended up
[06:10.660 --> 06:12.300]  mattering a damn bit
[06:12.300 --> 06:16.660]  No, I mean, I think this year will be different just because of home kit and health kit and carplay
[06:16.660 --> 06:23.580]  But last year CES was a graveyard. It was just almost like matrix shelf after matrix shelf of cases and nothing else
[06:23.660 --> 06:27.080]  Yeah, and I don't think they knew what they were going to you know going to
[06:27.640 --> 06:30.740]  The industry as a whole didn't even know what they were trying to make
[06:31.140 --> 06:31.660]  Yeah
[06:31.660 --> 06:36.720]  They were making their fitness bands and I remember one of the worst things I saw at CES wasn't an Android powered
[06:36.860 --> 06:42.580]  Car system and it was running gingerbread and the guy told us with a straight face that you could leave it on for five days
[06:42.580 --> 06:45.940]  But it would drain your car battery. So you had to put it in standby mode
[06:45.940 --> 06:49.700]  But if you put it sorry, but if you turned it off, it would take like five minutes to boot again
[06:50.980 --> 06:53.260]  This was something that they actually had as a press event
[06:55.180 --> 06:57.580]  Are you going to see us again this year? Yeah, absolutely
[06:58.020 --> 07:02.240]  Yeah, what's Dan Fromer who was on the show last week is going for the first time this year
[07:03.500 --> 07:10.380]  And like I said with him, I always talk about going but I've never gone but it's alternatively completely barren or incredibly busy
[07:10.380 --> 07:12.380]  And you never know what's gonna happen year to year
[07:12.380 --> 07:16.680]  So I don't have high faith for it, but I think it I think this year will be different because we will have a watch event
[07:16.680 --> 07:20.520]  Maybe we'll see another Apple television. Maybe a bigger iPad like the spring sounds exciting this year
[07:20.520 --> 07:25.680]  But last year up until up until June it really was everyone just saying where's the new stuff from Apple?
[07:25.680 --> 07:27.680]  Where is the new stuff are they capable of innovating still?
[07:28.240 --> 07:31.880]  Yeah, why we have to wait why do we have to wait for them to be ready for something?
[07:32.240 --> 07:36.520]  Well, that's the thing that I don't understand is do it would anybody have wanted a 2006 iPhone?
[07:36.520 --> 07:36.840]  No
[07:36.840 --> 07:42.840]  2006 iPhone no because it was not a product yet and the Apple watch won't be a product until early next year
[07:42.840 --> 07:44.940]  You don't want them to ship what they have right now
[07:46.240 --> 07:52.580]  Yeah, and it you know to compare and contrast with I think the antithesis of Apple's, you know
[07:52.720 --> 07:58.120]  We'll let you know when we're ready to show you attitude. It's Google, you know who has been
[07:58.640 --> 08:00.840]  You know, Google Glass was clearly
[08:01.480 --> 08:06.020]  Released ahead of its time. I mean, it's still not it still isn't a retail consumer product
[08:06.020 --> 08:10.200]  But the fact that they sold it at all to what did they call the people explorers? Yes
[08:11.240 --> 08:16.680]  You know is is the antithesis of Apple strategy that would be the equivalent of if Apple had let
[08:17.780 --> 08:18.860]  WWDC
[08:18.860 --> 08:26.200]  Explorers start wearing and using an Apple watch, you know 18 months ago running like skank watch software or something, right?
[08:28.120 --> 08:30.120]  And you know the self-driving cars
[08:31.880 --> 08:33.880]  So many things that Google does they show
[08:33.880 --> 08:41.960]  Way early and in some sense I the the the I don't think it's productive and you know
[08:42.200 --> 08:45.200]  Every time I bring it up some people mention that the cars in particular
[08:45.200 --> 08:50.340]  It's impossible to do it without showing your hand because there's no way to road test them
[08:51.280 --> 08:55.400]  You know, you have to road test them in public before you can release them and you know way to keep once
[08:55.400 --> 08:59.240]  It's out in the road. You can't keep it secret. So maybe the self-driving cars is a bit of a
[09:01.480 --> 09:02.920]  Bad example
[09:02.920 --> 09:04.120]  but
[09:04.120 --> 09:09.920]  You know the other products they do they release and I think it I think ultimately it's counterproductive
[09:10.280 --> 09:14.480]  Because I think it saps away excitement from the real things
[09:14.480 --> 09:20.800]  you're actually have available to sell to people but on the other hand it absolutely works to
[09:22.660 --> 09:29.440]  Satisfy the desires of the tech press as as as an industry because they you're giving them something to write about
[09:29.440 --> 09:32.240]  Yeah, I think that's exactly I think for the tech press
[09:33.020 --> 09:34.320]  Perception really is reality
[09:34.320 --> 09:37.980]  So if we see a demo of the moto 240 or 360 or whatever it is
[09:38.280 --> 09:43.800]  Even though it's not real even though leaving a screen like that on like what they showed in the video is a complete science fiction
[09:44.000 --> 09:50.120]  fantasy it sets expectations for that and it makes people think that Google's really busy and that product is coming and they're innovating and
[09:50.120 --> 09:54.200]  They're doing all these things and if it comes out in some cases, you know, it's a complete turd
[09:54.320 --> 09:57.180]  But everyone's already seen the video the excitement's already happened
[09:57.180 --> 10:01.640]  And then everything else from then on is it his appointment even things made by Apple or another company?
[10:02.320 --> 10:07.680]  Yeah, it's I think moltz has said it best where he's you know, I think it's moltz
[10:07.680 --> 10:12.160]  but one of his lines is that you know, Apple's current products continue to
[10:12.600 --> 10:18.000]  Fail when compared to the upcoming products in future years from its competitors
[10:18.520 --> 10:20.840]  It's like the iPhone 5c was a huge disappointment
[10:20.840 --> 10:26.720]  Even though it was the third most popular phone in the world and the iPad sales are lagging even though they're any company in the
[10:26.720 --> 10:31.960]  World would be happy to have that in their product line. Yeah or another example. I just noticed this week and it's funny
[10:31.960 --> 10:33.960]  I haven't linked it up yet, but
[10:34.160 --> 10:37.360]  The same day or within 24 hours
[10:37.800 --> 10:45.360]  There was a New York Times story about the success of Apple pay and about a whole bunch of nude retailers who've signed up for it
[10:47.640 --> 10:52.720]  Some big supermarket chains like Winn-dixie, which is real big in the south here in the US I
[10:52.720 --> 10:56.560]  I forget who else but some big big-name retailers have signed up
[10:57.400 --> 10:59.400]  and
[10:59.480 --> 11:03.240]  Companies like Whole Foods who've been on board since it started who said that it's you know
[11:03.240 --> 11:07.800]  It accounts for over 1% of their transactions and an enormous percent of you know
[11:07.800 --> 11:11.700]  The digital transactions or what would you call it cardless transactions?
[11:13.360 --> 11:20.360]  And at the same time there were like three or four stories that I saw all based on the same analyst report about what what
[11:20.360 --> 11:24.800]  What what trouble Apple pay is in because they've woken up
