[00:00.000 --> 00:00.840]  What time you got?
[00:00.840 --> 00:01.660]  What do you got?
[00:01.660 --> 00:02.500]  What do you got?
[00:02.500 --> 00:03.500]  11 o'clock?
[00:03.500 --> 00:04.500]  12 21 a.m.
[00:04.500 --> 00:05.340]  Oh my god.
[00:05.340 --> 00:06.340]  Are you serious?
[00:06.340 --> 00:07.340]  Is this going to be all right?
[00:07.340 --> 00:08.340]  Yeah.
[00:08.340 --> 00:09.340]  No, I have down to science.
[00:09.340 --> 00:14.200]  I took a shower, then I weighed down for a 20 minute nap, and then I drank up coffee,
[00:14.200 --> 00:17.680]  and then I will calm myself down with a couple beers during the conversation.
[00:17.680 --> 00:19.080]  Sounds good.
[00:19.080 --> 00:24.760]  Oh, no, I'm good, don't worry about it.
[00:24.760 --> 00:25.760]  Okay.
[00:25.760 --> 00:35.560]  So we had a nice home Korean barbecue over at the in-laws place, of course, and my mother
[00:35.560 --> 00:40.640]  was a huge whiskey fan, so she always has really good stuff, but I women and myself
[00:40.640 --> 00:47.760]  to a single serving, so you owe me one.
[00:47.760 --> 00:48.760]  I do.
[00:48.760 --> 00:51.920]  That's just deep price to pay to be a guest on the show.
[00:51.920 --> 00:55.920]  I forgot I have you set up, I have Taipei set up in my, uh, today view.
[00:55.920 --> 00:57.520]  I could, I didn't need to ask you what time it was.
[00:57.520 --> 01:00.560]  I could have just, uh, opened today.
[01:00.560 --> 01:01.560]  My world clock.
[01:01.560 --> 01:05.520]  Well, I guess that, that says enough about today.
[01:05.520 --> 01:10.280]  You know what, I, I think the problem is that I usually, I really only open that thing
[01:10.280 --> 01:14.080]  up for, it's, it's kind of weird to have that be today and notifications.
[01:14.080 --> 01:18.520]  Like I understand why they grouped it together that way, but I think in practice, it's weird
[01:18.520 --> 01:23.640]  because it's one or the other is always two steps away instead of one step away.
[01:23.640 --> 01:24.640]  Yeah.
[01:24.640 --> 01:25.640]  Yeah.
[01:25.640 --> 01:26.640]  I agree.
[01:26.640 --> 01:27.640]  I don't know.
[01:27.640 --> 01:28.640]  I never click on today either.
[01:28.640 --> 01:31.840]  I'm, I'm looking at, like it actually took me a couple of seconds to remember what you
