[00:00.000 --> 00:05.180]  Feel like we got to talk about the thing which thing my thing. How was your with your eyeball? Yeah
[00:06.280 --> 00:08.280]  I'm game
[00:08.880 --> 00:10.880]  How was your week
[00:13.680 --> 00:16.560]  I don't know if I don't think I've talked to you about it
[00:16.560 --> 00:20.400]  We haven't we haven't had a working refrigerator in five weeks Amy mentioned that to me
[00:20.520 --> 00:24.000]  yeah, it's a hell of a thing and that you're it's like you've got like I
[00:24.000 --> 00:29.360]  I mean obviously you could for five foot within the last five weeks
[00:29.360 --> 00:33.760]  you could have just run out and bought a new refrigerator, but you're in you're in some kind of a spat with your
[00:34.440 --> 00:36.440]  refrigerator
[00:36.600 --> 00:41.760]  Like it's not even just on principle. It's first of all getting a fridge in here requires a crane
[00:43.360 --> 00:45.040]  So that's a whole thing
[00:45.040 --> 00:50.880]  So we were trying to get it fixed because instead of needing to hire a crane to bring a new fridge in and take the old
[00:50.880 --> 00:56.540]  One out. Why would you need a crane? Is this like a step situation a staircase situation? Yeah staircase
[00:56.540 --> 01:04.100]  They're too narrow and and modern refrigerators are in the size of a car exactly. Okay, so it's a whole thing and finally
[01:05.080 --> 01:09.640]  They were trying to fix it and I was like fine fix it. I don't care and finally they said, okay, we can't fix it
[01:09.640 --> 01:12.280]  Here's two grand and I said great
[01:12.280 --> 01:18.000]  I'll buy a new fridge and then I found out that I needed to get it repair need to get it craned in rather and
[01:18.280 --> 01:20.280]  So the two grand doesn't even cover it
[01:20.280 --> 01:26.000]  Is it's it hasn't been good. So what do you what are you doing with your perishables?
[01:26.000 --> 01:29.320]  I mean it is on the other hand you guys are in the midst of record cold
[01:29.320 --> 01:33.200]  So, I mean like you could you could keep like frozen stuff outside, right?
[01:33.720 --> 01:37.460]  Right, but the temperature fluctuates too much such that like, you know
[01:37.460 --> 01:41.560]  If you got your if you got something that only need only needs to be refrigerated. It's no good
[01:41.560 --> 01:46.760]  Yeah, it's no good too cold. And then some days it gets warm enough that anything you have out there. It's frozen is no good
[01:46.760 --> 01:51.720]  I got a little mini fridge. That's that's all I've got right now. Did you buy that especially just for this?
[01:52.580 --> 01:56.160]  No, fortunately, I guess it was a wine cooler. It's it's
[01:56.680 --> 01:59.320]  But it gets down when you crank it like as cold as it goes
[01:59.320 --> 02:02.000]  I'm looking at it right now when it get when you crank it down as low as it goes
[02:02.000 --> 02:08.120]  It's it's cold enough to keep some milk. And what the hell else do I have in there? I got some pasta sauce and
[02:09.760 --> 02:11.120]  Some butter
[02:11.120 --> 02:13.440]  I'm living like a savage John. What about ice?
[02:13.440 --> 02:16.920]  That's outside. I can just grab a handful, right?
[02:17.160 --> 02:22.820]  Now you have like ice cubes or you just taking like snow or something like that. I have not been using ice
[02:22.820 --> 02:25.920]  I've been drinking my my drinks straight up
[02:27.800 --> 02:31.160]  So how much snow do you have outside still is it is it come down at all?
[02:31.160 --> 02:36.160]  Do you got you I mean is it like up over your your ears? We we crossed 32 degrees
[02:36.160 --> 02:40.120]  It was above freezing today for the first time in I think the second time in like a month
