[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[00:03.000 --> 00:09.000]  Yeah, I was actually kind of optimistic we could just avoid watch discussion.
[00:09.000 --> 00:11.000]  Possibly. I don't know.
[00:11.000 --> 00:13.000]  Well, then that article dropped today.
[00:13.000 --> 00:20.000]  It's almost like at this point I just want to come out and then let's talk about it.
[00:20.000 --> 00:28.000]  But no, Apple via wired had to drop a sack of turd on the front porch.
[00:28.000 --> 00:31.000]  So we're recording on Thursday, April 2nd.
[00:31.000 --> 00:35.000]  The show is probably going to come out tomorrow, Friday.
[00:35.000 --> 00:44.000]  So we're still in this void between three weeks ago was this event.
[00:44.000 --> 00:49.000]  Three weeks from now is when real people will start getting to watch.
[00:49.000 --> 00:55.000]  We're still a full week away from the watch being in stores for people to look at with their own eyes.
[00:55.000 --> 01:04.000]  Right now, 99.9999% of people who are interested in Apple Watch have not seen one in person.
[01:04.000 --> 01:05.000]  Right.
[01:05.000 --> 01:08.000]  You go out a lot of nines on that.
[01:08.000 --> 01:10.000]  No, totally.
[01:10.000 --> 01:12.000]  It's only been at the two events.
[01:12.000 --> 01:13.000]  Right.
[01:13.000 --> 01:15.000]  I guess no, because people are wearing them in public, I guess.
[01:15.000 --> 01:16.000]  Combined with employees.
[01:16.000 --> 01:22.000]  But I'm sure, though, and even people who glanced it on employees with testing units out in the wild,
[01:22.000 --> 01:27.000]  you can do that, but I'm sure that if you say, hey, is that an Apple Watch, that they'll say yes,
[01:27.000 --> 01:32.000]  but then I'm sure that they've got a standard reply that's more or less, but I can't show it to you.
[01:32.000 --> 01:34.000]  Yeah, I think that's exactly right.
[01:34.000 --> 01:38.000]  They're not allowed to let people examine it.
[01:38.000 --> 01:40.000]  But it's interesting.
[01:40.000 --> 01:45.000]  To me, and I've been talking about it the last few weeks, is why in the world would Apple schedule things this way?
[01:45.000 --> 01:48.000]  And I think that the article today is part why.
[01:48.000 --> 02:01.000]  I think that they didn't want the cycle with a regular revision, where it's event, next week, reviews, two days later, go buy it.
[02:01.000 --> 02:02.000]  Right?
[02:02.000 --> 02:08.000]  Like this 10-day cycle of most of their, what would you call it, flagship products.
[02:08.000 --> 02:15.000]  New iPhones come out on an event on a, usually a Monday or Tuesday.
[02:15.000 --> 02:25.000]  Then the reviews come out a week later, and then like on a Wednesday, I think, usually Tuesday or Wednesday.
[02:25.000 --> 02:32.000]  And then Fridays are always the day where people who've preordered will get theirs delivered and stores will have them and people can line up.
[02:32.000 --> 02:35.000]  It's like a 10-day cycle, 11-day cycle.
[02:35.000 --> 02:42.000]  The watch is way off of that, and I can only guess that it's because they want to fill that space between last month's event
[02:42.000 --> 02:49.000]  and this month's release with a steady drumbeat of stuff, promotional stuff.
[02:49.000 --> 02:55.000]  You know, Good Morning America, TV, now this, and Wired.
[02:55.000 --> 02:59.000]  So today, tell me, what's the article we're talking about?
[02:59.000 --> 03:06.000]  So Wired dropped this article entitled iPhone Killer, the Secret History of the Apple Watch.
[03:06.000 --> 03:15.000]  And David Pierce wrote an article where he clearly got blessed by Apple PR.
[03:15.000 --> 03:17.000]  He talked to people at Apple.
[03:17.000 --> 03:21.000]  He spent a lot of time with the human interface designers.
[03:21.000 --> 03:23.000]  Day, I can't find his name right.
[03:23.000 --> 03:24.000]  Alan Dye.
[03:24.000 --> 03:25.000]  Alan Dye.
[03:25.000 --> 03:39.000]  And with any of these pieces, and this is kind of the trouble with posting them, is you don't know to what extent what is coming from Apple,
[03:39.000 --> 03:46.000]  what's coming from the spin that PR is giving him, and then what if it's coming from Pierce.
[03:46.000 --> 03:56.000]  But the kind of overarching theme of the article is that the real goal of the watch is to make you not need your iPhone so much,
[03:56.000 --> 04:00.000]  and it's focused on the notifications and the idea that it will free you from your phone.
[04:00.000 --> 04:08.000]  I'm going to interrupt, and I'm going to subtly tweak that and say that it's not so much that you don't need your iPhone,
[04:08.000 --> 04:17.000]  because it's all coming from the phone. It all only works if you're in Bluetooth range of the phone.
[04:17.000 --> 04:24.000]  So it's more like a dashboard to your phone?
[04:24.000 --> 04:31.000]  Well, I think it's more like, because they talked about, like Winch talked about in the article, you talked to Kevin Lynch,
[04:31.000 --> 04:37.000]  the idea of you can be playing with your kids and you can get a notification, and you can glance at it and realize it's not that important.
[04:37.000 --> 04:41.000]  You can keep doing what you're doing. You're not actually pulling out of your pocket and filling with it and all that sort of stuff,
[04:41.000 --> 04:50.000]  which is hardly a new thesis. It's interesting that this seems to be the story that Apple is choosing to tell.
[04:50.000 --> 05:03.000]  Frankly, I think that they said at the event that the watch will work on your home Wi-Fi network, but I'm not 100% sure on that.
[05:03.000 --> 05:13.000]  I think that that's only, but it's only, again, I cannot, I'm not 100% sure, but I'm 99% sure that all that means though is,
[05:13.000 --> 05:20.000]  I think you're correcting me, that as long as your phone and your watch are on the same Wi-Fi network, even if Bluetooth is out of range.
[05:20.000 --> 05:23.000]  Yeah, that's correct.
[05:23.000 --> 05:31.000]  So you can set your phone down next to the front door or next to your bed and you can go around the house and your watch will still have full functionality.
[05:31.000 --> 05:37.000]  Right. And that the idea there, and it sounds great, is that you can, if you need to charge your phone or whatever,
[05:37.000 --> 05:45.000]  you can do it and go watch TV two floors away from where it's charging and you're not going to be out of touch from notifications you're expecting.
[05:45.000 --> 05:49.000]  Right, exactly. That's why I just looked it up. That's exactly what it is.
[05:49.000 --> 05:59.000]  So I think you're probably right and if you think about the other, because you have to think of this not in terms of a normal Apple watch,
[05:59.000 --> 06:07.000]  but an Apple new product launch. And it was the case with particularly the iPhone, but also the iPad,
[06:07.000 --> 06:14.000]  that there was a big break between the introduction and the actual unveiling of the device.
[06:14.000 --> 06:16.000]  In the case of the iPhone, there was a second event as well.
[06:16.000 --> 06:18.000]  Right, WWDC.
[06:18.000 --> 06:25.000]  Exactly, exactly, which was a good three weeks before the phone as well.
[06:25.000 --> 06:33.000]  So I think, big picture, you're probably right. Frankly, I think this article is a PR disaster.
[06:33.000 --> 06:41.000]  I would not go that far, but I don't think it was good.
[06:41.000 --> 06:52.000]  The killer line, which is already all over Twitter and stuff, is this idea that Apple decided they wanted to do a watch and they had to figure out what it was for.
[06:52.000 --> 07:08.000]  Which kind of confirms the worst suspicions that people had about the watch in a very sort of not subtle way, a very blunt sort of way.
[07:08.000 --> 07:19.000]  And of course, like I said, you don't know what the balance is between Apple PR and what Apple employees said and what Pierce came up with.
[07:19.000 --> 07:21.000]  Where is that line?
[07:21.000 --> 07:22.000]  It sounds bad.
[07:22.000 --> 07:24.000]  Where is that line? I can't find it.
[07:24.000 --> 07:28.000]  Let me find it. It's pretty close to the top.
[07:28.000 --> 07:30.000]  Maybe I don't have the phone.
[07:30.000 --> 07:36.000]  Apple decided to make a watch and only then set out to discover what it might be good for, besides, you know, displaying the time.
[07:36.000 --> 07:44.000]  It's on one of these terrible web pages that has like the pictures and the text growing on top of it, which like theoretically looks good, but drives me up the wall.
[07:44.000 --> 07:49.000]  Yeah, it's, you know what, I read it on my phone and it was actually really good.
[07:49.000 --> 07:50.000]  It's much better on the phone.
[07:50.000 --> 07:51.000]  Yeah, same here.
[07:51.000 --> 07:56.000]  And now I'm looking at it in a desktop browser and it's a disaster for reading, in my opinion.
[07:56.000 --> 08:03.000]  Yeah, so there's two parts. The first one is that there's a big A at the top, Apple decided to make a watch and only then set out to discover what it might be good for.
[08:03.000 --> 08:06.000]  And then there's another line about Johnny Ive.
[08:06.000 --> 08:12.000]  I began dreaming about an Apple watch just after CEO Steve Jobs' death in October 2011.
[08:12.000 --> 08:25.000]  And then it's basically like insinuating that I've, yeah, I've began a deep investigation of horology, studying how reading the edition of the sun, the horology became an obsession, the obsession became a product.
[08:25.000 --> 08:28.000]  Along the way, the Apple team landed upon the watch's reason to talk.
[08:28.000 --> 08:35.000]  It came down to this and then they get the phone is ruining your life, which I definitely presume is Pierce's kind of summary of it.
[08:35.000 --> 08:42.000]  But, like, it doesn't matter. This is on Apple and they're the one that's orchestrated this.
[08:42.000 --> 08:52.000]  And like I said, the problem is it's really feeding into all the worst or the most pessimistic kind of conceptions about the watch.
[08:52.000 --> 08:56.000]  Yeah, the line is Pierce's. It's not a quote.
[08:56.000 --> 09:06.000]  This is just prose from Pierce. Apple decided to make a watch and only then set out to discover what it might be good for, parentheses, besides, you know, displaying the time.
[09:06.000 --> 09:21.000]  Which is a weird thing to put in parentheses because who says that telling the time has to be a primary function?
[09:21.000 --> 09:32.000]  Right now, the thing is, is like what's funny is like the next sentence actually very much fits my feeling about the watch.
[09:32.000 --> 09:37.000]  And I think I don't remember it says on the podcast, I think I said it to you before.
[09:37.000 --> 09:39.000]  Well, the quote is there was a sense. This is a quote.
[09:39.000 --> 09:46.000]  There was a sense that technology was going to move on to the body, says Alan Dye, who runs Apple's human interface group.
[09:46.000 --> 09:50.000]  We felt like the natural place, the place that had historical relevant significance was the wrist.
[09:50.000 --> 09:55.000]  So, I mean, that's that's my whole thesis for the watch as well.
[09:55.000 --> 09:59.000]  Like it's the natural progression of of technology.
[09:59.000 --> 10:03.000]  I mean, it keeps getting smaller and keeps getting more personal. And where do you go from the phone?
[10:03.000 --> 10:08.000]  Like the watch just seems the the obvious place to go.
[10:08.000 --> 10:15.000]  And, you know, I think the history of technology shows that personal and convenience trumps anything.
[10:15.000 --> 10:21.000]  And that's what that actually is. The reason to be to be bullish. The problem is it wasn't.
[10:21.000 --> 10:29.000]  It's a subtle it's a it's a subtle point that requires putting it in kind of historical context of technology and the way things,
[10:29.000 --> 10:37.000]  the way things move and the way things will go over time, like what happens when the watch has cellular radios, for example.
[10:37.000 --> 10:45.000]  And either Apple didn't do a good job of setting up that framing for Pierce or or he ignored it.
[10:45.000 --> 10:50.000]  But but the fact of the matter is, I actually think that's exactly right.
[10:50.000 --> 10:57.000]  But like but it doesn't sound good. That's why it's a PR disaster.
[10:57.000 --> 11:05.000]  I have to go meta on the story before we talk about I think there is a lot to talk about here with this feature story.
[11:05.000 --> 11:13.000]  But I'd have to go meta first about the story as opposed to the watch and the team and the decisions, you know, and I'm going to get this out of the way.
[11:13.000 --> 11:24.000]  I feel like I have to clear the decks is that it's complaining about the the way that it's written is petty and caddy.
[11:24.000 --> 11:33.000]  But that's how we writers are. And there's a part of this where I think, holy shit, I could have done a much better job if they would have given me a full day with Lynch and die.
[11:33.000 --> 11:38.000]  And let me talk to them on the record extensively. I could have done a much better job.
[11:38.000 --> 11:44.000]  And I honest that's that is that's what as I'm reading the story, that's what I thought.
