[00:00.000 --> 00:03.200]  You're a letterman fan uh, yes
[00:04.160 --> 00:09.200]  You've been watching the the end of the show sort of yeah, uh, I watched last night
[00:10.000 --> 00:10.960]  and
[00:10.960 --> 00:12.480]  the night before
[00:12.480 --> 00:15.280]  Yeah, the uh bill murray popping out of a cake
[00:16.720 --> 00:18.720]  That was kind of strange
[00:18.880 --> 00:23.760]  It was like to me. It was a real throwback to the 80s. I mean, that's the type of just
[00:24.380 --> 00:28.720]  Nonsense from the the the late night show in the 80s. Yeah, and
[00:28.720 --> 00:31.840]  And I don't know like some of it. It almost seems like
[00:32.880 --> 00:34.240]  that the
[00:34.240 --> 00:40.160]  fact that bill murray was there was almost wasted but I guess not because so much of it is reminiscing and those and the
[00:41.040 --> 00:43.760]  uh, you know the old videos and that kind of stuff but
[00:44.720 --> 00:46.400]  It was fun
[00:46.400 --> 00:53.360]  Um, so we're recording on wednesday the 20th letterman's final show will air actually he's probably funny. I didn't even think about it
[00:53.440 --> 00:55.680]  He's probably recording it as as we are
[00:55.680 --> 01:00.480]  Well, that's actually kind of oh that just gave me like goosebumps. Should we uh, hang up and go
[01:02.640 --> 01:06.800]  It's it's funny i've never gone i'm a huge letterman fan never once
[01:07.840 --> 01:10.240]  Saw him live and I do kind of regret that
[01:11.360 --> 01:13.520]  I never got to see jordan live either. So
[01:14.160 --> 01:19.520]  Yeah, it's okay. We'll live did I ever see jordan live? I don't think I did. I don't think I did
[01:19.520 --> 01:21.840]  I think I I wasted all of those years. Yeah
[01:21.840 --> 01:26.880]  Uh, I almost had I had tickets once one time early on in the run of um,
[01:27.760 --> 01:30.480]  uh his show on cbs, so this was probably
[01:31.680 --> 01:36.640]  If I think about it's probably 1998 thinking about where I lived I had a roommate for a year
[01:37.280 --> 01:40.480]  and they did a thing where they were going to uh,
[01:42.240 --> 01:43.200]  Have
[01:43.200 --> 01:47.120]  Like a whole week of shows where their audiences were all going to be from the same city
[01:47.280 --> 01:50.240]  And so one night that week the whole audience was from philadelphia
[01:50.240 --> 01:54.800]  And yet, you know, you entered a contest and you did it and my roommate and I thought well, you know what?
[01:54.800 --> 01:59.680]  We've never gone. We've always wanted to see letterman. Let's enter this and we'll be in the philly crowd and we've won
[02:01.120 --> 02:05.840]  And so we got you know, I don't know thousands of people entered we were one of like three, you know
[02:06.240 --> 02:08.240]  300 who got two seats
[02:08.240 --> 02:10.240]  and all we had to do was um
[02:10.960 --> 02:15.600]  Show up for like a bus around noon and they were going to bus everybody up together. Um,
[02:15.600 --> 02:19.520]  and we were getting ready to go and uh, my roommate, uh,
[02:20.080 --> 02:25.520]  Like checked his email and there was a thing that was like all you have to do is click this button by you know last friday
[02:26.640 --> 02:28.560]  And you're good to go
[02:28.560 --> 02:30.560]  and it was like
[02:31.200 --> 02:35.680]  I just looked at him. I was like are you freaking kidding me and he's like, i'm sorry
[02:36.480 --> 02:43.040]  So we won but we didn't claim the tickets in time. And so I guess the idea that the the idea behind it was
[02:43.040 --> 02:46.080]  You know, they want to make sure they they filled the whole theater
[02:46.080 --> 02:50.800]  And so the click the thing was like, okay, you've won but are you sure you're gonna go and then it was like
[02:50.800 --> 02:55.120]  That's all you had to do. But in the meantime, they they filled our seats with the alternates
[02:55.920 --> 02:59.600]  Oh, well, that's a good story probably better than the show would have been
[03:00.160 --> 03:06.000]  Maybe yeah, I don't know. I've never been to any of those tapings and I I even live in new york city and i've been here for
[03:06.720 --> 03:08.240]  now, uh
[03:08.240 --> 03:13.200]  10 years basically and i've never gone to on it, but I I my first year in new york
[03:13.200 --> 03:17.520]  I found some email mailing list where you sign up and you get emails
[03:18.160 --> 03:22.720]  inviting you to be in studio audiences for random stuff and
[03:23.280 --> 03:28.320]  I've never even gone to one of those but it's funny to see the stuff that comes along. It's you know weird game shows and
[03:29.840 --> 03:34.160]  One day maybe i'll go to uh, fallon now that he's he's the man
[03:34.160 --> 03:37.600]  Yeah, or the uh, seth meyer show or so or seth. Yeah
[03:38.640 --> 03:40.240]  I I you know
[03:40.240 --> 03:45.520]  I don't know i'm a little wistful about the letterman thing. I guess I think he's right, you know, it's like one of those things where
[03:47.360 --> 03:52.240]  I think he's right that this is the time to go. I do think he's I think he's I think he's I think he picked the right time
[03:52.240 --> 03:56.480]  I think you know sooner would have been too soon and I think it probably is time
[03:57.680 --> 04:03.520]  But it's still it's like it just it how can you just it's it's it's it's it's it's it's it's it's it's it's it's it's it's
[04:03.520 --> 04:08.240]  It how can you not be sad if you're a fan? Yeah, and I wonder how much of it has to do with
[04:09.280 --> 04:15.840]  Not just you know hosting the show but all the other demands that being uh, you know being a public figure in the media today
[04:15.840 --> 04:17.760]  Are for example
[04:17.760 --> 04:19.440]  He doesn't really do anything online
[04:19.440 --> 04:25.120]  He doesn't really do anything in social media and I wonder how much of that gig now is is that sort of stuff?
[04:25.200 --> 04:26.960]  Maybe it's none of it. I don't know
[04:26.960 --> 04:31.680]  No, he's pretty clear about it. Like I think it was in the new york times interview either that or he did two big interviews
[04:31.680 --> 04:35.040]  Recently, which is unusual for him. He's you know, usually pretty reticent
[04:35.600 --> 04:38.880]  But uh, he did the new york times interview and a rolling stone interview
[04:39.120 --> 04:44.000]  um cover story really and uh, I think maybe in both places it was acknowledged that like
[04:44.720 --> 04:46.800]  The game today with the late night show
[04:47.680 --> 04:49.680]  Is partly at least partly
[04:49.920 --> 04:55.760]  To make viral bits that you know that can be separated from the rest of the show five minutes on youtube
[04:55.760 --> 05:01.600]  And can get shared and that he you know, his show really doesn't do that and it's not really set up to do that
[05:02.720 --> 05:05.120]  uh kind of the opposite of john oliver, which is
[05:06.240 --> 05:09.760]  Basically, uh exists to feed the monday morning blogger
[05:10.640 --> 05:11.760]  quota
[05:11.760 --> 05:13.760]  right every single site
[05:13.840 --> 05:15.600]  rushing to uh
[05:15.600 --> 05:17.360]  summarize
[05:17.360 --> 05:22.960]  What he said the night before it is that is exactly what happens with his show. It is so funny. It's like
[05:22.960 --> 05:26.720]  Like it's it's like why don't you just let people watch it? Yeah
[05:28.160 --> 05:30.160]  Well, but that is one way
[05:30.320 --> 05:36.660]  You know wink to let people watch it is to have them watch it on your blog with your you know, your submarine commentary
[05:37.600 --> 05:40.560]  Right. Uh, hey, I really enjoyed uh
[05:41.920 --> 05:47.680]  Your intimate look at your uh, iphone stands and I want to send you mine you posted
[05:48.320 --> 05:50.320]  Uh this weekend daring fireball
[05:50.320 --> 05:55.680]  Your uh, your two iphone docs and uh, I think you'll get a kick out of the one that I bought
[05:56.080 --> 05:59.360]  In tokyo, is this for real? Is this for real? I don't want to even say
[06:01.360 --> 06:03.920]  You did you own this stuff? Yeah, I bought it in tokyo
[06:05.360 --> 06:10.480]  All right. I'm not I don't even think we should talk about i'm going to put it in the show notes right now as
[06:12.000 --> 06:14.000]  dan's iphone
[06:14.000 --> 06:16.000]  doc
[06:16.000 --> 06:22.500]  It's you're you're gonna all gonna have to go and load the show notes and see this for yourself because there's absolutely
[06:22.640 --> 06:27.600]  No way that we can do justice to it unless you really want to talk about it. I'll just tell you the back story
[06:27.600 --> 06:29.600]  I here's what I think
[06:29.600 --> 06:36.800]  I I don't even remember. Uh, well, I know where I found it. I found it in uh, tokyo hands, which is the greatest
[06:37.520 --> 06:39.520]  it's it's kind of a mixture of a
[06:40.160 --> 06:42.400]  home depot and um
[06:42.400 --> 06:47.600]  I don't know like a bed bath and beyond or something like that. I don't know. It's just a great home and
[06:48.160 --> 06:50.240]  hardware store in tokyo and
[06:51.040 --> 06:52.720]  I think it it
[06:52.720 --> 06:55.200]  I don't think it's the same company that makes the
[06:56.240 --> 07:02.640]  Incredibly realistic food models that you would see outside of a japanese restaurant where?
[07:03.760 --> 07:07.680]  Uh, you know the each little piece of sushi looks perfect and that kind of stuff
[07:07.680 --> 07:11.760]  I bought those in the past does this thing have a charger? No, it doesn't
[07:11.760 --> 07:17.200]  No, no, no, so it just props it up. It's just a way to prop up. I have a six plus
[07:17.200 --> 07:19.200]  I don't need a charger, sir
[07:19.360 --> 07:21.360]  uh
[07:21.600 --> 07:22.560]  Anyway
[07:22.560 --> 07:30.000]  The year before I bought this I got an iphone 4s case that that's bacon and eggs and that looks even more ridiculous. But
[07:30.560 --> 07:31.600]  um
[07:31.600 --> 07:33.600]  so this cheeseburger
[07:33.680 --> 07:35.680]  iphone holder is my
[07:35.680 --> 07:41.520]  It's my favorite. I wanted to get one for the office, but I was worried that someone would snag it because it's just so crazy
[07:41.760 --> 07:46.240]  I i've been meaning to write about these iphone docs for a while and it's just one of those things where I didn't really have
[07:46.320 --> 07:49.920]  A reason to and then went at so the thing is is apple came out yesterday, right?
[07:50.000 --> 07:55.360]  And that was the context right with a new lightning thing and it's just been
[07:57.120 --> 07:58.240]  Like
[07:58.240 --> 08:01.360]  Over the I like having an iphone doc a charging doc though. I like it
[08:01.440 --> 08:05.360]  I like did you know if i'm gonna have to charge my phone while i'm at my desk or something like that?
[08:05.360 --> 08:09.040]  I why not have it on a doc. It's better than having it lay down. Um
[08:11.840 --> 08:18.400]  But over the years it's just been like nobody could ever keep it straight like the original iphone shipped with a doc, right
[08:19.200 --> 08:22.000]  It was like right there in the box and it was a great doc
[08:22.640 --> 08:26.720]  And then it didn't fit the 3g or 3gs and it's like oh, well, no
[08:26.800 --> 08:32.000]  And then they didn't come with a doc and then the iphone 4 came out and it turned out the iphone 4 fit in the original
[08:32.000 --> 08:36.800]  iPhone doc really well, even though the iphone 4 had like a sort of square bottom
[08:37.200 --> 08:42.000]  And the original iphone was more like the apple watch sort of a pill shape capsule shape thing
[08:42.400 --> 08:49.920]  It just fit in that the the crevice they had for it almost perfectly and the 30 pin was more than enough to keep it stable
[08:50.400 --> 08:53.360]  So I went back to the original doc with my iphone 4 and 4s
[08:54.400 --> 08:56.400]  but then ever since it's been a
[08:56.800 --> 08:58.800]  It's been a shit show
[08:58.800 --> 09:00.160]  I uh
[09:00.160 --> 09:02.160]  I never had a doc until the
[09:03.040 --> 09:05.840]  elevation doc which came what two weeks before the
[09:06.560 --> 09:07.360]  the
[09:07.360 --> 09:11.680]  The cord switched so that was it for me. I said i'm not buying anymore
[09:12.240 --> 09:15.600]  I somehow wound up with two elevation docs. I think I bought one
[09:15.760 --> 09:19.760]  I did the kickstarter and then I think they sent me one as like, uh, you know, like
[09:20.240 --> 09:23.920]  In my role as a you know, maybe you'll link to it public figure type thing
[09:23.920 --> 09:29.760]  I don't know. I don't remember buying two, but somehow I wound up with two and never used either of them because
[09:30.320 --> 09:35.120]  exactly, they it only shipped like two it was 30 pin and it only shipped two weeks before the
[09:35.520 --> 09:38.640]  The first lightning phone came out. I guess that must have been the iphone 5
[09:39.520 --> 09:41.200]  Yep, right
[09:41.200 --> 09:46.000]  And they did have a thing where you can you can go there now even and get like a kit
[09:46.080 --> 09:50.960]  So you can transform it in from a 30 pin thing to a lightning thing, but I never bothered with that
[09:50.960 --> 09:56.080]  No, who wants to do that? Well, i'm sure some people do it wasn't worth it for me. No nor I
[09:57.040 --> 10:02.720]  Uh, the big things for me with the doc is uh, in most cases you want to be able to use it one-handed
[10:02.960 --> 10:07.200]  In other words, you don't have to put one hand on the dock and one hand on the phone to separate it without
[10:08.560 --> 10:10.560]  Picking up the dock with the phone
[10:12.960 --> 10:18.720]  And you want to be able to fit I like the idea just I mean I waste money on everything
[10:18.720 --> 10:23.840]  Everything I just like the idea though of getting a dock and then being able to use it for maybe more than a year
[10:25.520 --> 10:28.560]  Just in case the iphone shape sizes changes
[10:28.960 --> 10:34.720]  So I like the idea of a doc that is sort of agnostic to the shape of the iphone future proof
[10:35.440 --> 10:40.240]  future proof well, it makes sense too because uh, so many people use a case now
[10:41.040 --> 10:46.240]  and that that's a slightly different shape than a phone with no case or
[10:46.240 --> 10:53.680]  Uh, there are so many different sizes, you know, there's four there's five c five s six six plus
[10:55.520 --> 10:57.920]  So lots of different phones to uh
[10:58.880 --> 11:01.280]  Handle with what with uh one design?
[11:02.240 --> 11:09.360]  Yeah, the new iphone doc from apple seems I i'm curious how I guess i'll buy one just because i'm again i'm really bad with money
[11:10.320 --> 11:12.320]  I don't need it, but i'm curious about how it works
[11:12.320 --> 11:17.760]  So I guess i'll buy one, um, because it doesn't have any kind of the only thing that it's just a lightning
[11:18.400 --> 11:22.240]  Nubbin that sticks out of a flat piece of plastic. There is no back
[11:22.880 --> 11:30.560]  There's no slot that the phone goes into it's just a lightning the lightning port itself is the only thing that's going to support the phone
[11:31.280 --> 11:34.800]  Which sounds like it would be a little fragile, but it I don't know
[11:34.800 --> 11:41.360]  Maybe they've figured some way to make it really sturdy. It makes me feel less irresponsible for picking my phone up by its lightning
[11:41.360 --> 11:43.360]  Cable all the time, which I do
[11:44.240 --> 11:48.960]  Yeah, do you have the problem where you you uh, your lightning cables kind of wear out over time because of that
[11:49.760 --> 11:51.760]  Has not happened yet
[11:51.760 --> 11:57.600]  Uh, in fact the one i'm using now is a third-party one and even that one has has been really good. So
[11:58.480 --> 12:02.160]  Yeah, it seems like it's tricky business designing a doc because like you said
[12:02.160 --> 12:02.640]  All right
[12:02.640 --> 12:08.800]  number one future proving it you want to go for different thicknesses and widths of the iphone and then you want to go case or
[12:08.800 --> 12:12.160]  And then you want to go case or no case and how many you know?
[12:12.160 --> 12:18.240]  How many types of cases can you manage to support etcetera and how how easy do you want to be?
[12:18.800 --> 12:24.000]  Uh to dock and undock it whereas it seems that lightning has its own kind of uh,
[12:24.640 --> 12:26.640]  tension system built in so
[12:27.040 --> 12:28.560]  Yeah
[12:28.560 --> 12:31.760]  Uh, I don't know. I don't you yeah, that's why I don't use a doc
[12:31.760 --> 12:38.400]  I'm, just kind of plug in and flop it down on the table next to me. Hmm
[12:39.360 --> 12:46.080]  Uh, I have a question for you though, which is why do you think they made this or if they'd had it a long time ago?
[12:46.080 --> 12:48.080]  Why do you think they decided to ship it now?
[12:49.040 --> 12:51.280]  Somebody said and I don't know if it's right or not
[12:51.280 --> 12:56.320]  But somebody said on twitter that the docs over the years a lot of them that apple is
[12:56.320 --> 13:02.160]  Apple's own first party doc for iphone has often come out mid cycle on on the iphone that they didn't come out
[13:02.460 --> 13:08.800]  Alongside the phones and I don't know why that would be I saw somebody else who tweeted that I think it was jeremy horowitz
[13:09.120 --> 13:13.680]  Um, who's at nine to five mac now that he I guess he got one already and it
[13:14.480 --> 13:18.180]  Like he read the fine print on the box or whatever and it was 2014
[13:18.960 --> 13:24.400]  So it must have you know, they must have started assembling them months ago, but that didn't start selling them until now
[13:24.400 --> 13:26.400]  I don't quite get it
[13:26.720 --> 13:27.680]  um
[13:27.680 --> 13:29.680]  I think the basic idea though is that
[13:29.920 --> 13:34.800]  For some people a doc whether you use it at your desk or you use it like at your bedside or you have both
[13:35.440 --> 13:37.360]  It's you know, it's a sensible place
[13:37.360 --> 13:39.360]  If you're going to charge your phone at the same place all the time
[13:39.440 --> 13:41.680]  It makes sense to have a doc instead of just a cable
[13:42.320 --> 13:46.800]  I mean if you just have a cable, you definitely can't do it one-handed you need two hands
[13:46.800 --> 13:54.320]  Um, so the one-hand ability is definitely to me a convenience and I get my desk like when i'm developing, you know
[13:54.400 --> 13:56.960]  Working on betas of vesper and stuff like that as a dev
[13:56.960 --> 13:57.840]  I know
[13:57.840 --> 14:04.320]  Almost all developers have some kind of doc so that they can have their phone in a usable readable state alongside their their computer
[14:05.040 --> 14:08.240]  I have some corrections to make. Oh, I should get this out of the way. Let's do it
[14:09.760 --> 14:12.000]  Um, actually a lot of these are pretty old
[14:12.000 --> 14:18.000]  Paul kapos was on the show. I don't know if two months ago, uh, and we were talking about aspirin
[14:18.720 --> 14:23.280]  And whether it was something that was thousands of euros old or like a hundred years old
[14:24.480 --> 14:27.840]  So aspirin as we know it was first produced 110 years ago
[14:29.360 --> 14:33.360]  In the late 1800s sort of a snake oil type thing, but it actually worked
[14:34.160 --> 14:36.640]  But the natural form of it which is called
[14:37.360 --> 14:39.360]  salicylic acid
[14:39.360 --> 14:44.240]  Is found in plants i.e. The willow and myrtle and has been used for thousands of years
[14:44.800 --> 14:51.040]  So that's the source of the confusion as early as 3000 bc the ancient egyptians used willow bark and myrtle
[14:51.600 --> 14:53.600]  To reduce pain and fever
[14:53.840 --> 14:57.440]  And those are some of the ingredients that were used to make aspirin
[14:58.080 --> 15:03.120]  Starting in the late 1800s. So it's sort of a little bit of column a a little bit of column b
[15:05.120 --> 15:07.040]  I have another note here. I don't remember
