[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[00:02.760 --> 00:08.840]  Friday June 5th. So three days before the WWDC cannot keynote and my guest is
[00:09.560 --> 00:12.680]  Mark Gurman from 9 to 5 Mac fame
[00:13.800 --> 00:16.160]  Mark, I think what's it been about a year since you've been on the show?
[00:17.880 --> 00:24.560]  Yeah, I think last time was a little bit of after the previous WWDC well, I couldn't think of anybody better to have
[00:25.080 --> 00:26.880]  for the WWDC
[00:26.880 --> 00:29.760]  Crayload show as I would call it then you
[00:31.120 --> 00:36.200]  Appreciate it. You've had a remarkable run this year in my opinion. Well, we'll see how it comes on Monday, but
[00:36.800 --> 00:38.800]  It looks like you have
[00:39.920 --> 00:41.920]  Scored an enormous number of scoops
[00:42.480 --> 00:46.960]  Thanks. I appreciate it people who don't want Christmas spoils should probably just stop listening now
[00:48.120 --> 00:50.120]  Yeah, I'd agree with that one
[00:50.120 --> 00:55.720]  Uh, were you the type of kid who who hunted through the house for Christmas presents?
[00:58.280 --> 01:04.360]  I'm Jewish. So, okay. Well Hanukkah, right, but we have Passover and
[01:05.160 --> 01:07.160]  The tradition is to hide the matzah
[01:07.640 --> 01:12.920]  Somewhere in the house and I would always be the one to find it when I was growing up. So yeah pretty much
[01:13.320 --> 01:19.320]  Yeah, but are you supposed to hide you're supposed to find that right? What about like what about like birthday presents?
[01:19.320 --> 01:20.400]  Oh
[01:20.400 --> 01:26.200]  Yeah, yeah, maybe I'd go digging sometimes for those. I don't really remember but I get your point
[01:26.200 --> 01:28.720]  I remember twice doing it and
[01:30.320 --> 01:34.240]  The thing is is I found it at the same place both times one time I found a
[01:35.440 --> 01:37.440]  brand new dirt bike and
[01:37.760 --> 01:44.600]  Bicycle in the basement. There's this like like in the back of my parents basement. There's like a little like
[01:45.320 --> 01:48.100]  Extra room behind the door and I wasn't even looking for presents
[01:48.100 --> 01:54.140]  I just I don't know what I was just you know bored and like looking around the basement and I went in there and there
[01:54.140 --> 01:57.180]  Was this awesome brand new shiny chrome?
[01:57.740 --> 02:00.580]  dirt bike with red trim and red tires and
[02:01.180 --> 02:07.620]  I was so naive and this was I don't know like a couple of weeks before my birthday and I'm so naive
[02:07.660 --> 02:14.580]  I didn't think holy shit. They got me a dirt bike for for my birthday. I thought why is there a dirt bike in my
[02:15.220 --> 02:17.220]  basement
[02:17.220 --> 02:19.420]  How old are you at the time? I was probably
[02:20.580 --> 02:22.780]  I'm gonna guess around like 10 or 11. Oh
