[00:00.000 --> 00:03.040]  Hello, man, you always sound so good. I
[00:03.760 --> 00:08.120]  Got I just I'm doing what what Marco tells me to do. I know I've got it
[00:08.120 --> 00:11.400]  I keep saying I'm gonna do what Marco tells me to do and I haven't done it yet
[00:11.880 --> 00:13.560]  Well, he keeps changing his opinion
[00:13.560 --> 00:16.600]  I like I bought all the stuff that he told me to buy and then like a week later
[00:16.600 --> 00:20.320]  It was like oh, oh, but this microphone's even better and then like two weeks later
[00:20.320 --> 00:24.640]  It was like and then there's this microphone dude. I'm not gonna keep buying microphones
[00:24.640 --> 00:30.360]  The other thing that gets me to is the
[00:31.160 --> 00:36.960]  The now that I have the watch I feel like it's one too many devices to have to silence before a podcast
[00:37.280 --> 00:44.440]  You know, I leave my watch silenced all the time. I do to accept when I don't and I at least have to I feel like I
[00:44.440 --> 00:46.440]  At least have to check it before recording
[00:46.800 --> 00:53.600]  Well, that's true. Yeah, I I leave it. I leave it off the whole time. I I can't remember the last time I turned it on
[00:53.600 --> 00:58.200]  That would kind of I don't know. I might be I might be wishing for too much magic
[00:58.200 --> 01:00.200]  But I kind of wish that there was like a
[01:02.120 --> 01:09.080]  Like a some kind of way to tie into iTunes or iCloud and say silence all my shit. Oh, that's
[01:10.080 --> 01:14.560]  Yeah, I mean the problem with the iPhones right and right just the iPhones have the physical
[01:14.840 --> 01:16.840]  So I won't switch
[01:16.840 --> 01:20.720]  So right you could silence it, but it would still be switched to on I don't know
[01:20.720 --> 01:26.240]  I did I think about that. I wish I had a button to push you know for the valuable podcast and demographic
[01:26.240 --> 01:28.240]  I wish I had a button to push that basically said
[01:28.880 --> 01:31.860]  Okay, stop syncing all your drop boxes and stuff
[01:32.360 --> 01:34.360]  Thank everything is silent
[01:35.360 --> 01:39.640]  It's enough already. I don't know. I I the Apple watch sound
[01:40.720 --> 01:46.880]  That is one of the least compelling things about that that product to me and I just I don't want to have like I
[01:46.880 --> 01:50.040]  Can feel the little taps. I kind of don't need to hear the sound I
[01:51.440 --> 01:55.120]  Kind of agree I forget who I was talking to I don't it might have even been on it
[01:55.120 --> 01:58.680]  You know, you never have that re-forget what you said on a podcast and what you said in real life because I
[01:59.080 --> 02:02.080]  Talk about the same stuff in real life that I talk about on shows
[02:02.080 --> 02:04.960]  Yeah, I was on this podcast. No, that was just a conversation I had
[02:05.440 --> 02:10.320]  That the default might be wrong that the default for the Apple watch might be to be silent
[02:10.720 --> 02:11.600]  Huh
[02:11.600 --> 02:15.160]  I can see why it's not because it's that's so
[02:15.160 --> 02:20.760]  Anti-thetical to every other device you own, but I feel like with the watch it
[02:20.760 --> 02:25.000]  It actually makes sense where most people, you know, maybe by the end if you're new to it
[02:25.000 --> 02:29.080]  And you're unfamiliar and you're going through the infamous first week of getting to know Apple watch
[02:30.040 --> 02:35.560]  The faulting to trusting the haptics or taptics whatever you want to call them is I think the way to go
[02:36.120 --> 02:39.400]  Yeah, I don't see I don't see the point
[02:39.400 --> 02:42.680]  I mean I I can see the point in the making noise when it's not on my wrist
[02:42.680 --> 02:48.280]  But when it's on my wrist and I can feel it I kind of feel like that's enough for me and that and the shame of it is
[02:49.240 --> 02:53.480]  if there are you know if there are instances where you should be
[02:54.520 --> 02:56.920]  Alerted audibly because something's going on
[02:57.960 --> 02:59.960]  You know you
[03:00.120 --> 03:03.160]  They're mixed in with the ones where it's pointless and so it's just you know
[03:03.160 --> 03:05.160]  I just turn them off and you know
[03:05.160 --> 03:09.560]  I'd much rather scale them back to have them be only when it's particularly important
[03:09.560 --> 03:15.640]  But you know right now it's like every time anything happens it wants to do a little dang and I don't need a little dang
[03:15.640 --> 03:19.640]  I've got I've totally got the the haptic feel down
[03:19.640 --> 03:21.800]  I know I know that it's tapping me
[03:21.800 --> 03:27.960]  I don't need a noise too and the noise and noise everybody else in the world the beauty of the the the the haptics on the Apple
[03:27.960 --> 03:33.880]  Watch is that nobody hears your your your your vibration like they hear it on the phone. It's just a complete
[03:34.440 --> 03:37.960]  Secret, you know message from from your watch to you
[03:37.960 --> 03:39.960]  So why do I need a dang?
[03:40.280 --> 03:42.280]  Yeah, you're recording right. I am recording
[03:43.080 --> 03:46.280]  We just got right to do it. This is I'm always I'm always recording
[03:47.800 --> 03:49.320]  I'm
[03:49.320 --> 03:56.400]  With Dan more in the other week and and halfway through were like is this a podcast? No, it's not but I was recording it. It could have been
[03:57.000 --> 03:59.720]  It's not okay. Just okay, why not
[04:00.280 --> 04:03.160]  So I've been I've been away. I've been on vacation for a while
[04:03.160 --> 04:05.880]  So I am there has not been a show for a while
[04:05.880 --> 04:10.200]  There's not really been much news that's gone on. It was it seemed like a I picked a very
[04:10.200 --> 04:13.320]  I've been taking this time to go on vacation news wise, but there was a
[04:15.000 --> 04:17.400]  Couple of things that I it was like oh man
[04:17.400 --> 04:19.400]  I wish I was it's had time to write about this because
[04:19.880 --> 04:26.120]  This is like a good like commentary type of punditry type stuff that that burst out in the last two weeks
[04:27.480 --> 04:31.400]  But one of them I guess this is actually predates that this is all the way back to June
[04:31.400 --> 04:34.840]  Which is when the new pebble time started shipping? Did you get one of those?
[04:34.840 --> 04:36.840]  I didn't
[04:36.840 --> 04:43.320]  You were you wore the original pebble for years right for the two years basically
[04:43.320 --> 04:50.120]  I mean until until I got my Apple watch and I was one of the Kickstarter people so I got it in whatever february of
[04:50.840 --> 04:52.840]  Thirteen something like that so two years
[04:53.480 --> 04:57.160]  Yeah, I kick started it the original work for like two days and
[04:58.680 --> 05:02.520]  I bought the new one too because I thought well, I mean I'm rooting for these guys
[05:02.520 --> 05:05.560]  I really do you know hope that that they I pull it out
[05:05.560 --> 05:11.800]  And I think it's I think it's great that they have a different set of priorities not just to Apple but to everybody else in the space
[05:13.320 --> 05:17.960]  But it it really it's especially after having worn Apple watch for a while it
[05:18.520 --> 05:24.680]  It it just it's so far behind in so many ways that it just can't end the thing that made me think about it
[05:24.680 --> 05:28.440]  And just of all the things I want to talk about with you get it out of the way first
[05:28.440 --> 05:33.080]  Is you saying that when the tactics go off? You don't have to worry about people hearing them well when the
[05:33.320 --> 05:34.520]  Pebble time
[05:34.520 --> 05:37.160]  Taptic goes off everybody in the room knows it
[05:38.600 --> 05:39.880]  Yeah, you know for me
[05:39.880 --> 05:42.200]  It's and it's not their fault but as an iOS user
[05:42.760 --> 05:45.560]  I just I can see the writing on the wall before it was like
[05:46.120 --> 05:52.360]  You know Apple had some Bluetooth stuff that would send out notifications and there were other devices that could support it including
[05:52.840 --> 05:54.840]  Pebble and it seemed like
[05:54.840 --> 06:00.200]  You know it was what it was but it was clear then the background Apple was working on a watch and was going to put all the
[06:00.200 --> 06:03.000]  effort into tying iOS with that watch and
[06:03.560 --> 06:05.560]  You know what when I saw Pebble time I thought
[06:06.280 --> 06:07.480]  You know
[06:07.480 --> 06:12.040]  It they keep adding features for Android because they can tie into all of the Android Wear
[06:12.120 --> 06:16.120]  APIs and it just seemed clear to me that that Pebble was going to be
[06:16.680 --> 06:21.880]  A much better watch on Android than it was ever going to be on iOS because it was never going to be a priority for Apple
[06:21.880 --> 06:25.960]  to support Pebble because why would they they've got their own watch
[06:26.760 --> 06:29.480]  Yeah, and even if you want to take a less cynical
[06:30.040 --> 06:33.080]  Competitive or if you want to say anti competitive view
[06:33.240 --> 06:37.560]  It's just never going to be a priority for them to spend the time to make those APIs
[06:38.040 --> 06:43.320]  Public instead of private even if they kind of in their heart of hearts if Apple wanted to
[06:44.120 --> 06:48.120]  Support third-party watches like Pebble as best they could on iOS
[06:48.120 --> 06:54.760]  They're never going to have the APIs cut up to where the private APIs for Apple watch are just not
[06:55.400 --> 07:00.840]  Nor are they going to be as rich as what is in the the Android Wear stuff on Android?
[07:00.840 --> 07:02.840]  So if you're Pebble you're like, you know
[07:02.840 --> 07:05.240]  iOS is a nice market and you'd like to be there
[07:05.720 --> 07:10.600]  But your product is worse on it than it is on on Android. So I think
[07:12.040 --> 07:15.640]  I understand why they're prioritizing things that way and I would make the same decision
[07:15.640 --> 07:22.760]  And I don't blame Apple because you know, what does Apple want to focus on Apple watch or kind of vague third-party support
[07:22.760 --> 07:27.720]  That really would only be I mean Google's talked about doing you know Android Wear support on iOS
[07:27.720 --> 07:28.600]  But it'll be the same thing
[07:28.600 --> 07:33.880]  They'll be an app that ties into some basic Bluetooth stuff and maybe some Google services they'll be able to do
[07:34.440 --> 07:40.840]  But you know, I get the impression that Apple can do some very clever things in the background in terms of launching
[07:41.320 --> 07:44.920]  You know like launching apps grabbing the data sending it to the watch
[07:44.920 --> 07:46.920]  That is not something that is
[07:47.400 --> 07:51.480]  allowed by third-party apps and so they're always going to be ahead of things yeah
[07:51.720 --> 07:57.320]  Yeah, and if that's already a problem on Apple watch and it is you know in terms of sometimes the latency between
[07:58.200 --> 08:04.680]  Tapping the weather complication on your face and actually getting the weather to update with Apple having the inside
[08:04.920 --> 08:10.280]  Access to it. Imagine how much worse it would be for someone relying on third-party. I can't help but think that that's why Google
[08:10.280 --> 08:15.280]  that was like a rumor leading up to was months ago actually, but a
[08:15.320 --> 08:21.560]  Rumor leading up to IO that that was something that they might announce at IO in early June or late June or May whatever the hell
[08:21.560 --> 08:23.560]  IO was
[08:23.560 --> 08:28.840]  And didn't happen and I can't help but think that one of the reason, you know, maybe the main reason why not that they haven't been working on it
