[00:00.000 --> 00:02.000]  Did you watch the Yankees last night?
[00:02.000 --> 00:03.000]  I didn't.
[00:03.000 --> 00:04.000]  I didn't.
[00:04.000 --> 00:05.000]  I was busy last night.
[00:05.000 --> 00:06.000]  My daughter's six.
[00:06.000 --> 00:07.000]  So I was taking care of her.
[00:07.000 --> 00:08.000]  Oh, no.
[00:08.000 --> 00:09.000]  That's terrible.
[00:09.000 --> 00:10.000]  Yeah.
[00:10.000 --> 00:11.000]  Just a little bit of the cough.
[00:11.000 --> 00:13.000]  Kind of borderline-group kind of thing.
[00:13.000 --> 00:14.000]  So it's taking years.
[00:14.000 --> 00:15.000]  Three.
[00:15.000 --> 00:17.000]  So it happens, I guess, around that age.
[00:17.000 --> 00:18.000]  Yeah.
[00:18.000 --> 00:20.000]  That's sort of like when they get adventurous.
[00:20.000 --> 00:21.000]  Yeah, exactly.
[00:21.000 --> 00:24.000]  Sort of touching a lot of things, putting a lot of things in their mouth.
[00:24.000 --> 00:25.000]  What's this?
[00:25.000 --> 00:29.000]  Well, and you know, it's like they're always putting things in their mouth, but it's like
[00:29.000 --> 00:34.000]  at three, they can like find amazing new places to go to put things in their mouth.
[00:34.000 --> 00:35.000]  Right.
[00:35.000 --> 00:36.000]  Exactly.
[00:36.000 --> 00:37.000]  Exactly.
[00:37.000 --> 00:41.000]  They have their ambulatory and they can climb now.
[00:41.000 --> 00:42.000]  Yeah, exactly.
[00:42.000 --> 00:46.000]  It's like they first start moving around and you can just sort of like, you know, clean up
[00:46.000 --> 00:52.000]  a room and have a room where everything within reach is reasonably clean and then, you know,
[00:52.000 --> 00:53.000]  that's good.
[00:53.000 --> 00:55.000]  And then by the time they're three, they can get anywhere.
[00:55.000 --> 00:56.000]  Yeah.
[00:56.000 --> 01:01.000]  Either you go full clean room where it's just bare walls to the ceiling or you just kind
[01:01.000 --> 01:04.000]  of have to roll with the punches.
[01:04.000 --> 01:05.000]  Oh, man.
[01:05.000 --> 01:06.000]  So it's weird.
[01:06.000 --> 01:08.000]  I feel like there's a weird combination.
[01:08.000 --> 01:11.000]  August is always a weird time, every industry.
[01:11.000 --> 01:17.000]  But in tech, in particular, it's always slow in some ways.
[01:17.000 --> 01:23.000]  But I feel like this year it's interesting in a couple of ways.
[01:23.000 --> 01:26.000]  Well, and one, and I just saw it.
[01:26.000 --> 01:31.000]  It's right up, I'm sure you saw the article because I saw it on TechCrunch.
[01:31.000 --> 01:35.000]  Is that it's all the drama at Twitter, more or less.
[01:35.000 --> 01:36.000]  Oh, right.
[01:36.000 --> 01:43.000]  As we record today, August 7th, the news today is that Chris Sakha,
[01:43.000 --> 01:47.000]  who, what do they call them, outspoken investor?
[01:47.000 --> 01:49.000]  It's fair.
[01:49.000 --> 01:50.000]  Yeah, I think it is.
[01:50.000 --> 01:53.000]  So I think it's a fair characterization.
[01:53.000 --> 01:56.000]  I doubt he'd bought too much of that, although I don't want to put words into his mouth.
[01:56.000 --> 02:00.000]  But he seems to have no qualms in kind of saying what he believes is the right thing to do there.
[02:00.000 --> 02:08.000]  I would also say it would be fair to describe him as influential investor Chris Sakha.
[02:08.000 --> 02:21.000]  He's sort of, maybe in tech, he's sort of like the nice guy version of, I can.
[02:21.000 --> 02:24.000]  Yeah, I was going to say Carl, I can.
[02:24.000 --> 02:27.000]  I can, I can is sort of a bulldozer.
[02:27.000 --> 02:31.000]  I think Sakha tries to talk to the right people and say, look, these are the things,
[02:31.000 --> 02:33.000]  they connect the right people that are whatever.
[02:33.000 --> 02:36.000]  I mean, you notice that this is the first time he's really kind of come out,
[02:36.000 --> 02:44.000]  I mean, obviously he's said a lot about Twitter product and he's written EDM posts about Twitter product and all that stuff that he thinks it.
[02:44.000 --> 02:46.000]  These are certain things they need to do with their product, which is fine.
