[00:00.000 --> 00:02.000]  Do you watch football?
[00:04.080 --> 00:07.240]  Kind of. I know you're a basketball guy. I know you're an NBA guy.
[00:09.200 --> 00:14.520]  Football, like I like the idea of
[00:15.520 --> 00:19.620]  You know like I'm gonna like boycott football because it's like killing people yeah
[00:19.920 --> 00:23.040]  And I can be all self-righteous about it and say well
[00:23.040 --> 00:24.540]  I don't watch I don't watch football
[00:24.540 --> 00:28.920]  The problem is that the main reason I watch football is because it's on in the middle of the night
[00:28.920 --> 00:34.080]  And I find football of all the sports the least amenable to watching not live
[00:35.080 --> 00:40.040]  Which is weird because if you watch it not live you can watch it in like 30 minutes, right?
[00:40.840 --> 00:47.200]  But because I know when I came to Taiwan the first time I like there weren't really any streaming things
[00:47.200 --> 00:49.000]  It was much more difficult to do then
[00:49.000 --> 00:51.640]  And then when I went back for four years
[00:51.640 --> 00:55.320]  I was right back right right right back on the couch on Sunday after dudes
[00:55.320 --> 00:59.480]  So I know I'd be a bit. I'm I'm kind of a big hypocrite about it, so I do watch some
[00:59.480 --> 01:05.100]  I do watch it some I actually got the NFL package this year, but I'm terribly conflicted about it
[01:05.100 --> 01:09.440]  But it's such. It's I mean you know it is so compelling so did you watch the Super Bowl I?
[01:10.240 --> 01:12.880]  Did I did and were you able to watch it live?
[01:13.560 --> 01:17.380]  Yeah, I I have the the NFL streaming
[01:18.800 --> 01:23.520]  Thing which it actually includes all the commercials and all that sort of stuff, so I was
[01:23.520 --> 01:27.520]  able to offer side remarks along with the rest of Twitter I
[01:29.240 --> 01:33.000]  Feel the same way about you. I forget if I've talked about this on the show before I
[01:33.560 --> 01:34.760]  Know I've linked to it
[01:34.760 --> 01:41.160]  And I know cocky has to that it's like the NFL is so incredibly popular in the United States
[01:41.160 --> 01:46.400]  And it's if anything more popular than it ever was especially compared to other team sports
[01:46.720 --> 01:52.040]  But yet it really does seem like the sport as we know it is completely doomed ought to be doomed
[01:52.040 --> 01:59.020]  And I do feel as it's like a semi-casual fan somebody who doesn't really watch as many games as I used to I
[01:59.200 --> 02:01.880]  Do I actually feel like a like a complicit?
[02:01.880 --> 02:09.920]  It's like a guilt that this the game as configured is you know literally killing people and and you know giving them
[02:10.280 --> 02:15.040]  And not just kill you know, but then you know making the last years of their life absolutely miserable with this
[02:16.040 --> 02:18.040]  chronic traumatic and
[02:18.040 --> 02:24.640]  Cephalopathy CTE in other words though long story short for anybody who doesn't follow football there is massive evidence
[02:24.640 --> 02:26.800]  I mean just overwhelming evidence like
[02:27.840 --> 02:32.280]  Smoking is bad for your lungs and gives you cancer evidence that playing football
[02:34.680 --> 02:38.120]  Even at like a high school level even if you just play in high school
[02:38.120 --> 02:39.320]  And then never play again
[02:39.320 --> 02:44.240]  But let alone if you go on to play college where people hit you harder and then go on to a pro career where bigger
[02:44.240 --> 02:49.440]  People hit you even harder for more years that the the repeated hits to your head
[02:51.000 --> 02:58.520]  End up causing terrible scarring that your brain is not meant to have and it causes you know depression and all sorts of other problems
[02:59.720 --> 03:05.360]  It's a really nasty nasty degenerative brain disease, and if it really seems like it's you know
[03:05.360 --> 03:10.760]  It's just unbelievable how many former pro football players have it right and that's that's the thing that um
[03:10.760 --> 03:15.360]  It's easy to say well these guys know what they're doing. They're gonna pay millions of dollars. That's the trade-off
[03:15.360 --> 03:21.080]  They make but the problem is that oh, you know like any pro sport only a very small fraction of
[03:21.680 --> 03:29.380]  People playing actually you know make money from it and when you you know basically start banging your head from the time
[03:29.380 --> 03:31.160]  You're a kid on
[03:31.160 --> 03:36.840]  That's you know. There's a lot of people that aren't that aren't winning that trade-off to say the least
[03:36.840 --> 03:42.560]  And there were a couple of concussions in the Super Bowl. I'm reading an article here. This is
[03:44.040 --> 03:51.000]  Panthers wide receiver Corey Brown suffered concussion and Broncos linebacker Shaquille Barrett. I forget his name
[03:51.000 --> 03:54.200]  I thought number 88 for the Broncos clearly had a concussion
[03:54.200 --> 04:00.280]  He got like his clock cleaned in an early play and then later like the next time he ran a route
[04:00.280 --> 04:03.960]  He just felt held out. I hate to laugh, but it really I
[04:03.960 --> 04:09.400]  Don't know it and then just to have the word concussion mentioned during the game
[04:09.400 --> 04:12.080]  You just know that the NFL there's somebody the NFL is like
[04:12.080 --> 04:18.160]  I was really hoping to get through this game without that word coming up. Yep, but it's not just I mean
[04:18.160 --> 04:20.680]  That's the serious one, but I mean there's also I mean
[04:21.600 --> 04:26.320]  What what these people with these guys are doing to their to their bodies? I mean you have I
[04:27.120 --> 04:30.480]  Mean like what was it Ben Ben Roethlisberger in the playoffs?
[04:30.480 --> 04:35.000]  Dislocated his throwing arm and somehow managed to come in
[04:36.080 --> 04:38.080]  You know as few series later in play
[04:39.200 --> 04:40.720]  You know
[04:40.720 --> 04:44.280]  Just just I I don't think it magically healed itself in the meantime
[04:44.760 --> 04:49.020]  You know, there was like some horse tranquilizers being used or something like that. I mean
[04:49.680 --> 04:55.120]  Who knows what they're these guys are shooting themselves up with for for our our entertainment
[04:55.120 --> 05:01.960]  And yeah, it's it's definitely it's it's one of those things that it's it's hard to think a lot about my theory
[05:01.960 --> 05:06.840]  And I've said I think I've written this on during for but my theory is that the way the long-term way out is for football
[05:06.840 --> 05:08.320]  to
[05:08.320 --> 05:11.860]  evolve into a more basketball like game that is mostly
[05:12.800 --> 05:20.240]  you know more or less like professional flag football, but it's mostly like quarterbacks and wide receivers and athletic passing plays and
[05:20.240 --> 05:23.920]  defensive guys, you know who can counter that but
[05:25.400 --> 05:28.320]  I've because I feel like that's the part of the game that I like best
[05:28.320 --> 05:33.760]  I love the passing game and I love you know, some of the just incredible athleticism of you know
[05:34.100 --> 05:37.100]  Catching a ball at full speed while you're running 50 yards down a field
[05:37.680 --> 05:41.720]  But I feel like there's way way too much of the popularity is tied up in the glad II
[05:42.640 --> 05:43.720]  gladiatorial
[05:43.720 --> 05:49.200]  Aspect of the violence, you know that I say this and I might enjoy watching that game and I like watching basketball
[05:49.200 --> 05:51.680]  but that the reason the sport is so popular has
[05:52.660 --> 05:55.480]  Way too much to do with the actual brutal violence
[05:56.240 --> 06:02.400]  Yeah, I think that whether that's part of it too. And the other thing too is I think part of what makes football so compelling is
[06:03.280 --> 06:09.000]  Is like it really is such a strategic sort of game tied into you know
[06:09.000 --> 06:13.920]  So much violence and and part of that strategy is very much a sort of war of attrition
[06:13.920 --> 06:20.240]  Aspect like you you like you do stuff in the first quarter like you you run plays that achieve no gain
