[00:00.000 --> 00:02.000]  What a week what a week
[00:03.840 --> 00:08.160]  God so I thought that we would be talking about my interview with
[00:09.160 --> 00:13.280]  Craig Federighi and Eddie Q and Apple software quality and we can get to that later
[00:13.280 --> 00:19.220]  But obviously this is this is a week when there's actually a very clear. I can't wait to get to that later
[00:20.720 --> 00:25.080]  So let's I mean for anybody who's had their head in the ground all week
[00:25.080 --> 00:30.240]  Or anybody who I guess is listening, you know, I guess you always have to preface these podcasts
[00:30.240 --> 00:34.320]  Cuz who knows when somebody's gonna listen to you know, go back and listen to old episodes, but this was the week
[00:34.960 --> 00:36.480]  where
[00:36.480 --> 00:39.480]  Tuesday night Apple published an open letter from Tim Cook
[00:41.140 --> 00:46.680]  Revealing that the FBI had has obtained a court order to compel Apple to
[00:46.680 --> 00:53.560]  So long story short supply the FBI with a custom version of iOS that would help them
[00:55.560 --> 01:03.080]  Break the passcode of an iPhone 5c that was owned by or wasn't really owned by it was used by one of the
[01:04.440 --> 01:09.800]  Shooters in the San Bernardino incident a few months ago, right and
[01:11.400 --> 01:13.960]  Apple is saying that you know that they they have helped
[01:13.960 --> 01:19.000]  Incorporated with law enforcement many times in the past and I think they might still in the future
[01:19.000 --> 01:22.840]  But in terms of you know, what they're willing to do supplying, you know
[01:22.840 --> 01:29.960]  More or less writing malware for iOS is a line that they don't want to cross and then all hell
[01:33.800 --> 01:39.480]  Well, I have a lot of respect for Apple for for standing up for it, you know for what they believe in
[01:39.480 --> 01:41.720]  They they could just as easily have have
[01:42.920 --> 01:48.120]  You know gone along with it and kept quiet. All right, but they didn't yeah
[01:48.120 --> 01:52.760]  I I wrote it, you know, it's a funny thing and we can write about this too. It's an interest I
[01:53.480 --> 01:55.480]  took an interesting
[01:55.720 --> 01:58.280]  Strategy this week on during fireball. I've been very active
[01:58.280 --> 02:02.520]  I have a lot of posts on this but I didn't write like a feature of a column or article
[02:02.520 --> 02:07.720]  It's all just links and my commentary interspersed in there with without any links
[02:07.720 --> 02:14.680]  It's very interspersed in there with without really writing one big article and I expected like when I woke up Wednesday morning
[02:14.680 --> 02:15.960]  I thought well I got a right, you know
[02:15.960 --> 02:21.160]  I have to write like a big piece about this and as I started like reading everything that was out there
[02:21.160 --> 02:23.160]  I was like, you know
[02:23.720 --> 02:28.280]  One way to put it would be that I spent the week blogging not writing. Yeah, you know what I mean?
[02:28.280 --> 02:32.520]  And I in a way I feel like it was it was a better use of my time and a better
[02:32.520 --> 02:38.360]  Service to the readers of daring fireball because I found so many good articles that other people had written
[02:38.680 --> 02:41.240]  That were making the points. I wanted to make that rather than
[02:42.520 --> 02:47.000]  Remake them myself. Why not just point them to them and then add my two cents on this
[02:47.000 --> 02:49.000]  but anyway, one of the points I did make
[02:49.320 --> 02:53.560]  and I really think it's important for people who listen to our shows or read our websites because I think
[02:53.800 --> 02:58.040]  overwhelmingly the people who like read during fireball or the loop and listen to the talk show are
[02:58.040 --> 03:04.360]  already on our side and that they they and that they have a basic enough grasp of the way encryption works that they
[03:05.000 --> 03:07.000]  See apples point
[03:07.560 --> 03:11.480]  But I really can't emphasize enough how many you know, how how
[03:12.360 --> 03:17.480]  I don't we're in an echo chamber here with the people who agree with this and if you get outside it and go to the
[03:17.480 --> 03:19.480]  Real world where people don't understand encryption
[03:20.040 --> 03:24.920]  The support for Apple is not as as clear-cut or blanket, you know
[03:24.920 --> 03:30.680]  And it's dangerous for Apple politically that they really are going out on the limb. Yeah, they really are and
[03:32.520 --> 03:34.440]  It's
[03:34.440 --> 03:36.440]  it's it's not
[03:36.840 --> 03:38.840]  Funny I guess but it's
[03:39.960 --> 03:43.080]  When you look at at the case that the the FBI
[03:43.640 --> 03:46.360]  Chose to use this on I mean, they were very deliberate
[03:46.760 --> 03:51.640]  They they wanted something that would fire up the public so much against apple
[03:51.640 --> 03:53.640]  and
[03:53.640 --> 03:55.640]  In some ways that's worked
[03:56.040 --> 04:01.800]  you know people are saying in some circles people are saying that Apple should comply because
[04:03.080 --> 04:09.160]  These were bad people and we need to stop bad people but there's bigger issues than that. It's not just this one
[04:09.880 --> 04:10.840]  issue
[04:10.840 --> 04:16.200]  Yeah, it's not so much maybe maybe fired up against Apple is the wrong way to put it not to quibble with your words
[04:16.200 --> 04:22.920]  But it's a little bit more that that people would universally side with the FBI and say well the FBI has got to be able to
[04:23.400 --> 04:25.400]  To get at these people's phones
[04:26.520 --> 04:31.400]  And it really is a just perfectly crafted case from the FBI's perspective
[04:31.640 --> 04:34.200]  Because it was a terrible incident everybody agrees with that
[04:34.200 --> 04:38.040]  I mean the Apple goes out of its way to say this is a terrible incident and you know
[04:38.040 --> 04:42.040]  we'll do anything we can that we think is within the law and within our
[04:42.040 --> 04:48.040]  And within our um the interest of maintaining overall security for our users to help
[04:48.520 --> 04:52.520]  Uh, but let's just face it. I mean the fact that these were
[04:53.160 --> 04:57.320]  People from a Muslim background it it makes it even worse
[04:57.400 --> 05:00.440]  There's there's an element to and there's a lot, you know, as opposed to
[05:01.240 --> 05:06.520]  If it was the guy remember it was just like a week or two prior to that if it was the guy from uh, Colorado
[05:06.600 --> 05:08.600]  Who shot up a Planned Parenthood?
[05:08.600 --> 05:12.680]  Um, it that wouldn't do it at the way that having it be
[05:13.320 --> 05:14.600]  uh
[05:14.600 --> 05:20.120]  Suspects of a Muslim descent just because that's it's that's the way it is. That's human nature. Yeah
[05:20.840 --> 05:24.200]  You know and it's and that's what they're banking on, right?
[05:25.320 --> 05:27.000]  that it's just it's
[05:27.000 --> 05:33.400]  That the politics of that and the the emotional dynamic of that are just overwhelmingly, you know
[05:33.400 --> 05:37.800]  Powerful and I don't know that it is. I think an apple is saying maybe not
[05:38.760 --> 05:41.640]  well, and and I I think if you look at
[05:42.440 --> 05:44.440]  Tim Cook's letter
[05:45.560 --> 05:50.120]  It's very compelling. I think it was well thought out very well written
[05:50.840 --> 05:57.160]  And he he brings up some really great points. I mean that was that was written
[05:57.960 --> 06:02.120]  I mean you could see Tim saying that yeah, you know, uh, and
[06:02.120 --> 06:04.120]  I think by now we we all
[06:04.840 --> 06:09.080]  Can believe what what Tim says he stands on on principle?
[06:10.120 --> 06:13.160]  And he does what he says he's going to do. Yeah
[06:14.920 --> 06:20.920]  Matthew panzerino had a good article pointing out the differences, you know that there's one of the
[06:22.360 --> 06:24.360]  Cynical takes on this
[06:24.920 --> 06:26.440]  Is
[06:26.440 --> 06:30.200]  And it's definitely not just from one source and matthew panzerino's story had a couple of lines
[06:30.200 --> 06:32.840]  To it, but i'm going to paraphrase it but that
[06:34.360 --> 06:40.760]  More or less claiming that apple is showboating and trying to gain publicity for being you know
[06:40.760 --> 06:43.640]  having these super secure phones and you know
[06:44.520 --> 06:50.520]  Getting people to say wow iphone is so powerful the fbi can't even crack it and using that as a positive thing
[06:51.080 --> 06:56.440]  and in the past apple has helped the fbi 70 times to do the same thing and
[06:56.440 --> 07:01.720]  You know, if you want to be cynical like that and say that apple is trying to make this a thing that brag about the iphone
[07:01.720 --> 07:05.400]  security you're welcome to but I really I really think that that's
[07:06.920 --> 07:11.640]  I don't think that's the case. I think it's so risky because now you've got like presidential candidates like down, you know
[07:12.520 --> 07:15.560]  Ridiculous ridiculous that i'm talking about him. Seriously, but
[07:16.360 --> 07:21.560]  He is the lead the leading republican presidential candidate is saying flat out apple is
[07:21.560 --> 07:25.640]  Apple should absolutely who do they think they are where his actual words who do they think they are?
[07:25.640 --> 07:30.840]  He you know, they absolutely should comply with this court case that it's become part of our you know
[07:30.840 --> 07:35.400]  Political debate and to say that this is a sure win, you know, pr wise for apple
[07:36.040 --> 07:39.560]  Is to me, I think you're you're looking for the cynical angle
[07:39.560 --> 07:44.760]  But the bigger difference is that what apple has done in the past when they've helped law enforcement is very different
[07:45.480 --> 07:49.000]  And I know that you know, you're you're looking for the cynical angle
[07:49.000 --> 07:54.920]  Is very different and I know saying very might you might say, uh, it seems, you know, just like one little step
[07:55.320 --> 07:58.680]  It's different. It's you know in the past they've helped them, you know
[07:59.480 --> 08:04.680]  Without modifying the software help them use the software as is to get data off the phone, right?
[08:05.880 --> 08:10.780]  And in times past in years past a lot less of the information on the phones was encrypted
[08:12.200 --> 08:14.600]  It's really only in recent years that the entire
[08:14.600 --> 08:21.240]  uh disk of the you know, storage volume of the iphone is is full disk encrypted. Let me ask you something
[08:22.200 --> 08:28.040]  Why do you think the other tech companies haven't taken a stronger stand?
[08:29.880 --> 08:31.240]  Uh
[08:31.240 --> 08:33.240]  Well, I think
[08:34.120 --> 08:38.040]  It's multifaceted but I think one of them is that and um
[08:38.760 --> 08:42.360]  I think it was panzerino again who had the was it the why apple piece and
[08:42.360 --> 08:47.000]  More or less. Oh, no, it wasn't panzerino. It was uh, kieran healy who I linked to. That's right
[08:47.960 --> 08:54.920]  Um, i'll try to put that in the show notes show notes, but but kieran healy, uh, his argument was to again to paraphrase
[08:55.800 --> 08:59.720]  uh, apple's the only company that still makes hardware that really is a hardware company and
[09:00.440 --> 09:05.240]  Because of that, you know, none of these other companies, you know, google. Yes. Google makes nexus devices
[09:05.320 --> 09:11.320]  And yes, microsoft makes the the nokia phones which have look I mean literally no exaggeration like what?
[09:11.320 --> 09:14.200]  No exaggeration, like, you know 1.1 market share
[09:15.960 --> 09:22.760]  It's not as important to them whereas apple's fundamental business is selling hardware to people and that there's a trust issue there
[09:25.240 --> 09:29.720]  That puts apple in a position that no other company really is where this is a big deal
[09:31.860 --> 09:36.120]  Secondarily I think that there are other and again this is starting to be a little cynical
[09:36.120 --> 09:39.960]  but I think that you know in the new york times has even mentioned this in articles, but that
[09:39.960 --> 09:43.240]  Apple doesn't depend on government sales to a large degree
[09:43.240 --> 09:51.640]  Whereas microsoft just signed for example a huge deal to get the entire department of defense to upgrade all of their pcs to windows 10
[09:53.720 --> 09:55.880]  And that they don't want to anger them
[09:56.920 --> 10:01.640]  I'm, not quite sure why google doesn't take a stronger stand, but they clearly don't yeah
[10:03.000 --> 10:08.120]  What do you think? Well, I was talking to to peter cohen last night and
[10:08.120 --> 10:10.120]  and peter said
[10:11.160 --> 10:16.840]  Maybe uh, they don't want everybody to know that they've already cooperated with the government
[10:18.440 --> 10:21.000]  Which is you know, really cynical stand but
[10:23.960 --> 10:29.480]  I don't know. I mean obviously they don't want this the fbi sites turned on them
[10:30.520 --> 10:35.000]  Right, you know, they're just trying to keep their their head down. That's that's an obvious point but
[10:35.000 --> 10:40.040]  You know, is there something else in there right? I mean if they take a big stand
[10:40.040 --> 10:43.000]  Is the government going to come back and say well, what are you talking about?
[10:43.560 --> 10:45.560]  You've all you've already given us lots of info
[10:46.120 --> 10:52.440]  Right that in some way however to whatever degree they've already cooperated with the government in the past is something the government can hold against them
[10:52.680 --> 10:58.280]  Publicity-wise. Yeah, that might be a good argument there and i'll just emphasize one of the things that's you know
[10:58.280 --> 11:03.640]  I think overlooked in this if you just look at it in broad terms that wow apple won't cooperate with the government
[11:03.640 --> 11:06.840]  Wow, apple won't cooperate with the fbi on this san bernardino case
[11:07.080 --> 11:13.400]  they have already like they and just for example, the the suspect in this case apparently was using uh,
[11:14.520 --> 11:17.080]  icloud backup until a certain point and
[11:18.760 --> 11:21.320]  I actually think this is one of the things that i've been looking around
[11:21.400 --> 11:24.760]  I don't know that we on the outside have a very good understanding of
[11:26.360 --> 11:28.360]  Just how available
