[00:00.000 --> 00:03.600]  I have a good I told you I've told you before we started the show. I have a SodaStream story
[00:03.600 --> 00:10.420]  This is out of nowhere. I hear so it it psychoanalyzed me. I'm on your couch Ben. You're you're the the psychoanalyst
[00:12.320 --> 00:14.120]  So
[00:14.120 --> 00:19.320]  The context is I was looking for drink recommendations for the podcast and I decided to go with
[00:19.520 --> 00:22.000]  SodaStream and scotch in two separate glasses
[00:22.000 --> 00:24.000]  I drank my scotch straight to be clear
[00:24.000 --> 00:30.120]  Longtime listeners of the show know that I'm a firm believer that all you need to be successful in today's world
[00:30.280 --> 00:32.280]  You need three things you need
[00:33.680 --> 00:39.320]  Actually, I may be my three things have changed but I forget but right now I would say the three things you need is you
[00:39.320 --> 00:44.360]  Need you need good coffee fussy way to make coffee. You've got to be real fussy about it
[00:44.960 --> 00:46.960]  Make real good coffee
[00:47.600 --> 00:49.400]  You need
[00:49.400 --> 00:55.520]  Highly carbonated water and the only way to get it. It's in my opinion is to own your own SodaStream machine
[00:55.520 --> 00:59.400]  So you can you can carbonate your own water and you need a clicky keyboard
[00:59.760 --> 01:06.560]  That's those are my three keys to success that if you ask me why daring fireball and and this podcast are doing well
[01:06.640 --> 01:08.640]  It's that I have a fussy way to make
[01:08.880 --> 01:15.120]  Good coffee. I have a SodaStream and a super carbonated water and I have a very clicky keyboard
[01:15.120 --> 01:17.120]  I have an Apple extended keyboard, too
[01:17.120 --> 01:18.360]  um
[01:18.360 --> 01:21.680]  Here's the problem. The problem is about a week ago
[01:23.280 --> 01:25.280]  My current
[01:25.760 --> 01:28.560]  Carbonation canister and my SodaStream ran out of
[01:30.320 --> 01:32.320]  Co2 and
[01:32.800 --> 01:37.320]  So it's always so demoralizing when that happens, it's just like the little the little piffed into the water
[01:37.580 --> 01:41.360]  Well, here's my in my my strategy for years
[01:41.360 --> 01:48.460]  I mean years now has been that I have four canisters of co2 and when three get empty I
[01:49.800 --> 01:51.320]  Go to
[01:51.320 --> 01:53.320]  There's a Williams Sonoma
[01:53.480 --> 01:59.240]  Across town right in Center City, Philadelphia. I take the three empty ones to to the Williams Sonoma. I
[02:00.440 --> 02:04.640]  Exchange them you get like a discount when you give them the empties and you can buy new ones
[02:05.680 --> 02:07.120]  So I always buy three at a time
[02:07.120 --> 02:11.840]  But then I have my fourth that's in the canister so I don't have to you know, it's like I'm out
[02:12.100 --> 02:13.080]  Well, here's the thing
[02:13.080 --> 02:19.200]  I my thing ran out last week and I've had this thing for years and I went down to where I keep the empties down
[02:19.200 --> 02:23.720]  In our bottom floor, but it's not really a basement. It's sort of a bottom floor and they weren't there
[02:23.720 --> 02:27.000]  I don't know where I don't know where the hell my other ones are
[02:27.000 --> 02:30.840]  I and I spent all day and I asked I asked Amy I
[02:30.840 --> 02:37.480]  I we looked at I looked everywhere. I don't know where the hell I put my I don't know what happened at some point in
[02:37.480 --> 02:39.480]  the last few weeks or months I
[02:40.240 --> 02:43.560]  Either me or I suspect quite frankly
[02:44.200 --> 02:46.200]  my wife moved
[02:46.400 --> 02:49.400]  my my refill canisters and
[02:50.400 --> 02:56.660]  I don't know where the hell they are. So I couldn't make fizzy water. And so I was stuck buying
[02:56.660 --> 03:01.260]  What I did is I started buying like Pellegrino and and
[03:01.820 --> 03:06.780]  Some Perrier cuz I even forget like I'm so used to making my own I forget which I like better
[03:07.420 --> 03:08.340]  That's that's what I do
[03:08.340 --> 03:15.100]  I buy the I have the 24-pack Perrier at Costco that I keep for like car rides and and
[03:15.340 --> 03:18.860]  In case I run out. Yeah, I think I like Perrier better than Pellegrino
[03:18.860 --> 03:21.180]  I think Perrier is a little bit more bite to it
[03:21.180 --> 03:25.500]  But either way I but then I'd run out and I couldn't make more and I was dehydrated. I
[03:25.500 --> 03:31.780]  I mean I was dehydrated because I cannot drink flat water. It's just awful and
[03:33.780 --> 03:38.140]  Here the days are going by and I'm dehydrated and I'm miserable and
[03:39.180 --> 03:42.820]  Even when I have the stuff in the house, even when I have like the Perrier or whatever
[03:42.820 --> 03:49.340]  I'm unhappy with it because it's nowhere near carbonated enough for my taste and then I realized this is literally yesterday
[03:49.340 --> 03:55.460]  I realized you know what? I could just go to the goddamn Williams Sonoma and the buy a couple more canisters of this stuff and
[03:56.740 --> 04:04.700]  If and when I find the ones that are somewhere in my house, I'll use them eventually too and I can still take
[04:05.380 --> 04:12.340]  Even though I'll have more empty canisters than I need. I'll just take them all but it doesn't why did it take me a week?
[04:12.340 --> 04:16.180]  This is my question. Why did it take me a week to realize I can just go there and and
[04:16.180 --> 04:18.180]  buy the goddamn
[04:19.260 --> 04:21.260]  Refills that I need
[04:21.460 --> 04:27.580]  Why did I make myself miserable for a week then I laugh because I have done the exact same thing
[04:27.580 --> 04:30.460]  I will get to so here you you'll be used by about a department store
[04:30.460 --> 04:33.100]  I'll get to the department store and like oh shoot
[04:33.100 --> 04:36.220]  I wanted to get more canisters, but I forgot to bring it and then I don't buy it
[04:36.220 --> 04:42.640]  And then I I don't have any car eating canisters. It's totally illogical and I do the exact same thing
[04:42.640 --> 04:46.720]  I've I somehow convinced myself that I need the one-for-one
[04:47.680 --> 04:48.760]  exchange
[04:48.760 --> 04:52.960]  To to get the refills when I don't I don't I didn't need that
[04:52.960 --> 04:58.800]  I just went there with the one refill that I had because of the one that was you know that I just emptied and
[04:59.280 --> 05:01.040]  And did it I?
[05:01.040 --> 05:06.040]  Will say the canisters no no and my wife said you know as soon as you come home
[05:06.040 --> 05:07.980]  You're going to find those canisters
[05:07.980 --> 05:13.560]  And and I said she was waiting she was waiting for you to leave and then she was gonna smuggle them back to the shelf
[05:13.560 --> 05:18.200]  Where they were so you would show up and find them right well that seems like the Murphy's law way that it would roll
[05:18.200 --> 05:19.480]  But it did not actually happen
[05:19.480 --> 05:25.680]  I'd I still have no idea where the hell the the canisters are if anybody knows where my extra canisters are please please
[05:26.320 --> 05:28.320]  Tweet at me or send me an email
[05:32.920 --> 05:37.560]  It occurs to me it does occur to me because it's it's like having a superpower
[05:37.560 --> 05:40.000]  Having as many Twitter followers as I have
[05:40.880 --> 05:44.980]  And you know I think you're in the same boat. It can be a superpower like
[05:45.600 --> 05:50.560]  On the last episode with guy English when I was wondering what the hell
[05:50.680 --> 05:54.180]  You probably don't remember this because you I don't think you were a Mac user back then, but I was
