[00:00.000 --> 00:01.720]  Mg
[00:01.720 --> 00:05.360]  John long time no long time. No here. Yeah, how are you?
[00:06.360 --> 00:11.520]  Very good been too long. So what what are you up to these days? What are you what the hell are you doing? So?
[00:12.240 --> 00:17.100]  I came back from the UK. I was over there for a year helping to set up
[00:17.880 --> 00:23.000]  Google Ventures European operations over there and with that off the ground I came back
[00:24.000 --> 00:27.680]  About I guess more than six months ago. Now is sometime last summer. It's actually
[00:27.680 --> 00:34.320]  We're going we're heading back to the UK for the first time in since we left and so it's almost been a year
[00:34.960 --> 00:38.640]  Anyway, so back on the ground in San Francisco now
[00:40.000 --> 00:47.560]  back just to doing US Google Ventures now called GV as a part of the alphabet stuff, you know, so
[00:48.200 --> 00:50.200]  Google Ventures is one of the
[00:50.480 --> 00:52.080]  alphabet
[00:52.080 --> 00:55.760]  Companies that's a sister company now to Google versus being you know under
[00:55.760 --> 01:03.960]  Google same same basic idea, but they would prefer we use the name GV instead of Google Ventures now
[01:04.800 --> 01:10.560]  Right as part of the whole if it's really a sibling to Google and part of alphabet
[01:10.560 --> 01:15.880]  It shouldn't be called Google right exactly. So so yeah, so back but doing the same stuff just
[01:16.840 --> 01:18.280]  investing in
[01:18.280 --> 01:22.360]  You know mainly early stage early to mid stage companies here
[01:22.360 --> 01:27.840]  What do you do you think that having spent a whole year in in the UK
[01:28.480 --> 01:30.480]  When you came back did it?
[01:31.000 --> 01:33.720]  Did you look at at the the valley?
[01:35.560 --> 01:40.480]  Culture and sort of feel like you had fresh eyes or did feel like just instantly like, you know what I'm home
[01:41.400 --> 01:45.520]  It's a good question because I did think about that the longer sort of I was over there
[01:46.080 --> 01:48.760]  And obviously we were coming back fairly regularly
[01:48.760 --> 01:53.600]  I think I was back at least once a quarter in the in the u.s
[01:53.600 --> 01:55.680]  And mainly in the Bay Area when I came back
[01:55.680 --> 02:01.640]  but still the longer I was over there you do start to get detached from it and I
[02:01.920 --> 02:06.160]  Felt like I was able to look at it from much more of a outsider perspective
[02:06.560 --> 02:08.800]  After having lived in the Bay Area for almost 10 years
[02:09.520 --> 02:11.520]  You know concurrently
[02:11.960 --> 02:13.720]  and
[02:13.720 --> 02:15.560]  It was
[02:15.560 --> 02:17.560]  interesting coming back and
[02:17.560 --> 02:23.080]  And you do feel like you get just like sort of right back into the swing of things almost like you hadn't left
[02:23.080 --> 02:29.280]  but at the same time I had these lingering remembrances of what it was like being over in the UK and sort of
[02:29.600 --> 02:34.960]  Watching remotely both because of what we were talking about with the timezone thing was was one of the more interesting things
[02:35.120 --> 02:37.120]  When I would wake up in the morning
[02:37.320 --> 02:42.800]  It was mostly either people who were up really late or people who were out drinking or something like that were on Twitter
[02:42.800 --> 02:47.560]  And so I would I would have a much much difference
[02:48.440 --> 02:51.600]  Usage of Twitter when I was over there than I do when I'm over here
[02:51.600 --> 02:55.080]  And it's just sort of in the in the thick of it with everyone when I'm over there
[02:55.080 --> 03:00.400]  It's it's almost like you're using it to play catch-up and then talking to a few drunk people
[03:02.520 --> 03:08.800]  So, but anyway, yes, so when I when I came back it did I did get right back into the swing of things
[03:08.800 --> 03:10.800]  But I still have these
[03:10.800 --> 03:13.840]  Hopefully different perspective on
[03:15.320 --> 03:20.320]  You know and how sort of the outside views Silicon Valley versus being in it for a decade
[03:21.720 --> 03:23.720]  And do you think that?
[03:26.480 --> 03:28.480]  Do you think that
[03:28.680 --> 03:30.520]  outside the valley
[03:30.520 --> 03:32.520]  startups are
[03:32.640 --> 03:34.440]  underrepresented by
[03:34.440 --> 03:35.640]  or
[03:35.640 --> 03:37.640]  Over more likely to be overlooked
[03:37.640 --> 03:43.560]  Yeah, like I that's my outsider's perspective. My outsider's perspective. Is that inside the valley?
[03:44.600 --> 03:48.000]  The the focus is so insular because there's so many
[03:48.640 --> 03:53.880]  things going on and so many smart people and so many interesting things that it's it it
[03:54.400 --> 03:57.200]  Cultivates an idea that everything worth looking at is in the valley
[03:57.200 --> 04:02.720]  Yeah, that's a good way to frame because most people, you know talk about well, you're too far in the forest
[04:03.240 --> 04:04.520]  and
[04:04.520 --> 04:09.000]  You know, you guys are just missing sort of what's outside of the valley the reality of the situation
[04:09.000 --> 04:11.360]  At least from my perspective is sort of what you're suggesting
[04:11.400 --> 04:18.360]  Which is that there are so many interesting things going on in Silicon Valley that it's it's honestly just hard as a matter of time
[04:18.800 --> 04:23.560]  To be able to look outside of it unless you happen to be in a locale that's outside of it
[04:23.960 --> 04:28.240]  So most of the people here who are investing here or certain companies here
[04:28.840 --> 04:33.000]  You know are you know very much in the in the thick of it?
[04:33.000 --> 04:35.000]  And so it is it is probably
[04:36.000 --> 04:38.000]  It's definitely fair to say that
[04:38.480 --> 04:41.800]  You know sort of outside of Silicon Valley is under represented
[04:42.800 --> 04:48.160]  underrepresented in the minds of everyone here, but I do think that that's just as much of a function of
[04:48.800 --> 04:52.440]  again, there being so much here to think about and
[04:52.920 --> 04:58.400]  Look at and so it's it's a it's just the proximity and time issue
[04:58.400 --> 05:02.840]  But then when you move to somewhere else like London or any other locale
[05:03.320 --> 05:08.440]  You know then of course, you're you're closer to some of those things and so you start to see outside of that
[05:08.440 --> 05:10.440]  And that's not to say whether or not
[05:10.640 --> 05:14.720]  You know, it's it's a good or bad thing. I think overall everyone would agree
[05:14.720 --> 05:17.360]  it's sort of a bad thing to have blind spots to something if
[05:19.280 --> 05:21.280]  If you're not aware of it, but
[05:21.280 --> 05:28.800]  You know, it's it's an easier thing that's said than done when when the proximity thing is is such a key factor
[05:29.680 --> 05:31.680]  Yeah
[05:33.960 --> 05:35.040]  What
[05:35.040 --> 05:37.480]  I'm trying to think since the last time you've been on this show
[05:37.480 --> 05:43.280]  What are some of the big high-level changes to the type of stuff we talked about? Well Apple's still doomed
[05:45.880 --> 05:50.800]  More doomed than ever that the more the more money they make them, you know, the heart the farther they have to fall
[05:50.800 --> 05:56.840]  So it's gonna be it's a catastrophic fall. That's that's happening. I think they you know only made whatever
[05:58.240 --> 06:02.320]  What did they make 50 50 billion in revenue last quarter something like that? I
[06:05.120 --> 06:09.080]  Yeah, I think so and 10 10 billion in profit, yeah, it's more than you know
[06:09.080 --> 06:15.280]  All all the major other tech companies combined. It's it's way more than any other company, of course including Exxon and all the
[06:15.280 --> 06:21.840]  Maybe oh, but um, you know, what's it Aramco? I guess is about to or not Aramco. It's um
[06:22.400 --> 06:24.400]  What's uh, what's the Saudi one? Oh
[06:25.520 --> 06:29.040]  I forget the name. I know I know what you're talking about, but I forget that
[06:29.040 --> 06:32.160]  It sounds like they're about to go public or spun out partially
[06:32.160 --> 06:36.640]  So we're about to see how much money potentially that they make and it could be something comparable to Apple
[06:36.640 --> 06:40.080]  So it might be the first time we we get something like that
