[00:00.000 --> 00:02.000]  Uh, are you wearing shoes?
[00:02.000 --> 00:04.600]  Uh, yeah, I am. Are we, uh, are we going out?
[00:04.600 --> 00:06.100]  Is this, are we having an outside day?
[00:06.100 --> 00:07.400]  I, I am not wearing shoes.
[00:07.400 --> 00:07.900]  Oh, I see.
[00:07.900 --> 00:09.900]  I've done it with socks on.
[00:09.900 --> 00:12.600]  In the wintertime, I often do it with my slippers.
[00:12.600 --> 00:18.600]  And I, it's so ungodly hot here that I...
[00:18.600 --> 00:23.600]  And we have air conditioning, but it's, it's like the air conditioning is struggling to...
[00:23.600 --> 00:24.100]  Keep up.
[00:24.100 --> 00:26.000]  It's losing the battle.
[00:26.000 --> 00:33.000]  We were down in Florida for some, uh, uh, you know, to see some of the theme parks for Family Vacation.
[00:33.000 --> 00:39.000]  And the weather is, I mean, is of course stifling hot and humid down in Orlando, Florida.
[00:39.000 --> 00:43.000]  And it is exactly the same here in Philadelphia.
[00:43.000 --> 00:48.000]  Well, we always plan our, uh, our trip back east, um, to coincide with the worst possible weather.
[00:48.000 --> 00:48.500]  So, uh...
[00:48.500 --> 00:49.200]  Early August?
[00:49.200 --> 00:51.500]  We'll be, we'll be going to, we'll be going to Baltimore in August.
[00:51.500 --> 00:58.000]  Oh, beautiful! Baltimore is absolutely beautiful in August.
[00:58.000 --> 01:00.000]  At the time, it couldn't be better.
[01:00.000 --> 01:04.000]  It's just like you, to give your sweat glands a good, uh, you know...
[01:04.000 --> 01:06.000]  Yeah, right. It's like, it's a cleanse.
[01:06.000 --> 01:11.500]  You know, it's like, like when they, when they, your car gets serviced, they put it up on the thing where the wheels spin.
[01:11.500 --> 01:15.000]  And then they, you know, put the, you gotta, you gotta put the gas all the way down.
[01:15.000 --> 01:19.500]  That's, that's like, you know, you just gotta, you know, do that with your sweat glands.
[01:19.500 --> 01:21.000]  Yeah. Flush out all the toxins.
[01:21.000 --> 01:22.500]  Barefoot. I'm absolutely barefoot.
[01:22.500 --> 01:25.000]  And I got, and I got a lot of toxins, so...
[01:25.000 --> 01:28.500]  We can roll right into this. One of the things I wanted to talk to you about, I really do,
[01:28.500 --> 01:31.500]  I'd like a little parenting, a little parenting episode here of the talk show.
[01:31.500 --> 01:40.000]  Um, because, uh, I was catching up on, uh, podcasts and the ATP guys were talking about, uh, quote-unquote, screen time.
[01:40.000 --> 01:40.500]  Mm-hmm.
[01:40.500 --> 01:43.000]  And made the, the excellent point.
[01:43.000 --> 01:46.000]  We don't, we don't really talk about screen time here in our family either.
[01:46.000 --> 01:51.000]  That it's, um, uh, Syracuse has had a big, long rant about it.
[01:51.000 --> 01:53.500]  But basically, it's no, it's no fair to just say screen time.
[01:53.500 --> 01:59.500]  Because, you know, if a kid's reading a book on an iPad, why does that count as screen time?
[01:59.500 --> 02:02.000]  I mean, it's like, there's things that you might want to limit.
[02:02.000 --> 02:07.500]  Like watching TV and YouTube and movies and playing video games.
[02:07.500 --> 02:08.500]  Right.
[02:08.500 --> 02:12.500]  I don't, is Hank aware that there are such things as video games?
[02:12.500 --> 02:15.500]  You might have played one, or you might have played one or two.
[02:15.500 --> 02:17.000]  Maybe Jonas has discovered them.
[02:17.000 --> 02:19.500]  He's seen me play them. I know that much.
[02:19.500 --> 02:27.500]  Uh, I don't. It is interesting though. Amy and I, I, uh, you know, we don't really have like a hard and fast rule about it.
[02:27.500 --> 02:32.500]  And I think, if anything, we are probably a little too lax, uh, about it.
[02:32.500 --> 02:35.500]  Yeah, yeah. We're probably, we're probably much the same.
[02:35.500 --> 02:49.500]  Uh, Jonas is of the personality that, you know, he's very sociable. He is. But he would happily spend his entire summer doing nothing but playing video games in our house.
[02:49.500 --> 02:56.500]  Right. Yeah. Yeah. Um, I mean, Hank would do the, you know, would do the same.
[02:56.500 --> 03:02.500]  And usually, I mean, our thing is just not so much screen time as it is, like, non-screen time.
[03:02.500 --> 03:03.500]  And there's a minimum.
[03:03.500 --> 03:07.500]  Right. Like, you've got to figure out something to do that doesn't involve looking at a screen.
[03:07.500 --> 03:13.500]  Right. Right. Um, and so, you know, he does, you know, he plays chess. We play chess with him. He likes to cook.
[03:13.500 --> 03:16.500]  We often have him in the kitchen to, like, make dinner and lunch and stuff like that.
[03:16.500 --> 03:26.500]  And so, we do things like that. Um, but I mean, yeah, but like you said, like, a lot of the stuff that he plays on, on his iPad or his iPhone is, like, he'll play chess.
[03:26.500 --> 03:32.500]  Or he's playing, um, words with friends, with family members. And that stuff doesn't seem bad.
[03:32.500 --> 03:33.500]  Right.
[03:33.500 --> 03:42.500]  I mean, it's certainly no, you know, it's certainly way better than, um, playing, you know, I can't even think of, I mean, he plays, he still likes to play Flappy Bird.
[03:42.500 --> 03:49.500]  And Andy, and, you know, he's much better at it than I am. So, you know, he's developed, he's developed serious Flappy Bird skills.
