[00:00.000 --> 00:03.920]  My favorite story of the last few weeks was from your colleagues at the Wall Street Journal
[00:05.360 --> 00:11.080]  Shalini Ramachandran and I know I think I got it now dice K. Wakabayashi
[00:13.280 --> 00:16.520]  Or did I don't know I don't know how to pronounce I just call him die
[00:20.080 --> 00:26.840]  They had a story that ran yesterday, I'm sure you saw it that apples quote hard charging negotiations with the TV networks
[00:26.840 --> 00:29.600]  Scrambled any sort of
[00:30.520 --> 00:35.160]  Attempt that Apple had to get like what Apple more or less wanted was to charge people 30 bucks a month
[00:35.320 --> 00:39.040]  Like I guess they would just you know, just like to have Apple music that have Apple TV
[00:39.040 --> 00:44.300]  You pay him $30 a month and you get a package of a bunch of channels and you could watch them whenever you want
[00:45.120 --> 00:50.300]  And there's a couple of things in this story that really amused me. I quoted both of them on during fireball
[00:50.300 --> 00:57.360]  But the one was that the Apple wouldn't show the team the CEO of Comcast the user interface and he said
[00:57.360 --> 01:00.040]  how about you just get shit on the back of a napkin and
[01:01.340 --> 01:06.140]  Apple officials replied that the software would be quote better than anything you've ever had
[01:07.800 --> 01:15.320]  Which a wouldn't take much and B sounds a little it worries me. It's a little it's typical Apple, but it sounds like Donald Trump
[01:15.320 --> 01:20.640]  The back of the napkin. No, the it's gonna be it's gonna be better than anything you've ever had
[01:20.920 --> 01:26.240]  Yeah, believe me. It's going to be you have to preface that with believe me believe me
[01:27.040 --> 01:29.400]  And then the other tidbit that was great was that?
[01:30.080 --> 01:36.260]  When he met with mr. Britt the CE the Time Warner CEO or time Warner CEO Jeff
[01:37.040 --> 01:40.400]  Bukes and and some other guy named Britt. I don't know who he is, but
[01:40.400 --> 01:45.640]  a big big meeting with Time Warner Eddie Q shows up quote ten minutes late and
[01:46.640 --> 01:54.320]  Was wearing jeans tennis shoes with no socks and a Hawaiian shirt says a person familiar with the bill with them. Yeah
[01:55.000 --> 02:01.640]  what I love about the stories like this is like obviously there's so much reporting that goes into a piece like this and
[02:02.040 --> 02:05.320]  It has to be you know, everything has to be written straight-faced
[02:05.320 --> 02:09.320]  I mean everything is like every line is combed over in a piece like this
[02:09.320 --> 02:14.040]  But it's like you want to laugh and you can only imagine like what they were left
[02:14.040 --> 02:18.320]  Like what what that like sentiment was when they were writing something something like this
[02:18.320 --> 02:21.680]  But it's like that whole sentence and then somebody familiar with the matter
[02:21.800 --> 02:25.460]  It's just like who was the tips who was the source or the tip on that?
[02:25.460 --> 02:30.960]  You know, and I've always I've long said that ever since I wanted to be a writer
[02:30.960 --> 02:34.780]  I've always wanted to be a columnist. That's well all that I've ever aspired to be
[02:34.780 --> 02:40.840]  I feel like you're probably in the same boat and it's I have I don't want to write straight news like that
[02:40.840 --> 02:45.520]  Never did but I have so much respect for the people who do for exactly what you just said is
[02:46.280 --> 02:51.440]  Right, right. How do you the other the other executives were wearing suits? Yes, period
[02:51.960 --> 02:55.080]  Yes, I forgot to add that which is essential to the story
[02:56.600 --> 03:02.560]  Yeah, no, I mean and it's funny that die is a really funny guy and he's a great reporter but yeah, it's a
[03:02.560 --> 03:07.480]  It's um, we also do these front-page stories called a heads. Yes, and
[03:08.000 --> 03:14.760]  Many of those also like the reporting is just like straight face, but like it's the funniest thing, you know die story
[03:14.760 --> 03:18.540]  He did one on the Apple watch in the nose the the nose interaction
[03:18.760 --> 03:22.940]  Forget what it was the you know that people use their nose to navigate their their Apple watch
[03:23.680 --> 03:28.940]  And the whole story is like not it's it's written in just like a great tone. That's just like
[03:28.940 --> 03:32.260]  What are you know this ridiculous thing that's happening?
[03:33.580 --> 03:36.860]  There is a lot to unpack here though. It's it's like
[03:38.780 --> 03:42.340]  You know like it's sort of like a there's like a nightmare you have where
[03:42.580 --> 03:48.460]  You show up for a thing and you're terribly underdressed or you didn't put pants on, you know, that that's it's a trope
[03:48.460 --> 03:50.940]  You know, everybody has that sort of recurring dream
[03:52.460 --> 03:57.580]  Eddie Q showing up for this meeting with jeans and a wine shirt and tennis shoes with no socks
[03:57.580 --> 04:01.380]  Eddie Q was not embarrassed at all. Right, right. That's the thing
[04:01.380 --> 04:08.100]  I mean many readers probably don't know that you know people Apple followers or people have watched interviews with him or have gotten to
[04:08.100 --> 04:12.600]  Meet with him like both of us, you know, we know that he didn't he really didn't give a shit
[04:12.600 --> 04:14.900]  Like he just got there and he was like, all right
[04:15.740 --> 04:20.460]  And part of it is Apple's own culture part of it is California culture
[04:21.580 --> 04:25.600]  Because I think that when Apple deals outside
[04:25.600 --> 04:31.980]  It's not just the valley but when Apple deals with Hollywood, which is the valley versus Southern, California
[04:32.100 --> 04:37.380]  The you know showing up for a meeting with jeans and sneakers is not a big deal, right?
[04:38.500 --> 04:46.060]  Whereas New York media world is still very, you know, you wear a suit to a meeting with the CEO of Comcast or Time Warner
[04:47.260 --> 04:49.480]  Yeah, I mean not me, right?
[04:49.480 --> 04:57.000]  I wear sandals, but it why ensure it also brings to mind I remember and I must have been like 12 years old
[04:57.000 --> 05:01.320]  I mean, why was he not wearing socks though? That is good. That is a good question like gross
[05:01.320 --> 05:04.880]  You know, I mean like I hate wearing shoes without socks
[05:04.880 --> 05:09.360]  Sometimes I have to do it because I forget my socks someplace and like I have to get my shoes on
[05:09.360 --> 05:13.540]  I don't know really when I have to do it. I just think it's gross. That is my only objection as well
