[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[00:03.000 --> 00:08.000]  There's a different kind of holiday party.
[00:08.000 --> 00:10.000]  Anything interesting happen in the last few weeks?
[00:10.000 --> 00:13.000]  No. It's quiet. Peaceful.
[00:13.000 --> 00:15.000]  I saw a tumbleweed roll by.
[00:15.000 --> 00:17.000]  You know, not much.
[00:17.000 --> 00:21.000]  Apple doesn't really do much in the fall.
[00:21.000 --> 00:24.000]  Ah.
[00:24.000 --> 00:33.000]  You have to laugh a little.
[00:33.000 --> 00:43.000]  I was talking to my wife the other day about, we were on a walk, and I said, you know, I feel like it's been going nonstop for a long time, and then I realized it totally had been going nonstop for a long time.
[00:43.000 --> 00:58.000]  We went to Ireland for Ool, and I realized, like, literally, I went to the Apple event, and the next day I got on a plane and went to this event in Southern California, this festival over the weekend, and then from there I went basically straight to Ool.
[00:58.000 --> 01:11.000]  And in the middle there, like, I got the one review unit of the MacBook Pro, and then, like, the day after I came back from Ireland, I got the Touch Bar review unit of the MacBook Pro, and it is nonstop.
[01:11.000 --> 01:14.000]  It's just like one thing after another all fall.
[01:14.000 --> 01:30.000]  You know what I mean, and it's, you know, tough life for us, you know what I mean, reviewing amazing new computers before anybody gets them while jetting around the globe to meet interesting people, but it has been hectic.
[01:30.000 --> 01:32.000]  Yeah, I mean, I'm not complaining.
[01:32.000 --> 01:35.000]  It is a privilege to do this, but this is the high season.
[01:35.000 --> 01:38.000]  I mean, that's the way I keep telling people it's high season.
[01:38.000 --> 01:41.000]  This is when everything is happening for Apple.
[01:41.000 --> 01:45.000]  It's like this time period and, like, WWDC are the two craziest times of the year.
[01:45.000 --> 02:04.000]  I think this is crazier, honestly, for us, because just, I don't know, somehow, to me, even that several weeks-long period between the iPhone 7 coming out and the MacBook event, I don't know, that somehow seemed jam-packed with stuff too.
[02:04.000 --> 02:13.000]  You know, rules in Apple Watch, you know, two rules in there, and, yeah, I mean, there's a lot going on, a lot of stuff going on.
[02:13.000 --> 02:24.000]  Anyway, long story short, it just wasn't a good time for an election that I had a, like, 110% obsessive interest in to roll through.
[02:24.000 --> 02:26.000]  So, yeah, there's stuff, lots of stuff going on.
[02:26.000 --> 02:27.000]  It was a busy fall.
[02:27.000 --> 02:34.000]  I do feel like we've reached, you know, it's all subsiding a little bit now, and I feel like mentally I'm starting to shift gears.
[02:34.000 --> 02:49.000]  I've still got some stuff that I put off that I need to pick back up again, but it's like mentally shifting gears into, you know, holidays, end of year, people, you know, if you want to make holiday stories and gift guides and best of the year lists and stuff like that.
[02:49.000 --> 02:56.000]  It's starting to feel more like that at last, which is good because, like, Thanksgiving's next week, so, I mean, here it is.
[02:56.000 --> 03:02.000]  I thought it was a little, the MacBook Pro review, I got all, I got three of them.
[03:02.000 --> 03:05.000]  I got the button one, what are they called?
[03:05.000 --> 03:07.000]  We're calling it the MacBook Escape.
[03:07.000 --> 03:08.000]  I guess we are.
[03:08.000 --> 03:11.000]  Makes me think of the Journey album, but, you know, whatever.
[03:11.000 --> 03:12.000]  I know I got that the same time you did.
[03:12.000 --> 03:14.000]  We got that the day of the event.
[03:14.000 --> 03:16.000]  Yeah, they had those.
[03:16.000 --> 03:22.000]  I got the 13-inch with the touch bar, I don't know, a week later, about at least a week later.
[03:22.000 --> 03:24.000]  I don't know if it was six days or eight days.
[03:24.000 --> 03:30.000]  It was the week I was in Ireland, which was the week after the event, because I got an email from Apple on, like, a Wednesday in Ireland saying,
[03:30.000 --> 03:34.000]  can you come buy Cupertino on Thursday to pick up your 13-inch MacBook with touch bar?
[03:34.000 --> 03:37.000]  And I was like, uh, no.
[03:37.000 --> 03:39.000]  And so I didn't get that one.
[03:39.000 --> 03:43.000]  And then I got the 15-inch, I don't know, but that was late.
[03:43.000 --> 03:48.000]  The 15-inch was really only just a few days before the embargo deadline.
[03:48.000 --> 03:53.000]  So I opened it and I turned it on and looked at it, but I spent much less time with the 15-inch,
[03:53.000 --> 03:58.000]  simply because I already had the 13-inch with the touch bar set up with my stuff.
[03:58.000 --> 04:04.000]  You know, it's like, I've got BB Edit on it and, you know, it's just there.
[04:04.000 --> 04:10.000]  And the little, you know, the thing I do to wrap block quotes so they all look like nice markdown block quotes that's already there.
[04:10.000 --> 04:16.000]  And again, not that we're complaining about getting review units, but, you know, onboarding to a new Mac is a lot of work.
[04:16.000 --> 04:21.000]  And when you have to do it three times in three weeks, it's like, oh, here we go again.
[04:21.000 --> 04:27.000]  Like, what files? What do I install? Can I migrate? No, I don't really want to migrate, but then I have to install everything.
[04:27.000 --> 04:30.000]  I have to, you know, hook it up with Dropbox.
[04:30.000 --> 04:41.000]  And I don't know about you, I also have to juggle, like, there are these hard breaks of, like, five authorized iTunes computers and, like, ten authorized Apple Music devices.
[04:41.000 --> 04:49.000]  And so I'm always juggling, like, logging out of different iPads and phones and stuff in order to get slots back to put other computers in there.
[04:49.000 --> 04:53.000]  And it's, yeah, so it's, again, not complaining. It's great that we get to do this for our job.
[04:53.000 --> 04:58.000]  But, you know, like, all of this stuff is not meant to be done as frequently as we do them.
[04:58.000 --> 05:00.000]  So, yeah.
[05:00.000 --> 05:10.000]  I mean, even little things. I've run into a little thing where my Amex card has a maximum limit on how many Apple Pay devices it can be hooked up to.
[05:10.000 --> 05:13.000]  Oh, yeah.
[05:13.000 --> 05:25.000]  And, you know, it's magnified because it's, like, now you get two phones, when they give you review phones, they give you one of each size, and it's, like, I got iPads and stuff, and it's, like, I don't even know, you know.
[05:25.000 --> 05:30.000]  And some of them I've foolishly left named John's iPad.
[05:30.000 --> 05:37.000]  So it's, like, right? It's, like, what? Which one is it? I don't know.
[05:37.000 --> 05:44.000]  And occasionally there are, like, updates that reset the name. So I realized the other day that my iPad is called iPad again, and it's, like, well, I don't know when that happened.
[05:44.000 --> 05:51.000]  But it's, like, no wonder I went on my device list and I saw three things named iPad and had no idea which was which.
[05:51.000 --> 05:58.000]  It's, yeah, it's, I haven't been able to do Apple Pay. I've been testing the Apple Watch, too, and I actually haven't written about that yet.
[05:58.000 --> 06:06.000]  But it can't do Apple Pay because it's just, I think my financial institutions have given up on me, and they're, like, no, no more devices for you.
[06:06.000 --> 06:10.000]  Every time I try to pair it, it's just, like, I can't even forget it, you know.
[06:10.000 --> 06:19.000]  Oh, and my bank, sometimes what I've done is I generally, if I use a charge card, I use my Amex, I just use it everywhere.
[06:19.000 --> 06:25.000]  And the only times I ever don't use it is if I'm in a place that doesn't take Amex.
[06:25.000 --> 06:34.000]  But to get around this Amex limit, if I have a device that I'm testing from Apple that I don't really want to spend, I know I'm not going to spend a ton of time on.
[06:34.000 --> 06:47.000]  You know, like, for example, at WWDC, they gave me an Apple Watch with the beta of watchOS 3, which, like, I think that's when they gave it to me.
[06:47.000 --> 06:53.000]  I don't know, but at some point they gave it to me. It wasn't new hardware. It was just, you know, here, you could try this thing out with the watchOS 3.
[06:53.000 --> 06:58.000]  And I thought, well, that's interesting, but it's like, I'll just put the watchOS 3 beta on my own Apple Watch, you know what I mean?
[06:58.000 --> 07:03.000]  And so I didn't, you know, I didn't want to put this Amex limit on it, so I used my other card.
[07:03.000 --> 07:09.000]  My bank sends me a letter in the mail every time I set up Apple Pay that it's like, congratulations.
[07:09.000 --> 07:17.000]  It's so totally written from the perspective of, like, you're going to have one device, you know, that you do this with, and we'll tell you everything, how it works, and, you know.
[07:17.000 --> 07:23.000]  And I just keep, it's like, I should have kept all the letters, because I'll bet I've got 15 of them by now.
[07:23.000 --> 07:32.000]  Well, I think the advantage of this is it's so easy in so many different ways that you do, you review tech products, to lose perspective if you're not careful.
[07:32.000 --> 07:48.000]  And this is like the reverse of that, which is there's nobody, I think, more aware of the pain of basically upgrading to a new device than reviewers, because we have to do it, like, with every device.
[07:48.000 --> 08:00.000]  Like, for a while there, I could tell you everything you need to do to migrate from a MacBook to another MacBook, or from a PowerBook to another PowerBook, because I was reviewing all the laptops at Macworld.
[08:00.000 --> 08:06.000]  And so, like, I would go through, I would migrate everything a couple times a year.
[08:06.000 --> 08:14.000]  And so, I mean, that's good, because we get to experience that, and I think Apple's got some issues with the migration assistant on the Mac, and with some of the stuff, they're getting better.
[08:14.000 --> 08:20.000]  But, like, you know, they've got some issues there, and those really come out when you're migrating multiple times a year.
[08:20.000 --> 08:26.000]  Because regular people only might do it once a year for a phone, and once every several years for an iPad or a Mac.
[08:26.000 --> 08:38.000]  I have spoken, I still think it's too hard on a Mac. And I think part of it is because I don't, I think part of it really is a technical challenge, and not just a disinterest.
[08:38.000 --> 08:46.000]  I think because you can, you still have so much freedom of what to put where in a file system on a Mac.
[08:46.000 --> 08:57.000]  And it's, you know, really, it's just technically not, it's not, you can't just say clone the disk and open it, you know, it's because there's all sorts of stuff that's different because it's different hardware.
[08:57.000 --> 09:10.000]  You know, I think it's the number one motivator why they do, why they did desktop and documents syncing the way they did it, was that that was sort of like their, if you keep everything, if you buy everything through the App Store, which, you know, some people do,
[09:10.000 --> 09:21.000]  and you're not a superpower user, but you keep everything in documents and on the desktop, and then you log into a new Mac, like it'll just sync your stuff and you're ready to go.
[09:21.000 --> 09:28.000]  It's for the rest of us who've got, you know, legacy apps, non-Mac App Store apps, all sorts of stuff like that.
[09:28.000 --> 09:39.000]  And then you turn to Migration Assistant, and I'm not convinced Migration Assistant is doing so hot. I've tried it twice with these two MacBook Pros that I've got, and it failed both times.
[09:39.000 --> 09:48.000]  Well, it's interesting. I've given up on Migration Assistant, to be honest. I haven't used it in a few years. I mean, and maybe I should, you know, give it another shot, one of these, although what you just said.
[09:48.000 --> 09:52.000]  I don't think you should. I don't recommend it.
[09:52.000 --> 10:07.000]  What I have is an Apple Notes document. I started this two or three years ago, setting up a new Mac. And so it's, the first thing I do is I, you know, go through the first run, I put my iCloud, you know, go through and put my iCloud credentials in.
[10:07.000 --> 10:16.000]  So because I put my iCloud credentials in, my note syncs. And then the note has a checklist of, you know, do this, do this, do this.
[10:16.000 --> 10:21.000]  It's, you know, and that's like an onboarding script for yourself.
[10:21.000 --> 10:23.000]  Yeah, more or less. And then some of the stuff I'll just skip.
[10:23.000 --> 10:27.000]  Like a pre-flight checklist, right? Like do this, then do this, then do this. All right, got it. So you don't miss a step.
[10:27.000 --> 10:41.000]  You know, it kills me. BBEdit will sync all of its, let's nerd out for you. It's you and me. We talked about baseball, we'll talk about BBEdit. BBEdit will let you put like all of its support stuff in Dropbox, which is great.
[10:41.000 --> 10:46.000]  And I use that, but it's preferences file does not go in Dropbox.
[10:46.000 --> 11:05.000]  And so every time I move to a new Mac, I either have to manually reset all of the preferences or I have to go to, you know, a home folder, library application support, no library preferences, com.barebones, you know, BBEdit preferences and copy that file over so that my editor is the way I like it.
[11:05.000 --> 11:15.000]  And I do that every single time I move Macs. That's like one of those things on the checklist is I got to move my BBEdit preferences because they don't cloud sync. I can't fish them out of Dropbox.
[11:15.000 --> 11:21.000]  Yeah, I've been meaning for I've used that ever since BBEdit added that feature. I mean, it's a couple years ago, at least.
[11:21.000 --> 11:36.000]  And at first I really liked it, but it's grown to annoy me because I end up with like the same documents open because I also have the preference set to restore open documents and they're all almost all almost everything I write in BBEdit is stored in Dropbox.
[11:36.000 --> 11:50.000]  So when I go to a different machine and use BBEdit there, Dropbox has the same document. And so it's open to and I don't I have found that I don't want that because I found that too.
[11:50.000 --> 11:52.000]  I leave too many documents open.
[11:52.000 --> 11:58.000]  Yeah. And and oftentimes I, you know, I'll leave one place and finish in the other. And then I go back and it's like, oh, I don't want that.
[11:58.000 --> 12:06.000]  You know, it's opening documents that I'm done with because it lost state because I'm not, you know, keeping them open and in sync myself. And and that day, I agree.
[12:06.000 --> 12:12.000]  I've noticed that. But I like the fact that like all my scripts and clippings and things like that are just sort of there everywhere.
[12:12.000 --> 12:25.000]  That's nice. I do, too. But I and I know it's going to annoy me to go back to the old way where if I write a new script or just one of my scripts, just tweak one of my scripts that to get that that script to percolate everywhere.
[12:25.000 --> 12:37.000]  I'd have to do it manually, you know, zip up the I don't know. Maybe what I should do is just turn off the preference to reopen documents and see. I don't know.
[12:37.000 --> 12:45.000]  But it's a mild annoyance that I've had. I've been thinking for like a year. I should like dig into this and redo it. But I don't.
[12:45.000 --> 12:55.000]  I know there's so many things that we do with our computers that are like it's annoying, but it doesn't. You've got to you got to clear the bar of I'm going to sit down for an hour and figure out what the hell is going on.
[12:55.000 --> 13:03.000]  And so you're just like, man, I'm not going to leave it. And probably do we do you have more than an hour of misery? Maybe, maybe not. But it's just enough.
[13:03.000 --> 13:10.000]  I do that all the time with like automation stuff where automation is great, but it's got to you got to clear the time to like do it.
