[00:00.000 --> 00:06.720]  Ah Craig's good to hear your voice. Yeah. Likewise. It's been a while since we talked. Yeah
[00:10.800 --> 00:16.600]  You want to this this let's let's just get it out of the way we got to talk about this Trump tech tech summit
[00:17.320 --> 00:19.320]  Because here's the thing. Oh, man
[00:20.960 --> 00:25.280]  You're gonna lead off with this I would have you know started my heart holiday party
[00:25.280 --> 00:34.360]  Here's the thing even as I'm not really shying away from writing about politics on daring fireball
[00:34.360 --> 00:39.640]  Even if I decided that if I had chosen differently and said, you know what? I'm not you know, whatever my feelings are
[00:39.640 --> 00:41.600]  I'm gonna make this a
[00:41.600 --> 00:48.180]  Politics free site even even in this there's that here's an intersection of of the Trump administration
[00:48.180 --> 00:54.540]  Administration incoming Trump administration and the stuff that I do write about that, you know, it would be criminal not to mention it
[00:54.960 --> 01:00.620]  So what happened? I don't know and for anybody had their head in the sand Trump and his buddy Peter Thiel
[01:01.100 --> 01:02.780]  put together a
[01:02.780 --> 01:04.780]  summit of
[01:04.860 --> 01:13.340]  They invited I only invited 10 people. I think there were like 14 people from Trump's immediate family and his
[01:13.340 --> 01:19.820]  All right a transition team in attendance and 10 leaders of of the US tech industry
[01:20.660 --> 01:26.020]  Who were in attendance? I think it was Tim Cook from Apple. What a primo seat
[01:26.780 --> 01:31.540]  To away from Trump, you know the seating, you know, if you'd looked at the seating chart, it was clearly very very
[01:33.020 --> 01:35.800]  Play was thought out. Yeah, I just thought out definitely
[01:35.800 --> 01:43.000]  Yeah, I mean, you don't you don't just say oh, hey, why don't you three kids sit over here, right? It's like it that it that
[01:43.000 --> 01:46.600]  Into the table was like, you know, but the kids table that you know Thanksgiving, right?
[01:50.240 --> 01:54.840]  But yeah, I mean that the thing that got me was that that picture of
[01:56.080 --> 02:02.640]  Tim Cook, right? This is just the look on his face. I mean, I I try not to read into pictures too much
[02:02.640 --> 02:05.320]  I mean you we've all done, you know, you know, you're watching a video or whatever
[02:05.320 --> 02:10.780]  And you know you paused and it's like the person's making that face which is like what the heck, you know
[02:10.800 --> 02:15.860]  Because it you know, it doesn't fit into the the story that's going on with it. Just making some funny face, right?
[02:16.280 --> 02:18.960]  but I look at that picture of Tim Cook and
[02:19.680 --> 02:24.320]  That is the expression. I think I would have if I was at that meeting
[02:24.320 --> 02:38.360]  Right, just like ashen kind of what the hell is going on here
[02:38.360 --> 02:42.240]  Somebody do you ever do watch the HBO show the Larry David show curb your enthusiasm
[02:43.880 --> 02:49.840]  Because they the show for anybody doesn't watch the show usually ends it's a very it the show is incredibly awkward
[02:49.840 --> 02:57.160]  It's about it's nothing about other than about creating awkward situations and then a typical episode ends in a horribly awkward
[02:57.520 --> 03:04.580]  Situation with a freeze-frame and then this funny music comes up. Yeah, that's all that was missing. Is that funny music?
[03:07.240 --> 03:10.200]  There's another thing too where I'm always hesitant to
[03:11.400 --> 03:13.800]  especially coming out of a political
[03:13.800 --> 03:21.960]  Election whether it's national or local there's obviously there's it it's and it's only gotten worse because I think I think because
[03:22.440 --> 03:29.200]  Our politics have gotten so much more partisan and the fact that there are so many more photographs taken because digital
[03:29.640 --> 03:34.640]  cameras if you ever watch at these press conferences that it it really almost sounds like
[03:36.200 --> 03:39.800]  Not a war zone, but it almost where where the the
[03:39.800 --> 03:43.400]  Pro photographers and the journalists have these SLRs
[03:43.920 --> 03:49.640]  Digital SLRs and they just they just hold the the shutter down and they just keep right they just keep shooting
[03:49.640 --> 03:54.380]  you know six to eight frames per second every second non-stop because the
[03:55.040 --> 04:00.620]  Cards, you know, but yeah, that's what I'm saying about, you know, it's really easy these days to cherry-pick an image
[04:00.620 --> 04:05.880]  Right to define the one where Tim Cook is making that face because you know, you've shot
[04:05.880 --> 04:09.360]  Right frames, you know, and I don't think that's the case though, right?
[04:09.360 --> 04:14.480]  And so in election ads in election ads you are both sides do it
[04:14.480 --> 04:17.000]  It's this is here's one where it's not really a partisan thing
[04:17.000 --> 04:22.920]  But they tend to find an unflattering photo of the opponent to put in the ad if it's an attack ad and a lot of times
[04:22.920 --> 04:26.680]  I think it's very obvious that you can tell that it's just one of those like
[04:27.840 --> 04:31.680]  Everybody knows it like when you're going through your family photos and you say like, you know
[04:31.680 --> 04:34.160]  Oh, you know, look at that sunset hair you guys stand right there
[04:34.160 --> 04:37.600]  I'll take a couple photos and like the middle one, you know, somebody, you know
[04:37.600 --> 04:44.160]  One of the subjects in your family just looks horrible. Just absolutely like the classic mid blink, right?
