[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[00:04.000 --> 00:05.000]  It's a pleasure to be back.
[00:05.000 --> 00:07.000]  There is so much going on.
[00:07.000 --> 00:09.000]  There's a lot going on.
[00:09.000 --> 00:10.000]  A lot going on this week.
[00:10.000 --> 00:15.000]  Which is good news, I guess, if you're in the business of talking about stuff that's going on.
[00:15.000 --> 00:21.000]  It's bad news if you're like me and at a couple of weeks here where it's just been really hard to make time to record a podcast.
[00:21.000 --> 00:27.000]  I feel like I'm looking at the show notes I made and I'm like, oh my God, this is like a month's worth of shows.
[00:27.000 --> 00:31.000]  It's July. Well, it's August now. There's not supposed to be any news.
[00:31.000 --> 00:37.000]  It hasn't been like that all this summer. It's great, though, really. It really is.
[00:37.000 --> 00:41.000]  I remember when it used to be when there was nothing going on in August.
[00:41.000 --> 00:45.000]  Yeah, WWDC would happen and then it would just sort of peter out and there would be no news.
[00:45.000 --> 00:52.000]  But now we have lawsuits, we have Chinese intervention, we have hackers being arrested on their way out of DEFCON.
[00:52.000 --> 00:56.000]  We've got Black Hat or other kinds of stuff happening.
[00:56.000 --> 01:03.000]  I forget, but they used to be there. Apple used to have little quiet Mac events in August. Remember those?
[01:03.000 --> 01:08.000]  Were they introducing new Mac models?
[01:08.000 --> 01:14.000]  Yeah, or maybe when they first came out with the iWork suite, they did it in August.
[01:14.000 --> 01:20.000]  I never went down for those. I would go down for hardware, but not software in the olden days.
[01:20.000 --> 01:24.000]  But I remember going down to Aprils and Septembers, typically.
[01:24.000 --> 01:30.000]  Those events, that was before my time of attending events. That was when I did everything remotely in Philadelphia.
[01:30.000 --> 01:36.000]  But I don't even know if I would go out. I guess I would go out for it, but they don't really do small events anymore.
[01:36.000 --> 01:37.000]  Not like that.
[01:37.000 --> 01:44.000]  Yeah, there's nothing small because everything they do is a $10 billion or more line of business or starts at that and then goes up.
[01:44.000 --> 01:49.000]  Right. So where do you want to start? What do you think is the one thing?
[01:49.000 --> 01:55.000]  Well, I'm interested, the Chinese market is interesting to me. Should we start with the VPN?
[01:55.000 --> 02:00.000]  We have things to say about that, although it's also a little more, it's a funny situation.
[02:00.000 --> 02:09.000]  So Apple removed some. I thought there was this, neutrally it sounded like, you can't really check the Chinese app store from another country very easily.
[02:09.000 --> 02:15.000]  It sounded like a lot of VPN apps, virtual private network apps that were being removed.
[02:15.000 --> 02:31.000]  And so there's this thing that the background is to that. So China has various kinds of interception and blocking tools to keep people who are either residents or citizens of their country from reaching outside the country for data.
[02:31.000 --> 02:42.000]  And so some things are approved and some are not, but they've really been cracking down on a lot of ability to get outside of China or get out at least at some kind of speed that makes it functional to do things.
[02:42.000 --> 02:51.000]  And Google famously left China in 2010 and set up shop in Hong Kong, even though that's part of China, but it's very confusing little relationship how that works.
[02:51.000 --> 02:57.000]  That's an ongoing change. And Apple stayed in, it's gotten bigger and bigger.
[02:57.000 --> 03:03.000]  But so the great firewall of China is an effort by the Chinese government to like standard VPNs.
[03:03.000 --> 03:11.000]  My understanding is you can't just use, you can't just sign up for like a regular VPN service, forget the app part and just use it inside China.
[03:11.000 --> 03:14.000]  So the standard protocols are now being broadly blocked.
[03:14.000 --> 03:26.000]  So you have to use a service that does some other kind of tunneling or uses SSL based or some other system that's not just using the old fashioned stuff like IPSec and over L2TP and all that.
[03:26.000 --> 03:32.000]  So that's my understanding. So all these services have thrived because they use different ways and a lot of them are sold worldwide.
[03:32.000 --> 03:36.000]  So it's not just they're being sold China, some are China specific and some are worldwide.
[03:36.000 --> 03:48.000]  And so three of them at least have been removed from the app store by Apple because the Chinese government says they lack the appropriate license that allows them to operate in China.
[03:48.000 --> 03:56.000]  And Apple said hundreds of other VPN apps remain available, including those by companies that are outside China.
[03:56.000 --> 04:08.000]  So the VPN companies themselves are kind of, you know, peeved, they made a lot of noise about it, but it's a whole question of like what is compliance to local law?
[04:08.000 --> 04:18.000]  So we don't think that this law require registration of services and compliance with whatever rules China has that might allow blocking and sniffing and other things.
[04:18.000 --> 04:29.000]  This doesn't comport with our feelings and it might, you know, not, I'd argue it's probably in violation of the universal declaration of human rights in terms of freedom of expression and freedom from
[04:29.000 --> 04:45.000]  Well, and let's just stop it right there and admit that whether this particular move is in violation of the declaration of human rights, the People's Republic of China has an awful lot, as official policy, has a lot of policies that are violations of human rights.
[04:45.000 --> 04:57.000]  So fundamentally, this is the thing that frustrates me about that. It is an interesting story. It is absolutely worth noting. It is worth making a stink about.
[04:57.000 --> 05:09.000]  But the knee jerk reaction from a ton of people, even after I tried to painstakingly, and this is just feedback from people who read my site, but painstakingly tried to say, hey, you could be upset about this.
[05:09.000 --> 05:21.000]  You can even object to what Apple's done, but you can't just say Apple should have said no and kept the apps in the App Store because it's like I sort of didn't really use the analogy that great.
[05:21.000 --> 05:30.000]  But I said, you pull that thread like, OK, it's just a little thread which is saying, no, we're not removing any of these apps from the App Store.
[05:30.000 --> 05:36.000]  You can't say Apple should pull that thread without acknowledging that an awful lot of stuff is going to happen after they pull that thread.
[05:36.000 --> 05:50.000]  It isn't something that they can do in isolation and not expect retribution. I mean, my guess is if Apple just said, no, we're keeping these available in the App Store, that the great firewall would start blocking the App Store like entirely.
[05:50.000 --> 05:59.000]  Apple would very likely have to exit the market. I mean, Apple, you know, so there's things in China that are official policy that are promulgated as laws and regulations.
[05:59.000 --> 06:05.000]  So there's things that are informal and the government demand stuff happens behind the scenes that it doesn't conform to any process.
[06:05.000 --> 06:11.000]  So this, to some extent, you could say is like a promulgated law, like there's a regulation, you can look it up.
[06:11.000 --> 06:15.000]  They announced they're going to be doing this big enforcement action.
[06:15.000 --> 06:26.000]  So you have to say, then Apple is saying, we are in opposition to a law regulation in a country in which we're doing business and we are resisting it without using the channels available to us.
[06:26.000 --> 06:29.000]  Because we don't know, the Chinese, you know, legal system is very opaque.
[06:29.000 --> 06:33.000]  We don't know if they've gone through judicial processes, if they've been working through government agencies.
[06:33.000 --> 06:39.000]  I assume they have. I mean, there's no reason for Apple to go like, yeah, yeah, we'll just remove whatever they say.
