[00:00.000 --> 00:02.000]  How are you?
[00:02.520 --> 00:09.840]  Pretty good. I'm just failing to fight the temptation to ask you a follow-up question about mechanical keyboards right now
[00:10.640 --> 00:13.160]  Do it. We'll lose the whole show. Did you?
[00:14.480 --> 00:22.160]  Did you try a keyboard that like some modern mechanical keyboard as a potential replacement for your Apple extended? No, not yet
[00:23.120 --> 00:27.040]  I'll sort of I should take that back. I got
[00:27.040 --> 00:32.440]  I am nowhere near as in deep with you. Actually. I should take this all back. I have to I have tried several
[00:32.440 --> 00:34.200]  I shouldn't say
[00:34.200 --> 00:37.960]  This is we're seriously gonna lose the whole show here. Yeah, I have a DOS keyboard
[00:38.840 --> 00:41.240]  That that's spelled das like yeah
[00:42.440 --> 00:46.380]  3.3 keyboard that would be something else das is in like das boot the
[00:47.280 --> 00:49.280]  fantastic submarine movie
[00:49.280 --> 00:50.760]  I
[00:50.760 --> 00:57.480]  Bought several years ago and I forget what kind of switches that one has but
[00:57.960 --> 01:05.060]  I have since given that one to my son Jonas and he loves it and it is apparently a pretty decent gaming keyboard. I
[01:06.120 --> 01:08.120]  Never really liked it. It was too clicky
[01:08.400 --> 01:13.080]  Yeah, and then based on some recent back and forth with you
[01:13.680 --> 01:16.000]  based on your I
[01:16.000 --> 01:23.560]  Don't know if you consider it portable you can say but it's your iPad as a writing setup. You have right sure the Matthias
[01:24.760 --> 01:25.800]  portable
[01:25.800 --> 01:29.000]  Something something. Yeah, it's like a Bluetooth. They have a Bluetooth
[01:29.800 --> 01:32.040]  keyboard that's got their key switches
[01:32.040 --> 01:37.880]  Which are not the same and and people give me such grief for it because it does feel very old Apple design school
[01:37.880 --> 01:43.780]  It's a big kind of puffy silver plastic keyboard, but it's very hard to find a good
[01:43.780 --> 01:45.780]  Bluetooth
[01:45.940 --> 01:52.200]  Mechanical keyboard. They're just USB. It is puffy puffy is a good way to describe it. All right, I'm gonna put this in the
[01:55.180 --> 02:00.300]  It's just a big thing of plastic like right now now it would be kind of a metal kind of fringed thing
[02:00.300 --> 02:03.380]  But instead it's just like a big piece of plastic
