[00:00.000 --> 00:04.440]  It's been too long since you've been on the show Joanna. It really has been way too long
[00:04.440 --> 00:09.980]  I've even heard your voice and not on the show. Yeah, what about this show? Oh, that's the nice of you to say
[00:10.000 --> 00:16.400]  Yeah, I don't think we've bumped into each other the last few Apple shindigs or if we have bumped into each other at
[00:17.640 --> 00:20.980]  The one in Brooklyn. Yeah, it was too cold, right?
[00:21.160 --> 00:25.120]  It was are you waiting in line to go look at the MacBook Air and I was like
[00:25.120 --> 00:30.840]  I don't care enough to wait in this line, right? You and David Pierce were like, we're out of here. Yeah
[00:31.200 --> 00:34.680]  we'll see this thing tomorrow when we get a review unit and then
[00:35.360 --> 00:38.640]  We did have a great conversation which has like I still have this on my list
[00:38.640 --> 00:44.740]  But it sparked a great thought for me to do. I want to do an investigative piece on Apple watch bands
[00:45.120 --> 00:51.160]  Hmm to real investigative piece because remember we were you were standing with panzerino and we were taught I was like
[00:51.160 --> 00:55.040]  I got this watch band. It's the the Milanese watch band, right?
[00:55.280 --> 00:56.280]  Because what have you said?
[00:56.280 --> 01:00.680]  Oh, I like that watch band the I like that you have the Milanese watch band or whatever and I was like
[01:00.680 --> 01:07.600]  It's it's I don't want to tell anyone here, but it's a $10 version on from Amazon and me and panzerino
[01:07.600 --> 01:13.760]  We're standing there doing comparison between the legit Milanese band and mine to see if it had the little finger
[01:14.320 --> 01:17.800]  The little you know indent if it has the little finger
[01:17.800 --> 01:23.360]  The fingernail to get them to get the magnetic clasp off. Yeah. Yeah. Yeah
[01:23.960 --> 01:25.600]  You don't remember this. Yes, I do
[01:25.600 --> 01:30.400]  No, I do remember because I remember that it left a lasting impact on me clearly not as much on you
[01:30.400 --> 01:31.040]  But no, no
[01:31.040 --> 01:37.400]  I remember vividly because it looked it we really had to look very hard to find differences like it is it
[01:37.680 --> 01:42.680]  It wasn't you know, the fact that it was only ten dollars is rather remarkable because it really did look
[01:42.680 --> 01:47.360]  The same I mean, yeah, it's so right here. I love this thing and and
[01:47.880 --> 01:54.840]  The the biggest problem I have with it now and I I need to get the other Milanese band to see the comparisons
[01:54.840 --> 01:59.400]  This is my investigative piece. Is that the magnet really sticks to the MacBook Air?
[01:59.720 --> 02:04.360]  hmm, and so when I'm typing the I have to take off the watch because my
[02:04.880 --> 02:08.600]  Wrist is like stuck to my MacBook. Oh, that's not weird
[02:08.600 --> 02:14.960]  Oh, it's probably because there's magnets in I was like, why would it stick to aluminum?
[02:14.960 --> 02:17.800]  Aluminum isn't magnetic but it's because there's magnets in the MacBook Air
[02:19.000 --> 02:25.000]  Yeah, there's got to be a magnet in like the some sort of magnet in the track, you know in the the palm rest, you know
[02:26.360 --> 02:29.040]  Yeah, they like latch the screen. Yeah
[02:30.160 --> 02:32.160]  basically the $10
[02:32.480 --> 02:34.480]  Amazon band is just as good as the
[02:34.480 --> 02:38.440]  150 dollar one. Yeah, I noticed I noticed a week or two at
[02:39.720 --> 02:45.520]  Target they have they just call them target. They don't give them a new name, but there's these mini targets here in Philadelphia
[02:45.520 --> 02:50.160]  there's a couple of them here in Center City Philadelphia right in the middle of the city and they're nowhere near as big as like a
[02:50.760 --> 02:54.000]  suburban target, but they're really nice to have in the city because they're
[02:55.960 --> 03:01.000]  You know pretty big for a store right here in the Center City and I noticed up in the electronics section
[03:01.000 --> 03:02.560]  that
[03:02.560 --> 03:08.600]  I get a total end cap was devoted to I'm guessing its targets in-house brand
[03:08.600 --> 03:09.440]  I forget what it's called
[03:09.440 --> 03:16.760]  But like in that they're in-house brand of Apple watch bands and it was I there might have been something for like a Fitbit or something
[03:16.760 --> 03:19.960]  You know, I don't know there might have been almost all Apple watch. Yeah
[03:20.840 --> 03:24.080]  And some of them look pretty cool. I mean, yeah, that's it
[03:25.040 --> 03:27.040]  It's a big thing these third-party
[03:27.040 --> 03:33.720]  watch bands that are considered considerably less expensive than the ones you can get from Adable and work just as well and something like
[03:33.720 --> 03:36.240]  Some of them like the styles are they're clearly different, right?
[03:36.240 --> 03:39.320]  Like they're trying to go after like you can't get this at Apple so you can get this
[03:39.840 --> 03:44.080]  What I like, yeah, I consider pretty ugly chain or something. Yeah
[03:44.080 --> 03:48.520]  Yeah, I see a lot of women with like the pink chain one and you know, that's look
[03:48.520 --> 03:51.520]  I'm not gonna judge everyone else's style, but where I am and it's bad
[03:51.520 --> 03:56.720]  Yeah, yeah the ones that was the one thing I found interesting about the target ones, too
[03:56.720 --> 04:03.640]  Is that none of the ones that our target was selling were knockoffs of Apple's own bands?
[04:03.640 --> 04:09.560]  They were all very different in very different ways, you know, like like one of them was, you know
[04:09.560 --> 04:11.560]  clearly like a masculine one like a
[04:13.800 --> 04:20.080]  Like no like a chunky link bracelet, you know, like yeah sells that one that they call the link bracelet
[04:20.080 --> 04:22.720]  but it's sort of sleek and this was more of like a
[04:23.960 --> 04:29.740]  Fossil watch. Yeah, you know like like a traditional chunky sport watch, you know stainless steel
[04:30.740 --> 04:34.080]  Thing, you know, but very different than anything Apple sells and they had
[04:35.280 --> 04:38.680]  the other ones they had were ones with like patterns, you know, like like
[04:39.360 --> 04:44.800]  Yeah, I don't know. I think it's pretty interesting and I think it's just a sign of how many gazillion people have Apple watches now
[04:44.800 --> 04:50.200]  Agreed. Yeah, I see him. I mean, I am always looking out to see the bands that people have
[04:51.480 --> 04:57.560]  But yeah, and I also do like the sly look to see if they have the cellular version. I'm always keeping an eye on that
[05:00.680 --> 05:02.740]  That's an interesting question, you know, it's funny we
[05:03.380 --> 05:07.920]  So Amy and I both have third generation Apple watches, so I didn't get a new one this year
[05:08.800 --> 05:13.600]  But we both got the cellular ones last year and we pay for the cellular. I never use it
[05:13.600 --> 05:20.520]  Can I tell you that it's funny? I'm currently paying for the cellular, but I don't I bought a series four that doesn't have cellular
[05:23.960 --> 05:26.380]  Yes, because my review unit
[05:26.920 --> 05:29.400]  Needed cellular and they're like you need to put it on your account
[05:29.860 --> 05:35.260]  So I did that but then after my review I liked it so much that I bought it myself
[05:35.560 --> 05:38.000]  But I was like, I don't need the cellular. I really don't
[05:38.000 --> 05:45.800]  I hope so. I wanted $10 a month to Verizon, right? Oh, well, we're paying 20, I guess cuz we have two
[05:47.240 --> 05:48.780]  And we never use it
[05:48.780 --> 05:55.700]  I mean, it's just I it is cool and like but I literally only used it when I was
[05:57.280 --> 06:04.600]  Testing it. Yep, and when it gets warmer, you know, I jog when it's warm and then I get lazy and fat all winter long
[06:04.600 --> 06:07.660]  You know, I guess I'll do it
