[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[00:03.880 --> 00:05.880]  Yeah, absolutely. I
[00:06.160 --> 00:08.160]  Don't even know where to start I guess
[00:08.920 --> 00:15.400]  Did I miss anything? I feel like I I had like a I got a weekend list of things. I wanted to write about today and
[00:17.600 --> 00:24.160]  And you know wasn't like extensive I didn't write anything huge I just had a few things we're recording on Monday the 21st and
[00:24.880 --> 00:26.600]  it's like
[00:26.600 --> 00:31.840]  Just like in today. There's like so much new stuff that has come out like and and I
[00:32.480 --> 00:37.480]  Feel like I'm already behind in other words. I was just watching pixel review videos all morning
[00:37.640 --> 00:43.960]  I've hardly even touched the pixel for reviews because I was trying to catch up on the stuff
[00:44.080 --> 00:51.000]  That I wanted to write from over the weekend. Yeah, so I read Dieter bones in the verge didn't watch the video yet. I
[00:51.000 --> 00:57.400]  I don't know. What's the consensus did Dieter's it seemed excellent. It also seemed
[00:59.560 --> 01:03.260]  I'll share my thoughts on it in a second. But what would you what do you take as the consensus?
[01:03.600 --> 01:09.060]  Yeah, so I think the consensus is that it's got you know, still got really good stills
[01:10.120 --> 01:17.080]  Disappointing video the battery life, especially in the small one was bad enough that a few people couldn't recommend it just based on that alone
[01:17.080 --> 01:24.360]  and it it it seemed like I think there was a lot of spoilers that went out before the event and
[01:24.960 --> 01:28.100]  People were expecting more than the spoilers and they didn't get it
[01:28.100 --> 01:32.600]  They got slightly less and the project solely was this huge cool
[01:32.760 --> 01:36.440]  You'd be able to twist your fingers in midair and do things and right now you just wave at your phone
[01:36.680 --> 01:41.760]  So it's like partially a tech demo, but it didn't seem like anyone was that blown away by it this year
[01:41.760 --> 01:48.240]  Yeah, I guess I mean it's the it's the it's almost like an
[01:49.320 --> 01:54.960]  Interesting experiment in pre leaking as much detail as you can, you know
[01:54.960 --> 01:58.080]  and what is that what does the effect going to have on a
[01:59.640 --> 02:01.640]  Reaction, you know, I mean and you can
[02:03.260 --> 02:07.000]  You know you and I are gonna see this through iPhone colored glasses
[02:08.040 --> 02:10.040]  Just from our perspective
[02:10.040 --> 02:12.040]  But you know, there's often
[02:12.400 --> 02:18.360]  When stuff leaks about Apple stuff, there's sometimes an undercurrent of well who cares?
[02:18.360 --> 02:23.080]  It's all just hype. Oh, yeah, or the the conspiracy theory of
[02:23.880 --> 02:31.440]  You know that every leak that proves accurate must have been delivered on Apple's part and they they drip drip drip these leaks out
[02:32.120 --> 02:34.120]  As a way of increasing hype
[02:34.560 --> 02:36.360]  Which is not true
[02:36.360 --> 02:43.240]  Yeah, absolutely not true. And I think part of it is the I think part of it is just personal
[02:43.240 --> 02:47.120]  I really do think that that from Schiller and Jaws on down
[02:48.360 --> 02:51.840]  In Apple, there's just a personal desire to keep this stuff
[02:52.560 --> 02:57.320]  Secret and Steve, you know and and the DNA the company is shaped by its founder, you know, Steve Jobs
[02:57.880 --> 03:05.840]  Absolutely, whether you could have mathematically proven to him that there was financial value to be had in pre leaking stuff
[03:05.840 --> 03:08.320]  He would have said to hell with it. I'm only gonna goddamn thing
[03:08.320 --> 03:09.880]  I want to tell people about it on stage
[03:09.880 --> 03:12.240]  So part of it is personality wise and part of it though
[03:12.240 --> 03:18.320]  I think is that it is the correct PR strategy to surprise people and and to have features come out
[03:20.520 --> 03:24.480]  To have the first impression of the the the features be
[03:25.600 --> 03:32.500]  What you want that first impression to be as the company releasing it as opposed to some random leakers perspective on it
[03:32.500 --> 03:34.500]  Which may or may not be?
[03:34.500 --> 03:36.060]  positive
