[00:00.000 --> 00:02.440]  How's your week anything going on?
[00:03.640 --> 00:09.200]  On one level. Yes a whole lot and on another level absolutely nothing. So, you know, thank you
[00:10.600 --> 00:13.940]  Absolutely nothing. It's the I can't even there's nothing on my mind
[00:16.480 --> 00:19.160]  Boy seems like every day is the same as the last
[00:20.680 --> 00:22.960]  Holy hell, you know
[00:22.960 --> 00:25.880]  We were looking forward to my daughter coming home for spring break next week
[00:25.880 --> 00:32.040]  And instead my daughter is now home to do her online finals and then she'll be here for a month at least
[00:32.640 --> 00:37.120]  So yeah, she's happy. She's so through in nothing like having your freshman year
[00:37.840 --> 00:44.160]  Like switched off and kicked back to your parents. I don't know. Well, what do you all right? You're a college student
[00:44.240 --> 00:49.980]  What's are all of this is bad and and let's just let me just say this as a preamble that number one
[00:50.520 --> 00:53.920]  We are recording on Monday, March 16th
[00:53.920 --> 00:55.920]  at at
[00:56.360 --> 00:57.680]  630 p.m
[00:57.680 --> 01:03.960]  Easter dive 3 Pacific and who the hell knows what the world will be like by the time this podcast gets out the door
[01:04.120 --> 01:07.920]  But who knows what it'll be like by the time we finish from the recording, right? Yeah
[01:08.920 --> 01:16.440]  Good point. Very good point. I honestly thought the first person who I heard say that was there's a great restaurant guy here in Philly
[01:16.440 --> 01:23.240]  Mark Vetri and his is he has a couple restaurants now, but is or no not Vetri it was
[01:24.240 --> 01:27.400]  Well Vetri was quoted too, but there's a couple of restaurant guys
[01:27.400 --> 01:29.600]  But one of them was I think I might have been Vetri was quoted
[01:29.800 --> 01:33.380]  Everybody was saying everything's changing day by day and he goes no, it's changed an hour by hour
[01:33.760 --> 01:38.380]  Yeah, and that is it only for now who knows minute by minute
[01:40.160 --> 01:42.320]  Anyway, let me just say as a preamble that
[01:42.320 --> 01:49.520]  This coronavirus thing and it is could not be more serious. It is hitting everybody
[01:49.520 --> 01:51.520]  I don't I can't imagine I
[01:52.400 --> 01:56.600]  Guess if you're a listener and in South America somewhere, you know
[01:57.480 --> 01:59.880]  There's some places where it seems like it hasn't hit yet
[01:59.880 --> 02:05.280]  But you know, it's as we all know from Tom Hanks and Rita Wilson. It's already hit Australia
[02:05.800 --> 02:10.520]  Very hard to believe that there's anybody who's going to listen to this episode who's not affected
[02:10.520 --> 02:12.480]  Hasn't had their life
[02:12.480 --> 02:16.080]  Affected in some way and and I think we all agree right at the beginning of it
