[00:00.000 --> 00:09.000]  I haven't washed my hands. I haven't washed my hands in 20 years.
[00:09.000 --> 00:13.000]  Whoa, whoa, whoa, whoa. I gotta jump in.
[00:13.000 --> 00:22.000]  Alright, remember last episode with Jason Snell and I misremembered some sort of joke I made over 10 years ago about never washing my hands.
[00:22.000 --> 00:30.000]  I thought it was on the podcast. It turns out it was a tweet that I wrote pretty sure during the swine flu epidemic.
[00:30.000 --> 00:36.000]  Stupid tweet, stupid joke about never washing my hands. Yeah, real funny now.
[00:36.000 --> 00:44.000]  But anyway, I made the joke on Twitter. My pal Daniel Jalkett took that tweet, wrote a beautiful little song about it.
[00:44.000 --> 00:53.000]  And what I was going to do last episode is when I referenced it, grab the audio from the old song that Jalkett wrote, splice it into the show.
[00:53.000 --> 01:05.000]  Would have been a funny little gag. After the show, I listened to the song again, realized part of my misremembering was that the song is chock full of F-bombs because my tweet was too.
[01:05.000 --> 01:15.000]  Can't really just jump that in to a podcast without warning. So I'm using the song as the opening theme song to this episode.
[01:15.000 --> 01:21.000]  But I have to jump in right here and warn everybody that the song is chock full of F-bombs.
[01:21.000 --> 01:28.000]  So skip ahead about a minute if you want to avoid them. Otherwise, enjoy.
[01:28.000 --> 01:45.000]  I haven't washed my hands. I haven't washed my hands in 20 years and a bunch of fucking pigs won't prompt me to end that streak.
[01:45.000 --> 02:01.000]  No, I haven't wash my hands. I said I haven't wash my hands in 20 years and a bunch of fucking pigs won't prompt me to end that streak.
[02:01.000 --> 02:15.000]  Cause a bunch of fucking pigs can't prompt me to do anything.
[02:15.000 --> 02:18.000]  From the archives.
[02:18.000 --> 02:20.000]  Suddenly relevant again.
[02:20.000 --> 02:26.000]  What did you say to me when I told you I was going to play that song and you said there's always a tweet?
[02:26.000 --> 02:31.000]  Yeah, that's your version of Trump. There's always a tweet for everything he does.
[02:31.000 --> 02:39.000]  Yeah, I totally misremembered that in so many ways on the last episode. I thought it was on my old podcast with Dan Benjamin.
[02:39.000 --> 02:44.000]  I forgot that it was a tweet. I just remembered that Jowkit did this really sweet, sweet song.
[02:44.000 --> 02:55.000]  It's a beautiful little song with terribly profane lyrics and a sentiment that just doesn't even just doesn't hold water anymore.
[02:55.000 --> 03:00.000]  I'm washing my hands so often.
[03:00.000 --> 03:01.000]  I know.
[03:01.000 --> 03:03.000]  You can invest in moisturizer.
[03:03.000 --> 03:08.000]  But that's the advantage of having been around the internet for 10, 15 years now.
[03:08.000 --> 03:14.000]  I've got an 11 year old song that is a perfect theme song for the show.
[03:14.000 --> 03:17.000]  Lucky you.
[03:17.000 --> 03:18.000]  Oh my God.
[03:18.000 --> 03:25.000]  So Amy was telling me that. All right. Everybody knows hand sanitizer is out of stock everywhere.
[03:25.000 --> 03:32.000]  I think it's beautiful. I think it's fun. You know, everybody knows I enjoy an occasional drink here and there.
[03:32.000 --> 03:42.000]  I enjoy the fact that distilleries, beer distilleries, booze distilleries all around the country are ramping up production or making hand sanitizer.
[03:42.000 --> 03:50.000]  I think I saw that the Tito's the Tito's vodka people, I forget how they're making like they plan to make like tons, tons of hand sanitizer.
[03:50.000 --> 03:52.000]  Great move.
[03:52.000 --> 03:56.000]  I know there's a place here in Philly. I forget the name of it, but I know they're making it.
[03:56.000 --> 04:00.000]  And, you know, they don't have a license to make it or something like that. But so they're just giving it away.
[04:00.000 --> 04:04.000]  You just show up and you can just take.
[04:04.000 --> 04:08.000]  I do feel, though, I don't know if you saw the Tito's one. Did you see the Tito's one?
[04:08.000 --> 04:14.000]  I didn't. No. Good on them, you know, in terms of the spirit.
[04:14.000 --> 04:23.000]  The problem with the Tito's one is they're shipping it in bottles that look like the little Tito's airplane bottles, you know, vodka.
[04:23.000 --> 04:30.000]  And there's just like little tiny words like it just says like Tito's and then it says like hand sanitizer and it says like do not drink.
[04:30.000 --> 04:34.000]  Yeah. You know somebody's going to end up drinking one.
[04:34.000 --> 04:40.000]  It just looks it just looks a little too much like Tito's and a little too little like Purell.
[04:40.000 --> 04:47.000]  I mean, with all the kids in homeschool and all of us locked up in our houses, somebody's going to be hitting those little bottles sooner or later.
[04:47.000 --> 04:53.000]  I'll try to remember to put a link in the show notes to the Tito's bottle. How are you holding up?
[04:53.000 --> 04:59.000]  Oh, OK. You know, pretty good. I work from home a lot already and a lot of our team is distributed.
[04:59.000 --> 05:07.000]  So in some ways we were sort of ready for a lot of this. We didn't have to really disrupt our business life or whatever.
[05:07.000 --> 05:15.000]  But then, you know, personally, of course, I think everybody's dealing with the increased mental cognitive load of just viral outbreak.
[05:15.000 --> 05:24.000]  Plus, you know, kids off school and trying to manage all that. And single parents especially, obviously, are super slammed.
[05:24.000 --> 05:29.000]  So, yeah, hold up. OK. How about yourself? How's it over there in Philly? Ah, pretty good.
[05:29.000 --> 05:34.000]  You know, I like the three of us are temperamentally suited to staying at home.
[05:34.000 --> 05:45.000]  Jonas, I don't believe has been out of pajamas other than the shower. It's sent for him since school ended over a week ago.
[05:45.000 --> 05:54.000]  I'm not sure. And I think Amy went to the gym maybe last Monday and I don't believe she's left the house either.
[05:54.000 --> 06:04.000]  So the two of them are actually literally housebound. I'm on, you know, I'm leaving two or three times a week to pick up groceries.
[06:04.000 --> 06:10.000]  Yeah, you're on foraging duty, right? You're the one who's taken taking the scouting role.
[06:10.000 --> 06:16.000]  Yeah. You know, we're getting deliveries. You know, the deliveries are a crapshoot. I mean, I can't complain.
[06:16.000 --> 06:25.000]  Living in the city, I think, is pretty good. And we've got deliveries. But it's, you know, and there is some serious tech overlap here.
[06:25.000 --> 06:32.000]  You know, we've got a Whole Foods, a couple Whole Foods in Philly, but we have a big new one.
[06:32.000 --> 06:41.000]  You know, I think it's maybe like a mile, a mile on the dot walk. Huge, just cavernous.
[06:41.000 --> 06:51.000]  And it was built, you know, I think within a year of Amazon's acquisition. It was really, it's really one of the, it's got to be one of the newest Whole Foods.
[06:51.000 --> 07:03.000]  You know, it, but there's different delivery services, you know, and it's like Amazon Prime Pantry, I believe, is now not operational. It's like, that's, that's the thing.
[07:03.000 --> 07:20.000]  We get the stuff. It ended up crumbling a few days ago. I believe for, well, actually, I have a friend who lives in Philly, and he's the one who first alerted me to the fact that they were kind of crumbling under the weight of all the orders and everything and obviously lack of delivery people, etc.
[07:20.000 --> 07:32.000]  Yeah. And so we're still getting stuff, but it's, and again, I do not want to complain. We've got food. Amy's, you know, preparing good meals every night. We're eating well.
[07:32.000 --> 07:43.000]  But it's just so like in normal times, you'd be infuriated. Whereas in those times, you're just happy to get anything, but you just get like a random 50% of what you ordered.
[07:43.000 --> 07:48.000]  Yeah, yeah. Developing menus on the fly as you walk through and see what's left.
[07:48.000 --> 08:02.000]  Yeah, yeah. And Amy's doing a hell of a job where it's like, you know, you know, big tent pole items in our plan menu just don't show up. And it's like, well, right. I'll wing it. And it's like, Hey, this is actually good random protein. Let's go at it.
[08:02.000 --> 08:11.000]  Yeah. And then there's other things like, so we have a supermarket chain here. Real big, always been big in Philly is ACME.
[08:11.000 --> 08:25.000]  That's not a great name, right? That is a great name. Should be born. That's a classic. That's a great name. I forget if ACME, I think ACME uses a delivery service.
[08:25.000 --> 08:45.000]  You know, it's not ACME who people who deliver it. It's some website that I forget the name of it. But anyway, the difference between the Whole Foods, which comes from Amazon, and the one with the regular supermarket with ACME is ACME.
[08:45.000 --> 09:08.000]  Yesterday, she was on. So this was on Tuesday, and she got a Sunday delivery window. So that's five days away. You know, I mean, again, you don't complain. But the difference is that like with the ACME one, you've got this delivery window and she can like add, she can add items to her order up until like Sunday morning.
[09:08.000 --> 09:21.000]  Yeah, until they send somebody out to shop for it. Yeah. Whereas the Whole Foods one, it's like you put an order in and they give you a window and whatever you ordered, you get whatever they can find that was on that list.
[09:21.000 --> 09:23.000]  Right. Right.
[09:23.000 --> 09:35.000]  Again, we've got food where nobody's going hungry. But it's just weird. It's weird what stuff is selling out now. Like it's like corn chips.
[09:35.000 --> 09:42.000]  Yeah, corn chips. It was so weird. I was like, I just want some tortilla chips so I can dip them in my salsa.
[09:42.000 --> 09:54.000]  That's the thing is we got some really good salsa. We got really good fresh like pico de gallo and we have some corn chips, but now we're like rationing them. We're like...
[09:54.000 --> 09:57.000]  Yeah. Don't eat too many. Don't eat too many.
[09:57.000 --> 10:00.000]  Who would have thought corn chips?
[10:00.000 --> 10:16.000]  I know that one was one random weird one. There's certainly some different ones we have. You know, we're, I'm pretty lucky. I mean, I live in a fairly, I guess you'd call it, you know, rural-ish town, right? So there's like 500,000 people, right? So it's not like tiny.
[10:16.000 --> 10:40.000]  But at the same time, it's a farm town. You know, I live in a farm town where the primary economic output is either real estate because of urban sprawl or suburban sprawl or farming, right? So all the big monies in farming and we produce in this valley, something like two thirds of all the fruit and veg for the United States. You know, it's actually a really ridiculous amount.
[10:40.000 --> 11:07.000]  So we actually have an enormous glut of produce. Like if I go, we have a local place, we have a couple chains, you know, we have Whole Foods really close by. We have a, you know, Save Mart, which is like a Western chain. And then we have this place called The Market, which is as big as a Save Mart, you know, it's a normal size grocery store, but it is very much, you know, a locally owned version of that.
[11:07.000 --> 11:36.000]  Which means, of course, that you're going to find the same cast of general characters as far as foods and food groups. But the brands are a little different. You know, you get all the major brands, you know, like a pasta, you get a Berea, and you get, you know, the various pasta brands that are similar to anywhere across the US or elsewhere in the world. But then you'll get a lot of like local brands, you know, or smaller distributors who distribute to indie chains rather than, you know, the like, Oh, can you deliver a billion in units to the to all of our grocery stores across the world?
[11:36.000 --> 12:06.000]  Or grocery stores across the United States or whatever, right? So you just get that mix. And the one thing that you do get there is like, I went and, you know, obviously, aisles are empty and all this stuff. But this particular store has a lot of Italian stuff. Like it's, it's got a little bit of extra layer of Italian, you know, like, maybe like a, you know, instead of one kind of sardines, there's like six, you know what I mean? Like, it's one of those things where it's, you could tell Italian
