[00:00.000 --> 00:02.000]  He says he joined.
[00:02.000 --> 00:04.220]  Your weird avatar is not an apple, guy.
[00:04.220 --> 00:08.820]  You can pick which picture you want to, like, vend to people, and the picture you've chosen
[00:08.820 --> 00:10.860]  is the picture of you when you're 15.
[00:10.860 --> 00:13.740]  I mean, my picture is old.
[00:13.740 --> 00:14.740]  Hi, John!
[00:14.740 --> 00:15.740]  Nice to see you.
[00:15.740 --> 00:17.140]  My picture is old, but your picture...
[00:17.140 --> 00:19.020]  I love you too, man.
[00:19.020 --> 00:20.220]  I really miss you.
[00:20.220 --> 00:21.220]  It's been a tough year.
[00:21.220 --> 00:22.220]  Uh-huh.
[00:22.220 --> 00:23.220]  Uh-huh.
[00:23.220 --> 00:25.880]  You gotta learn how to work all this apple stuff.
[00:25.880 --> 00:26.880]  That's on Apple.
[00:26.880 --> 00:27.880]  It's not on Apple.
[00:27.880 --> 00:28.880]  It's on you!
[00:28.880 --> 00:32.840]  It's going to be a long three hours, is what I'm...
[00:32.840 --> 00:33.840]  A tight 60.
[00:33.840 --> 00:35.840]  A tight 60.
[00:35.840 --> 00:41.320]  Does dithering usually start on time, Mr. Let's Get on Skype in five minutes and takes
[00:41.320 --> 00:42.320]  eight minutes?
[00:42.320 --> 00:43.320]  Yeah, exactly.
[00:43.320 --> 00:49.040]  Dithering is the antithesis of what either of you are capable of, and it is a remarkable
[00:49.040 --> 00:50.440]  show.
[00:50.440 --> 00:54.560]  Dithering starts within a dithering of when it's supposed to start.
[00:54.560 --> 00:55.560]  Great.
[00:55.560 --> 00:58.000]  You're only ever off by 100%.
[00:58.000 --> 00:59.000]  Right.
[00:59.000 --> 01:05.560]  So we're done recording within two days.
[01:05.560 --> 01:07.200]  Yeah.
[01:07.200 --> 01:08.200]  It works.
[01:08.200 --> 01:09.200]  Hold on.
[01:09.200 --> 01:14.900]  Something that's bizarre here, because I have not been podcasting over the break, I've got
[01:14.900 --> 01:21.960]  this old Catalina system, and somehow I got an alert, like a notification that said, automatic
[01:21.960 --> 01:26.080]  updates have been turned on, which I didn't think could happen.
[01:26.080 --> 01:28.880]  I mean, if you turn them on, they turn it on.
[01:28.880 --> 01:30.240]  I didn't turn them on.
[01:30.240 --> 01:31.240]  Like a checkbox?
[01:31.240 --> 01:32.240]  Yeah.
[01:32.240 --> 01:34.240]  No, but now they're all turned on in software update.
[01:34.240 --> 01:35.880]  Hold on.
[01:35.880 --> 01:37.560]  Now that...
[01:37.560 --> 01:38.720]  I don't believe...
[01:38.720 --> 01:45.120]  Honestly, if that is a policy that Apple has adopted, you've got to scoop, because that's
[01:45.120 --> 01:46.120]  not right.
[01:46.120 --> 01:47.120]  So download, install...
[01:47.120 --> 01:49.040]  No, I don't want any of this.
[01:49.040 --> 01:50.040]  Come on.
[01:50.040 --> 01:51.040]  All right.
[01:51.040 --> 01:52.040]  All right.
