[00:00.000 --> 00:01.740]  Jason, how you doing?
[00:01.740 --> 00:02.640]  I'm doing all right, John.
[00:02.640 --> 00:03.880]  Thanks for having me on the show.
[00:03.880 --> 00:04.900]  How's the weather up there?
[00:04.900 --> 00:07.040]  Well, it's cold because it's winter.
[00:07.040 --> 00:10.080]  It's getting lighter though, which is great.
[00:10.080 --> 00:13.820]  Late December, January here in Vermont is kind of bleak,
[00:13.820 --> 00:14.820]  to be honest.
[00:14.820 --> 00:17.520]  So I'm glad the light is getting more towards spring.
[00:17.520 --> 00:18.680]  I hate winters.
[00:18.680 --> 00:19.520]  I do.
[00:19.520 --> 00:21.720]  And my wife and I, we've been talking about like,
[00:21.720 --> 00:22.940]  why the hell do we live here?
[00:22.940 --> 00:25.800]  And I live in the tropics compared to you.
[00:25.800 --> 00:28.000]  Yeah, darkness is the worst thing up here
[00:28.000 --> 00:31.960]  because it's like significantly darker for longer here
[00:31.960 --> 00:34.840]  in December and January than it is in New York
[00:34.840 --> 00:36.040]  or down in Philly.
[00:37.240 --> 00:40.640]  And I've also found as I've gotten old,
[00:40.640 --> 00:42.960]  I was going to say older, but let's face it, old.
[00:42.960 --> 00:45.500]  You would think it would go the other way,
[00:45.500 --> 00:49.320]  that the older you get, the more you just get used to it.
[00:49.320 --> 00:51.000]  And I find the opposite.
[00:51.000 --> 00:54.080]  Like I find, like when I was a kid,
[00:54.080 --> 00:57.160]  I knew that it got dark earlier in the winter.
[00:57.160 --> 00:58.880]  I mean, you just open your eyes.
[00:58.880 --> 01:02.240]  And I knew I had to come home from playing outside,
[01:02.240 --> 01:04.920]  you know, because we're so old that fairly,
[01:04.920 --> 01:07.680]  we would just come home from school
[01:07.680 --> 01:11.240]  and we'd be set loose to go run around
[01:11.240 --> 01:12.960]  with no parental supervision.
[01:12.960 --> 01:14.120]  It wasn't just my parents.
[01:14.120 --> 01:16.880]  It was like the neighborhood rule for all the parents.
[01:16.880 --> 01:19.400]  You have to come home when the street lights come on.
[01:19.400 --> 01:22.220]  We didn't wear watches, you know, that was the rule.
[01:22.220 --> 01:24.440]  If the street lights are on, it's time to come home.
[01:24.440 --> 01:28.240]  And I knew that, boy, this kind of sucks in December.
[01:28.240 --> 01:30.360]  We don't really get much time out of school.
[01:30.360 --> 01:33.200]  But on the other hand, even like college,
[01:33.200 --> 01:35.760]  I don't really remember being like bummed out
[01:35.760 --> 01:37.720]  that it's dark early or anything,
[01:37.720 --> 01:39.320]  I guess because also in college,
[01:39.320 --> 01:43.320]  you kind of live and sleep on whatever cycle you want
[01:43.320 --> 01:46.440]  as long as you can submit your homework.
[01:46.440 --> 01:47.800]  I was going to say go to class,
[01:47.800 --> 01:49.840]  but I skipped a lot of classes.
[01:49.840 --> 01:52.360]  But now that I'm an adult,
[01:52.360 --> 01:55.480]  I really get bummed in December, even November.
[01:55.480 --> 01:58.840]  I do, and I know they call it seasonal affect disorder
