[00:00.000 --> 00:01.840]  Are you recording?
[00:01.840 --> 00:03.640]  I am recording now.
[00:03.640 --> 00:05.640]  We could do like a...
[00:05.640 --> 00:06.640]  Yes?
[00:06.640 --> 00:09.240]  Yeah, one, two, three.
[00:09.240 --> 00:10.240]  But should we do that?
[00:10.240 --> 00:11.240]  One, two, three?
[00:11.240 --> 00:12.680]  Well, we could just clap our hands.
[00:12.680 --> 00:13.680]  I already started.
[00:13.680 --> 00:14.680]  Do you want me to stop and do that?
[00:14.680 --> 00:16.240]  No, I thought you were...
[00:16.240 --> 00:17.980]  Are you going to have to edit this now?
[00:17.980 --> 00:22.400]  You're not going to edit this?
[00:22.400 --> 00:24.620]  I swear to God, you're not going to do that?
[00:24.620 --> 00:25.720]  You wouldn't like that.
[00:25.720 --> 00:30.560]  I was going to clap just for the sake of you.
[00:30.560 --> 00:31.560]  I don't think...
[00:31.560 --> 00:32.560]  Here's my thing.
[00:32.560 --> 00:37.840]  I don't think that the listeners of the show, they shouldn't notice a damn thing.
[00:37.840 --> 01:03.360]  It should just...
[01:03.360 --> 01:08.600]  They won't even know that anything has changed.
[01:08.600 --> 01:09.600]  Quality wise.
[01:09.600 --> 01:10.600]  I guess they would.
[01:10.600 --> 01:11.600]  Why would they?
[01:11.600 --> 01:12.600]  Editing wise.
[01:12.600 --> 01:16.920]  I still got to dot the I's and cross the T's on the feed redirection and stuff like that.
[01:16.920 --> 01:19.040]  Yeah, right.
[01:19.040 --> 01:20.360]  But that's not my problem.
[01:20.360 --> 01:21.360]  Or is that my problem?
[01:21.360 --> 01:23.400]  That is your problem too.
[01:23.400 --> 01:33.120]  No, I think it seems as though any well-written podcast client, if they get a 302 HTTP, which
[01:33.120 --> 01:34.120]  is...
[01:34.120 --> 01:37.680]  Like a 301 says redirect, go over there, but don't...
[01:37.680 --> 01:38.680]  Not permanently.
[01:38.680 --> 01:42.820]  302 is permanent and then it should remember the new URL.
[01:42.820 --> 01:49.680]  So if you were previously subscribed at muleradio.net slash the talk show, whatever the feed URL
[01:49.680 --> 01:57.120]  is, your podcast software will just automatically update to daringfireball.net feeds the talk
[01:57.120 --> 01:58.120]  show or whatever.
[01:58.120 --> 01:59.120]  I don't know.
[01:59.120 --> 02:02.840]  I haven't decided on the URL yet.
[02:02.840 --> 02:06.480]  But nobody should notice a damn thing.
[02:06.480 --> 02:09.600]  Ah, Christ.
[02:09.600 --> 02:14.520]  Now you're back.
[02:14.520 --> 02:18.240]  How does that happen?
[02:18.240 --> 02:22.820]  Starting out splendidly.
[02:22.820 --> 02:23.820]  No quality problems.
[02:23.820 --> 02:28.860]  Skype problems are endemic to podcasting.
[02:28.860 --> 02:29.860]  No problems whatsoever.
[02:29.860 --> 02:37.400]  Did you see the rumor today just broke hours before we started recording that Twitter might
[02:37.400 --> 02:38.400]  buy SoundCloud?
[02:38.400 --> 02:39.400]  Yeah.
[02:39.400 --> 02:42.400]  That won't mess with anybody.
[02:42.400 --> 02:44.120]  No, that won't.
[02:44.120 --> 02:45.120]  But it's funny.
