[00:00.000 --> 00:02.320]  How's your week? Oh my god
[00:07.200 --> 00:09.800]  Geez what did I why did I launch an app I?
[00:10.960 --> 00:16.000]  Forgot how much work this is it's been a while since I've had an app in the store and the last app that was in the store was the magazine
[00:16.080 --> 00:18.320]  Because I'm very popular and didn't require tech support
[00:19.840 --> 00:22.000]  Man what was I thinking?
[00:23.320 --> 00:25.320]  What what's gone wrong?
[00:25.320 --> 00:32.720]  Um, it's it's mostly the funny thing is it's been a very successful launch overall like there have been very few
[00:34.760 --> 00:38.520]  Real major problems. There have been a few minor bugs
[00:39.560 --> 00:45.600]  Many of which I would have been able to fix server side just like you know some certain podcast fees weren't being crawled right or something but
[00:47.560 --> 00:53.480]  Overall the launch had been really good the problem is I've gotten nothing done since yesterday when I launched it
[00:53.480 --> 01:00.520]  Because I've been trying to keep up with all the tweet responses trying to read all the reviews trying to and it's your recently
[01:00.520 --> 01:02.520]  Tires to try to answer all these emails
[01:02.840 --> 01:04.840]  Yeah, I currently have
[01:05.480 --> 01:07.480]  1,099 unready emails on my inbox
[01:08.200 --> 01:12.960]  I've just finally started tackling them tonight after making a bunch of tech tech spender snippets
[01:12.960 --> 01:19.360]  They look all the common responses the worst part is the worst part is that that's over a hundred higher than number you quoted me about
[01:19.360 --> 01:26.600]  Six or seven hours ago when I checked to see if you wanted to be on this show. Yeah, and I just bought it to like 150 of them
[01:27.880 --> 01:33.680]  But they're coming in faster like a response. You're at like 900 around noon or so
[01:34.040 --> 01:38.680]  Yeah, I mean so I guess I was nine hours ago. So that's to give you some idea like the
[01:38.680 --> 01:44.920]  The total downloads of the entire app like the number of people who have even downloaded it not even the people who've made an account
[01:44.920 --> 01:50.520]  Just the people who've downloaded the app at all is roughly 35 to 40,000. I don't know. I haven't gotten today's stats yet
[01:50.520 --> 01:54.920]  But so I'm estimating a little bit, but roughly 35 or 40,000. Wow, and I've gotten
[01:55.880 --> 01:58.680]  I mean, that's a fantastic launch. I'm very happy with that, but
[01:59.560 --> 02:01.560]  Out of those at least
[02:01.560 --> 02:03.560]  1500 of them have emailed me
[02:03.560 --> 02:09.080]  Oh my god. That seems like a kind of high ratio to me. I don't know that that kind of seems too high
[02:09.080 --> 02:13.480]  Yeah, that does seem high, but it's I think it's also the nature though
[02:13.480 --> 02:15.480]  You're the weird dual nature and you know
[02:16.360 --> 02:18.720]  I'm in the same boat, but but where we're
[02:19.320 --> 02:26.200]  Media personalities, you know people read our sites. We're sort of have a columnist style and we do podcasts of course
[02:26.840 --> 02:28.360]  obviously I
[02:28.360 --> 02:30.360]  think we do I
[02:30.680 --> 02:32.680]  Think that encourages a sort of
[02:34.280 --> 02:39.640]  The wanting to give feedback, you know what I mean like yeah, and I don't think and again
[02:39.640 --> 02:44.840]  I bet you'll agree with me. I will bet you will agree with me with this that even though you're complaining about being swamped
[02:44.840 --> 02:51.400]  But you're it's a privilege and a thrill that people want to do that and say nice things about your app or ask questions and stuff
[02:51.400 --> 02:59.280]  I don't pre-grudge it. Oh, definitely. I mean, I I really want to do as much of the support of this myself
[03:00.120 --> 03:06.840]  And and I probably forget saying that. Oh god bless you. Well, but what I've done instead is I've tried to
[03:06.840 --> 03:13.960]  Ridiculously minimize the number of supporting me as I actually get so I can actually treat them like like a human being or at
[03:13.960 --> 03:16.760]  least hire somebody to do it and and keep an eye on it very closely
[03:17.080 --> 03:21.480]  Whereas with with insta paper. I was never able to do that. There was too much support and that's sort of a a
[03:22.040 --> 03:25.960]  virtuous circle where you being motivated
[03:26.840 --> 03:28.840]  to minimize support issues
[03:29.080 --> 03:32.360]  Design and development wise because you know you're gonna have to deal with them yourself
[03:32.360 --> 03:37.480]  Means that if you're succeed it works and you have less time doing support and vice versa
[03:37.480 --> 03:43.280]  You know, whereas if you had somebody doing support you may not maybe you wouldn't be as you wouldn't care quite as much
[03:43.520 --> 03:46.840]  Right, this is something that you know friend of the universe Daniel Jalka has always said
[03:47.360 --> 03:51.760]  That he I believe this is still the case that he always answers all of his own support email
[03:52.280 --> 04:00.160]  So that he is both you know on top of issues as they arise and aware of what people are asking for and so that he is motivated to
[04:00.160 --> 04:05.840]  You know, fix problems in the app that cause a lot of support issues so that people don't even have to email it
[04:06.160 --> 04:09.920]  So you know everyone wins there. So I'm trying it out. I'll see. I mean
[04:11.360 --> 04:14.640]  I don't have any idea what the like stable
[04:15.920 --> 04:17.920]  Email rate will be you know, I
[04:18.560 --> 04:23.280]  Five weeks from now on a Tuesday, you know, what's what's gonna be the email rate that day? I don't know
[04:24.000 --> 04:26.960]  So I'll see if I can still handle it myself
[04:26.960 --> 04:31.360]  I would like to do as much about myself in the early days as possible like this this initial batch of
[04:32.000 --> 04:37.280]  Out now it's 1100 got one more this initial batch of 1100 plus emails
[04:37.920 --> 04:43.120]  I would like to go through myself just so I have some idea like what are people asking for what you know
[04:43.120 --> 04:49.120]  What what should I be doing differently? What is confusing people about the app that I should I should you know
[04:49.120 --> 04:51.760]  Think about rearranging or relabeling or rethinking
[04:51.760 --> 04:56.080]  I know I know cable sassar does the same thing with major releases
[04:57.360 --> 05:02.560]  I don't know if he does it with every major release, but I know that he's done that like and I don't think he has
[05:02.560 --> 05:06.960]  Itates to dive into the support on a regular basis, but like when they launch like coda, you know
