[00:00.000 --> 00:04.400]  No, seriously, do you do you do you wear polarized sunglasses? I have sunglasses
[00:04.400 --> 00:08.720]  I don't even I don't think they're polarized because I buy I buy the cheapest ones possible
[00:09.280 --> 00:15.640]  Because I sit on them and I lose them. And so I gave up buying nice ones polarization. I don't I'm not an optician
[00:15.640 --> 00:21.200]  I'm not an optics guy, but the basic idea though, it sounds kind of crazy. Do you know what that how they work?
[00:21.200 --> 00:30.080]  They're like blinds like horizontal blinds on the lenses. They're there, you know, I don't even think that you can see them with the naked eye
[00:30.080 --> 00:35.680]  But the idea is that it makes your glasses like blinds and then without reducing visibility it reduces glare
[00:36.480 --> 00:42.000]  And so like for example, like people who work on the water like fishermen
[00:43.600 --> 00:49.360]  Love polarized sunglasses because it cuts down on the glare from the water in front of them, right?
[00:49.360 --> 00:56.440]  Um, but you know, if you have polarized sunglasses or not because if you look at your iPhone it it or any kind of like LC
[00:56.440 --> 01:00.940]  Oh, it looks different. It looks crazy. It's like all rain. So then I do then I do. Yes
[01:00.940 --> 01:05.580]  I do have polarized you do have polarized is that I must cuz my phone looks looks freaky
[01:06.720 --> 01:10.560]  and at first the first time I noticed that I thought that it was something wrong with the phone and
[01:11.360 --> 01:13.360]  Then I realized I had bought new sunglasses
[01:14.080 --> 01:16.000]  Yeah
[01:16.000 --> 01:19.600]  That's exactly it's exactly how how this came to my mind
[01:19.600 --> 01:24.320]  I actually what happened is out. I had Marco Arment on the show last week and
[01:25.320 --> 01:30.880]  I want I heard an episode of his show from weeks ago where he was talking about the Warby Parker
[01:31.820 --> 01:33.820]  glasses and
[01:34.120 --> 01:40.200]  Sunglasses and said that he likes polarized sunglasses and I thought in the middle of listening to the show. That's crazy
[01:40.200 --> 01:44.660]  How can someone you know who uses an iPhone all the time as I presume Marco does
[01:44.660 --> 01:51.540]  Use polarized sunglasses like to me the debate between whether you get polarized sunglasses or not is over now that we carry
[01:51.860 --> 01:56.740]  iPhones with this all over the place because it looks bad on your iPhone. It makes your iPhone look crazy
[01:56.740 --> 01:59.700]  I go makes it look odd to me. It makes it look unreadable. I
[02:00.380 --> 02:06.300]  could not bear to use my iPhone with sunglasses on and yet I have my sunglasses on and I use my phone out and
[02:07.460 --> 02:09.460]  What do they call that daytime?
[02:09.460 --> 02:13.500]  And I wanted to talk to Marco about it
[02:13.500 --> 02:16.120]  But we ran short of time because we did a quick show
[02:16.180 --> 02:22.020]  So I didn't get to bring it up to him and is the effect the same in the casino. I would bet that it is
[02:23.140 --> 02:25.020]  given that
[02:25.020 --> 02:30.060]  Given all the video poker machines. I'm just trying to think of where you would be most likely to be using them
[02:31.500 --> 02:37.220]  Well, and then the further confusing it in the casino is you know, if you start seeing wavy lines and stuff
[02:37.220 --> 02:39.660]  You're never quite sure if it's your glasses or
[02:40.580 --> 02:42.580]  How long have I been here?
[02:43.940 --> 02:45.940]  Yeah last time I saw the Sun
[02:49.420 --> 02:51.420]  Was that guy next to me smoking
[02:53.140 --> 02:56.660]  You just never know what what it is that's causing the wavy lines in Vegas
[02:57.380 --> 03:01.380]  but anyway, that's actually what happened to me today that reminded me that
[03:01.380 --> 03:07.340]  To bring it up with you because I didn't bring it up with Marco is that a couple weeks ago?
[03:07.340 --> 03:10.140]  I had Amy's old first original
[03:11.020 --> 03:13.420]  iPod out the one with the wheel that actually spun
[03:13.980 --> 03:18.820]  Just I don't know for old times sake and I think it was because it was like some kind of I don't know
[03:18.820 --> 03:23.780]  Yeah, honestly, I got it. I sure wasn't there. Yeah, I got it out posted a picture on Instagram got you know
[03:23.780 --> 03:26.620]  A couple hundred likes would it be it's a beautiful device
[03:26.620 --> 03:32.140]  It really is it looks ancient now because it's so crazy thick because it has a big hard drive in it. But yeah
[03:34.140 --> 03:38.620]  But I had it out and it's in my was in my office here next to my desk next to next to a window in
[03:38.620 --> 03:43.700]  The sunshine and Amy was in here telling me something before she ran out for an errand and she was like, why did you leave?
[03:43.700 --> 03:45.460]  This because it's hers not mine
[03:45.460 --> 03:50.180]  Actually, that's the other thing that she got mad at me when I posted the Instagram because I made it look
[03:50.180 --> 03:54.840]  I didn't say anything on Instagram and she says that's mine. Not yours
[03:54.840 --> 04:02.120]  And and said there, you know, there I'm Jack you jacked her image. Yep sleeping on the couch for three nights. Yeah
[04:03.280 --> 04:08.440]  but then she got mad at me because I wrecked it because I left it out in the Sun for a couple of weeks and
[04:08.440 --> 04:13.700]  I looked at it and I was it didn't really look weird to me and and then she goes. Oh, is that these sunglasses?
[04:15.800 --> 04:20.260]  Because it actually made it made the original iPod with her son with her
[04:20.260 --> 04:27.460]  Polarized sunglasses it made it look as though it had a color screen like like, you know, like a rainbow. Yeah
[04:27.620 --> 04:33.900]  Yeah, I was like, oh well that would have now that I'd actually would have been to me if you borrow your wife's original
[04:34.640 --> 04:38.580]  2001 iPod and literally wreck it it was it you know, it still works
[04:38.580 --> 04:41.460]  That's the thing that's amazing to me is that if you can find a firewire cable
[04:41.460 --> 04:48.460]  It still works if I had actually wrecked it that would justify some anger. So you're you're okay going blind as long as you can
[04:48.460 --> 04:54.580]  Continue to look at your going blind in the long term as long as you can continue to look at your iPhone
[04:55.060 --> 05:01.420]  With crystal-colored clarity right now. I don't think non polarized unpolarized whatever the word is normal
[05:01.840 --> 05:08.140]  Sunglasses are driving me blind. I I think it's you know, just you have to put up with a little bit more glare. I
[05:11.060 --> 05:13.060]  Actually am
[05:13.060 --> 05:18.940]  You might be in the same situation. We're of similar vintage. I actually am having trouble start
[05:18.940 --> 05:22.100]  I'm starting to get the presbyopia whatever it's called. Yeah
[05:24.140 --> 05:29.880]  In my left eye not my right eye though, which I don't know if it's better or worse I got it
[05:29.880 --> 05:31.880]  I got it all through my body
[05:32.060 --> 05:37.020]  What's it called? Is it presbyopia? I looked it up a little bit and I got I got scared and stopped
[05:37.020 --> 05:40.740]  I had I had to find I had to finally buy a pair of those cheaters
[05:40.740 --> 05:42.740]  uh reading glasses
[05:43.420 --> 05:46.300]  Just like cheap grocery store ones. How do they work?
[05:46.860 --> 05:52.140]  What does it what did they do? It just makes it easier to see things close to you. How did I thought that?
[05:52.140 --> 05:54.140]  I always thought they just magnified
[05:54.140 --> 05:58.180]  It's good. Yeah, I mean, that's well, it's the same thing. Yeah, but that's what that's what
[05:59.020 --> 06:00.940]  glasses
[06:00.940 --> 06:02.940]  reader glasses do
[06:02.940 --> 06:09.540]  Yeah, you guys you can see I'm really well-informed about yeah, we should really be having this conversation
[06:11.220 --> 06:17.720]  Ophthalmology so but you wear contacts I do. Yeah, so do I and it's like I'm practically blind without them
[06:17.780 --> 06:20.140]  Alright, so I think that's what I think that long-range
[06:20.140 --> 06:22.140]  That's what I think I need to do is I need to
[06:22.220 --> 06:27.220]  Get get like some kind of pair of glasses that I take around with me and put them on to read. Yeah
[06:27.220 --> 06:34.420]  It's a problem in restaurants now in low-light situation, yeah trying to read it trying to read a menu it's like
[06:36.220 --> 06:40.500]  It's just and I know I know now what my parents went through and why they
[06:41.380 --> 06:44.860]  So he seems so annoying just put the damn glasses on and I know
[06:45.420 --> 06:49.360]  No sympathy for my dad when he went through it at all. No, yeah, right
[06:50.260 --> 06:56.700]  I remember when my dad got his first pair of my dad wears glasses and and it has his entire adult life
[06:56.700 --> 07:03.100]  I believe I don't like I don't think I've seen a picture of my dad without glasses on since he was like a teenager
[07:03.660 --> 07:09.260]  I remember when he got bifocals and he really was struggling with them because it's weird
[07:09.260 --> 07:11.340]  You have to like hold things at a weird angle and stuff
[07:11.340 --> 07:16.100]  And he was like lifting them on lifting them off and I I had no sympathy for him
[07:18.360 --> 07:24.260]  Making fun of him. Yeah, I gotta look this up the arrogance of youth
[07:24.260 --> 07:27.300]  What's it called it's like presbyopia or something, I don't know
[07:28.420 --> 07:30.420]  Presbyterian
[07:30.740 --> 07:32.740]  No, I think it's presbyopia
[07:34.580 --> 07:36.580]  Yeah, presbyopia
[07:36.740 --> 07:44.180]  Usually occurs beginning around age 40 when people experienced blurred vision near vision when reading sewing or working at the computer
[07:44.740 --> 07:50.820]  Karen Karen got it before I did and she started wearing she'd never won glasses and her vision was perfect, which I always found
[07:50.820 --> 07:56.100]  Irritating to begin with and then she also kept saying things like I think it'd be kind of cool to wear glasses
[07:56.100 --> 07:58.100]  I think I'd look good in glasses
[07:58.420 --> 08:04.020]  You're not going out and getting like blank glasses to wear just to look like just stop it
[08:04.260 --> 08:06.260]  but then she got the reader glasses and
[08:07.460 --> 08:12.500]  Like the first first time I saw her wear it. I'm just like I go in go in she's lying to bed
[08:12.500 --> 08:15.700]  She's reading a book with those glasses on I'm like, oh, hey
[08:15.700 --> 08:20.260]  We had a kid in high school we had a kid name in high school i'm not going to name names I
[08:21.140 --> 08:27.940]  I'm 99.9 percent. Sure. He does not listen to the show. Um, but you know, why name a name, but he was
[08:32.740 --> 08:37.300]  He came in wearing glasses one day in high school, I don't know 11th grade 12th grade and you know
[08:37.300 --> 08:41.700]  So you don't want to say anything you want to be the you don't want to be the guy, you know, you don't want to be
[08:41.700 --> 08:47.300]  The guy, you know who makes fun of someone because they start wearing glasses. I actually had to start wearing glasses in high school
