[00:00.000 --> 00:02.000]  Hello there
[00:02.440 --> 00:04.200]  Hello
[00:04.200 --> 00:06.200]  How was the Yankee game?
[00:07.880 --> 00:09.880]  It was
[00:10.440 --> 00:13.240]  Emotional and then it was extraordinarily disappointing
[00:13.840 --> 00:19.400]  And because I was at the Yankee game today, I probably gonna sound like I've taken the chain smoking
[00:22.040 --> 00:27.620]  Well, you know they they they can set up the special events, but they can't usually can't fix the outcome
[00:27.620 --> 00:30.060]  No, you know it
[00:31.820 --> 00:33.700]  I'm not gonna go all baseball
[00:33.700 --> 00:36.840]  We've got tons and tons of nerd stuff to talk about but it you know
[00:36.840 --> 00:41.000]  It was bad that I don't even know why I haven't because it's funny when you go to a game
[00:41.000 --> 00:47.380]  Sometimes you don't you know and like the cell phone reception is bad because there's 48,000 people all trying to use the same network and
[00:48.300 --> 00:51.820]  So I didn't follow the Twitter. I don't I didn't follow any of the Yankee beat writers
[00:51.820 --> 00:53.820]  I don't know what the explanation is, but
[00:53.820 --> 00:59.240]  The Yankees designated hitter today was Steven Drew who's hitting?
[01:00.000 --> 01:02.500]  160 and has five home runs on the season
[01:03.620 --> 01:06.140]  They like picked him out of like off waivers
[01:06.660 --> 01:10.840]  Like three weeks ago and they never pinch it for me. They got to the end of the game
[01:10.840 --> 01:15.580]  They had a man on first they're down by two and drew is up again and there's nobody on the bench
[01:15.580 --> 01:18.020]  And this is after the the roster expansion
[01:18.780 --> 01:21.660]  That's how that's how bad Yankees
[01:21.660 --> 01:27.820]  That reminds me as a fan of a National League team. This happens a lot when National League teams again. Yes
[01:27.820 --> 01:31.580]  We're talking about baseball when nationally teams try to play in the American League
[01:31.580 --> 01:34.960]  Sometimes they're like they're designated hitter is just some guy
[01:34.960 --> 01:41.080]  We're like literally the fourth outfielder because they don't have a designated hitter. So they're like, I don't know this guy
[01:42.780 --> 01:48.300]  But there's like designate a classic designated hitter is David Ortiz from the Red Sox right guy
[01:48.300 --> 01:54.260]  Who's always gonna try to knock the the the hide off the ball and just hit it hard and probably a good hitter
[01:54.260 --> 01:57.820]  But at least also a power hitter, but in theory though
[01:57.820 --> 02:01.820]  You could put anybody there like you could put ichiro there and he's not a power hitter
[02:01.820 --> 02:06.540]  But if you hadn't, you know, you're like he's not you're like ninth best hitter, right?
