[00:00.000 --> 00:03.840]  Think you were on about two months ago. I don't know. I I'm trying to mix it up with guests
[00:03.840 --> 00:05.840]  But I really really wanted you back
[00:06.640 --> 00:08.640]  Now to talk about the watch
[00:10.040 --> 00:13.400]  Well, needless to say I have a full range of opinions about it, right
[00:14.280 --> 00:16.640]  And Renee and I last week just more or less
[00:16.840 --> 00:22.440]  Skipped it because we already filled up two hours with just the iPhone and and etc. I
[00:23.200 --> 00:27.000]  forget if I said this to Renee or if I put it in my review, but I
[00:27.000 --> 00:29.480]  I really do that. I understand
[00:29.480 --> 00:34.600]  I think I put it in my review, but I understand why Apple did it that way in terms of the event
[00:34.920 --> 00:41.400]  You know phone Apple pay and the introduction of the watch all at once, but it really
[00:42.320 --> 00:50.020]  To me gave short. What's the word shrift? What's the word short short shrift to to the iPhone 6?
[00:50.020 --> 00:57.780]  To me and I understand why they did it but boy and as a writer someone trying to get a handle on all of this
[00:58.580 --> 01:00.580]  It it was just impossible
[01:00.740 --> 01:06.820]  You know and you get you know, 30 minutes 40 minutes after the event to talk to Apple reps and there was just no way
[01:07.820 --> 01:14.060]  It always seems to go by fast and I always come up with questions good questions as soon as I'm out of you know
[01:14.060 --> 01:17.400]  And the event is over but this time it was just impossible
[01:17.400 --> 01:22.460]  It was like I did I really felt like there was no way to ask all the quick because I wanted to I wanted an
[01:22.460 --> 01:25.300]  Hour to talk about both things, you know the phone and the watch
[01:28.140 --> 01:30.620]  You think look at all the kind of bad news
[01:31.740 --> 01:36.600]  That the phone has gotten this week. And obviously it's an annual tradition that there's some sort of
[01:37.560 --> 01:39.560]  Some sort of gate, you know every year
[01:39.900 --> 01:44.580]  Apple spotlight had a great post on this thing that basically everyone comes down to people not understanding physics
[01:44.580 --> 01:46.580]  If
[01:46.940 --> 01:50.700]  You think about it the the phone never got the positive cycle in some ways
[01:50.820 --> 01:56.520]  Yeah, because it was just the the week where everyone's talking about the phone was drowned out by everyone talking about the watch
[01:56.520 --> 01:59.460]  And but it still got the negative cycle. I don't think it's gonna hurt
[01:59.460 --> 02:04.000]  I don't think it's gonna hurt it really but it's interesting that the whole cycle has been kind of
[02:04.900 --> 02:06.900]  Upset a little bit
[02:07.940 --> 02:12.700]  Yeah, I definitely think so and you know, it's you know, I guess we're coming up on
[02:12.700 --> 02:14.020]  Mmm
[02:14.020 --> 02:16.380]  three weeks since the event I
[02:17.300 --> 02:21.140]  Think so. Yeah, I feel yeah, it'll be three weeks come Tuesday
[02:21.140 --> 02:26.020]  so, you know, it just still feels like that iPhone. Yeah, it just never got the
[02:27.020 --> 02:28.780]  the positive
[02:28.780 --> 02:33.940]  Part everybody was so, you know into the pay and the watch in the first week
[02:34.980 --> 02:38.720]  Then there were just a few days, you know that that brief period between when the review
[02:38.720 --> 02:45.400]  Embargo is over and then when they have people actually get their hands on their phones, you know, Friday morning
[02:46.160 --> 02:48.160]  And then that was it, you know
[02:49.160 --> 02:51.160]  Yeah, it's interesting. I mean I
[02:52.280 --> 02:53.680]  Obviously
[02:53.680 --> 03:01.200]  Well, we should talk about it more the whole iPhone and watch being together because I thought pre event
[03:01.200 --> 03:03.200]  It made a lot of sense
[03:03.200 --> 03:08.560]  Because I went into the event looking for the watch to be more of a phone accessory
[03:08.560 --> 03:11.820]  And that was some of my criticism of the event was that it the way it was presented
[03:11.820 --> 03:14.920]  It wasn't really an accessory it needed it, but it but it wasn't
[03:15.900 --> 03:20.800]  But if that's the case, then maybe they didn't need to necessarily be presented together
[03:22.180 --> 03:29.000]  so I there's that it's actually really interesting to think about the the kind of the the optics perspective of how they
[03:29.220 --> 03:31.220]  introduced both products
[03:31.220 --> 03:39.060]  and they didn't need to be introduced together and part of why they didn't need to be is that the watch does work with I
[03:39.060 --> 03:45.500]  Think all the way back to the 4s or at least to the iPhone 5 maybe it's just iPhone 5 but you know
[03:45.500 --> 03:49.060]  At least two two years of existing iPhones, you know
[03:49.060 --> 03:53.660]  I think Tim Cook said there's at least a hundred million people out there that already
[03:54.100 --> 03:58.740]  Even before the iPhone 6 hit already owned an iPhone that's compatible with the watch
[03:58.740 --> 04:00.740]  So
[04:01.780 --> 04:04.780]  They didn't need to like I think maybe if you know
[04:04.780 --> 04:10.020]  There's a story that came out this week that from the information that you know
[04:10.020 --> 04:13.860]  That Apple had been hoping to actually have the watch on sale this year
[04:15.100 --> 04:19.940]  Rather than just announcing it and hoping that it comes out early next year what they said
[04:19.940 --> 04:22.380]  They'd be lucky if it came out by Valentine's Day
[04:24.140 --> 04:26.980]  Which is interesting but not surprising to me
[04:26.980 --> 04:30.740]  I mean, of course, they would rather have it come out sooner rather than later, you know
[04:30.740 --> 04:36.980]  And like everything in all of us do most things end up taking longer than we had hoped
[04:38.060 --> 04:39.820]  Yeah, we should this is where we note that
[04:39.820 --> 04:44.500]  Well, we're running an hour late which which is fine because I'm a writer too is so I can appreciate you
[04:44.500 --> 04:45.740]  You just need to wrap it up
[04:45.740 --> 04:51.580]  But then I realized it's about Derek Jeter and I was much more conflicted in my in my emotions. Oh
[04:52.900 --> 04:55.700]  That that was the holdup waiting to start the podcast
[04:55.700 --> 04:58.460]  Yes, which is fine. Actually, I I appreciate
[04:59.100 --> 05:02.100]  Jeter and all that went down until you wrote in the article that uh
[05:02.260 --> 05:06.940]  It's been so long since the Yankees won and meanwhile, I'm sitting here as a Milwaukee Brewers fan
[05:06.940 --> 05:12.500]  We've never won anything and the just silent silent resenting you. Yeah, they really crapped out this year, too
[05:12.500 --> 05:16.980]  Oh, it's so brutal weren't they they were like 20 games over 500 at one point
[05:16.980 --> 05:17.940]  I don't know
[05:17.940 --> 05:22.780]  I don't know if was that many but they I mean they had like a 10 game leader division or something. Yeah
[05:22.780 --> 05:27.620]  It's it's it's it's it's the Brewers. Yeah, let's not talk about
[05:31.300 --> 05:35.140]  But I do think it helped though and that's why you know, I even said last week with Renee
[05:35.140 --> 05:41.100]  It's why a month prior in August that I sort of hinted that I thought the watch would be announced
[05:41.620 --> 05:47.380]  In the September event is that it's combined with the fact that they do kind of go along with each other
[05:47.380 --> 05:53.860]  And if they were gonna talk about like health kit and you know the m8
[05:55.260 --> 06:02.060]  Thing on the phone and fitness tracking they certainly are companions, you know siblings in that regard
