[00:00.000 --> 00:05.400]  Fashionably late as always. It's pretty good for me. Yeah eight minutes
[00:08.800 --> 00:11.140]  Because you guys do the live thing on ATP
[00:11.140 --> 00:15.680]  So you've got to be on time because people are sitting there and refresh on that on the website
[00:16.320 --> 00:18.320]  That's not why we're on time
[00:19.800 --> 00:21.800]  Why are you on time
[00:22.800 --> 00:24.800]  Self-respect, I guess
[00:24.800 --> 00:30.600]  Standards, right? We're East Coast people your East Coast person to be supposed to be representing for us instead
[00:30.600 --> 00:33.800]  You're you going to Las Vegas mode. I
[00:35.160 --> 00:38.640]  Don't think it's that bad, but it is sort of a West Coast personality trait
[00:39.160 --> 00:42.800]  now the West Coast move which is also your move is like
[00:43.960 --> 00:48.720]  Nine o'clock rolls around or whatever time we're doing and you realize oh, I forgot about that and you immediately
[00:48.720 --> 00:54.720]  A petition for a 15-minute delay and then you have a five-minute delay after the 15-minute delay
[00:57.160 --> 00:58.960]  Sorry
[00:58.960 --> 01:02.000]  Makes you endearing. Oh, you sound like you're in a good mood
[01:03.160 --> 01:05.800]  Yeah, sure. Sure. Why not busy week?
[01:08.600 --> 01:13.880]  So I finished listening to now probably an episode behind though because you guys probably recorded last night
[01:13.880 --> 01:19.280]  The context we we are recording right now. It's Thursday, October 23rd
[01:19.840 --> 01:22.840]  You guys probably did an ATP last night, but it's not out yet
[01:22.840 --> 01:28.160]  So I might be behind but I did listen to last week's show where you talked about your Yosemite review
[01:28.820 --> 01:36.140]  We talked more about it yesterday and yesterday's episode as well. So well, I'll try not to well if if we venture into
[01:36.480 --> 01:40.860]  Duplicating the same story territory. You can just interrupt me and say, you know what listen to ATP because I want to do
[01:40.860 --> 01:45.360]  You know, it's no use wasting people's time. I'll say the same things twice. I don't care like
[01:45.960 --> 01:48.900]  the thing with all podcasts is and you know, this is kind of like
[01:49.680 --> 01:54.540]  It's like a first draft over your thoughts are and you just kind of on the spot and then you start thinking about it
[01:54.540 --> 01:58.280]  and you start talking about it and you you know, at least I do I kind of ramble and it's like
[01:59.000 --> 02:03.700]  Given time to think about that like I think I could say that again better and then obviously the ultimate is you like
[02:03.700 --> 02:07.640]  Oh, if I'm actually gonna write it, I gotta actually figure out what I really think but just sort of you know
[02:07.640 --> 02:12.760]  Anyway, I'd duplication. I don't mind give me a second chance to get it right. Yeah, totally
[02:14.480 --> 02:16.600]  And in a big picture I was thinking about this
[02:16.600 --> 02:20.440]  I don't know why because I guess it's it's just the way that human mind works, but somehow
[02:20.960 --> 02:26.300]  10.10 feels like a milestone, you know, it's like 10 even though it's not you know
[02:26.560 --> 02:29.880]  It's actually the 11th major version and it's the 12th
[02:29.880 --> 02:35.100]  I guess that you've reviewed because you did the public beta how many how many Mac OS 10 reviews have you done?
[02:35.100 --> 02:42.340]  So so I did developer preview to develop a preview three developer preview for public beta and then all the releases and it was also
[02:42.340 --> 02:46.780]  One or two thrown in there. They weren't really reviews. They were just like random like hey
[02:46.780 --> 02:48.780]  I just went to Mac world and here's some more stuff
[02:48.780 --> 02:51.380]  You might want to know about aqua and you know
[02:51.380 --> 02:55.380]  But if you wanted to go by the releases, I started a DB too because uh, yeah
[02:55.380 --> 02:59.740]  And I don't remember what I think I played with DB one, but I definitely didn't write it up. Hmm
[03:01.620 --> 03:04.120]  So I've been thinking about this and you mentioned this on ATP
[03:04.120 --> 03:08.860]  I don't want to get all maudlin but there's a chance you're thinking that maybe this last one that you just published last week might
[03:08.860 --> 03:11.620]  Be the last one you're gonna do you may not do next year's
[03:12.340 --> 03:14.140]  yeah, I
[03:14.140 --> 03:15.940]  You know we can get into that a little bit later
[03:15.940 --> 03:21.260]  But you know just thinking and this nice even round ten number. I do think the
[03:22.020 --> 03:27.420]  podcasts in general and you having been doing one regularly either ATP or
[03:27.420 --> 03:32.620]  What was your old show called hypercritical
[03:36.660 --> 03:42.160]  It seems like forever but it's not like when did hypercritical start I think like 2011
[03:42.160 --> 03:43.920]  Yeah, so it's only a handful of years
[03:43.920 --> 03:48.540]  But to me there's this huge difference as you know, and you and I got to know each other
[03:48.540 --> 03:52.620]  I don't even know when we first started emailing but it was a long time before we met but we are at least
[03:53.060 --> 03:55.100]  Email before during fireball started
[03:55.100 --> 03:58.600]  Because you were working at you were still working. I've told this story in ATP
[03:58.600 --> 04:03.300]  You gave me my first copy of BB edit or whatever the current version
[04:03.300 --> 04:06.820]  It was out then like it previously I had convinced work to buy it for my work
[04:06.820 --> 04:11.020]  But you worked at bare-bones that here you go. Here's a free copy of BB edit. I was like, oh awesome
[04:12.060 --> 04:14.060]  No wonder I lasted there so long
[04:14.660 --> 04:16.660]  He's given away their software
[04:18.220 --> 04:20.220]  Surefire customers
[04:20.220 --> 04:26.380]  Yeah, I don't know. Yeah, we've known each other since before there was even during fireball and and it's you know
[04:26.860 --> 04:28.860]  our interests are
[04:29.540 --> 04:31.540]  common first name are
[04:32.100 --> 04:39.560]  You know the fact that we're I think we're exactly the same age even 1973 close. You're a year older. I don't look older though
[04:42.220 --> 04:46.340]  But I feel like the universe was that it was destined for us to know each other somehow
[04:46.340 --> 04:51.780]  Like it just seems like it it just seems like no matter what, you know how the dice had been rolled somewhere
[04:51.780 --> 04:54.900]  You know in the intervening years we were gonna get to know each other
[04:55.420 --> 04:59.540]  It was a small world back then like for the the Mac nerds on the web
[04:59.540 --> 05:02.660]  it was just like it was we were all using the ie5 and
[05:03.380 --> 05:05.740]  experimenting with CSS and reading Zeldman and
[05:06.220 --> 05:10.720]  Like hoping Apple doesn't go out of business and before that we're all reading, you know Mac week
[05:10.720 --> 05:15.140]  Which you talked about on the last podcast and and Mac user Mac world
[05:15.140 --> 05:16.780]  Like it was such a small world
[05:16.780 --> 05:21.260]  Like if we had if we'd both gone to the same Mac world conference, we probably would have bumped into yeah
[05:21.260 --> 05:26.100]  I think that's almost certain because it was it it was they were small back then or it was you know
