[00:00.000 --> 00:01.000]  So where to start?
[00:01.000 --> 00:03.000]  I say, let's talk about Renee Ritchie.
[00:03.000 --> 00:04.520]  Let's talk, you're in review.
[00:04.520 --> 00:05.520]  Yes.
[00:05.520 --> 00:08.480]  Where better to start than January?
[00:08.480 --> 00:10.320]  It was a quiet beginning of the year.
[00:10.320 --> 00:11.960]  It was so quiet that people were, again,
[00:11.960 --> 00:13.360]  pounding the doom drums set up.
[00:13.360 --> 00:15.360]  It wasn't doing anything anymore.
[00:15.360 --> 00:16.120]  Yeah.
[00:16.120 --> 00:18.240]  And maybe even before we get into details,
[00:18.240 --> 00:22.280]  like January, maybe just take that and use it.
[00:22.280 --> 00:24.360]  Like to me, like the year in review as a whole,
[00:24.360 --> 00:26.520]  like with zoom out, big level,
[00:26.520 --> 00:29.120]  what are we going to look back on this year?
[00:29.120 --> 00:35.000]  I would say that this was the year where that sense,
[00:35.000 --> 00:38.640]  that Apple can't do it anymore since got rubbed away
[00:38.640 --> 00:41.520]  slowly but surely over the course of the year.
[00:41.520 --> 00:41.880]  I agree.
[00:41.880 --> 00:42.800]  I think it built up too.
[00:42.800 --> 00:45.200]  I think it reached a crescendo because people
[00:45.200 --> 00:46.840]  kept making a big deal of Tim Cook saying
[00:46.840 --> 00:50.360]  we'd be releasing new product categories throughout the year.
[00:50.360 --> 00:51.760]  And then as a month's ticked on,
[00:51.760 --> 00:55.920]  they seem to get more and more personally angry with him.
[00:55.920 --> 00:57.000]  Yeah, I think so too.
[00:57.000 --> 01:00.880]  And I think because the naysayers
[01:00.880 --> 01:04.640]  have been down on Cook overall anyway.
[01:04.640 --> 01:07.400]  Like that's the root of their naysaying.
[01:07.400 --> 01:09.480]  Yeah, I mean, we go over the short term,
[01:09.480 --> 01:10.840]  at least they wanted him fired.
[01:10.840 --> 01:12.440]  They said he was destroying Apple.
[01:12.440 --> 01:15.840]  They kept comparing him to Steve Jobs in a very negative way.
[01:15.840 --> 01:19.120]  And looking back at an eyesight, it's absolutely ridiculous.
[01:19.120 --> 01:22.360]  Yeah, I was just thinking that before we started recording,
[01:22.360 --> 01:26.080]  I was thinking that I don't think anybody called for that in 2014,
