[00:00.000 --> 00:01.000]  Hey, John.
[00:02.000 --> 00:05.000]  MGC, where are you doing?
[00:05.000 --> 00:07.000]  Good. It's been a long time.
[00:07.000 --> 00:08.000]  I know, months.
[00:08.000 --> 00:14.000]  I feel like I strongly suspect that I would never be as
[00:14.000 --> 00:17.000]  industrious as to actually check, but I bet this is the longest
[00:17.000 --> 00:19.000]  stretch you've been without being on the show.
[00:19.000 --> 00:20.000]  I think so.
[00:20.000 --> 00:21.000]  I think that's right.
[00:21.000 --> 00:24.000]  But you know, I live in London now, so that's part of the reason.
[00:24.000 --> 00:25.000]  Yeah, that is.
[00:25.000 --> 00:27.000]  It makes it a little bit harder to communicate.
[00:27.000 --> 00:28.000]  Yeah.
[00:28.000 --> 00:30.000]  It's funny, because it's going back to back.
[00:30.000 --> 00:34.000]  It's last episode was Ben Thompson, who's in Taipei.
[00:34.000 --> 00:36.000]  And now it's you in London.
[00:36.000 --> 00:39.000]  So I feel like I've gone around the world.
[00:39.000 --> 00:43.000]  And you've learned that it's international audience, hopefully.
[00:43.000 --> 00:49.000]  Yeah, I don't know that I honestly think it may be somebody in
[00:49.000 --> 00:51.000]  New Zealand or something could be further away.
[00:51.000 --> 00:55.000]  But that's about as far away as people can get.
[00:55.000 --> 00:57.000]  Well, this is much better.
[00:57.000 --> 00:59.000]  Normally I have to talk to the West Coast, and that's eight hours.
[00:59.000 --> 01:02.000]  And so that keeps me up, you know, one a.m. to a.m.
[01:02.000 --> 01:03.000]  for those types of calls.
[01:03.000 --> 01:06.000]  Yeah, I'll bet that that's actually pretty weird.
[01:06.000 --> 01:10.000]  Because I do feel like being lifelong East Coast,
[01:10.000 --> 01:15.000]  U.S. person, I feel like, you know, like Greenwich mean
[01:15.000 --> 01:17.000]  time isn't that far away.
[01:17.000 --> 01:21.000]  But for someone from the West Coast, it truly is.
[01:21.000 --> 01:23.000]  It's an entire eight hours.
[01:23.000 --> 01:26.000]  We'll see how I'm going to watch the Super Bowl.
[01:26.000 --> 01:29.000]  I think it starts at like 12, 30 or so.
[01:29.000 --> 01:31.000]  Maybe 11, 30 p.m.
[01:31.000 --> 01:34.000]  And then it's going to go obviously to like 2, 30 a.m.
[01:34.000 --> 01:37.000]  Obviously they have a lot of different bars and stuff set up
[01:37.000 --> 01:40.000]  over here to show it, but it will be weird.
[01:40.000 --> 01:42.000]  Because it's in Arizona, right?
[01:42.000 --> 01:45.000]  So is that West Coast or is that it's either West or Mountain time?
[01:45.000 --> 01:46.000]  But yeah.
[01:46.000 --> 01:48.000]  Arizona is definitely West Coast time.
[01:48.000 --> 01:49.000]  I think.
[01:49.000 --> 01:50.000]  Definitely.
[01:50.000 --> 01:51.000]  Definitely.
[01:51.000 --> 01:54.000]  But isn't Arizona one of the, no, or is it New Mexico?
[01:54.000 --> 01:57.000]  That's like one of the, like a holdout on.
[01:57.000 --> 01:59.000]  Yeah, one of those does not do it.
[01:59.000 --> 02:00.000]  And then Vegas does it weirdly.
[02:00.000 --> 02:03.000]  Like they sometimes are on one time zone,
[02:03.000 --> 02:05.000]  sometimes on another or something like that.
[02:05.000 --> 02:07.000]  Yeah, well, they legislate it in Vegas
[02:07.000 --> 02:09.000]  that there's no clocks anywhere.
[02:09.000 --> 02:10.000]  Right.
[02:10.000 --> 02:11.000]  Like a lot of, you have to like hide your watch
[02:11.000 --> 02:12.000]  when you get to the airport.
[02:12.000 --> 02:14.000]  They'll confiscate it.
[02:14.000 --> 02:17.000]  That's right.
[02:17.000 --> 02:19.000]  So the big news this week.
[02:19.000 --> 02:22.000]  I feel like we have to talk about it and can't skip it
[02:22.000 --> 02:26.000]  is the quarterly results from Apple.
[02:26.000 --> 02:27.000]  Yes.
[02:27.000 --> 02:29.000]  How do you miss that?
[02:29.000 --> 02:33.000]  And it's like, I know I'm not a finance blogger.
[02:33.000 --> 02:35.000]  I try not to overemphasize it,
[02:35.000 --> 02:40.000]  but I feel like in this case it's so outlandishly exceptional
[02:40.000 --> 02:43.000]  that you can't help but talk about it
[02:43.000 --> 02:45.000]  and write about it and will make links to it
[02:45.000 --> 02:46.000]  and stuff like that.
[02:46.000 --> 02:47.000]  Yeah, it's insane.
[02:47.000 --> 02:50.000]  I remember, I guess it was a couple of years ago,
[02:50.000 --> 02:52.000]  probably when I was obviously still with,
[02:52.000 --> 02:55.000]  maybe it was three years ago then when I was still with TechCrunch
[02:55.000 --> 02:59.000]  and I was obviously doing a lot of the coverage
[02:59.000 --> 03:02.000]  of the Apple earnings and each subsequent year
[03:02.000 --> 03:04.000]  there would go up and up and up.
[03:04.000 --> 03:06.000]  And one of the years it was like insane.
[03:06.000 --> 03:08.000]  It was like they made $13 billion in profit
[03:08.000 --> 03:10.000]  in the holiday quarter.
[03:10.000 --> 03:12.000]  So it was either two or three years ago.
[03:12.000 --> 03:14.000]  And it seemed like a time.
[03:14.000 --> 03:16.000]  Like, wow, that's amazing.
[03:16.000 --> 03:19.000]  It's sort of in that time when, you know,
[03:19.000 --> 03:22.000]  the margins were still very, very high
[03:22.000 --> 03:24.000]  and then everyone was thinking
[03:24.000 --> 03:25.000]  that they were going to start coming down
[03:25.000 --> 03:27.000]  because of different products that were coming out
[03:27.000 --> 03:29.000]  in the future iPad and whatnot.
[03:29.000 --> 03:32.000]  And so it seemed like the $13 billion might be a high
[03:32.000 --> 03:34.000]  watermark and now, you know,
[03:34.000 --> 03:37.000]  that's just been totally obliterated by this quarter.
[03:37.000 --> 03:39.000]  The thing that comes to mind for me,
[03:39.000 --> 03:41.000]  I keep thinking about it.
[03:41.000 --> 03:44.000]  I don't know why, because it's not like it's particularly
[03:44.000 --> 03:46.000]  even a number of years.
[03:46.000 --> 03:49.000]  But four years ago was the debut,
[03:49.000 --> 03:51.000]  or I guess it was five years ago.
[03:51.000 --> 03:53.000]  No, so it is kind of, it's a half decade.
[03:53.000 --> 03:56.000]  So five years ago, 2010 was when the original iPad came out.
[03:56.000 --> 04:01.000]  And I remember there were two things about that keynote
[04:01.000 --> 04:02.000]  that I that stand out to me.
[04:02.000 --> 04:04.000]  And it's not that iPad in particular,
[04:04.000 --> 04:09.000]  but it was that was when they introduced the A4
[04:09.000 --> 04:10.000]  system chip.
[04:10.000 --> 04:13.000]  And I remember Steve Jobs being very, very proud of it.
[04:13.000 --> 04:16.000]  And in hindsight, it wasn't that great of a chip,
