[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[00:04.520 --> 00:09.560]  You know what? I did I plugged it into a different USB port. Hmm. I got I think this is probably the last episode
[00:09.560 --> 00:11.560]  I'll record using this old
[00:11.600 --> 00:13.600]  air oh
[00:14.200 --> 00:20.300]  Are you gonna go to the new iMac now? Well, yeah, I guess I should I shouldn't why I don't record using the iMac
[00:20.300 --> 00:21.480]  I don't know
[00:21.480 --> 00:26.800]  Yeah, the air is powerful enough to do that. It's probably why the show sounds like shit
[00:26.800 --> 00:28.800]  Oh
[00:28.980 --> 00:35.900]  No, you know what and I actually know that this this old macbook air that I've used I I do it because I'm in some
[00:35.900 --> 00:38.220]  Ways, I'm a sentimental idiot and I think I've recorded
[00:38.900 --> 00:44.340]  Like every episode of the talk show for I don't know at least the last three four years using that air
[00:44.340 --> 00:48.520]  So I want to keep doing it. Yeah, I mean you said it makes no
[00:49.220 --> 00:50.180]  No, none at all
[00:50.180 --> 00:53.500]  But but you said not too long ago how in baseball as baseball fans
[00:53.500 --> 00:57.580]  There are people who are into the numbers and people who are into the story and that you're a story guy
[00:57.940 --> 01:02.900]  Right, right and yeah, you know the macbook air has got us got a story when I stopped using my road
[01:02.900 --> 01:07.660]  I was I was pretty nervous cuz I was like I've been using this since 43 folders Mac break weekly
[01:07.660 --> 01:12.860]  Like, you know, it's so dumb. It's I'm just changing to a better mic. Why would that matter?
[01:12.860 --> 01:17.380]  It shouldn't but I felt like a little bit disloyal. What did you switch to?
[01:18.020 --> 01:20.460]  Well, I tried a couple things. I'm using a sure
[01:20.460 --> 01:25.900]  SM 7b. No, it's got a it's super annoying cuz I got to go through a
[01:26.540 --> 01:28.580]  this pre-sonus
[01:28.580 --> 01:33.680]  Thing. Oh, I don't want that I dad that I think Marco was telling me about that. Yeah, I don't want to do that
[01:34.900 --> 01:39.980]  You know, I think I just listen to too much rock music. Hi when people have these conversations about stuff
[01:39.980 --> 01:45.220]  I just I just don't hear it. I don't hear what they're talking about. It makes me feel like a charlatan
[01:45.220 --> 01:53.220]  Okay, I don't I I mean I can notice in production values like when like the public radio show with a budget sounds different
[01:53.260 --> 01:59.820]  Than three guys talking about Linux, but like I don't notice that much about mics and stuff to you. No, I don't
[02:00.260 --> 02:02.260]  Yeah, you don't listen to a lot of podcasts though. Oh
[02:02.780 --> 02:07.800]  I mean, I don't listen to a lot, but I wasn't to enough but when I do I'm listening with earbuds
[02:07.820 --> 02:11.860]  So I you know, I don't think and a lot of times I would say
[02:11.860 --> 02:13.860]  easily
[02:16.260 --> 02:22.000]  85% of the time I'm listening to podcasts. I'm walking through the city. So there's so much noise
[02:22.840 --> 02:25.500]  You know, it's it's the quality of the mic
[02:25.500 --> 02:31.220]  I mean, you know, I I understand why people make it sound as good as they can but I could never hear the difference between
[02:32.580 --> 02:36.420]  Microphones did you uh, never get your driver's license back? I
[02:37.940 --> 02:39.940]  Didn't lose my driver's license today
[02:39.940 --> 02:45.780]  You probably don't remember it was on an episode of the talk show with Dan and you had the holiday party
[02:47.660 --> 02:50.100]  It's my favorite episode of the talk show and
[02:51.140 --> 02:55.820]  How they took your license away, you don't remember you probably don't remember that it was the holiday season. It's a lot to remember
[02:56.140 --> 03:00.580]  Yeah, I don't remember why they take my license away. Oh, I made it up
[03:00.580 --> 03:05.060]  I remember oh god now I remember
[03:05.940 --> 03:11.180]  Because you had so many points, right? I mean you refused to go to traffic school and Dan, you know the dance credit
[03:11.180 --> 03:16.420]  He played the entire episode straight. Yeah, really funny. Oh, that was a good that was HR HR
[03:17.060 --> 03:20.060]  Fluffy Puff. Yeah, and I got I
[03:20.700 --> 03:23.100]  Should write that down for the show notes. I got I
[03:23.100 --> 03:29.660]  Think most people got it, but I definitely got a fair amount of email from listeners who were telling me. Hey, you know
[03:31.260 --> 03:33.260]  Maybe you ought to get some help
[03:33.900 --> 03:38.560]  So, you know, that's not funny. It's not funny racking up all those points, you know
[03:41.020 --> 03:43.580]  Well that there was there they're like, you know, you're gonna learn
[03:44.100 --> 03:47.860]  When you hit a kid, you know crossing the street, right? Thanks, John. You got a kid
[03:48.540 --> 03:52.040]  Jesus Christ, you know, I I'm so tired of words
[03:52.040 --> 03:56.600]  I'm just gonna stop saying things. It's just I I give up I give up
[03:56.600 --> 04:00.360]  I'm just gonna make grunts and maybe like like sing a little humble little tune, but you know
[04:00.360 --> 04:01.320]  No matter what you say
[04:01.320 --> 04:05.840]  I mean a crack last night on the Twitter about how I wish Netflix in
[04:06.200 --> 04:12.200]  Streaming five seasons of mash the five good seasons of mash how I wish they would have it without the left track
[04:12.600 --> 04:13.720]  Mmm, oh my god
[04:13.720 --> 04:20.000]  I got so many responses from people on the one hand telling me how that's physically impossible since it's hard-coded
[04:20.000 --> 04:21.240]  and
[04:21.240 --> 04:26.280]  Then other people going sir. Did you know that you're good or the DVD tracks? I was like, yeah, you know what?
[04:26.280 --> 04:30.960]  I know all of that. I know all of that. I was just making a joke. It's it's just it's an ephemeral comment
[04:30.960 --> 04:36.600]  It's it's okay. Everything's gonna be fine. You must get that like to the 10th power, especially like when you're being jokey about
[04:37.520 --> 04:40.720]  Whatever sports. Yeah technology you must you must get so many
[04:41.440 --> 04:43.440]  Whackadoodle responses from people. Yeah
[04:44.000 --> 04:46.100]  It goes and flows I can never predict though
[04:46.100 --> 04:50.920]  Like I'll post some kind of you know, absurd tweet and I think oh god
[04:50.920 --> 04:56.080]  I'm gonna get so many people who take this seriously and then there's nothing and then I throw one out that I'm not even worried about
[04:56.080 --> 05:00.640]  And everybody, you know, John there is absolutely no way to know
[05:00.640 --> 05:07.080]  I make I make a lot of news related your mother jokes and every time I expect incredible blowback
[05:07.600 --> 05:14.320]  Nothing, that's fine. That's awesome. I make one crack about mash having a laugh track and like the entire peanut gallery rises as one
[05:14.320 --> 05:16.120]  But you know
[05:16.120 --> 05:18.120]  It's it's good. I'm just tired of words
[05:18.160 --> 05:22.360]  What was the deal with mash his laugh track the way I recall it is season one
[05:22.360 --> 05:25.840]  There was no laugh track and it was a ratings
[05:26.160 --> 05:27.580]  it was it was
[05:27.580 --> 05:33.520]  precipitous that it was like the ratings were so bad that it was on the border of not coming back for another season and that
[05:33.520 --> 05:38.320]  They one of the one of the changes they made between season one season two was they added a laugh track
[05:39.120 --> 05:41.120]  Yeah, I don't I remember
[05:41.120 --> 05:47.440]  Having read because you know, it most people who enjoy the mass show. It's a pretty hot topic
[05:48.400 --> 05:54.520]  Because you can on the DVDs. I don't own the DVDs. I hate DVDs. I hate physical media. I don't want them in my house
[05:54.520 --> 05:56.720]  I mean, that's me. That's my quarter of last resort
[05:56.720 --> 06:01.720]  Like I've got I've got all the James Bond films like everybody, you know, I bought about that hundred dollar blu-ray package
[06:01.720 --> 06:07.080]  I got that I got the Godfather and then I think I got a Dora or something like that, but that's about it
[06:07.080 --> 06:12.840]  And but yeah, they had an alternate track where you could have the audio without the laugh track
[06:12.840 --> 06:19.880]  I don't remember exactly how it happened except I mean think about the time. What is that? 72 73 something like that where every
[06:21.080 --> 06:27.860]  Every like three camera sitcom had a live audience. Like you got your all in the families and stuff and I think you know
[06:28.800 --> 06:33.960]  It probably seemed a little dead to people and some of the humor is prob was probably a little bit dry
[06:33.960 --> 06:40.600]  It's just it suddenly became not very dry when there's a very obvious laugh on it. I just I really hate laugh tracks
[06:40.600 --> 06:44.240]  No, they just they drive me crazy and you can actually go and you know
[06:44.240 --> 06:45.800]  If you know where to go, I know you don't do these things
[06:45.800 --> 06:51.920]  But you can find copies of it and it is actually a pretty different experience. You go watch my favorite episode
[06:52.640 --> 06:56.060]  Abyssinia Henry the one where Henry leaves you remember that episode
[06:57.320 --> 06:59.320]  It's the end of season three
[06:59.320 --> 07:06.160]  I'm sure I'm sure he dies. He gets shot out of the air and it's the episode right before trap trapper leaves
[07:06.160 --> 07:09.880]  It was the end of the season and it's got that amazing scene at the end where?
[07:10.320 --> 07:14.640]  Radar walks into the operating room and and reads the notice that Henry's dead
[07:14.840 --> 07:22.000]  it's incredibly moving and watching that episode without the laugh track is a real different thing because it's one of the great episodes of TV and
