[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[00:03.640 --> 00:08.760]  It's like you know everybody knows growing up that if you only have one I you you lose depth perception
[00:08.760 --> 00:13.000]  You know it and you can play with it for five minutes by closing one of your eyes or whatever
[00:13.000 --> 00:16.220]  But if you'd to spend two weeks with only one good eye
[00:17.760 --> 00:19.760]  fucking sucks
[00:19.760 --> 00:24.680]  I swear to god. I'm always bumping into people like like in the supermarket or like
[00:24.680 --> 00:29.800]  Shake shack. I just bumped right into a guy cuz I have no idea how close I am to people
[00:30.240 --> 00:34.560]  And it's not just depth perception, right? It's a blind side like you're living with the blind side
[00:34.560 --> 00:39.320]  So you have you know things coming at you from that side and you don't know they're there until the last second
[00:39.320 --> 00:44.680]  Yeah, I what did to me as a and I'm not driving I haven't even at but I live in a city
[00:44.680 --> 00:48.520]  So I don't need to drive but as a pedestrian when I hear footsteps
[00:48.520 --> 00:52.520]  It's my left eye and when I hear footsteps on my left from behind me. It's
[00:52.520 --> 00:58.840]  Total freak out it really is it's it is bizarre because it's like I don't see them until they're in front of me
[00:59.560 --> 01:03.960]  Like a primal response. Yeah, well, it's just years of city living
[01:03.960 --> 01:06.200]  I don't know you just if you hear footsteps behind you
[01:06.200 --> 01:10.840]  You know when you're supposed to see them if they're you know somebody's walking faster than you and they're gonna they're gonna
[01:10.840 --> 01:17.360]  Pass you you just know when you're supposed to see them and for it's like five or six feet off for me now
[01:18.120 --> 01:20.120]  It makes you wonder how
[01:20.120 --> 01:22.120]  Pirates got anything done I
[01:25.000 --> 01:27.560]  Think that's why they use telescopes instead of binoculars
[01:29.320 --> 01:35.480]  Yeah, that's like they were like binoculars. I only need one. Can you can I just could hang it half off if I just have the one?
[01:36.680 --> 01:41.880]  So Matthew Panzerina welcome to the talk show I can't believe it's been this long and that you've never been on the show
[01:43.400 --> 01:45.400]  Yeah, I was I was starting to get a complex
[01:45.400 --> 01:49.800]  You are my officially delegated surrogate from this week's
[01:51.160 --> 01:53.160]  Apple event two days ago
[01:53.560 --> 02:01.000]  Yeah, I was life-casting. We just had a permanent meerkat open. I just hung my life-casting camera around my neck. How about that app?
[02:01.000 --> 02:03.000]  I I just joined yesterday
[02:04.120 --> 02:07.880]  I haven't done anything with it yet, but what's the deal with that meerkat?
[02:09.400 --> 02:11.640]  I mean, it's interesting for sure there's
[02:11.640 --> 02:15.640]  There's been like like live streaming stuff like this for a long time
[02:15.880 --> 02:22.120]  You know the whole Justin Khan Justin TV thing which turned into Twitch and the whole bit so there's it's not like that
[02:22.680 --> 02:27.240]  This is a new concept. It's just there's a bunch of factors that are all aligning to I think
[02:27.880 --> 02:31.800]  Create an uptake of it like Twitter has critical mass now LTE is everywhere
[02:32.440 --> 02:38.120]  You know, there's a variety of of little things that have kind of added up to I think we're gonna see a little research into this
[02:38.120 --> 02:43.960]  But meerkat itself is interesting. It's it's one tap. You know, you can start streaming immediately
[02:44.280 --> 02:48.040]  It doesn't require you set up any accounts because he uses Twitter as a backbone
[02:49.800 --> 02:53.880]  Yeah, it's kind of compelling, you know, I I mean, I I'm not the kind of person who's gonna just
[02:54.520 --> 02:58.920]  stream constantly, but if I'm doing something really interesting like my first meerkat I did was
[02:59.640 --> 03:00.760]  on a
[03:00.760 --> 03:03.640]  Rollercoaster Disneyland, so a couple minutes
[03:03.640 --> 03:08.280]  Yeah, it's a couple minutes before I got on California screen when I opened it up
[03:08.600 --> 03:12.680]  and I started talking to people and you know before I knew it 30 40 people are on there, right?
[03:13.080 --> 03:17.080]  And they're just watching me stand in the line for the rollercoaster and so I said, okay
[03:17.080 --> 03:19.720]  We're gonna get on I was like give them a little rollercoaster history
[03:19.720 --> 03:24.360]  You know why this rollercoaster was different than other ones blah blah blah and I just sat there and like 30 people
[03:24.680 --> 03:26.680]  Came along with me on the ride. I held it up
[03:27.080 --> 03:31.400]  That was in front row. I held it up and they rode the rollercoaster with me which I thought was interesting
[03:31.400 --> 03:36.920]  So but if anybody out there doesn't know so meerkat it's an iPhone app
[03:37.560 --> 03:43.800]  I don't think it's is there an iPad version or is it iPhone only? No, it's just iPhone. So it's iPhone only no website no Android
[03:44.920 --> 03:49.880]  Not that I know no, I don't get iPhone only you sign in with Twitter
[03:49.880 --> 03:53.160]  You have to you know Twitter is the only option you sign in with your Twitter account
[03:53.640 --> 03:57.000]  And if you want to you can start streaming at any time
[03:57.000 --> 04:00.120]  And I guess it uses the FaceTime camera and or I guess either camera
[04:00.120 --> 04:03.640]  Yeah, either you can flip it back and forth and when you hit stream
[04:03.720 --> 04:07.560]  It tweets for you and just says whatever you want it to say like hey
[04:07.560 --> 04:09.640]  I'm outside the Apple event or hey
[04:09.640 --> 04:16.520]  I'm going on Space Mountain and then you're you know your Twitter followers will see the tweet and if they want to they
[04:16.520 --> 04:21.320]  They tap a thing and it takes them over to the meerkat app and they can watch it with you
[04:22.200 --> 04:23.160]  Yeah
[04:23.160 --> 04:27.560]  It's extremely simple the interface just has a little row of icons that kind of show you
[04:27.560 --> 04:29.560]  The Twitter
[04:29.560 --> 04:35.400]  Profile picture of the people that are watching and then they can when they reply to you in app
[04:35.720 --> 04:41.400]  It tweets publicly so the conversation happens in public on Twitter. Oh, right right and that is I think essential to it
[04:41.400 --> 04:45.320]  Is there when they reply to you the tweets show up in the app itself?
[04:45.320 --> 04:50.360]  So you could hold like and I saw a bunch of a whole bunch of people did this after the Apple event
[04:50.360 --> 04:54.200]  As they had to hold a meerkat session and do like Q&A and their Twitter followers could say
[04:54.200 --> 04:59.720]  Hey, am I can I just buy the millenies band on my own? Yes, yes, you can you know
[04:59.800 --> 05:02.040]  Whatever but they can ask the questions and you see them
