[00:00.000 --> 00:02.000]  You a Letterman fan?
[00:02.000 --> 00:04.000]  Uh, yes.
[00:04.000 --> 00:06.000]  You've been watching the end of the show?
[00:06.000 --> 00:12.000]  Sort of, yeah. I watched last night and the night before.
[00:12.000 --> 00:13.000]  Yeah.
[00:13.000 --> 00:16.000]  The Bill Murray popping out of a cake.
[00:16.000 --> 00:18.000]  That was kind of strange.
[00:18.000 --> 00:22.000]  It was like, to me, it was a real throwback to the 80s.
[00:22.000 --> 00:28.000]  I mean, that's the type of just nonsense from the late night show in the 80s.
[00:28.000 --> 00:30.000]  Yeah. And I don't know.
[00:30.000 --> 00:33.000]  Like, some of it, it almost seems like
[00:33.000 --> 00:37.000]  that the fact that Bill Murray was there was almost wasted.
[00:37.000 --> 00:38.000]  But I guess not.
[00:38.000 --> 00:42.000]  Because so much of it is reminiscing and the, you know,
[00:42.000 --> 00:44.000]  the old videos and that kind of stuff.
[00:44.000 --> 00:46.000]  But it was fun.
[00:46.000 --> 00:49.000]  Um, so we're recording on Wednesday,
[00:49.000 --> 00:52.000]  the 20th Letterman's final show, Will A, or actually,
[00:52.000 --> 00:53.000]  it's probably funny.
[00:53.000 --> 00:54.000]  I didn't even think about it.
[00:54.000 --> 00:56.000]  It's probably recording it as, as we are.
[00:56.000 --> 00:58.000]  Well, that's actually kind of,
[00:58.000 --> 01:00.000]  oh, that this gave me like goosebumps.
[01:00.000 --> 01:02.000]  Should we hang up and go?
[01:02.000 --> 01:04.000]  It's funny.
[01:04.000 --> 01:05.000]  I've never gone.
[01:05.000 --> 01:07.000]  I'm a huge Letterman fan.
[01:07.000 --> 01:09.000]  Never once saw him live.
[01:09.000 --> 01:11.000]  And I do kind of regret that.
[01:11.000 --> 01:14.000]  I never got to see Jordan live either.
[01:14.000 --> 01:15.000]  So it's okay.
[01:15.000 --> 01:16.000]  Yeah.
[01:16.000 --> 01:17.000]  We'll live.
[01:17.000 --> 01:18.000]  Did I ever see Jordan live?
[01:18.000 --> 01:19.000]  I don't think I did.
[01:19.000 --> 01:20.000]  I don't think I did.
[01:20.000 --> 01:22.000]  I think I wasted all of those years.
[01:22.000 --> 01:23.000]  Yeah.
[01:23.000 --> 01:25.000]  I almost had, I had tickets once.
[01:25.000 --> 01:28.000]  One time early on in the run of,
[01:28.000 --> 01:30.000]  uh, his show on CBS.
[01:30.000 --> 01:32.000]  So this was probably, I think about,
[01:32.000 --> 01:36.000]  it's probably 1998 thinking about where I lived.
[01:36.000 --> 01:38.000]  I had a roommate for a year.
[01:38.000 --> 01:41.000]  And they did a thing where they were going to,
[01:41.000 --> 01:45.000]  uh, have like a whole week of shows
[01:45.000 --> 01:48.000]  where their audiences were all going to be from the same city.
[01:48.000 --> 01:49.000]  And so one night that week,
[01:49.000 --> 01:51.000]  the whole audience was from Philadelphia.
[01:51.000 --> 01:52.000]  And yet, you know,
[01:52.000 --> 01:55.000]  you entered a contest and you did it.
[01:55.000 --> 01:56.000]  And my roommate and I thought,
[01:56.000 --> 01:57.000]  you know what?
[01:57.000 --> 01:58.000]  We've never gone.
[01:58.000 --> 01:59.000]  We've always wanted to see Letterman.
[01:59.000 --> 02:01.000]  Let's enter this and we'll be in the Philly crowd.
[02:01.000 --> 02:02.000]  And we won.
[02:02.000 --> 02:04.000]  And so we got, you know,
[02:04.000 --> 02:06.000]  I don't know, thousands of people entered.
[02:06.000 --> 02:08.000]  We were one of like three, you know,
[02:08.000 --> 02:10.000]  300 who got two seats.
[02:10.000 --> 02:14.000]  And all we had to do was show up for like a bus around noon
[02:14.000 --> 02:17.000]  and they were going to bus everybody up together.
[02:17.000 --> 02:20.000]  Um, and we're getting ready to go.
