[00:00.000 --> 00:02.000]  Don't even know where to start. What do you want to start with?
[00:02.800 --> 00:08.060]  Johnny, I've Johnny I've I guess that's probably historically the biggest news of the week
[00:08.060 --> 00:10.060]  So we just talk about our new black watches
[00:14.640 --> 00:19.960]  So Monday Memorial Day US holiday I
[00:22.600 --> 00:24.600]  Was just I
[00:24.600 --> 00:30.260]  I so did not know what to make sense of this when it hit a story came out in the telegraph in
[00:31.040 --> 00:33.040]  the United Kingdom
[00:33.600 --> 00:35.740]  written by Stephen Fry who
[00:36.600 --> 00:43.000]  Though I don't I have some complaints about the article is a wonderful, you know, one of the world's most
[00:43.800 --> 00:45.800]  beloved
[00:45.800 --> 00:50.120]  Figures I mean he's a comedian actor writer longtime Apple fan
[00:50.120 --> 00:56.200]  And wrote a profile and I guess you'd call it a profile. I don't know it even the headline is weird
[00:56.200 --> 01:03.040]  It's the headline is when Stephen Fry met Johnny I've the self-confessed tech geek talks to Apple's newly promoted
[01:03.600 --> 01:05.600]  chief design officer
[01:07.120 --> 01:14.080]  In an exclusive interview in which I've's promotion is revealed for the first time Stephen Fry meets Johnny I've and his boss Apple chief
[01:14.200 --> 01:17.320]  Executive Tim Cook to talk spaceships design and Steve Jobs
[01:17.320 --> 01:19.320]  And
[01:20.280 --> 01:22.280]  So, you know
[01:23.400 --> 01:27.880]  So part of the news it's it's sort of a first-person account of hanging out with Johnny
[01:27.880 --> 01:30.160]  I've and Tim Cook which in and of itself is interesting
[01:30.160 --> 01:35.280]  but to me that it and the part that's just odd to me is that this this is how Apple chose to
[01:36.280 --> 01:38.280]  unveil the
[01:38.960 --> 01:40.960]  What would you call it the?
[01:41.000 --> 01:47.120]  Executive change which is that Johnny I've has been promoted from senior vice president of design to chief design officer
[01:47.120 --> 01:49.120]  and two of his lieutenants
[01:49.760 --> 01:51.760]  Richard Holworth and
[01:52.600 --> 02:00.120]  Alan Dye have been promoted to new titles vice president Holworth is vice president of industrial design and
[02:02.720 --> 02:04.440]  Alan
[02:04.440 --> 02:09.380]  Excuse me. Sorry about that. Alan Dye has been promoted to vice president of UI design
[02:11.360 --> 02:13.360]  It's super interesting because
[02:13.360 --> 02:19.920]  Richard Horvath has been working with Johnny I've for a long time in the industrial design department there. They're very close-knit team very
[02:20.960 --> 02:27.520]  Involved team and Alan Dye came over with iOS 7 which is just a couple of years and it's I mean
[02:27.520 --> 02:32.720]  It's a super fascinating topic to talk about because the dynamic of ID is that they all did work together for so long and we're so
[02:32.720 --> 02:38.520]  Used to collaborating but with hi Johnny I was new to it and he needed someone who was a strong
[02:38.520 --> 02:43.460]  Collaborator in UI but he didn't go with any of the traditional like Greg Christie
[02:43.760 --> 02:46.580]  Yeah team he went with Alan Dye for marketing
[02:47.000 --> 02:51.000]  And then I had to collaborate because he doesn't drop pixels as far as I know
[02:52.040 --> 02:54.320]  Yeah, Greg Christie's an interesting, you know
[02:54.320 --> 02:58.120]  I don't and that's one of the reasons I wanted to have you on talk about this because I feel like you're a little juiced
[02:58.120 --> 03:01.220]  In your your at least your mental Rolodex is a little bit more
[03:01.480 --> 03:06.160]  up to date than mine on some of the names and stuff like that, but Greg Christie is a great example like
[03:06.160 --> 03:08.160]  where I
[03:08.320 --> 03:11.440]  Mean, I don't even remember what his title was, but I remember it goes certainly
[03:11.440 --> 03:17.560]  I bought they don't tell you one of the weird things about WWDC is that they don't tell you who's presenting
[03:19.600 --> 03:25.120]  Until you go to the session or until you start playing the session and there is a credit that tells you who it is
[03:25.120 --> 03:27.800]  who's talking to you, but in advance they don't tell you and
[03:28.720 --> 03:35.480]  Sometimes who is giving the presentation is actually more of an indication as to what the subject is going to be than this than the title
[03:35.480 --> 03:38.680]  Of the session. Absolutely. I think I last saw Greg Christie
[03:38.680 --> 03:39.640]  I don't know if you did anything last year
[03:39.640 --> 03:43.380]  But I saw him do the big presentation on how they designed photos for iOS a couple years ago
[03:43.640 --> 03:47.920]  Yes, I remember that one right and it just because it just so happened that I you know
[03:47.920 --> 03:51.400]  The user interface stuff was always more interesting to me and always a little bit more
[03:51.560 --> 03:55.860]  You know up my in my wheelhouse as one might say
[03:56.480 --> 03:57.840]  I
[03:57.840 --> 03:59.840]  Almost said in my wheelbarrow
[03:59.840 --> 04:07.080]  In my wheelhouse as one would say I wound up in Greg's Christie led sessions many times over the years
[04:07.080 --> 04:11.800]  I think I seem to recall a long time ago. There was even like one that was more like a panel discussion
[04:13.000 --> 04:15.560]  Like stuff that they don't really do at WWDC anymore
[04:15.800 --> 04:16.480]  But yeah
[04:16.480 --> 04:20.720]  That was Greg Christie was from back in the day when there was like a general hi
[04:21.200 --> 04:25.680]  Team. Yeah, that was sort of I guess really just reported to jobs
[04:25.680 --> 04:30.320]  I didn't didn't really have wasn't really part of any kind of chain
[04:30.880 --> 04:35.920]  Yeah, as far as I mean H. I was always sort of elevated at Apple beyond where they would have been like maybe another company
[04:35.920 --> 04:41.280]  That would have been slaughtered in under some VP of some software product division somewhere, right?
[04:43.440 --> 04:44.800]  But
[04:44.800 --> 04:50.000]  You know and as I've sort of written out it just dipping my toes in part of this is that
[04:50.000 --> 04:58.240]  part of this is that one of the reasons Johnny I've wanted to bring user interface design and under his design team's umbrella is
[04:58.880 --> 05:02.960]  that he wasn't exactly happy with all of the with the direction that
[05:03.400 --> 05:09.800]  That interface design had gone at Apple in recent years or in the years prior. I mean because obviously it was a change
[05:09.800 --> 05:12.960]  I mean there's no I mean whether you love the iOS 7 and Yosemite
[05:13.280 --> 05:19.400]  Looks or whether you don't like them or whether you're ambivalent about them. Nobody can deny that there was a shift in in
[05:19.400 --> 05:21.400]  in aesthetics
[05:21.400 --> 05:25.080]  Absolutely, and that I mean, I think it feels like Scott Forrestal gets blamed for a lot of that
[05:25.080 --> 05:25.560]  But you know
[05:25.560 --> 05:31.600]  it was Steve Jobs's airplane that had the famous stitched leather texture that you wanted and he was a big proponent of that sort of
[05:31.640 --> 05:35.760]  affordance and Greg Christie and I'm blanking on the gentleman's last name Baz who
[05:36.560 --> 05:39.400]  Testified on all the Samsung lawsuits and then subsequently left Apple
[05:39.520 --> 05:44.560]  They were intimately involved in the early years of the iPhone design that whole team and that whole focus
[05:44.560 --> 05:48.220]  And he really did feel like he wanted something new when he came in. All right
