[00:00.000 --> 00:10.560]  Ladies and gentlemen, Daring Fireball Productions is pleased to welcome you to mezzanine.
[00:10.560 --> 00:16.880]  Please silence your phones, take your seats, and welcome to the stage, You Look Nice Today.
[00:16.880 --> 00:44.320]  How's it going everybody? How you doing tonight? I am Merlin Mann. I am Adam Lissigore. And we're
[00:44.320 --> 00:53.480]  used to having our friend Scott Simpson out with us. Scott Simpson everybody. Scott Simpson. Hey
[00:53.480 --> 01:03.040]  Merlin. Yeah. Where's Scott Simpson? I have literally no idea. Did you like get with him?
[01:03.040 --> 01:07.440]  Oh see I was not under the impression that that was with something that I was false under the
[01:07.440 --> 01:14.680]  rubric of my general. I guess I assumed that was something John would take care of. I had also like likewise assumed that
[01:14.680 --> 01:21.520]  John would be taking care of this, notifying our partner. It's great to be here. How you guys doing tonight?
[01:21.520 --> 01:33.000]  This is going really really good. Am I right? This is going really well. I see some friends in the audience. Oh my God you guys. Oh so many five, seven, nine. Nine friends in the audience.
[01:33.000 --> 01:53.480]  This guy had no idea. He had no idea. Oh that's. F***ing Gruber. Jesus. What a homemade piece of shit that guy is. No, no. He is great. We're all here to celebrate John Gruber. I used to be into him.
[01:53.480 --> 02:02.200]  Oh I was there in the beginning. Oh look at me I'm real into Apple stuff. And I was there for a while. Me too. I love his Apple
[02:02.200 --> 02:09.200]  writing. He writes about Apple stuff. Sometimes when he posts from Disneyland he remembers to close the
[02:09.200 --> 02:31.760]  bracket. No I'm super into John. But no I am too. I love him. Yes. We're here for him tonight to celebrate John Gruber. We're all here. Doesn't it seem like he phones it in a little bit these days though? I had not noticed that. Not really? You don't notice that? No interesting. I think he's a solid writer. Claimed chowder? You don't notice that?
[02:31.760 --> 02:49.760]  I mean come on. It's the biggest company in the world. Like they're doing fine. You don't notice that? Yeah but the haters. The haters must be. Oh the haters. The haters. I heard he actually uses WordPress.
[02:49.760 --> 03:13.760]  With the cash off because it doesn't really matter. It's not nearly as popular as it seems. Nothing against the guy. He's like you know not as tall as he seems but. That is true. That is true. He's much much shorter in person. I heard he's actually not that into the Yankees.
[03:13.760 --> 03:42.760]  He's a little too far into this crowd. You know I was there with him. I was there like every step of the way. I wanted to be there. But we're here for him tonight. We love the guy. All of us. John Gruber. John Gruber everybody. John Gruber. The top show. I kind of feel a little bit like you're defending him. Like you're kind of a little bit on his side. Well of course I am. He is the reason that I am who I am today. In every way. In every way.
[03:42.760 --> 04:11.760]  Really. The man you are now is because of John. Pretty much. OK. Kind of don't get that. Something something Apple. He had a site. It's the Apple stuff. It's the well you know it's his passion. His singular passion and vision for the over the whole landscape of Apple. Of Apple and the culture of Apple. Yes. It's a celebration. Culture and celebration. That means something. It's very dear to me. Technology. What are you doing right now. I'm just I'm I'm literally curious about how he's inspired.
[04:11.760 --> 04:40.760]  Yeah but we're. This is not about. It's not about me. It's about. No. It's about the ads. OK. OK. So. This is fine. No. Tell him. Go ahead. Tell him. It's like a it's like a personal project for me. John's sponsored reads. I don't know if you guys remember when he started doing these. It was just.
[04:40.760 --> 05:09.760]  You know he can almost pronounce fracture. Yeah. You can almost pronounce the most words and. Just if we both love being on the show right. Yeah we do. We love I love it. I mean I've had a great time as a guest on his show. The reason in real time and the second and third time he does it. You just see. Yeah. You just have a nod nod. No. It's an audio presence of the master. Yes. Yeah. You sort of you sort of make up a story about the sponsor.
[05:09.760 --> 05:38.760]  Yeah. Right. I'm not getting paid. I feel like there might be a set of Christmas lights in front of him and it lights up and it just goes glass face. And then then like he says some words. It's kind of just the general like chef's salad of words that come out. But here's what I did. I noticed that he had a little difficulty really selling it. Selling the product. This is early on. And I took him and I took him under my wing and I molded him. He's like he's like a child to you. Yeah. Yeah. Yes. Yes. So there is some sort of.
[05:38.760 --> 06:07.760]  So there is some sort of ownership over John's sponsorship reads which are really like really world class. They are seriously the really good less slightly best C.P.M. to be. They are literally not the worst in the world so much every week anymore. But that's that's it's inspired you. It's like you see a child. Yeah. Right. I'm going to build a swing sedan. I'm going to push you. All I'm saying is he used to be and now he is. Yes. He's a giant in the sponsored reads world.
[06:07.760 --> 06:36.760]  You know it's it's really true our thanks to John Gruber. He's not as he's not as bad as he seems really. It kind of is. No he's quite good. And that is why it is a tremendous tremendous honor for Merlin and I to be here. There's a reason we call him the chairman. Ladies and gentlemen John Gruber.
[06:36.760 --> 06:51.760]  Thanks Scott.
[06:51.760 --> 07:06.760]  Welcome to the fourth annual live from WWDC talk show. I am John Gruber. This is the talk show. I'm assuming most of you are familiar with the situation.
[07:06.760 --> 07:26.760]  I have some administrative stuff to take care of before we really start the show proper. I will reiterate like I did last year. We have an open bar and we have a great sponsor who we can thank for that. You are all drinking on their dime and that's MailChimp.
[07:26.760 --> 07:42.760]  If you don't know MailChimp and you ever have the need for email marketing really check them out. MailChimp.com. Not kidding. I remember that you guys remember this two years ago. There's like a minimum here on the bar and we came up short.
[07:42.760 --> 08:00.760]  And it was very embarrassing to me and then I told you guys this last year. I said so seriously drink. And we went way over last year. That was better. That was better. So do that again. If you're thirsty go get another one. Seriously it's all on MailChimp. My thanks to them.
[08:00.760 --> 08:28.760]  First time this year we have live video. So we are hopefully going out to the world at large. Better to be here live but second best watch it on the stream. And that is thanks to Fracture. You guys know Fracture.
[08:28.760 --> 08:55.760]  Anybody here doesn't know Fracture? Well if you don't they have this great service. You go to FractureMe.com. That's their website. You send them your photos. They print them on glass. There's no frame around it. It's just right there on the glass. It looks amazing. They have great prices. They have sizes ranging from these index cards all the way up to big 23 inch by 29 inch size.
