[00:00.000 --> 00:02.000]  Tough fact to follow
[00:02.720 --> 00:05.920]  A little bit and I'd like to thank Phil for warming up the crowd for me
[00:08.120 --> 00:10.320]  Also a very different vibe. It's
[00:11.120 --> 00:17.920]  The live show atmosphere is so great and that it when it worked and it I think it worked pretty well last week
[00:17.920 --> 00:21.160]  It's pretty good feeling. I can't even imagine doing that every week though
[00:22.400 --> 00:24.400]  No, it's a different show
[00:24.400 --> 00:26.400]  It's yeah, it's great, but I mean
[00:26.400 --> 00:32.160]  I know you get nervous before a big interview, but you know, I'm not going to be that hard to just you know, I'll go with you
[00:33.680 --> 00:35.680]  Phil was pretty good though
[00:36.240 --> 00:39.280]  He's great. Yeah, you know what he was way more candid than I thought it was gonna be
[00:39.840 --> 00:42.400]  I don't think he would have done it otherwise, you know
[00:42.400 --> 00:47.920]  I mean like and I feel like that is that's the like I think that's the thing that people were most surprised by the other thing that
[00:47.920 --> 00:54.400]  I think people were surprised by was how clear it was that he reads our stuff, you know like his familiarity with Marcos
[00:54.400 --> 01:00.560]  Complaints and a couple of other things too, but it a couple people like the the the most common comments
[01:00.560 --> 01:02.080]  I got afterwards were
[01:02.080 --> 01:06.160]  Wow, that's a side of Phil Schiller. I've never seen before. He was very, you know
[01:06.160 --> 01:11.520]  He just was casual and combined with wow, he obviously you know pays attention to us
[01:12.880 --> 01:16.880]  Yeah, well most too. I mean we've known for years that he's been meeting most of the stuff, but
[01:17.680 --> 01:19.680]  It was nice to give a shout out to
[01:19.680 --> 01:26.080]  To your you know to your beloved guests. It was very good. It was a fun time at the show too
[01:28.000 --> 01:30.000]  Yeah, it was great. It was bad
[01:30.560 --> 01:34.720]  But you know what good job. I know I told you in person, but I'm sure if anybody listening to this is thinking it
[01:35.920 --> 01:38.240]  You did not screw up, so get on here
[01:39.280 --> 01:42.480]  And you nailed him quite a bit not nailed him, but you know what I mean like you held this feet to the fun
[01:44.320 --> 01:49.040]  Yeah, a little bit without being a jerk. That was the dance, you know is how do I ask the you know
[01:49.040 --> 01:53.120]  Questions that everybody in the room kind of wants me to ask and there's other ones that I missed too
[01:53.120 --> 01:58.000]  I mean we could and I had to it's like I had to decide what not to ask because you know an hour is
[01:59.200 --> 02:02.720]  A it was a little bit longer than I think that I'd told them that he'd be on stage
[02:02.720 --> 02:04.720]  I'd said like maybe like 45 50 minutes
[02:04.720 --> 02:06.720]  I think he was on stage for like
[02:06.720 --> 02:09.920]  56 minutes or something like that which was not a complaint. He thought it went well
[02:09.920 --> 02:11.920]  It was all smiles all around backstage
[02:12.080 --> 02:17.120]  But the other thing too is I feel like just the atmosphere of a live room. You can't do it like we do on these
[02:17.120 --> 02:19.120]  You know Skype
[02:19.120 --> 02:22.080]  Shows you can't go more than than 60 minutes
[02:23.120 --> 02:25.920]  Yeah, there's something more Skype. They just let you go off into the weeds and
[02:26.880 --> 02:30.400]  Whatever like take a break get your senses and just not make sense
[02:31.920 --> 02:36.400]  No, it's very direct right like we could have gone in like one that one thing like people have sent like or I wish
[02:36.480 --> 02:37.120]  I all you know
[02:37.440 --> 02:38.240]  That was a great interview
[02:38.240 --> 02:42.640]  But I wish you would have you know talked about blank and the one that's very common is the app store
[02:42.640 --> 02:47.760]  It um, but I do one of the reasons I didn't is there was nothing really new about it
[02:47.760 --> 02:50.000]  And I kind of wanted to focus a little bit more on
[02:50.480 --> 02:54.480]  You know current events and the other thing too is I feel like once you open that can of worms
