[00:00.000 --> 00:01.440]  Hello
[00:01.440 --> 00:03.440]  Man, you always sound so good. I
[00:03.720 --> 00:08.120]  Got I just am doing what Marco tells me to do. I know I've got it
[00:08.120 --> 00:11.400]  I keep saying I'm gonna do what Marco tells me to do and I haven't done it yet
[00:11.920 --> 00:13.600]  Well, he keeps changing his opinion
[00:13.600 --> 00:17.440]  I like I bought all the stuff that he told me to buy and then like a week later was like, oh, oh
[00:17.760 --> 00:22.760]  But this microphone is even better and then like two weeks later was like and then there's this microphone dude
[00:22.760 --> 00:24.760]  I'm not gonna keep buying microphones
[00:24.760 --> 00:26.760]  The
[00:28.640 --> 00:30.640]  Other thing that gets me to is the
[00:31.040 --> 00:32.280]  the
[00:32.280 --> 00:36.760]  Now that I have the watch I feel like it's one too many devices to have to silence before a podcast
[00:37.260 --> 00:39.680]  You know, I leave my watch silenced all the time
[00:39.680 --> 00:46.380]  I do too except when I don't and I at least have to I feel like I at least have to check it before recording
[00:46.900 --> 00:53.560]  Well, that's true. Yeah, I I leave it. I leave it off the whole time. I I can't remember the last time I turned it on
[00:53.560 --> 00:54.640]  I
[00:54.640 --> 00:59.880]  would kind of I don't know it might be I might be wishing for too much magic, but I kind of wish that there was
[00:59.880 --> 01:01.880]  like a
[01:02.180 --> 01:09.080]  Like a some kind of way to tie into iTunes or iCloud and say silence all my shit. Oh, that's
[01:10.080 --> 01:15.780]  Yeah, I mean the problem with the iPhones right and right just the iPhones have the physical silent switch
[01:16.780 --> 01:22.320]  So right you could silence it, but it would still be switched to on. I don't know. I did I think about that
[01:22.320 --> 01:26.320]  I wish I had a button to push, you know for the valuable podcasting demographic
[01:26.320 --> 01:28.320]  I wish I had a button to push that basically said
[01:28.920 --> 01:34.000]  Okay, stop syncing all your drop boxes and stuff. You're right. Make everything is silent
[01:35.360 --> 01:39.680]  Just enough already. I don't know I the Apple watch sound
[01:40.680 --> 01:44.760]  That is one of the least compelling things about that that product to me
[01:44.760 --> 01:50.080]  And I just I don't want to have like I can feel a little taps. I kind of don't need to hear the sound I
[01:50.080 --> 01:52.040]  I
[01:52.040 --> 01:54.040]  Kind of agree. I forget who I was talking to
[01:54.040 --> 01:55.200]  I don't it might have even been on it
[01:55.200 --> 01:55.360]  You know
[01:55.360 --> 01:57.640]  you never have that where you forget what you said on a podcast and wait
[01:57.640 --> 02:02.080]  Oh, yeah in real life because I I talk about the same stuff in real life that I talk about on shows
[02:02.080 --> 02:04.760]  Yeah, I guess no that was just a conversation
[02:04.760 --> 02:11.200]  I had that the default might be wrong that the default for the Apple watch might be to be silent, huh? I
[02:12.080 --> 02:15.200]  Can see why it's not because it's that's so
[02:15.200 --> 02:21.720]  So anti that a call to every other device you own but I feel like with the watch it it actually makes sense
[02:21.720 --> 02:23.120]  We're most people, you know
[02:23.120 --> 02:29.040]  Maybe by the and if you're new to it and you're unfamiliar and you're going through the infamous first week of getting to know Apple watch
[02:30.480 --> 02:35.560]  Defaulting to trusting the haptics or tactics, whatever you want to call them is I think the way to go
[02:36.040 --> 02:39.360]  Yeah, I don't see I don't see the point
[02:39.360 --> 02:42.680]  I mean I I could see the point in making noise when it's not on my wrist
[02:42.680 --> 02:46.280]  But when it's on my wrist and I can feel it I kind of feel like that's enough for me
[02:46.280 --> 02:48.280]  and that and the shame of it is
[02:48.840 --> 02:50.600]  if there are
[02:50.600 --> 02:53.520]  You know if there are instances where you should be
[02:54.520 --> 02:56.880]  Alerted audibly because something's going on
[02:57.680 --> 02:59.680]  you know you
[02:59.840 --> 03:04.120]  they're mixed in with the ones where it's pointless and so it's just you know, I just turn them off and
[03:04.640 --> 03:09.520]  You know, I'd much rather scale them back to have them be only when it's particularly important
[03:09.520 --> 03:12.840]  But you know right now it's like every time anything happens
[03:12.840 --> 03:17.320]  It wants to do a little ding and I don't need a little ding. I've got I've totally got the
[03:18.040 --> 03:21.800]  Haptic feel down. I know I know that it's tapping me
[03:21.800 --> 03:26.400]  I don't need a noise too and the noise annoys everybody else in the world the beauty of the the the
[03:27.000 --> 03:29.640]  haptics on the Apple watch is that nobody hears your your
[03:30.440 --> 03:33.920]  Your vibration like they hear it on the phone. It's just a complete
[03:33.920 --> 03:39.580]  Secret, you know message from from your watch to you. So why do I need a ding?
[03:40.280 --> 03:42.280]  You're recording right? I am recording
[03:42.920 --> 03:46.320]  We just got right into it. This is I'm always I'm always recording
[03:49.360 --> 03:53.620]  With Dan Moore in the other week and and and then halfway through were like, is this a podcast?
[03:53.620 --> 03:56.400]  No, it's not but I was recording it. It could have been
[03:58.400 --> 04:00.200]  Just in case why not
[04:00.200 --> 04:05.840]  So I've been I've been away. I've been on vacation for a while. So I am there has not been a show for a while
[04:05.840 --> 04:08.520]  There's not really been much news that's gone on
[04:08.520 --> 04:13.080]  it was seemed like I picked a very advantageous time to go on vacation news wise, but there was
[04:14.120 --> 04:19.040]  a couple of things that I was like, oh man, I wish I was had time to write about this because
[04:19.800 --> 04:25.960]  This is like a good like commentary type punditry type stuff that that burst out in the last two weeks
[04:25.960 --> 04:32.800]  But one of them I guess this is actually predates that this is all the way back to June which is when the new pebble
[04:32.800 --> 04:35.680]  Times started shipping. Did you get one of those? I didn't
[04:36.200 --> 04:43.240]  So you you were you wore the original pebble for years, right for the two years, basically
[04:43.240 --> 04:50.160]  I mean until until I got my Apple watch and I was one of the Kickstarter people so I got it in whatever February of
[04:50.160 --> 04:57.080]  13 something like that. So two years. Yeah, I kick-started it the original wart for like two days and
[04:57.840 --> 05:02.520]  I bought the new one too because I thought well, I mean I'm rooting for these guys
[05:02.520 --> 05:03.160]  I really do
[05:03.160 --> 05:04.880]  you know hope that that they I
[05:04.880 --> 05:10.400]  Pull it out and I think it's I think it's great that they have a different set of priorities not just to Apple but to
[05:10.400 --> 05:12.400]  everybody else in the space
[05:13.160 --> 05:18.600]  But I it really especially after having worn Apple watch for a while it it
[05:18.600 --> 05:24.760]  It just it's so far behind in so many ways that it just can't and the thing that made me think about it
[05:24.760 --> 05:27.220]  And just of all the things I want to talk about with you
[05:27.320 --> 05:30.840]  Get it out of the way first is you saying that when the tactics go off?
[05:30.840 --> 05:33.860]  You don't have to worry about people hearing them. Well when the pebble time
[05:34.520 --> 05:37.600]  Taptic goes off everybody in the room knows it. Mm-hmm
[05:38.640 --> 05:41.000]  You know for me it's and it's not their fault
[05:41.000 --> 05:46.440]  But as an iOS user I just I can see the writing on the wall before it was like, you know
[05:46.440 --> 05:54.160]  Apple had some Bluetooth stuff that would send out notifications and there were other devices that could support it including pebble and it seemed like
[05:54.600 --> 05:56.320]  You know, it was what it was
[05:56.320 --> 06:02.040]  but it was clear that in the background Apple was working on a watch and was going to put all their effort into tying iOS with
[06:02.040 --> 06:06.640]  That watch and you know when I saw pebble time, I thought you know
[06:07.280 --> 06:12.920]  it they keep adding features for Android because they can tie into all of the Android wear API's and
[06:12.920 --> 06:18.820]  It just seemed clear to me that that pebble was going to be a much better watch on Android than it was ever going to
[06:18.820 --> 06:22.660]  be on iOS because it was never going to be a priority for Apple to
[06:23.420 --> 06:25.960]  Support pebble because why would they they've got their own watch?
[06:26.620 --> 06:29.340]  Yeah, and even if you want to take a less cynical
[06:30.200 --> 06:33.140]  Competitive or if you want to say anti-competitive view
[06:33.140 --> 06:37.580]  It's just never gonna be a priority for them to spend the time to make those API's
[06:37.580 --> 06:43.340]  we're public and set of private even if they kind of in in their heart of hearts if Apple wanted to
[06:44.100 --> 06:48.140]  Support third-party watches like pebble as best they could on iOS
[06:48.500 --> 06:54.700]  They're never gonna have the API's cat caught up to where the private API's for Apple watch are just not
[06:55.220 --> 07:00.860]  Nor are they going to be as rich as what is in the the Android wear stuff on Android?
[07:00.860 --> 07:05.240]  So if you're pebble you're like, you know iOS is a nice market and you'd like to be there
[07:05.240 --> 07:10.880]  But your product is worse on it than it is on on Android. So I think I
[07:12.080 --> 07:17.840]  Understand why they're prioritizing things that way and I would make the same decision and I don't blame Apple because you know
[07:17.840 --> 07:24.680]  What does Apple want to focus on Apple watch or kind of vague third-party support that really would only be I mean
[07:24.680 --> 07:28.600]  Google's talked about doing you know Android wear support on iOS, but it'll be the same thing
[07:28.600 --> 07:35.780]  There'll be an app that ties into some basic Bluetooth stuff and maybe some Google services. They'll be able to do but you know
[07:35.780 --> 07:40.860]  I get the impression that Apple can do some very clever things in the background in terms of launching
[07:41.040 --> 07:46.820]  You know like launching apps grabbing the data sending it to the watch. That is not something that is
[07:47.240 --> 07:51.520]  Allowed by third-party apps and so they're always gonna be ahead of things. Yeah
[07:51.520 --> 07:57.120]  Yeah, and if that's already a problem on Apple watch and it is you know in terms of sometimes the latency between
[07:57.120 --> 07:59.120]  tapping the weather
[07:59.440 --> 08:05.640]  Complication on your face and actually getting the weather to update with Apple having the inside access to it
[08:05.640 --> 08:08.440]  Imagine how much worse it would be for someone relying on third party
[08:08.440 --> 08:14.140]  I can't help but think that that's why Google that was like a rumor leading up to was months ago actually, but
[08:14.640 --> 08:20.840]  A rumor leading up to IO that that was something that they might announce at IO in early June or late June or May
[08:20.840 --> 08:22.840]  whatever the hell IO was
[08:22.840 --> 08:27.960]  And didn't happen and I can't help but think that one of the reasons, you know, maybe the main reason why not that
[08:27.960 --> 08:32.800]  they haven't been working on it, but that it is so it pales in comparison both to
[08:33.560 --> 08:38.660]  Apple watch for iOS and Android wear for Android and so therefore why you know
[08:38.680 --> 08:40.400]  It's second rate either way
[08:40.400 --> 08:45.280]  No matter just my experience with the pebble thing is like pebble would update its apps in the background as long as the pebble app
[08:45.280 --> 08:48.620]  Was running and it would run for a while and at some point iOS would just kill it
[08:48.620 --> 08:53.260]  Because it hadn't been running for a while and it needed the memory and at that point that was it
[08:53.260 --> 09:00.100]  like pebble won't talk to the watch or I mean won't talk to the phone after that because you know, it's just an app and
[09:00.700 --> 09:02.700]  It doesn't have any special
[09:03.180 --> 09:07.780]  Powers there and you know, that's just that's just how it is. It's it's a it's a tough situation
[09:07.940 --> 09:11.180]  But I like them too. I like the idea that this is a
[09:12.020 --> 09:17.620]  Lower-cost, you know simpler the long life. I like the fact that it's got the long battery life
[09:17.620 --> 09:23.660]  There are lots of things to like about it. But you know, the fact is platform vendors have so much power over
[09:24.700 --> 09:31.740]  Over what these other products can do and at least with Google they can tie into the the stuff that Google built for Android wear
[09:31.740 --> 09:36.100]  And good for them that that makes that a more compelling product on Android, but an iOS
