[00:00.000 --> 00:03.800]  All right Adam before we get into the show proper I'm going to send you right now
[00:04.600 --> 00:10.840]  I'm going to send you a photograph. I took from my desk today. This was hours ago. You'll see it was daylight
[00:11.120 --> 00:13.760]  This was the view from my desk in my home office
[00:14.000 --> 00:21.140]  Okay, it it's at the back of our house. It overlooks a little courtyard in our our rear neighbors across the courtyard
[00:21.140 --> 00:36.980]  We're having some are are having some some home repairs done. Okay, it's going through through Skype. No, no, no
[00:36.980 --> 00:40.180]  I'm sending it as an eye message. Okay, keep it secure
[00:42.820 --> 00:46.280]  All right says that it's that there it is
[00:46.280 --> 00:52.520]  You know, I need you to realize that the the guy
[00:53.720 --> 00:55.720]  The top guy
[00:55.720 --> 00:57.720]  Is not that is not a
[00:58.680 --> 01:03.480]  A deck that is just a little sort of like a little ledge outside the show. Yeah
[01:05.160 --> 01:07.160]  Oh my god. What is he doing?
[01:07.960 --> 01:10.920]  It doesn't seem safe. It doesn't seem safe at all
[01:10.920 --> 01:18.480]  This is this is at least I don't know the third floor fourth floor. It's pretty high up and the other guy is on two letters
[01:18.480 --> 01:24.080]  He's traveling too loud. That's like a ripped pants Harold Lloyd gag in the making
[01:26.520 --> 01:31.840]  There is if you look it's hard to see because it's like the iPhone kind of focused on the screen in my window
[01:31.840 --> 01:36.520]  But if you look there is sort of like a blue rope. Yeah, go into the roof of the house
[01:36.520 --> 01:41.000]  But the rope is actually connected to the other ladder that isn't being used
[01:41.000 --> 01:47.200]  So it's like there's a ladder that has like a safety harness, but the guy doesn't have oh god
[01:49.640 --> 01:52.560]  Oh, these are some real real morons
[01:53.560 --> 01:56.540]  Oh, did you just stare for like an hour waiting for them to
[01:58.320 --> 02:02.280]  I had to close the window. I could not I couldn't get any work done my palms
[02:02.280 --> 02:08.520]  My palms my palms were sweating such that I could have cured the drought in California
[02:09.320 --> 02:12.280]  What were they doing? They're they're ripping up the
[02:12.840 --> 02:15.880]  Roof or something. I guess they're retiling the roof or something
[02:15.880 --> 02:18.120]  They're doing they're just doing work on the roof or whatever
[02:18.120 --> 02:20.120]  But the way that they are on these ladders
[02:20.680 --> 02:27.440]  Does not does not seem safe. No, it's not good. That's not OSHA standards. That's not to code
[02:27.440 --> 02:33.280]  The guy the one guy and he wasn't just straddling those two ladders for a second or two
[02:33.280 --> 02:34.320]  He
[02:34.320 --> 02:40.400]  Whatever he was doing up there was one foot on one ladder and one on another. I felt like I was watching a chaplain movie
[02:44.240 --> 02:46.240]  And my fear was I
[02:46.240 --> 02:52.360]  Was just feared for their lives and then apparently then then they started they got into an argument with apparently a rival contractor
[02:52.360 --> 02:59.200]  Who's doing? I what appears to be some other job on the same house, but there are they clearly not colleagues and
[03:00.040 --> 03:05.920]  And they got into an argument, but it's like the one group that's in the argument is 30 feet up in the air in a ladder
[03:05.920 --> 03:07.920]  I don't feel like that's the time to have an argument
[03:12.480 --> 03:16.120]  Yeah, they get into beefs those construction crews. They're
[03:17.600 --> 03:19.600]  It's very browy that culture
[03:19.600 --> 03:23.240]  We've had some work done on our house recently and
[03:25.320 --> 03:32.040]  If the crew doesn't like somebody on the you know, they'll do they'll do pranks. They'll do some fraternity shit
[03:35.640 --> 03:39.680]  For example, I don't know, you know like hiding the guy's keys
[03:39.680 --> 03:47.080]  For like hours, you know, not like and they're these are grown men. These are like men in their forties and fifties I
[03:49.520 --> 03:55.920]  I'm kind of glad that I don't work in an industry where it's it would be it's common place for people to hide your keys
[03:55.920 --> 03:59.120]  Excited I lose I lose my keys frequently enough on my own
[04:01.360 --> 04:03.360]  Yeah, that's just kind of permissible
[04:03.360 --> 04:10.520]  Adam so we talk about lots of stuff. We always talk about lots of stuff
[04:10.520 --> 04:16.480]  But I mean the big thing is Apple TV. So the last episode of this show I did it with Guy English
[04:17.040 --> 04:19.040]  was we were really just like
[04:19.760 --> 04:24.640]  I forget when we recorded Friday. Yeah, so I think we I definitely had it 24 hours and
[04:25.040 --> 04:30.720]  Guy had the dev kit one for a while, but it was really only hooked up like the dev kit thing really wasn't that useful
