[00:00.000 --> 00:04.520]  We've got rumors to talk about I love rumors. I know this is you know what I was thinking about
[00:04.520 --> 00:11.240]  I think this is sort of like I think this is the the the fall season here the you know, November December
[00:11.240 --> 00:14.160]  this is like peak rumor season because
[00:15.040 --> 00:20.840]  Nothing's coming out soon. Mm-hmm, but there are you know, Apple must be working on stuff for next year and beyond
[00:21.360 --> 00:24.360]  And so now is the time when the rumors start coming out
[00:24.360 --> 00:29.080]  the big one that I've seen the one that's got everybody in a tizzy is
[00:30.520 --> 00:37.000]  You know which one it is, right? Yes, I do. Which one is it? It's the the headphone jack thing exactly, right?
[00:40.680 --> 00:42.000]  That the
[00:42.000 --> 00:48.900]  Was a mini is a mini jack, right? Yeah, so the standard 3.5 millimeter headphone jack that's been in every
[00:49.360 --> 00:51.360]  device that I'm aware of
[00:51.720 --> 00:53.720]  for a long time
[00:53.720 --> 00:56.320]  Is supposedly it says one report
[00:59.840 --> 01:06.160]  Who had it originally here, let's see it was a Japanese rumor site right at some chapter of well not a rumor site, but
[01:06.720 --> 01:09.920]  Well, I guess there's a rumor site if it published so Mac rumors
[01:11.840 --> 01:13.840]  Right, it's
[01:13.920 --> 01:15.920]  Mac Oda Cara
[01:17.040 --> 01:20.380]  Which Mac rumors described as often reliable
[01:20.380 --> 01:22.380]  Often
[01:23.540 --> 01:28.900]  Well in this scheme of like publishing these things from the supply chain in Asia
[01:29.220 --> 01:34.620]  Often reliable if you say it with a straight face is actually high praise high praise, right?
[01:36.340 --> 01:38.340]  But it was it it was not
[01:38.860 --> 01:40.620]  sourced from
[01:40.620 --> 01:42.260]  digitimes, right
[01:42.260 --> 01:48.900]  No, it's there. They're so they didn't get it from digitimes. No their report cited a quote reliable source
[01:48.900 --> 01:50.900]  okay, and I
[01:52.900 --> 01:55.240]  Guess so it says here's here's Mac rumors
[01:56.340 --> 01:57.740]  translation of it or
[01:57.740 --> 02:02.540]  interpretation I guess I should say the report citing a quote reliable source and quote
[02:02.860 --> 02:08.980]  claims the new same-sized lightning connector will support lightning equipped and Bluetooth headphones and have a
[02:09.820 --> 02:15.860]  DAC or a digital to audio converter for backwards compatibility with wired
[02:15.860 --> 02:19.740]  Headphones using a standard 3.5 millimeters
[02:20.420 --> 02:22.420]  stereo jack a
[02:22.660 --> 02:26.460]  3.5 millimeter to lightning adapter would be required
[02:29.340 --> 02:33.620]  So the I guess the gist of it the way I interpret this and I don't think it's entirely clear the way I just
[02:34.140 --> 02:39.820]  Interpret it is that they're not replacing the headphone jack with a new proprietary jack
[02:39.820 --> 02:43.460]  They are simply getting rid of the headphone jack and you'll just have to plug in
[02:43.460 --> 02:46.460]  And you'll just have to plug in to the lightning
[02:47.140 --> 02:49.780]  Adapter that's already there or use Bluetooth
[02:52.300 --> 02:58.600]  Or use Bluetooth, but I don't see why this report says that the new lightning connector has anything to do with
[03:00.020 --> 03:04.820]  Bluetooth though, it doesn't seem like no idea. It doesn't make that doesn't mean I think that's a mistake
[03:04.820 --> 03:06.740]  That's what I mean about it being a little confusing
[03:06.740 --> 03:13.380]  I think what they mean is that you will you know, your options will be to either plug in headphones with a lightning connector a
[03:15.060 --> 03:19.020]  B use a new dongle that doesn't exist yet
[03:19.020 --> 03:24.260]  that'll be a you'll stick it in the lightning port and then you'll stick regular headphones into this dongle or
[03:24.940 --> 03:26.940]  C you'll switch to Bluetooth
[03:27.700 --> 03:29.700]  headphones or
[03:30.060 --> 03:33.420]  D you'll throw your phone in the river and
[03:33.420 --> 03:35.420]  Go
