[00:00.480 --> 00:01.920]  You were at CES.
[00:01.920 --> 00:02.760]  I was.
[00:02.760 --> 00:04.380]  Now, correct me if I'm wrong.
[00:04.380 --> 00:05.760]  So this is the second year, okay.
[00:05.760 --> 00:06.800]  And you came on the show last year
[00:06.800 --> 00:07.640]  and talked about CES, right?
[00:07.640 --> 00:10.280]  I think this might be our third or fourth
[00:10.280 --> 00:13.120]  annual CES discussion.
[00:13.120 --> 00:14.960]  And I think the first two I didn't go,
[00:14.960 --> 00:17.120]  and we were like, oh, we should go.
[00:17.120 --> 00:19.460]  And then last year I went for the first time.
[00:21.080 --> 00:25.160]  It is absolutely a John Groover, the talk show tradition
[00:25.160 --> 00:28.600]  that like mid January, I have someone on,
[00:28.600 --> 00:30.480]  we talk about CES, and then I say,
[00:30.480 --> 00:32.880]  you know what, damn it, next year I'm going.
[00:32.880 --> 00:36.680]  And then next year comes and goes, and I don't go.
[00:36.680 --> 00:38.600]  You almost need to start planning it now.
[00:38.600 --> 00:40.320]  And it's funny because they've already changed
[00:40.320 --> 00:43.720]  the website over to 2017 CES.
[00:43.720 --> 00:45.560]  I wonder if they have a script that does that.
[00:45.560 --> 00:48.040]  It was like the next day, boom.
[00:48.040 --> 00:49.840]  Their website's already turned over.
[00:51.280 --> 00:52.760]  It was great, man, I love it.
[00:52.760 --> 00:54.000]  It was super fun.
[00:54.000 --> 00:55.740]  It's absolute insanity.
[00:55.740 --> 00:57.040]  I mean, you go to Vegas a lot.
[00:57.040 --> 01:01.840]  It is, and I had not been to Vegas in 10 years actually
[01:01.840 --> 01:06.080]  before last year's CES, and it is absolute chaos.
[01:06.080 --> 01:09.600]  I mean, there are 200,000 people there who do not belong.
[01:09.600 --> 01:12.520]  They are, they are from, it's kind of neat
[01:12.520 --> 01:14.700]  because basically what happens is at the beginning
[01:14.700 --> 01:19.700]  of the year, not everyone, but 200,000 people
[01:19.720 --> 01:23.840]  who work in tech and in adjacent industries
[01:23.840 --> 01:25.820]  are all living in one city for a week.
[01:25.820 --> 01:28.580]  So you run into people who, you know,
[01:28.580 --> 01:30.040]  you would not expect to see.
[01:30.040 --> 01:34.760]  I'm totally like randomly ran into a guy in a restaurant.
[01:34.760 --> 01:36.720]  We were both waiting to eat at the bar
[01:36.720 --> 01:38.400]  and we ended up eating lunch together.
[01:38.400 --> 01:40.720]  Who's like, was partially responsible
[01:40.720 --> 01:44.960]  for the creation of the MP3, random, random stuff like that.
[01:44.960 --> 01:47.840]  And then you're like reading Slack and your coworkers are
[01:47.840 --> 01:50.240]  like, Hey, you know that Reed Hastings is giving a talk
[01:50.240 --> 01:53.020]  across, you know, in another place in Vegas.
[01:53.020 --> 01:54.380]  I'm like, no, I didn't know that.
[01:54.380 --> 01:56.440]  You know, there's, there's just so much going on.
[01:56.440 --> 01:59.080]  It's, it's absolute madness and chaos,
[01:59.080 --> 02:04.000]  but if you can tolerate it, and I guess enough trips
[02:04.000 --> 02:07.520]  to Tokyo have now made me totally chilled out
[02:07.520 --> 02:09.400]  around massive crowds.
[02:09.400 --> 02:10.240]  It's really cool.
[02:10.240 --> 02:11.220]  It's very special.
[02:12.280 --> 02:15.880]  I think the crowds, they wouldn't, that wouldn't bother me.
[02:15.880 --> 02:17.320]  I can take crowds in small doses.
[02:17.320 --> 02:18.160]  You know what I mean?
[02:18.160 --> 02:19.840]  Where I go to Disney a couple of times a year
[02:19.840 --> 02:20.880]  and stuff like that.
[02:20.880 --> 02:23.720]  What I like though with, if you go somewhere like that
[02:23.720 --> 02:27.680]  is if you can take the time to spend some time somewhere
[02:27.680 --> 02:30.000]  away from the crowd every day.
[02:30.000 --> 02:32.600]  Yeah, where it gets to you, I don't mind the actual crowd
[02:32.600 --> 02:35.840]  where it gets to you is that the, the infrastructure
[02:35.840 --> 02:37.920]  is just way beyond capacity.
[02:37.920 --> 02:40.720]  I mean, people are talking about waiting an hour
[02:40.720 --> 02:44.440]  just to get on the monorail, just to get into the station
[02:44.440 --> 02:47.040]  or, you know, you go, you want to go anywhere to eat lunch,
[02:47.040 --> 02:51.040]  forget it, like you're waiting, or they have this shuttle
[02:51.040 --> 02:55.160]  bus that goes from one, cause it basically takes up
[02:55.160 --> 02:58.320]  both the sands and the Las Vegas convention centers.
[02:58.320 --> 03:00.280]  And they have a shuttle bus, a free shuttle bus
[03:00.280 --> 03:02.040]  that goes between them.
[03:02.040 --> 03:03.880]  It can't be more than a mile.
[03:03.880 --> 03:04.720]  And you know what?
[03:04.720 --> 03:05.560]  It's not far.
[03:05.560 --> 03:07.840]  No, and I've walked it and it's totally walkable.
[03:07.840 --> 03:12.240]  I mean, there's barely any sidewalk, but this bus trip
[03:12.240 --> 03:14.980]  takes like 40 minutes because there's so much traffic
[03:14.980 --> 03:16.800]  because everyone else is in a cab trying to get
[03:16.800 --> 03:17.800]  between these places.
[03:17.800 --> 03:20.880]  And it's just madness.
