[00:00.000 --> 00:02.000]  You sound wonderful. Do you have a new microphone?
[00:02.520 --> 00:08.320]  No, I know I actually you know, I probably have the blackjack since the last time we talked I got a two by two
[00:08.480 --> 00:11.680]  Yeah, that's exactly what I have. It's nice. I like it
[00:11.720 --> 00:16.880]  I've only had occasional occurrences where it turns me into a Dalek, but otherwise, it's fine
[00:18.040 --> 00:20.880]  My thing is that I took I got the thing set up where?
[00:21.520 --> 00:26.280]  If I apparently sound okay, and then I took a picture of all these crazy dials
[00:26.280 --> 00:29.120]  If I ever lose that picture, I'm screwed
[00:29.800 --> 00:33.080]  You're just like I need to commit this to memory make Jonas memorize it
[00:33.080 --> 00:35.480]  I have no idea what any of this stuff means
[00:35.480 --> 00:40.760]  It's so it's very confusing to me, especially that all the extra buttons the in and out. It's like oh, yeah
[00:40.920 --> 00:45.720]  There's there are too many especially if you're only have one mic set up and you're not using the input monitor
[00:45.720 --> 00:49.520]  And it's just going into your computer. There's there's a lot more than you actually need there
[00:49.520 --> 00:52.800]  Yeah, I think that as I get older, I'm really rocketing towards
[00:53.440 --> 00:54.880]  demanding
[00:54.880 --> 01:01.160]  Extreme simplicity and everything I use but it's like the podcast I do enough podcasts where it really is worth it for me to sound
[01:01.160 --> 01:06.600]  As good as I possibly can and so I gave up on my beloved just plug it into a USB
[01:07.160 --> 01:13.120]  Microphone, you know, which I loved in theory, but everybody agrees that ever since I switched to this I sound better
[01:13.120 --> 01:18.360]  So yeah, the the mixers mixers make everything sound great. Although I did find a lightning USB mic
[01:18.360 --> 01:23.360]  That's not terrible that I've been using recently on the road. So that's my that's my good backup for now
[01:23.360 --> 01:28.560]  So what do you all right? All right, let's let's consider this part of the show. So I like lightning
[01:29.440 --> 01:33.480]  What would what what does that mean? You mean like podcasting from like an iPad?
[01:34.280 --> 01:36.080]  yeah, I
[01:36.080 --> 01:38.400]  podcasting from an iPad is still a pain in the ass, but
[01:39.120 --> 01:42.780]  Being able to record your audio on the go is really helpful
[01:43.840 --> 01:49.720]  previous to that I had like a little tiny lav mic that you'd plug into the headphones of your iPhone jack and it was just
[01:49.720 --> 01:57.560]  You know, it was better than talking on your iPhone, but not by much and I accidentally drowned my MacBook Air
[01:57.560 --> 02:03.200]  So my iPad is the only portable computer I have right now, which is kind of terrifying. Wait, which one did you drown?
[02:03.200 --> 02:11.080]  I drown my MacBook Air. No, my poor 11-inch MacBook Air was sitting next to my MacBook Pro or my my my iPad, bro
[02:11.080 --> 02:16.240]  And yeah bad things happened. I guess I do have a 15-inch MacBook Pro
[02:16.240 --> 02:20.080]  That's like six years old at this point, but I haven't booted it on and in like two years. Oh
[02:21.040 --> 02:25.040]  Man, so what are you gonna do? This is like a bad time to replace a MacBook. Yeah, exactly
[02:25.040 --> 02:28.000]  So I'm like, well, I've got the iPad Pro and I was making all this
[02:28.000 --> 02:30.600]  Hey about yeah, I do most of my work on it, which is true
[02:30.600 --> 02:36.400]  I do do a lot of like my portable work on the iPad now, but I was still like oh god now
[02:36.400 --> 02:39.440]  I have no safety net. Yeah more on that later. Yes
[02:39.440 --> 02:46.160]  we'll talk we'll talk about that later, but yeah, but I but um, but podcasting mics, so I tried the
[02:46.160 --> 02:50.320]  The Shure for a while and that that thing is a beautiful mic
[02:50.400 --> 02:56.080]  That is absolutely horrible because it requires a very it requires a specific app and it just it won't work
[02:56.080 --> 03:02.920]  If you just plug it into the iPad you have to open like the Shure app or GarageBand and anything else just like nope
[03:02.920 --> 03:07.000]  I don't recognize you as a microphone. Sorry, you don't get to work which is infuriating
[03:07.000 --> 03:10.120]  Um, so I got what's it called?
[03:11.080 --> 03:13.080]  Now I have to find it. I
[03:13.760 --> 03:15.240]  picked up the
[03:15.240 --> 03:21.520]  The Apogee not the not the Apogee one the one of its one of the little ones that's like 200 bucks
[03:22.200 --> 03:28.440]  From the Apple Store on a whim and I love it. It's so good and it works for everything. Hmm
[03:29.880 --> 03:34.280]  So I'm I this is like one of those things where I I don't know maybe I'm just an idiot
[03:34.280 --> 03:37.920]  but it's whenever I read about people trying to podcast from
[03:40.000 --> 03:44.480]  An iPad I get very confused and so I get in some ways
[03:44.480 --> 03:48.280]  It's I guess simpler than podcasting from a Mac and that you know
[03:48.280 --> 03:54.320]  All the multitasking involved in the different apps and everything. I have installed to do this in some ways is more complicated
[03:54.320 --> 03:59.360]  But because the Mac can do so many things at the same time and you don't have to worry about which app is frontmost or
[03:59.360 --> 04:01.120]  Whatever and you can run
[04:01.120 --> 04:04.240]  Things, you know dirty little hacks like call recorder for Skype
[04:05.240 --> 04:08.680]  To me. It just makes sense. It's like just totally makes sense
[04:08.680 --> 04:12.280]  And when I in and supposedly I still didn't go back and watch the video
[04:12.280 --> 04:16.920]  But I heard that in the event last month when when Phil Schuler said now you can podcast, you know
