[00:00.000 --> 00:02.000]  How is sunny California?
[00:02.000 --> 00:06.000]  It's great. I mean, it was snowing in Montreal this week before I left,
[00:06.000 --> 00:10.000]  which is just climate chaos, and then I got here and it was a heatwave, so it's great.
[00:10.000 --> 00:13.000]  Ah, so anyway, you are out there, I don't know what else you're doing,
[00:13.000 --> 00:18.000]  but I know yesterday you were at the grand opening of the new,
[00:18.000 --> 00:21.000]  or I guess it's not really the grand opening, I guess that's tomorrow,
[00:21.000 --> 00:28.000]  but the sort of preview opening of the new flagship Apple Store in San Francisco,
[00:28.000 --> 00:31.000]  right at the top of the hill at Union Square.
[00:31.000 --> 00:34.000]  Yeah, they did a sort of a preview event. It's opening officially on Saturday.
[00:34.000 --> 00:38.000]  It's when the general public can go and we'll see how normal people react to the store,
[00:38.000 --> 00:40.000]  especially when they're at capacity.
[00:40.000 --> 00:43.000]  But they had a small event yesterday with Angela Ahrens, which was very nice.
[00:43.000 --> 00:45.000]  So tell me about it.
[00:45.000 --> 00:48.000]  Well, the thing that was remarkable to me up front is they brought us in
[00:48.000 --> 00:50.000]  and they said Angela was going to speak,
[00:50.000 --> 00:54.000]  and there was all this Internet stuff previously about why is Apple hiding Angela Ahrens?
[00:54.000 --> 00:58.000]  Why isn't Apple showcasing her? Why isn't she on the stage?
[00:58.000 --> 01:00.000]  Is she even around anymore?
[01:00.000 --> 01:03.000]  And you knew that that was bullshit because you see her on campus.
[01:03.000 --> 01:07.000]  She's a presence at Apple. She's everywhere. She does phenomenal work.
[01:07.000 --> 01:11.000]  But she came out, and it was very similar to how I remember Johnny Ive coming out
[01:11.000 --> 01:14.000]  for the Unibody MacBook event many years ago,
[01:14.000 --> 01:17.000]  where she said flatly that it's not her favorite thing to do.
[01:17.000 --> 01:20.000]  And she asked for a bottle of water and she got talking,
[01:20.000 --> 01:23.000]  and she's so passionate that she wanted to do this,
[01:23.000 --> 01:27.000]  and clearly being on an Apple keynote stage is not top of her personal list of things.
[01:27.000 --> 01:32.000]  Oh, interesting. Maybe that's the simple explanation
[01:32.000 --> 01:35.000]  for why we haven't seen her on stage more often, that she doesn't want to be.
[01:35.000 --> 01:39.000]  Just like Johnny. I mean, not everyone wants to do that stuff.
[01:39.000 --> 01:43.000]  Yeah, I think people...
[01:43.000 --> 01:46.000]  For all of the...
[01:46.000 --> 01:50.000]  And some of it certainly warranted all of the debate
[01:50.000 --> 01:54.000]  over the diversity of the people who are on stage at Apple events.
[01:54.000 --> 01:57.000]  It's easy to overlook the fact that a lot of people really,
[01:57.000 --> 02:02.000]  not just don't like it, but really have...
[02:02.000 --> 02:08.000]  It's so stressful to go and speak in front of an audience that it's undesirable.
[02:08.000 --> 02:10.000]  They just don't want to do it.
[02:10.000 --> 02:13.000]  Yeah, or they work. I mean, like Craig Federighi, he was not great the first year he did it,
[02:13.000 --> 02:15.000]  but he got better and better every year at it,
[02:15.000 --> 02:18.000]  and some of that is just they're going to have to give people that time,
[02:18.000 --> 02:21.000]  opportunities, and maybe smaller events like this is a good way to do it.
[02:21.000 --> 02:24.000]  They can sort of get comfortable with it and then become very good at those jobs.
[02:24.000 --> 02:29.000]  There's that... I think it's Malcolm Gladwell who's got this theory
[02:29.000 --> 02:32.000]  that it takes 10,000 hours to get good at something,
[02:32.000 --> 02:34.000]  which, you know, roll your eyes, because it's Malcolm Gladwell,
[02:34.000 --> 02:37.000]  and it's sort of anecdotal, but with Craig Federighi,
[02:37.000 --> 02:39.000]  it's like he needed like an hour and a half.
[02:39.000 --> 02:41.000]  Yes.
[02:41.000 --> 02:43.000]  He needed like... He had like one...
[02:43.000 --> 02:48.000]  His first time he came back was, I think it was the Back to the Mac event that was at Town Hall.
[02:48.000 --> 02:52.000]  I was not there. I actually watched that one remotely.
[02:52.000 --> 02:56.000]  And he was doing the demos of these features on a Mac,
[02:56.000 --> 02:59.000]  and his hands were literally shaking.
[02:59.000 --> 03:04.000]  He really couldn't do the mousing required to do the demo.
[03:04.000 --> 03:08.000]  He was like clicking wrong because his hands were so shaky.
[03:08.000 --> 03:13.000]  It was almost hard to watch as, you know, unless, you know...
[03:13.000 --> 03:16.000]  It's hard to watch somebody who's that nervous speaking.
[03:16.000 --> 03:19.000]  Then like the next time he came out, he was much better.
[03:19.000 --> 03:21.000]  And then by the third time he did an event, he's like,
