[00:00.000 --> 00:07.680]  this is episode CLVI of the talk show. Oh, we're already up to CLVI.
[00:07.680 --> 00:14.360]  CLVI. I switched to Roman numerals last week. I didn't listen to last week's episode yet, so you and M.G. Seigler talked about Roman numerals again, huh?
[00:14.360 --> 00:21.360]  Yeah. That's ponderous. I got on it. I got on a rant because of the getting rid of the 10 in Mac OS X.
[00:21.360 --> 00:27.360]  Oh, right. And I've hated it all along. I hated it right from the first version. I don't like it.
[00:27.360 --> 00:32.360]  You have never liked OS X as the name of the operating system?
[00:32.360 --> 00:40.360]  No. I just think that it was X. X is the coolest letter of the alphabet, and it was a way to put the coolest letter of the alphabet in the name.
[00:40.360 --> 00:44.360]  But because it's so cool, half the people pronounce it O-S-X.
[00:44.360 --> 00:59.360]  I did it for years. I think I made John Sirquise a chart one time when I told him how I'd gone into the PHPMyAdmin and done a universal search to change all of my OS X as one word to OS SpaceX.
[00:59.360 --> 01:04.360]  You don't want to tell a Perl user that's how you fix stuff on the Internet.
[01:04.360 --> 01:05.360]  You got it from right inside of MySQL?
[01:05.360 --> 01:09.360]  Yeah, yeah. That's what I did.
[01:09.360 --> 01:13.360]  I felt so bad, though. It's like, how do I obliterate this?
[01:13.360 --> 01:17.360]  But isn't the conventional wisdom — you tell me. You're the Mac blogger.
[01:17.360 --> 01:24.360]  But isn't the conventional wisdom that they're going to switch to this kind of standardized way for Mac OS, iOS?
[01:24.360 --> 01:25.360]  I think it's almost certain.
[01:25.360 --> 01:26.360]  It seems sensible.
[01:26.360 --> 01:27.360]  Yeah, it seems very sensible.
[01:27.360 --> 01:40.360]  The only question is whether they're going to capitalize the M in Mac OS, even though they themselves don't capitalize the I in iOS or the W in Watch OS or the T in TV OS.
[01:40.360 --> 01:44.360]  They don't capitalize the T and the V.
[01:44.360 --> 01:45.360]  Right.
[01:45.360 --> 01:48.360]  They've got to go lowercase.
[01:48.360 --> 01:57.360]  Yeah, but the counterargument — and there was an unusual mistake for Apple to make.
[01:57.360 --> 02:05.360]  They had an environmental — whatever the day is where you celebrate the world's environment.
[02:05.360 --> 02:06.360]  What's that called?
[02:06.360 --> 02:07.360]  Green Day?
[02:07.360 --> 02:09.360]  Or Green Day, maybe Earth Day?
[02:09.360 --> 02:10.360]  Earth Day.
[02:10.360 --> 02:11.360]  What's the difference?
[02:11.360 --> 02:22.360]  On Green Day, they had a promotional page up, and they said something blah, blah, blah, and they spelled it Mac OS with a capital M closed up.
[02:22.360 --> 02:31.360]  I have another friend, my friend Nat, who said that this is going to bug him, because he, like us, goes back to the old days of the classic Mac OS, where they called the OS Mac OS.
[02:31.360 --> 02:37.360]  But back then, it was capital M-A-C space OS.
[02:37.360 --> 02:38.360]  Capital M, capital S.
[02:38.360 --> 02:41.360]  Set in Garamond.
[02:41.360 --> 02:50.360]  Yeah, but when you'd be writing about it, when you'd see publications that would mention it and spelled it closed up, you were spotting an error, right?
[02:50.360 --> 02:59.360]  So the way that we think they're now going to spell it was a late 90s frequent typo, and now it's going to be apparently the real way.
[02:59.360 --> 03:10.360]  I think, but the argument that they might capitalize it without capitalizing the other ones is that Mac is a registered trademark, and watch TV and I are not.
[03:10.360 --> 03:20.360]  Well, you know, the other thing is, think about it for so long, how, you know, Mac was a, you know, that was a name that insiders mostly called it.
[03:20.360 --> 03:28.360]  But, you know, it seems like, you know, just in the popular imagination, Macintosh and Apple for a number of years were synonymous, which is going to drive lots of people crazy.
[03:28.360 --> 03:39.360]  I know, I know there were things before the Mac, but Macintosh and Apple, to this day, John Roderick still calls the company Macintosh, I think, because that's for a long time, those were kind of conflated to be sort of the same thing.
[03:39.360 --> 03:46.360]  So Macintosh means something, Mac means something, but Mac OS, I mean, how much are they even?
[03:46.360 --> 03:55.360]  Well, here's a can of worms, but, you know, the Mac is not the central pillar in what they're doing anymore, and that reflects its place as part of the ecosystem.
[03:55.360 --> 04:00.360]  Who's the other guy on ATP?
[04:00.360 --> 04:04.360]  Oh, you're talking about the other guy? You're talking about Casey?
[04:04.360 --> 04:08.360]  Yes, on their show last week, they were talking about their excellent new t-shirt designs.
[04:08.360 --> 04:10.360]  You're the worst!
[04:10.360 --> 04:13.360]  That's a great design, I totally believe that.
[04:13.360 --> 04:27.360]  Well, I don't like the watch one. The ATP Apple slash BMW M is brilliant for that show. I saw that design and I was like, oh my god, how did that not...
[04:27.360 --> 04:38.360]  I think they ought to make that the logo of the show. I mean, it's amazing, because of the whole gimmick where they, the whole reason they even have the ATP show is that they had a car podcast for a while.
