[00:00.000 --> 00:08.000]  Oh boy. Once you start locking everything down. Wow. Do you unlock, can I ask you a question?
[00:08.000 --> 00:09.000]  Yeah, you can ask me anything.
[00:09.000 --> 00:14.000]  Do you, do you, let me cut this out. Do you unlock your Mac with your watch?
[00:14.000 --> 00:15.000]  I do.
[00:15.000 --> 00:16.000]  Wow.
[00:16.000 --> 00:20.000]  But I don't wear my, I don't wear my watch every day. But it's one of my favorite features.
[00:20.000 --> 00:27.000]  And it's actually one of the main motivators for me to wear my watch because I love that feature so much.
[00:27.000 --> 00:32.000]  I do. I trust it. And I find that it works amazingly.
[00:32.000 --> 00:35.000]  It works, you know, over 80% of the time, which is good.
[00:35.000 --> 00:42.000]  But man, it was a good excuse to finally switch over from two-step to two-factor.
[00:42.000 --> 00:46.000]  Wow. That's a heck of a thing.
[00:46.000 --> 00:56.000]  I did it. And I gotta tell you, I put it off for a long time. I only did it several weeks ago.
[00:56.000 --> 01:04.000]  There was like an update to, I forget if it was a Mac OS update or an iOS update where one of the features was,
[01:04.000 --> 01:09.000]  Hey, you know, we came out with this unlock your Mac feature with your watch back in October or whatever,
[01:09.000 --> 01:12.000]  but we made it really fast now. And I was like, you know what? I got to try it.
[01:12.000 --> 01:19.000]  I've been putting this off and I put it off because I didn't have the two-factor. I had two-step. Am I saying it right?
[01:19.000 --> 01:29.000]  Yeah. Yeah. The two-step, I mean, I didn't tell you the spec on this, but the, the, the, if you're trying to, if you're trying to determine which one you have running right now, well, it's probably two-step.
[01:29.000 --> 01:38.000]  And I think the easiest way to tell, and correct me if I'm wrong, I'm sure people will, with two-step, you get an SMS message with a four-digit code.
[01:38.000 --> 01:46.000]  With two-factor, you get like a more official looking like iOS pop-up and a six-digit code.
[01:46.000 --> 01:47.000]  Right.
[01:47.000 --> 01:56.000]  But switching over, switching over is cool. You want to not be having a holiday party when you switch over to two-factor.
[01:56.000 --> 02:01.000]  I've been, one night I got a, I got a MacBook, adorable. And I thought, okay, I'll give this a spin.
[02:01.000 --> 02:09.000]  And so I thought, you know, Oh, watching TV, watch TV set up two-factor. And I was trying to be that guy. I'm trying to be like security guy.
[02:09.000 --> 02:17.000]  So like, I don't leave iCloud. I don't tick the button to keep me logged in when I'm on a Mac with iCloud. I don't know why. It's just a dumb superstition.
[02:17.000 --> 02:26.000]  But so if memory serves, you got to go in, you have to first, you have to shut off. This is totally like Tom Cruise coming down the line, like you land right before you hit the floor.
[02:26.000 --> 02:37.000]  So you got to log in. And in my case, so I got a fact two-factor in two-step in. Okay. Not a problem. Have some drinks, set up two-factor. No problem.
[02:37.000 --> 02:46.000]  So, so far, so good. I two, two-step in. And first you got to shut off two-step. Like this doesn't make sense.
[02:46.000 --> 02:55.000]  First you have to shut off two-step and then to turn on two-factor and there might be another two-step at that point to make sure you want to shut off two-step.
[02:55.000 --> 03:08.000]  But in any case, then you get to where you have to put in three security questions and optionally, I think a phone number. And so I'm that guy, right?
[03:08.000 --> 03:21.000]  So like, I don't have the box ticked over here. I got one password. Oh, by the way, and I was trying to do this on an iPad. So, uh, initially, and so I, uh, and then eventually I moved to the MacBook Adorable.
[03:21.000 --> 03:35.000]  But point being, I'm, I'm not going to put in like the name of my high school. I'm not going to put in my favorite band or whatever. I have my own way of doing this by using a non-conventional answer to that, but I want to get it exactly right.
[03:35.000 --> 03:40.000]  So I type all of them into one password and then I'm copying and pasting them.
[03:40.000 --> 03:51.000]  I hate those security questions because I have a podcast and on a podcast I might occasionally, I might tell a story about my first grade teacher.
[03:51.000 --> 03:53.000]  Absolutely.
[03:53.000 --> 04:00.000]  I know that I've told stories about my crazy dog, Chester, from growing up who used to, who was like,
[04:00.000 --> 04:05.000]  My name is definitely John Gruber. My dog is Chester. He would reset everything.
[04:05.000 --> 04:13.000]  He was a great dog. I can't help but tell stories about him. But I mean, those questions, I don't like those questions at all.
[04:13.000 --> 04:20.000]  That stuff seems awful. And because everybody I know who's actually been hacked has been hacked through.
[04:20.000 --> 04:25.000]  I think so. I think this is true that everybody I know who's had any kind of problems with, uh, you know,
[04:25.000 --> 04:32.000]  the high jinks that these things are meant to, to, to defend against was hacked through, uh,
[04:32.000 --> 04:37.000]  social engineering, social engineering. I was going to say social manipulation, but, uh, you know, the Matt Honan problem.
[04:37.000 --> 04:46.000]  Right. Exactly. Somebody just calls up and says, I'm John Gruber. And, oh, yeah, my first grade teacher was so-and-so and the dog was named Chester and,
[04:46.000 --> 04:53.000]  and, you know, boom, then they're in. I had an additional problem with the switch from two-step to two-factor with iCloud where, well,
[04:53.000 --> 05:01.000]  number two, the whole thing is a mess. And I don't even know how I got into this situation where I'm one of the people who've got two
[05:01.000 --> 05:06.000]  iCloud things where I've got the one that I use. Well, I, two Apple IDs.
[05:06.000 --> 05:09.000]  Me too. One, one for my stuff and one for my media.
[05:09.000 --> 05:16.000]  Yeah. So when I buy stuff, it's with a, it's, it's with a different account. And when
[05:16.000 --> 05:20.000]  I still have my old, like I think Mac.com or me.com.
[05:20.000 --> 05:31.000]  I even have a third Apple ID, uh, which isn't even an email address. It's just a name, which is from Apple developer connection.
[05:31.000 --> 05:39.000]  It was like an ADC account that I set up in like 1998. But like back then it was like they didn't use email as like your identifier.
[05:39.000 --> 05:46.000]  They just let you pick a name. And so I've still got that. And, and there's certain things that if I go through ADC, they're like,
[05:46.000 --> 05:56.000]  uh, you need to, you need to upgrade this account to an email address. But the problem is that the two email addresses that I most like to use with it are all already Apple IDs.
[05:56.000 --> 06:03.000]  So I can't, anyway, but the problem I ran into was I turn off two step and it is weird. It is like first step.
[06:03.000 --> 06:12.000]  Turn off all the security on your account. Right. Second step, go through this and then go in and like on iOS, you go to like settings,
[06:12.000 --> 06:22.000]  iCloud, click your name. And then there's like, turn on two factor, uh, authentication, except I would follow those steps and go there.
[06:22.000 --> 06:28.000]  And there was no button that said turn on two factor authentication. And then I would go on the Mac and on the Mac,
[06:28.000 --> 06:36.000]  you go to the settings or system prefs and there's the same type thing and there's a button and there was a button to turn on two factor authentication.
[06:36.000 --> 06:47.000]  And I would click that button and it would spin not for a long time, but like for like, you know, like the six or seven seconds you would think that it would take for this to like phone home to Apple and,
[06:47.000 --> 06:56.000]  and Apple would, you know, figure out how to do this. And then it would politely tell me that two factor authentication cannot be turned on for this account.
[06:56.000 --> 07:02.000]  You know, you know how it is though, you're having a holiday party. You want to, you want to increase your security. And I'm like a terrier.
[07:02.000 --> 07:09.000]  I'm like, on the one hand, I'm like, I'm going to get this done. I can, I know I can do this. And then it becomes like a video game where I'm like, and just, just to cut to the chase here.
[07:09.000 --> 07:20.000]  Uh, I'm going to tell you how many times I tried to do this. And each time, by the time I got the end to make it go, I was timed out on the website because I hadn't ticked the button.
[07:20.000 --> 07:27.000]  And then I'm like, okay, you know what? That's fine. We're going to do a speed run of this. Let's see if I can do this and finish it without having to tick that button.
[07:27.000 --> 07:36.000]  Cause now I'm mad and uh, I never, I never could pull it off. And then of course I think, okay, you're getting your hands perilously close to the dragon's mouth at this point.
[07:36.000 --> 07:42.000]  Wait till tomorrow morning, wait till the holiday party is over. Do this in the clear light of day. And I did tick the button and it did work.
[07:42.000 --> 07:48.000]  And then of course everything's blown up on all the devices letting me know that all these things are available in all these places.
[07:48.000 --> 08:02.000]  But I don't know. It's just, it's another one of those things where far from, I guess, security theater. I mean, this is such an important thing for all of us to be working on, but it is not super consumer friendly.
[08:02.000 --> 08:21.000]  Well, I th and I think, I think Apple deserves some praise for this cause I think they're more or less doing the right thing. And I think now that I have it working, I do like the way that it works and I like the new advanced, like you said, like it looks like instead of just getting a text message or an iMessage or whatever it is with a code, you get like a real nice dialogue.
[08:21.000 --> 08:29.000]  And it even has a map showing you where the thing is trying to log on. Um, uh, so they're doing the right thing.
[08:29.000 --> 08:48.000]  I just think it shows how hard it is to move old systems along to the best practices, right? Because the Apple ID system dates back to, you know, like 19, I don't know, late nineties when it was literally just a username and a password and that was it.
[08:48.000 --> 09:02.000]  And you're past, I don't think I got one until, um, whatever the original mobile me thing was like where you got the cards and all that stuff. That's probably when I first got one, you had one, sir Q said one of those, uh, just a name things.
[09:02.000 --> 09:17.000]  I still have it. Yeah. Wow. They didn't make you change it. Uh, not yet. Huh? I think that they might, if I, if I think if I were to say, uh, if I were to release an app in the app store under my own, under that account, I think I would have to change it.
