[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[00:04.520 --> 00:06.720]  you'd have to be like in a studio with me and
[00:07.520 --> 00:12.700]  You would think I would I would supply comfortable chairs for my guests and you you know
[00:12.700 --> 00:19.760]  I feel like forcing guests to use Skype is like you get like a folding chair that was that was outside and as like
[00:20.360 --> 00:22.360]  Rain scum on it, you know
[00:22.840 --> 00:24.160]  Yeah
[00:24.160 --> 00:26.160]  Yeah, it's nice to be on again
[00:26.160 --> 00:28.160]  I
[00:30.720 --> 00:35.220]  There's a couple of things we have to talk about I guess so there's always stuff to talk about but what there's a couple of
[00:35.220 --> 00:37.220]  recent posts that you've had on
[00:37.520 --> 00:43.680]  Your 500 ish word site. Is that what it's called? I know that's the domain. Yep 500 words. Yep
[00:44.480 --> 00:47.960]  But you wrote about the the end of virgin
[00:49.160 --> 00:51.160]  Virgin America, yep
[00:51.160 --> 00:56.080]  Can you summarize this and again you even empty? It's a perfect piece. I will put it in the show loads
[00:57.160 --> 01:04.040]  But it is perfect in so far as you admit that Virgin America only flew between a very small number of cities, right?
[01:04.040 --> 01:09.440]  So there's a large number of people who if you don't live in San Francisco LA or New York, you probably haven't flown virgin
[01:10.040 --> 01:11.640]  Right and and so yes
[01:11.640 --> 01:12.920]  So basically, you know
[01:12.920 --> 01:17.360]  I'm assuming it by this point because it's been a bit of like a month or so. Everyone knows that
[01:17.360 --> 01:20.640]  Alaska Airlines bought Virgin America and
[01:21.320 --> 01:24.160]  As a part of that, you know, they sort of did this whole big
[01:24.720 --> 01:31.200]  branding thing certainly around San Francisco and I assume other cities in which virgin operates where it's sort of like the Alaska plus virgin equals
[01:31.200 --> 01:32.040]  love
[01:32.040 --> 01:34.920]  you know type brand type marketing campaign and
[01:35.720 --> 01:40.240]  Because obviously people were worried when someone else bought Virgin America that there would be
[01:40.800 --> 01:44.280]  You know would be the end of Virgin America and they were trying to sort of play it up
[01:44.280 --> 01:49.080]  No, this is just gonna make both sides even better and then whenever it was a few weeks ago
[01:49.080 --> 01:55.040]  they of course announced that they're going to be shutting down the Virgin America brand entirely and
[01:56.160 --> 01:58.160]  You know basically merging the planes
[01:58.840 --> 02:04.360]  And in sort of merging all into one entity which of course I'm sure makes sense for the bottom line
[02:04.360 --> 02:06.360]  That's the reason why they're doing it
[02:06.720 --> 02:08.720]  for cost efficiencies, but
