[00:00.000 --> 00:04.580]  I can't believe it took this long to get you on my show. I was on like two years ago
[00:05.880 --> 00:12.380]  Yeah, I I just feel like you should be back more often though, you know, yeah, you know we started doing a
[00:13.580 --> 00:18.700]  Interview episodes of the first chance maybe we can trade back and forth because we're doing we're doing second episodes every week now
[00:18.700 --> 00:22.220]  You know, I you know, I'm game for that
[00:23.340 --> 00:25.980]  We should do it. I think two years ago. We
[00:25.980 --> 00:30.440]  It was the the height of the headphone jack debate. We made people wait
[00:31.520 --> 00:37.820]  Over an hour before we actually addressed it which I thought was very clever on both of our parts. I
[00:41.120 --> 00:47.920]  Am still exhausted I find that this this I
[00:48.900 --> 00:53.520]  Always say like this for me is like for an accountant. This is like April 15th
[00:53.520 --> 00:56.840]  You know, this is this to me is super exhausting
[00:58.440 --> 01:02.040]  And you know, even though I put my watch review up
[01:02.600 --> 01:08.280]  Wednesday it's and now we're recording on Friday. I still feel like punch-drunk. I am
[01:08.920 --> 01:13.960]  it and I counted and I'm not trying to brag it it I'm just saying like
[01:14.720 --> 01:16.720]  It's it's a big number
[01:17.040 --> 01:18.480]  from
[01:18.480 --> 01:20.480]  the event until
[01:20.480 --> 01:24.580]  Wednesday at one when I finally put my watch review up I wrote
[01:25.880 --> 01:30.560]  12,200 words in three articles on during fireball. That's crazy
[01:31.240 --> 01:34.680]  It's more than you're doing lately. You're all podcast now. I
[01:35.520 --> 01:38.400]  Back, so did you did I didn't even?
[01:40.040 --> 01:41.440]  This is how
[01:41.440 --> 01:48.540]  Exhausted and behind I am I thoroughly read your iPhone 10s review. I didn't even check the verges iPhone
[01:48.540 --> 01:53.780]  Or our series for watch review. Did you write that or did somebody else Dieter did that one?
[01:53.780 --> 01:56.900]  See that's that's where I need I need like a staff. I
[01:58.060 --> 02:05.180]  Encourage everyone to find a partner like to work with it's the most rewarding working relationship
[02:05.180 --> 02:09.720]  I've ever had and so yeah, go find that guy. Don't find Dieter stay the hell away from him
[02:09.720 --> 02:17.940]  But you know for us it's a little different because we have to make videos to write so this week this week for me is
[02:20.440 --> 02:23.920]  Hey, I don't know if this happens to you after the event itself
[02:23.920 --> 02:27.700]  I have to go back and watch the video like I have to watch the live stream
[02:27.960 --> 02:34.280]  just to remember everything that happened because we're live vlogging and then we're like I saw you in the hands-on area and
[02:34.840 --> 02:38.880]  Everyone should know this John saw me taking photos in the hands-on area and he just goes I'm so happy
[02:38.880 --> 02:40.000]  I don't have to do that shit
[02:40.000 --> 02:47.160]  So like we're like in pure panic mode right at the event and we come out of it and I always have to that night
[02:47.160 --> 02:52.300]  I always sit down and watch the live stream to remember what the hell happened
[02:52.600 --> 02:56.040]  So that's like step one and then we get back, you know, we got the devices
[02:56.680 --> 02:58.520]  our video
[02:58.520 --> 03:05.440]  Was made by eight people like I counted it like 2 a.m. On Monday night, you know, we published at 6 a.m
[03:05.440 --> 03:12.360]  Tuesday there were eight people in the verge office the cranking away in this video and then hilariously on the other side of the office
[03:12.360 --> 03:16.520]  Our science team was watching the Elon Musk's. I'm gonna send artists to Mars
[03:17.800 --> 03:20.380]  So it's like a totally crazy night in the verge office
[03:21.120 --> 03:28.280]  So we we the whole verge calls it iPhone week. Yeah, right. Here's iPhone week. It's gonna happen. It's me this big thing
