[00:00.000 --> 00:02.480]  We are recording on October 31
[00:02.480 --> 00:08.600]  This is the day after the Big Apple event and every other person on my list of guests to have on the show soon is either
[00:09.320 --> 00:15.660]  Traveling home from the Apple event or is going to be out trick-or-treating with their young children
[00:16.440 --> 00:17.680]  and
[00:17.680 --> 00:19.680]  That leaves John waltz
[00:23.440 --> 00:25.440]  It's nice to be on the list
[00:25.520 --> 00:26.020]  No
[00:26.020 --> 00:27.320]  I thought it would be fun that you know
[00:27.320 --> 00:30.840]  You weren't on for a long time and now you're on back-to-back and we can judge how we did
[00:30.840 --> 00:33.440]  We we had a preview. We had a preview show
[00:34.360 --> 00:38.440]  I don't either. Well, let me tell you something. Um, I'm
[00:39.080 --> 00:42.540]  Actually just back from New York. I still stink like
[00:43.220 --> 00:45.220]  like New York
[00:47.320 --> 00:50.400]  That's a heavy stink too, yeah, I haven't watched it well
[00:50.400 --> 00:57.880]  These they played that I love New York song and the thing yesterday and then one I'd never heard that song before I met one
[00:57.880 --> 01:00.000]  Of the lines is I love the New York stinks. I
[01:00.440 --> 01:05.960]  Love the stink of it or something. No, I love New York, but I I literally am fresh off the train
[01:07.320 --> 01:11.000]  but somebody on the on Twitter asked me how my hat tasted and
[01:11.440 --> 01:16.160]  I'm confused because I thought when I said along the last show that I would eat my hat
[01:16.160 --> 01:21.040]  I thought I said I would eat my hat if Adobe didn't get to demo Photoshop for iPad, which they did
[01:21.680 --> 01:24.980]  Yeah, so I don't we said yeah, so I don't think there's any yeah
[01:24.980 --> 01:28.160]  I mean and I don't think there's any way we would have thought that they were not going to do that
[01:28.160 --> 01:29.840]  Yeah, so I don't think there are any hats
[01:29.840 --> 01:33.720]  I'm supposed to eat but if I don't think this is I don't and I don't think that's revisionist history
[01:33.720 --> 01:39.880]  No, so if if if I'm wrong and I need to eat a hat I I was so confident
[01:39.880 --> 01:43.240]  Sure, it's a very make sure it's a tiny hat. I was so confident in
[01:43.240 --> 01:45.240]  In
[01:45.560 --> 01:47.240]  Adobe
[01:47.240 --> 01:52.020]  Being on stage for that to do to do Photoshop for iPad that I didn't even take a hat
[01:54.920 --> 01:58.280]  This will be a quick show but you know to buy one of those fancy New York hats
[01:58.280 --> 02:02.760]  Yeah, exactly. Speaking of getting a small one in case you have to eat it. I got to see
[02:03.680 --> 02:06.640]  I got to see the new palm phone
[02:08.320 --> 02:10.800]  Yeah, did we talk about this last week it's like a little
[02:10.800 --> 02:14.160]  You know, I mean a lot of people have joked that I would get that phone
[02:14.160 --> 02:16.920]  Yeah, it is a it is a little credit card phone
[02:16.920 --> 02:21.100]  I think Dan Fromer and I talked about it then at some point. But yeah, there is a new phone
[02:21.640 --> 02:28.000]  That some company who has purchased the rights to the name palm is calling a palm phone, but it's just an Android phone
[02:29.000 --> 02:34.120]  I can't say who had it. I believe I believe they're under an NDA
[02:34.920 --> 02:38.120]  But you know and you go to these press things you get to see stuff like that
[02:38.120 --> 02:43.080]  You know somebody else was carrying it around and I saw it and it is adorable, but it is it is definitely not
[02:44.280 --> 02:49.800]  Something that you could use as your main phone. I mean, it's the just like whatever the idea right now
[02:49.800 --> 02:51.800]  I mean that the point is that you can
[02:52.160 --> 02:55.280]  Try and disconnect and turn off those things that are distractions
[02:55.280 --> 02:55.720]  Yeah
[02:55.720 --> 03:00.220]  but the battery life or battery life is so bad though that even if you're not using it like like if the
[03:00.360 --> 03:04.340]  You know if you're if somebody is thinking well I could get it because I want to cut down on using my phone
[03:04.340 --> 03:08.760]  like I don't even think that if it was your one and only phone that you could just keep it in your pocket all day and
[03:09.680 --> 03:12.880]  And have it, you know, not even that's a feature so you don't get distracted
[03:13.240 --> 03:18.120]  So not only is the screen too small to really use that's supposed to be on the phone turn the phone
[03:18.120 --> 03:20.120]  Right, it dies at 11 a.m.
[03:20.560 --> 03:22.600]  She just carry around a potato. Yeah
[03:23.480 --> 03:30.320]  It does seem like it is it's not like a piece of junk. It does seem like like a nice little nice little iPhone
[03:30.320 --> 03:36.800]  It really does look like an iPhone had a baby or something. It's it's sort of iPhone ish. That's what I want to happen
[03:36.800 --> 03:39.640]  But yeah, it doesn't have volume buttons
[03:40.720 --> 03:42.400]  Wow
[03:42.400 --> 03:46.080]  Like the only button is the power button and so I said well, how do you turn the volume?
[03:46.320 --> 03:48.320]  How do you change the volume?
[03:48.320 --> 03:55.840]  And I don't know yet so anyway, there should be some good reviews of that coming out soon
[04:01.400 --> 04:05.640]  Did you I I guess I should have asked before you started the show did you watch the event yesterday?
[04:06.960 --> 04:10.640]  That would have been would have been a little awkward if I had not. Yes. I watched the event
[04:10.760 --> 04:15.140]  What did you think as a home viewer? I thought it was pretty good
[04:15.140 --> 04:20.640]  I mean, yeah, I mean as far as the event goes the event was fine. I think the announcements were nice
[04:20.640 --> 04:23.400]  I mean we got to see the things that we were hoping to see and
[04:24.400 --> 04:27.240]  And they turned out pretty well if rather pricey. Yeah
[04:28.320 --> 04:31.800]  And I did there was it was a very rapidly paced event
[04:31.800 --> 04:36.000]  I was talking to some friends at the verge and you know those guys they have you know
[04:36.000 --> 04:38.000]  They're shooting video and they want to get
[04:39.140 --> 04:43.720]  You know, they're so busy after these events. I don't know how they do it because you know, they're in the hands-on area
[04:43.720 --> 04:49.680]  They're getting the footage that they can edit together and then have like an hour, you know narrate a you know
[04:49.680 --> 04:56.580]  Here's what Apple announced today and get all this together and get it out, you know by like early afternoon, but they like to
[04:57.360 --> 05:00.040]  And smart too because they're on this tight deadline
[05:00.040 --> 05:06.560]  so what they like to do is every time there's like at the end of each section when there's the the like summary page like
[05:06.560 --> 05:12.440]  You know iPad new iPad Pro and it comes with you can get 64 or
[05:13.960 --> 05:16.680]  256 512 or 1 terabyte and
[05:17.400 --> 05:22.320]  You know, there's the slide they like to take photos of those slides and have you know
[05:22.320 --> 05:27.820]  Every one of them so that they you know as they're writing they already have, you know, here's the for storage options
[05:27.820 --> 05:29.960]  Here's the starting price blah blah blah. They don't have to sit there
[05:29.960 --> 05:30.240]  Yeah
[05:30.240 --> 05:31.240]  and then I flunk and
[05:31.240 --> 05:36.360]  some of those slides were up so long that they while they were trying to get them like oh here it comes and and was
[05:36.360 --> 05:38.360]  Like up and then gone
[05:41.040 --> 05:46.760]  It was a very quick-moving event on purpose perhaps I don't know I don't know I
[05:47.360 --> 05:50.040]  Almost think like maybe I think the math
[05:51.120 --> 05:57.040]  Yeah, maybe because I do feel like the one of the undercurrents of this that we have to get to is that the prices have
[05:57.120 --> 05:58.320]  gone up
[05:58.320 --> 06:03.920]  If if up means I want to get the latest, you know, I want to get the new iPad Pro
[06:03.920 --> 06:09.680]  Oh, yeah, you can still get a yeah, I mean you can still get an iPad for for fairly cheap actually, but
[06:10.560 --> 06:12.560]  Not a new one. Yeah the
[06:13.360 --> 06:16.800]  So I I was sitting near the front I had
[06:17.700 --> 06:19.600]  put in a I
[06:19.600 --> 06:21.520]  Don't I don't think this is funny actually
[06:21.520 --> 06:27.040]  But at the last event I couldn't I couldn't read the small print on the slides from the back of the theater
[06:27.920 --> 06:28.920]  and
[06:28.920 --> 06:29.840]  I
[06:29.840 --> 06:34.080]  Mentioned this and then they were like, well, you know, we'll get you a seat closer to the front and and I was like
[06:34.080 --> 06:37.160]  Thank you. Like I wouldn't say that I I need like
[06:38.000 --> 06:40.000]  You're sitting on Al Gore's lap
[06:40.720 --> 06:44.520]  Pretty close like so I said like I don't need to be like upfront up front
[06:44.520 --> 06:48.520]  I you know just middle of the theater would be fine, you know, like I you know, I'm not blind
[06:48.920 --> 06:50.120]  But like from the back
[06:50.120 --> 06:54.320]  I definitely can't read the small print and the small print is often what I'm interested in there like don't worry John will take
[06:54.320 --> 06:55.600]  care of you
[06:55.600 --> 06:57.600]  I'm in the third row. I
[06:57.600 --> 07:03.760]  I was literally right behind in the second row right in front of me was the guy with the
[07:03.860 --> 07:07.340]  the camera for the live stream shooting people on stage I
[07:08.420 --> 07:11.940]  Mean, there's also I think there was also sit in front of him Johnny. I've
[07:12.820 --> 07:16.260]  So that was Johnny Ives head that everybody could see I believe so
[07:16.660 --> 07:20.500]  Yeah, it was um, it was slightly distracting
[07:20.500 --> 07:27.740]  I know if it was a bald head it was definitely John it it might have been I can't remember exactly
[07:27.740 --> 07:31.740]  I was watching it on my iPad so it wasn't like huge but it kept it was it was popping up frequently
[07:31.740 --> 07:36.140]  I will try to post a see if any of my photos turned out usable. I
[07:36.980 --> 07:43.640]  Have some photos that sort of show the perspective of the camera guy looking at his display and the camera and Johnny
[07:43.640 --> 07:47.980]  I'm in front of him and whoever was currently speaking on the thing of it. It was pretty good seat
