[00:00.000 --> 00:09.040]  Good evening, podcast listeners.
[00:09.040 --> 00:20.000]  It's once again time for a daring Fireball presentation of the Talk Show Live.
[00:20.000 --> 00:25.520]  We're coming to you from Apple's Worldwide Developer Conference 2019.
[00:25.520 --> 00:32.560]  And now, the man we've all been waiting for, Jon Gruber.
[00:32.560 --> 00:45.960]  Welcome, welcome, welcome to the Talk Show.
[00:45.960 --> 00:48.720]  I am Jon Gruber, your internet friend.
[00:48.720 --> 00:52.800]  Oh my God, this is so embarrassing.
[00:52.800 --> 00:53.800]  I am that guy.
[00:53.800 --> 00:59.600]  I am the guy who came out on stage with a device with a beta OS.
[00:59.600 --> 01:08.600]  And it is going off.
[01:08.600 --> 01:32.160]  It's a little buggy.
[01:32.160 --> 01:33.160]  My blue cards.
[01:33.160 --> 01:34.160]  All right.
[01:34.160 --> 01:39.160]  Before we get started, I would like to thank our sponsors, without whom this show would
[01:39.160 --> 01:42.280]  not be possible.
[01:42.280 --> 01:47.440]  First sponsor, longtime sponsor of this show, Mac Stadium.
[01:47.440 --> 01:55.520]  They do Mac infrastructure.
[01:55.520 --> 01:57.520]  They host Macs.
[01:57.520 --> 02:00.560]  I don't know if they heard any good news on the keynote.
[02:00.560 --> 02:01.800]  I haven't talked to them this week.
[02:01.800 --> 02:06.920]  I mean, I know they're around and I know there's some of the fine folks that are in here.
[02:06.920 --> 02:11.280]  But they have over 20,000 Macs in data centers around the world.
[02:11.280 --> 02:17.960]  They are ready for all Mac deployments, including Mac Minis, iMacs, even Xserves.
[02:17.960 --> 02:18.960]  Am I missing something?
[02:18.960 --> 02:21.960]  Jon, what am I missing?
[02:21.960 --> 02:29.120]  Mac Pro, Rack Malibu.
[02:29.120 --> 02:36.520]  They are heavily invested in security, scalability, and support for iOS and Mac development, having
[02:36.520 --> 02:40.560]  a server where you can do builds, all sorts of useful stuff you guys know about.
[02:40.560 --> 02:41.920]  They're a great company.
[02:41.920 --> 02:43.880]  This week, they're announcing ORCA.
[02:43.880 --> 02:51.480]  That's ORCA with a K, and it stands for orchestration with Kubernetes, which I was going to pronounce
[02:51.480 --> 02:54.760]  Kubernetes.
[02:54.760 --> 02:58.120]  And I checked, and they said Kubernetes, and I thought, you know what, I should have just
[02:58.120 --> 02:59.120]  pronounced it wrong.
[02:59.120 --> 03:01.960]  It would have been more on brand.
[03:01.960 --> 03:04.600]  I don't know why I asked.
[03:04.600 --> 03:08.960]  But it's the only way to do native Kubernetes commands, which I have no idea what that is,
[03:08.960 --> 03:15.440]  to create and orchestrate macOS VMs on genuine Apple hardware.
[03:15.440 --> 03:18.160]  It is also super fast.
[03:18.160 --> 03:22.720]  So for more information and exclusive discounts for you fine folks who are listening, go to
[03:22.720 --> 03:31.920]  macstadium.com slash the talk show, macstadium.com slash the talk show.
[03:31.920 --> 03:42.200]  Our next sponsor, The Omni Group.
[03:42.200 --> 03:43.320]  Sounds like you've heard of them.
[03:43.320 --> 03:45.020]  Of course you have.
[03:45.020 --> 03:48.760]  They are one of the all-time great indie iOS and Mac developers.
[03:48.760 --> 03:51.080]  They go all the way back to Next.
[03:51.080 --> 03:55.840]  They've been around for over 25 years, and it's a rare example of steady leadership in
[03:55.840 --> 04:00.600]  this field, a company that just keeps on top of the game.
[04:00.600 --> 04:05.720]  What they want to talk about is OmniFocus for the web, which just launched out of beta.
[04:05.720 --> 04:09.360]  Now, what they could have done, what most people do for a web backend to a service is
[04:09.360 --> 04:15.840]  they write their own web-type thing, and it's a web app, and they use web technologies.
[04:15.840 --> 04:22.240]  Instead, what these crazy people did is they're using the same Objective-C and Swift code
[04:22.240 --> 04:29.400]  that OmniFocus for Mac is built with, and they're running it on Mac servers, and they
[04:29.400 --> 04:33.160]  just have a web output display from the same code.
[04:33.160 --> 04:35.720]  Crazy, right?
[04:35.720 --> 04:40.940]  And so for all of the consternation that people like us and all the anger we have at developers
[04:40.940 --> 04:50.760]  who make web apps and then put them in a shell and call it their Mac app, the Omni group
[04:50.760 --> 04:51.760]  has done the right thing.
[04:51.760 --> 04:54.560]  They took their Mac app, and now it's on the web.
[04:54.560 --> 04:57.680]  Super, super great.
[04:57.680 --> 05:01.720]  It's so very Omni to do something so nutty sounding.
[05:01.720 --> 05:06.240]  Check it out at check out OmniFocus for the web.
[05:06.240 --> 05:10.840]  Find out more details, how to sign up for it, et cetera, et cetera.
[05:10.840 --> 05:13.800]  OmniFocus.com slash DF.
[05:13.800 --> 05:18.760]  That's OmniFocus.com slash DF.
[05:18.760 --> 05:28.040]  Third and final sponsor, another great company I bet a lot of you guys have heard of, Slack.
[05:28.040 --> 05:33.200]  Slack for iOS is used by millions of people every day, including me, to stay productive,
[05:33.200 --> 05:37.240]  whether they're bouncing between meetings or on the go.
[05:37.240 --> 05:43.120]  Their iOS team is focused on a variety of projects, from connecting businesses through
[05:43.120 --> 05:48.600]  shared channels to inventing tools for performance monitoring at very high scale, as you might
[05:48.600 --> 05:51.740]  imagine from how busy they are.
[05:51.740 --> 05:58.720]  If you, developers, want to sweat the details and help define the future of Slack for mobile,
[05:58.720 --> 06:01.960]  head on over to Slack.com slash careers.
[06:01.960 --> 06:06.980]  That's Slack.com slash careers, iOS app.
[06:06.980 --> 06:17.960]  Maybe these iOS developers at Slack will be Mac developers, I don't know.
[06:17.960 --> 06:19.120]  That's it for business.
[06:19.120 --> 06:25.920]  I have a special guest to come out, actually I guess I have two, looks like.
[06:25.920 --> 06:48.720]  So without any further ado, my guests for this evening, Craig Federighi, and Greg Goswiak.
[06:48.720 --> 07:02.640]  You are among your people, Craig.
[07:02.640 --> 07:08.560]  That was more applause than the Mac Pro guy.
[07:08.560 --> 07:18.920]  JAWS, you and I talked briefly yesterday and I said to you, first impressions after the
[07:18.920 --> 07:24.080]  keynote were, it was very, very exciting because you guys had so much to announce that hadn't
[07:24.080 --> 07:28.720]  leaked in advance, and that makes it fun and it makes it exciting.
[07:28.720 --> 07:32.280]  And then I said, and it also makes me realize that when more stuff does leak, it makes my
[07:32.280 --> 07:34.040]  job easier because...
[07:34.040 --> 07:39.440]  You have more time to digest, more time to process.
[07:39.440 --> 07:44.320]  We were talking backstage, you apparently, there is one Apple rumor site that you were
[07:44.320 --> 07:45.880]  a fan of.
[07:45.880 --> 07:51.760]  Well, which is funny because out of context it sounds bad because I shouldn't like any
[07:51.760 --> 07:58.340]  rumor site, but there was a rumor site and I hope John Moltz still listens to this show.
[07:58.340 --> 07:59.760]  You guys know what I'm talking about.
[07:59.760 --> 08:05.400]  This Apple rumor site was like gospel for us.
[08:05.400 --> 08:11.480]  Phil and I and the rest of the marketing team, we read it every morning with, oh my God,
[08:11.480 --> 08:13.480]  what is he going to say today?
[08:13.480 --> 08:19.040]  And what I didn't want to tell you backstage was one of our favorites was, first of all,
[08:19.040 --> 08:22.040]  take yourself back to 2002.
[08:22.040 --> 08:26.820]  And remember back then we had really one platform, Mac, right?
[08:26.820 --> 08:32.200]  And so we had a little bit more time to be theatrical in our two notes.
[08:32.200 --> 08:35.280]  Now we're like, get moving, get moving, get moving.
[08:35.280 --> 08:46.200]  So if you remember 2002, Steve had a very theatrical goodbye to Mac OS 9.
[08:46.200 --> 08:50.080]  Those of you who remember it, it was here at WWDC back in May, I think it was Mother's
[08:50.080 --> 08:53.160]  Day when we did those things, and right after.
[08:53.160 --> 09:00.960]  And so he had this big scene, you had dry ice in this coffin that raised out of the
[09:00.960 --> 09:01.960]  ground.
[09:01.960 --> 09:07.760]  And you didn't know what's going on, you've got stained glass windows in the back and
[09:07.760 --> 09:13.880]  church music's playing and everybody's like, WTF, what's going on?
[09:13.880 --> 09:20.320]  And Steve comes out and quiets the audience and begins to read a eulogy, right?
[09:20.320 --> 09:28.080]  And opens up the coffin, puts a big Mac OS 9 in it and says his very tearful words he
[09:28.080 --> 09:31.360]  wrote, right, goodbye to Mac OS 9.
[09:31.360 --> 09:36.560]  And beautiful moment, then the coffin lowers back in and you think it's over until the
[09:36.560 --> 09:41.880]  next day, which John Moltz wrote, the continuation of the story.
[09:41.880 --> 09:47.480]  And for those that may remember, he wrote that Mac OS 9 started reaching back out from
[09:47.480 --> 09:50.680]  the grave saying, I'm not dead.
[09:50.680 --> 09:57.160]  And he did a very, as he wrote, just brilliant writing that he did about how Mac OS 9 was
[09:57.160 --> 10:03.400]  trying to get back out of the coffin and Steve was beating it back down into the coffin.
[10:03.400 --> 10:07.280]  And what made it even better is every week we had a weekly marketing staff with Steve
[10:07.280 --> 10:11.400]  and we showed Steve this, we're like, this is just priceless, you gotta read this.
[10:11.400 --> 10:18.720]  And so Steve reads it, not just to himself, he reads it out loud.
[10:18.720 --> 10:25.280]  So for us it was this continuation of his battle with Mac OS 9 as it's trying to say,
[10:25.280 --> 10:27.360]  I'm not dead yet.
[10:27.360 --> 10:30.600]  And Steve, it was priceless, let's say that.
[10:30.600 --> 10:36.120]  So then the one last thing, and John Moltz will probably hate us saying this, but Steve
[10:36.120 --> 10:38.840]  goes, that guy's a pretty good writer.
[10:38.840 --> 10:43.120]  And we can always use good writers, and why don't we reach out to him, see if he wants
[10:43.120 --> 10:44.440]  to come work at Apple.
[10:44.440 --> 10:47.380]  So Phil says, I'll write to him, because we wrote to him on occasion.
[10:47.380 --> 10:54.400]  And so Phil writes to John and says, hey, any interest in coming to work at Apple?
[10:54.400 --> 10:59.160]  He writes back, only if I ever got really desperate.
[10:59.160 --> 11:15.960]  All right, one of my jobs is to figure out what order I want to ask questions.
[11:15.960 --> 11:21.400]  And there was so much stuff announced yesterday that it's a struggle.
[11:21.400 --> 11:26.680]  But I don't want to run short on time talking about the things I'm most interested in, so
[11:26.680 --> 11:28.640]  I'm going to go in that order.
[11:28.640 --> 11:29.640]  And I can't.
[11:29.640 --> 11:33.600]  So the show's going to go downhill all the way?
[11:33.600 --> 11:34.600]  Wow.
[11:34.600 --> 11:39.700]  I'm not really interested in the answer to this question.
[11:39.700 --> 11:44.360]  With the head of software engineering right here at our disposal for an hour, I can't
[11:44.360 --> 11:48.560]  think of anything better to talk about than hardware.
[11:48.560 --> 11:55.840]  And you're saying that's what you want to talk about the most?
[11:55.840 --> 11:58.120]  That's what's most interesting to me, Seth.
[11:58.120 --> 11:59.120]  Totally.
[11:59.120 --> 12:01.560]  So I'll need to introduce you to Dan Riccio at some point.
[12:01.560 --> 12:05.080]  How many hardware engineers are in the audience?
[12:05.080 --> 12:07.280]  How many software engineers are in the audience?
[12:07.280 --> 12:08.840]  Heck yeah.
[12:08.840 --> 12:17.240]  All right, go ahead, ask your question.
[12:17.240 --> 12:23.320]  Two years ago, Apple invited a few of us in the press out for what you called a Mac roundtable.
[12:23.320 --> 12:31.800]  And it sort of laid your roadmap ahead of us and sort of acknowledged the, as you called
[12:31.800 --> 12:35.880]  it, the thermal corner you'd painted yourselves in with the previous generation Mac Pro.
[12:35.880 --> 12:36.980]  And here's where we're going to go.
[12:36.980 --> 12:41.920]  You guys even said we have a Pro iMac coming before that.
[12:41.920 --> 12:45.920]  All of those things have now come to pass.
[12:45.920 --> 12:53.680]  But there was definitely last year when it got to the point where there was a sort of
