[00:00.000 --> 00:02.000]  Don't remember if I was barefoot last year
[00:03.960 --> 00:09.660]  I'm pretty sure if if this is not the first podcast I've recorded barefoot. This is the second I
[00:10.520 --> 00:12.580]  feel like at the beach you kind of have to be like
[00:13.000 --> 00:18.160]  Because you know everything the beach you're constantly going internet between like sandy and wet and dry and it's hot
[00:18.480 --> 00:22.360]  So your only choices are barefoot or full shoes
[00:22.360 --> 00:26.280]  I think like everything in between is not as good like you a flip-flop man
[00:26.280 --> 00:31.880]  Not really. I they don't stay on like I'm a big about like walking like I take long dog walks
[00:31.880 --> 00:34.380]  I take bike rides and they just don't stay on
[00:34.600 --> 00:38.600]  Enough for that like unless you get the kind that are basically sandals if I have a little back strap
[00:38.600 --> 00:42.240]  But that's at that point. That's a sandal. I like a flip-flop. I do feel though that
[00:44.120 --> 00:50.360]  Tiring he's got it. You got to do a little curl with your toes. Yeah, like kind of all the time and you
[00:51.680 --> 00:53.680]  You know, this is a bicycle town
[00:53.680 --> 01:00.280]  I I terrified of riding a bicycle with flip-flops because I feel like I'm on the verge of scraping my toes up
[01:00.560 --> 01:05.120]  Yeah, it's I mean like it's not quite as bad as like riding a motorcycle flip-flops would be but it's not that much better
[01:08.240 --> 01:10.240]  My show has been very erratically
[01:10.640 --> 01:15.520]  More erratic than usual publishing wise I just posted 258 yesterday
[01:15.520 --> 01:21.720]  But I need another July episode and I like to do these shows here in person. So here we are recording again
[01:21.720 --> 01:25.160]  In the middle of the season when there's not much news
[01:25.800 --> 01:31.400]  Yeah, well we say that every summer we say like oh, it's you know, there's not much news in July and August
[01:31.400 --> 01:35.600]  So we better stretch it out and you know do like Q&A episodes like I did and stuff like that
[01:35.600 --> 01:38.920]  But it's like actually a lot of stuff seems to be happening every summer. Yeah
[01:40.760 --> 01:45.960]  One of the things I definitely wanted to talk about before we get into rambling territory is I wanted to talk about the
[01:45.960 --> 01:49.960]  The purported 16-inch MacBook Pro
[01:50.720 --> 01:53.000]  Because there was a I'm sure you saw it
[01:53.640 --> 02:00.000]  But there was a report out of the supply chain that I think it still suggested that it was coming in October
[02:00.400 --> 02:02.400]  Which is a little weird
[02:03.880 --> 02:10.800]  But that it was going to start at $3,000 which would be really weird because right now the 15-inch MacBook Pro starts at
[02:11.200 --> 02:13.200]  $2,400
[02:13.200 --> 02:19.320]  Yeah, I mean, I don't know how much we can trust rumors from like supply chain sources about pricing
[02:19.320 --> 02:25.720]  I think I had two thoughts on that one. Why trust the supply chain on that? They don't know names either
[02:26.000 --> 02:28.500]  Yeah, like pricing and naming it's it's so
[02:29.020 --> 02:35.640]  Well guarded the vast majority of the time like there there's almost always pricing guesses about or you know
[02:35.640 --> 02:40.000]  Alleged pricing leaks or rumors before new products are announced and they're usually wrong
[02:40.000 --> 02:44.220]  Like if you look at like the track record of Apple rumors, I feel like pricing is one of those areas
[02:44.220 --> 02:47.460]  Where we take a lot of guesses about pricing and we're wrong a lot
[02:47.840 --> 02:53.320]  The other way they could do it though is it could be $3,000 and they could just Tim Cook it by keeping
[02:53.880 --> 02:55.880]  the $2,400 one around
[02:56.840 --> 03:01.000]  And so there'd still be a twenty four hundred dollar fifteen inch MacBook Pro
[03:01.000 --> 03:07.120]  But it would be like a year-old model, but that seems like a weird way to go with the MacBook Pro
[03:07.120 --> 03:12.040]  It's you know, that's like a MacBook Air move. Well, so if we look at the rumors holistically
[03:12.680 --> 03:17.640]  Like, you know all the rumors are going around about this, you know upcoming alleged generation of laptops
[03:17.640 --> 03:23.280]  I think I think they all seem to agree on on one big thing that the butterfly keyboard is not long for this world
[03:23.520 --> 03:27.000]  Which I am like dancing on its grave already, even though it's not dead yet
[03:27.000 --> 03:28.440]  I as you know
[03:28.440 --> 03:34.640]  I couldn't possibly be more happy that the butterfly keyboard appears by all accounts to be going away pretty soon
[03:34.640 --> 03:38.320]  So if you think about like if they did keep around the old 15 inch
[03:38.840 --> 03:42.660]  What are they gonna do have that be like the only butterfly keyboard in the lineup for a while or like?
[03:42.960 --> 03:48.480]  Have you know if they if they hit the current air and maybe keep it around at a cheaper price point next year
[03:48.680 --> 03:55.120]  Really? Like when the alleged new scissor switch air comes out depending on who you believe either in September October or 2020
[03:57.680 --> 04:03.560]  Allegedly, you know, there's a new MacBook Air and new 13 inch and new 16 inch then if that's actually true
[04:03.560 --> 04:09.320]  Sometime in the next year then there will be no new models with butterfly keyboards
[04:09.320 --> 04:11.520]  Unless they keep around some of the current ones at lower prices
[04:11.520 --> 04:16.520]  and it would just it doesn't seem to make a lot of sense if they would do that like only for the 15 inch and
[04:16.840 --> 04:23.160]  Not for anything else like the air and it seems especially problematic that the 15 inches is a high-end computer
[04:23.160 --> 04:27.660]  That's bought in large quantities by businesses and by a lot of their pro market
[04:27.920 --> 04:32.760]  It would be weird to have to if they're gonna go through all this hassle to get rid of the butterfly keyboard because of its
[04:32.760 --> 04:38.680]  Problems, why would they keep it on such an important wide widely used model? It doesn't seem that doesn't make sense
[04:38.680 --> 04:42.600]  So I think the 16 inch is it and the pricing rumors?
[04:42.600 --> 04:48.080]  I don't give a lot of credibility to yeah, that's being said like it wouldn't be
[04:48.960 --> 04:55.560]  Totally out of the ordinary for Apple to release a new generation of an important product that cost significantly more than spread assessor
[04:55.960 --> 05:01.280]  It would be not well received but that doesn't mean they won't do it and that they they do it all the time
[05:01.280 --> 05:05.120]  so I think while I don't believe pricing rumors usually I
[05:05.680 --> 05:10.260]  also wouldn't rule out the possibility that this new laptop might be
[05:10.600 --> 05:17.340]  $3,000 and that might just be the new starting price of the you know, the 15 inch class laptop, which is now 16 inches
[05:17.680 --> 05:23.180]  That's totally plausible. Apple does that kind of stuff all the time and you know another angle I was thinking about was
[05:24.280 --> 05:27.960]  Apple does I mean maybe this doesn't matter because they I think they sell a
[05:27.960 --> 05:32.960]  absolute ton of the base model configurations relative to any customized configs but
[05:33.360 --> 05:38.000]  With the drop in flash storage pricing that's going on across the industry and they just drop their prices
[05:38.560 --> 05:45.840]  Apple might just be forced by market pressure to make less on their upgrade components that they as they used to
[05:46.120 --> 05:52.400]  Hmm, and so maybe they are gonna make up for that lost margin by just raising the base price on all the models
[05:52.400 --> 05:57.040]  I guess I can't really think of anything that would make the price jump up that much. I mean presumably Apple
[05:57.040 --> 06:02.120]  Well, right, but I can't you don't need a reason right? I think it's a marketing decision. Yeah, not in
[06:02.640 --> 06:10.560]  Cost of Goods decision. I mean presumably the display is going to be at least slightly more expensive because they're calling it a 16 inch
[06:10.560 --> 06:15.440]  Display, so it's gonna be bigger than the 15.6 inch display
[06:15.960 --> 06:17.960]  4 I think 15.4
[06:20.440 --> 06:24.880]  Maybe I don't even know I don't I don't know how many of the details of the screen came out
[06:24.880 --> 06:31.200]  But the other thing that would be nice and would justify to some degree the price increase would be if it goes to
[06:31.800 --> 06:33.280]  truly native
[06:33.280 --> 06:34.480]  retina
[06:34.480 --> 06:38.400]  Resolution. Yeah actual 2x of rights of what the default setting is, right?
[06:38.400 --> 06:43.280]  Which it has never which it has had when the default setting was lower up until 2016
[06:44.000 --> 06:49.360]  But yeah now like yeah cuz like right now they ship it by default in the scaling mode. All right, and I
[06:49.360 --> 06:56.840]  I mean it just feels off for the highest end laptop in the lineup. Yeah to be scaled like the the 15 inch
[06:57.680 --> 07:03.120]  Non-retina in going up until 2012 the non retina 15 inch the last couple of years of it
[07:03.120 --> 07:08.160]  They offered this high-res option and a matte option by the way for like $200 extras
[07:08.160 --> 07:16.320]  It was a small price increase and it was instead of being 1440 across it was 1680 across right and when the 2012 retina
[07:16.320 --> 07:23.920]  Version came out it went it was only the 1440 natively but you could use these software scaling modes to simulate higher resolutions
[07:23.920 --> 07:27.000]  So it was like, okay, that's nice like, you know, good job
[07:27.000 --> 07:31.480]  You know that you can you can get higher resolutions, but if you were accustomed to the 1680 point size
[07:31.920 --> 07:34.460]  You were actually getting worse visual quality because it was
[07:34.760 --> 07:38.960]  Rendering it into like an off-screen buffer like shrinking it down to fit the actual pixels of the screen
[07:38.960 --> 07:43.800]  So everything was like a little bit blurrier and it's not a massive difference
[07:43.800 --> 07:47.920]  but you you can tell it does look a little bit worse and then
[07:48.520 --> 07:53.640]  What you know what made it I think almost, you know, misleading and and I wouldn't say criminal
[07:53.640 --> 07:58.960]  but certainly offensive to a nerd like us who cares about like image quality is that starting from the
[07:59.240 --> 08:04.800]  2015 MacBook and then the 2016 USB C generation of laptops they increased the
[08:05.280 --> 08:11.520]  default resolution from what the panels actually were to one step above so they increased the
[08:11.520 --> 08:12.680]  the
[08:12.680 --> 08:17.720]  Apparent screen real estate to 1680 but at 2x now right on the 15
[08:17.720 --> 08:19.680]  But they didn't actually increase the number of pixels
[08:19.680 --> 08:24.280]  so I almost feel like they kind of cheated like they tried to make it look like the screens got better and they didn't and
[08:24.800 --> 08:31.840]  And what's disappointing is that so far the Ming Chi quo rumor about the 16-inch has its pixel size
[08:31.960 --> 08:37.320]  Pinned at something that would suggest they haven't actually increased that again. I couldn't remember if that was part of the rumor
[08:37.320 --> 08:42.240]  Yeah, it was like the current one is like 2880 and the new and I think is 3072 something like that
[08:42.240 --> 08:44.240]  So it's so it's like it's not enough
[08:44.760 --> 08:50.800]  Proportionately, I don't think to make it seem like they're actually doing like a true 2x of what the default setting is
[08:51.120 --> 08:55.800]  So it's not if that rumor is true, then it sounds like they haven't actually fixed this problem. But this is actually one thing I
[08:56.960 --> 09:00.240]  When I had a briefing with some Apple people
