[00:00.000 --> 00:03.940]  It's good to have you on Skype tells me that we haven't talked on Skype for over a year
[00:03.940 --> 00:07.300]  I think that's their polite way of saying it's been too long since you've been on the show
[00:07.820 --> 00:09.820]  Yeah, definitely too long. She's
[00:19.960 --> 00:21.960]  Anyway big week for you
[00:22.380 --> 00:27.820]  Congratulations. I'm really happy for you. Oh, thanks so much. Yeah, it's it's been really huge, you know
[00:27.820 --> 00:33.180]  And I feel great because I made the app I wanted to make I could see it in my head
[00:33.740 --> 00:41.100]  For all these years and I had certain goals and met them and the feedback has just been tremendous. So yeah super happy
[00:41.140 --> 00:45.660]  So for those who don't know although I'm suspect I suspect that most people listening do know net news wire
[00:46.620 --> 00:47.720]  5.0
[00:47.720 --> 00:52.080]  Shipped this week. I made fun of you. I think you listened to my show with Jim
[00:52.080 --> 00:55.020]  I did I yeah, I've made fun of you in a very friendly way about your
[00:55.020 --> 00:56.700]  personal
[00:56.700 --> 00:58.700]  definitions of the alpha beta
[00:59.140 --> 01:06.220]  Yeah, I mean I've been using I've been using net news wire this your your new net news wire in a weird way
[01:06.220 --> 01:11.380]  Sort of a 2.0. Maybe a 3.0. If you say that you originally had net news wire
[01:11.380 --> 01:14.260]  I don't want to confuse anybody the new version is 5.0
[01:14.500 --> 01:19.300]  But there was I would say the third era of net news wire, you know
[01:19.300 --> 01:26.180]  Yeah, definitely was the original we can get into all this in detail. There was yours from the early 2000s then there was
[01:27.460 --> 01:33.840]  Maybe four eras, maybe maybe the who was the company that bought it when they Newsgator Newsgator
[01:33.840 --> 01:37.940]  I would I would sort of say though that was sort of a continuation of the original era
[01:37.940 --> 01:44.860]  It's just new ownership. Then there's the black pixel era and and now there's the new open source back in Brent Simmons hand era
[01:45.220 --> 01:47.220]  Yeah
[01:47.220 --> 01:48.300]  I
[01:48.300 --> 01:52.300]  I've been using it this version this year this new era from
[01:53.020 --> 01:59.260]  It barely worked. It was called evergreen for a while because black black pixel still owned the net news wire name
[01:59.660 --> 02:05.860]  I don't even think you were calling them alphas. I don't even know what the hell the version numbers were D for development D for development
[02:05.860 --> 02:08.360]  That's right. Yeah, I've been using it since then and
[02:09.060 --> 02:11.260]  I'd never really stopped using the RSS
[02:12.100 --> 02:16.100]  but I was actually my other RSS reader while evergreen was
[02:16.100 --> 02:20.380]  it either only barely or non-functional was
[02:21.300 --> 02:26.340]  Net news wire three point three two, right? Of course still my biggest competition
[02:26.340 --> 02:31.860]  I'm sure but I have the advantage that it's gonna stop working on Catalina. So the weird thing about this
[02:31.860 --> 02:33.780]  I know you and I've talked about it
[02:33.780 --> 02:37.340]  It's just such a bizarre coincidence that that the last
[02:38.420 --> 02:43.340]  Brent Simmons version of net news wire was net news wire three point three two
[02:43.340 --> 02:44.980]  and
[02:44.980 --> 02:50.900]  And again, no offense to my friends at black pixel who do excellent work and and whose version of net news wire was in many
[02:50.900 --> 02:57.280]  Ways certainly more modern looking and enacting then that news wire three point three two and kept up with the times
[02:58.820 --> 03:01.180]  It just didn't fit my brain the right way
[03:02.300 --> 03:05.940]  So I just kept using what I was familiar with net news wire three point three two
[03:06.220 --> 03:09.620]  But back in the day in the 90s Quark Express
[03:09.620 --> 03:12.940]  Hit version three point three two
[03:14.460 --> 03:15.780]  This was when I was in college
[03:15.780 --> 03:19.500]  So, you know, I don't know what time it came out, but it probably would have been sometime around 90
[03:20.500 --> 03:25.820]  1995 or so and you know again every company has their own weird ways of doing version numbers
[03:25.820 --> 03:30.520]  It's it's one of the ways that we pretend that software engineering is this incredibly
[03:31.260 --> 03:36.840]  Scientific rigorous field and everybody just wings it with virgin. I mean right with Vesper we
[03:36.840 --> 03:41.720]  We goofed around and tried to make everything have a double-oh-seven in it. That's right
[03:42.320 --> 03:44.840]  Our best release has always had a double-oh-seven. Yeah
[03:46.000 --> 03:52.000]  But Quark had this thing where it was three point three two wasn't three point three point two is three point three two
