[00:00.000 --> 00:01.680]  Federico
[00:01.680 --> 00:04.280]  John, oh, I'm so excited to have you here. Oh
[00:05.160 --> 00:08.080]  I'm glad to be on the show. I have no idea what we're gonna talk about
[00:08.600 --> 00:15.040]  I'm just well I can tell you I did my research all the things you care about so we're gonna talk about the Mac Pro and
[00:17.120 --> 00:19.600]  Watches and American sports
[00:23.180 --> 00:25.180]  I'm ready. Oh
[00:25.180 --> 00:30.420]  Did you see did you see I mean just this is just knock it out of the way easy. Did you see?
[00:32.180 --> 00:34.180]  Marquez Brownlee's
[00:34.260 --> 00:39.420]  Video where yes, I did. He got the wheels for the Mac Pro and
[00:40.100 --> 00:47.060]  No brakes on those wheels and there they spin so freely like and the floor of whatever room
[00:47.060 --> 00:50.700]  He was in is obviously off by like maybe like a half of a degree
[00:50.700 --> 00:56.900]  It's obviously not like a crooked floor. It's a very nice looking group. And when he just lets go of the Mac Pro
[01:00.580 --> 01:07.980]  You don't want a computer to run away from you like a 30 30 to 40 thousand dollar computer just going away
[01:10.900 --> 01:15.380]  Yeah, I mean I don't I don't plan on buying a Mac Pro anytime soon
[01:15.380 --> 01:19.560]  But if I were to buy a Mac Pro, I totally would get the wheels. Oh, really?
[01:19.560 --> 01:22.000]  Yeah, I mean, it's it just looks fun
[01:22.880 --> 01:24.240]  see
[01:24.240 --> 01:26.280]  Yeah, how much are the wheels?
[01:29.640 --> 01:31.640]  400 yeah, there are hundred dollars each
[01:33.200 --> 01:36.400]  Yeah, I love that they don't come with locks
[01:38.000 --> 01:43.360]  So I was thinking like it's so strange I'm a I mean guess maybe it's too soon
[01:43.360 --> 01:49.360]  But maybe somebody like Belkin, you know, these like third-party manufacturers that have like a relationship with Apple
[01:49.360 --> 01:51.360]  Maybe they should make a version that has locks. I
[01:52.040 --> 01:55.320]  I can't help but think that there will be I mean because
[01:56.400 --> 01:58.560]  you know that there's it because the the
[01:59.360 --> 02:07.200]  Pro display XDR has take standard visa mounting, you know, there's already it doesn't you know, nobody has to make it custom for it
[02:07.200 --> 02:09.200]  There's already all sorts of standard
[02:10.040 --> 02:12.920]  Arms and wall mounts you can get for it and stands
[02:12.920 --> 02:18.760]  I can't help but feel that there's going to be third-party options for the wheels and stuff like that
[02:19.760 --> 02:24.040]  Mm-hmm. Maybe the the one cost a hundred dollar per wheel
[02:25.040 --> 02:27.040]  Also, that'd be nice. I
[02:27.920 --> 02:30.920]  Just remember I haven't seen the wheels since
[02:32.600 --> 02:40.560]  WWDC uh-huh, you know like you did you you got to the hands-on area, right? Well, you know, I actually I never went
[02:40.560 --> 02:42.560]  I
[02:43.080 --> 02:45.080]  Was desperate for some coffee
[02:45.960 --> 02:51.040]  Like they serve the worst coffee like I was just looking I was just looking for some espresso
[02:51.160 --> 02:52.320]  but the
[02:52.320 --> 02:56.680]  What's the name of the place that closed down like social policy in San Jose?
[02:56.800 --> 03:00.480]  Yeah used to serve. Well some kind of espresso
