[00:00.000 --> 00:06.000]  I just get it out of the way. Let's just start right off the bat. It's a big day for you.
[00:06.000 --> 00:08.000]  Yes, absolutely.
[00:08.000 --> 00:17.000]  Today you announced you're going solo with a YouTube channel. You're leaving iMore. You've been there 11 years.
[00:17.000 --> 00:29.000]  You gave me a heads up about a week ago. I sort of knew you had an inkling, but tell me more. What are your thoughts behind this? What's going on?
[00:29.000 --> 00:39.000]  Back when I first joined, it was still phone different. It was run by a very small network of people. It kept growing and it became Mobile Nations.
[00:39.000 --> 00:46.000]  Then a year ago, it was bought by Future PLC, which is one of the biggest companies in media.
[00:46.000 --> 00:52.000]  They own everything like AnandTech, Tom's Guide, and TechRadar. Almost every site you can imagine.
[00:52.000 --> 01:02.000]  It became a grown-up big company. I'd worked in grown-up big companies before. I had just come to really appreciate the smaller environment.
[01:02.000 --> 01:09.000]  Everyone was doing great. Lori Gill had taken over iMore on a day-to-day basis. She was just knocking it out of the park.
[01:09.000 --> 01:18.000]  Al Sacco had taken over a lot of what I used to do around the network. He was just so good at it that it felt like a year after the purchase, everything was solid.
[01:18.000 --> 01:26.000]  I didn't feel guilty about leaving everyone in the lurch. After watching you and Dalrymple and Snell just walking into events
[01:26.000 --> 01:34.000]  and doing exactly what you wanted to do with them and not have to worry about all the things that happen when you're on somebody else's dime,
[01:34.000 --> 01:41.000]  I just thought, now is the time. If I don't do it now, I'll wake up and in ten years, I'll probably be part of an even bigger company by then.
[01:41.000 --> 01:51.000]  I think it's probably surprising. It's good to be busy amidst all of the world's craziness right now.
[01:51.000 --> 01:58.000]  I feel like I'm busier than ever. You're obviously way busier than ever now that you've got all of this going on.
[01:58.000 --> 02:04.000]  Just trying to catch up a little bit today after you went public with this and all of the well wishes and everything.
[02:04.000 --> 02:15.000]  One thing that caught my eye is that it surprised some people that you were just an employee of iMore.
[02:15.000 --> 02:21.000]  I know that you weren't just an employee. You're the editor and you're certainly the biggest name there.
[02:21.000 --> 02:27.000]  You've been there forever. Not forever, but 11 years is a long time ago.
[02:27.000 --> 02:30.000]  What was the name of the site originally? I don't even remember that.
[02:30.000 --> 02:35.000]  It was Phone Different and then the iPhone blog and then Tippie and then iMore.
[02:35.000 --> 02:40.000]  I don't remember any of those names. But that is interesting.
[02:40.000 --> 02:43.000]  Again, what is the name of the parent company?
[02:43.000 --> 02:52.000]  It was first Smartphone Experts and then it became Mobile Nations and now it was bought by Future, which is just an enormous British media conglomerate.
[02:52.000 --> 03:11.000]  Again, those really are. I don't even know if I realize, and I'm in the racket, how consolidated they've gotten in terms of buying top-tier independent publications.
[03:11.000 --> 03:17.000]  A non-tech, absolutely great site. Tom's Hardware.
[03:17.000 --> 03:21.000]  Tom's Guide Laptop.
[03:21.000 --> 03:29.000]  Right. But again, truly a great site with a long history, a terrific reputation.
[03:29.000 --> 03:35.000]  I'll put iMore on the list. It's obviously been there for a long time under that name.
[03:35.000 --> 03:39.000]  And in terms of covering just the day-to-day Apple Beat, it's up there.
[03:39.000 --> 03:54.000]  I mean, its current news cycle of the COVID-19 aside, the media world has already been in tremendous uncertainty for career media professionals.
[03:54.000 --> 04:08.000]  Whatever your beat, whether you're in tech or politics or music, entertainment, you name it, anywhere where there's journalism to be written and read and consumed and watched and listened to.
[04:08.000 --> 04:15.000]  It's as uncertain as it's ever been in terms of where the opportunities are for people as a career.
[04:15.000 --> 04:25.000]  I know Dan Fromer, frequent guest now running his own thing, which is the theme, running his own thing as the new consumer, which is doing great.
