[00:00.000 --> 00:01.360]  Dieter, it's good to have you here.
[00:02.080 --> 00:04.960]  Yeah, it's like, uh, it's like, it's the first time we've talked in forever.
[00:04.960 --> 00:05.460]  Yeah.
[00:07.280 --> 00:11.760]  Uh, we, we were going to be, I was going to have you on a month ago.
[00:12.560 --> 00:16.800]  Uh, then all world changed and now we have more to talk about.
[00:16.960 --> 00:24.160]  And then we did record for 20 minutes and it didn't take, and now we have to start over, but it'll be good.
[00:24.800 --> 00:25.040]  Yeah.
[00:25.040 --> 00:31.200]  Anything that you don't enjoy about the next 20 minutes that happens here, just assume that it was great the first time around.
[00:31.760 --> 00:34.160]  Um, and you're just, you know, you'll just have to imagine.
[00:35.200 --> 00:38.960]  Uh, anyway, there's three things I want to talk about and we do, they are new.
[00:38.960 --> 00:42.320]  It's like the world is, at least our world continues to go on.
[00:42.320 --> 00:46.160]  I want to talk about the iPhone, uh, the new iPhone, uh, SE.
[00:46.160 --> 00:49.760]  I want to talk about the iPad magic keyboard.
[00:49.760 --> 00:55.040]  Uh, and I want to talk about Android, the 20, the year 2020.
[00:55.040 --> 00:57.120]  So to date an Android flagships.
[00:57.840 --> 00:58.320]  Sure.
[00:58.480 --> 00:58.960]  Yeah.
[00:58.960 --> 01:04.480]  Um, there's, there's a handful, call it three, four, three and a half, call it three and a half.
[01:05.600 --> 01:06.960]  I can't wait to hear what you think they are.
[01:06.960 --> 01:11.280]  Cause that obviously is, I obviously have a lot to say about the SE and the magic keyboard.
[01:11.280 --> 01:19.040]  And I personally don't have anything to say about the Android flagships, except that I find everything very interesting.
[01:19.040 --> 01:20.000]  And we'll get to that.
[01:20.000 --> 01:21.440]  Let's do that as the third segment.
[01:21.440 --> 01:27.440]  Um, uh, but the iPad magic keyboard, I want to get to first.
[01:27.440 --> 01:33.520]  Um, I thought your review was really interesting, uh, in a couple of ways.
[01:33.520 --> 01:40.400]  Um, but you, you're, so everybody, at least I, everybody I know is in the review racket had the 12.9 inch to review.
[01:40.960 --> 01:41.440]  Yep.
[01:41.440 --> 01:41.760]  Yeah.
[01:41.760 --> 01:42.240]  Same.
[01:42.240 --> 01:48.320]  Uh, um, I bought the 11 inch, uh, so I've got that now, but I, I reviewed it on the 12.9.
[01:48.320 --> 01:58.960]  Um, which maybe colored a little bit of my feeling about it, because since I prefer the 11 inch iPad in the first place, uh, the 12.9 just feels big.
[01:58.960 --> 02:02.240]  That's sort of why I focused on like, here are the exact weight measurements.
[02:02.240 --> 02:06.400]  Um, and I did it, I did it in pounds because I've mostly got a US audience and I know that's awful.
[02:06.400 --> 02:09.120]  I should have just offered grams also, but I was in a hurry.
[02:09.120 --> 02:11.280]  Um, but yeah, it's heavy.
[02:11.280 --> 02:14.560]  Um, and I think that Apple knew it was heavy from the jump.
[02:14.560 --> 02:19.280]  In fact, I know they knew it was heavy because I asked them, Hey, how much does the 11 inch one weigh?
[02:19.280 --> 02:21.360]  Because I'm weighing this 12 inch one, it seems kind of heavy.
[02:21.360 --> 02:23.280]  Can you just, you know, let me know what the spec is.
[02:23.840 --> 02:26.080]  And they just told me that there was nothing to share on that.
[02:26.080 --> 02:33.200]  I thought that was so interesting too in advance, even before we got the 12.9 inch, they didn't have the weights for any of them.
[02:33.760 --> 02:34.000]  Yeah.
[02:34.000 --> 02:39.520]  Um, well, I mean, they, they had it, they, they, I'm sure that somebody somewhere with an Apple had waited.
[02:39.520 --> 02:43.840]  Oh yeah, they knew it, but I'm saying that there was no, there was no way to go.
[02:43.840 --> 02:56.400]  To like, if you go to apple.com and click on the iPad, and then they're like, they're like iPad keyboards and they have this nice page with all of the latest iPad keyboards and there's nowhere there that tells you how much any of them weigh.
[02:56.400 --> 03:06.000]  Um, and Dr. Drang, the, the pseudonymous, uh, lovely Apple blogger, uh, stuff.
[03:06.000 --> 03:26.640]  I just, uh, gobble up, I love every, almost everything you post, uh, had speculated on the weights based on, well, let's take, we know the weights of the smart keyboards and we know the shipping weights and somehow it was like Amazon published the shipping weights for the magic keyboards, you know, like how much the whole package is.
[03:26.640 --> 03:38.400]  So if we take them as a percentage, we could, you know, and his guests for the 12.9 inch was very close, but it turns out the 11 inch magic keyboard is quite a bit heavier than his guests.
[03:38.400 --> 04:01.200]  It's, it, it does seem because it's a percentage wise, the 11 inch magic keyboard, the new thing with the clicking keys and the, you know, the, uh, the trackpad is a ways closer to the 12.9 inch than the smart keyboard do, you know, does that make sense?
[04:01.200 --> 04:30.400]  And I guess it's something to the effect of, and I don't know that anybody's torn these things apart yet, but I'm guessing that there's aspects of them where the difference in size doesn't matter, that there's like hinge mechanisms for both hinges that the, the difference in size doesn't really matter so much as the fact that the hinge is there at all and it's, it's, you know, I guess the trackpads weigh about the same, even though it's only slightly smaller, et cetera.
[04:30.400 --> 04:47.200]  So the 11 inches is quite a bit heavier at, I don't know why Apple hit it though. I mean, it is what it is. Just, you know, uh, just, just be proud of it. I don't know. It just was suspicious, but it made me think, yeah, maybe we are guessing low on the weights of these things.
[04:47.200 --> 05:10.200]  Yeah. I mean, maybe they just, they knew that everybody would dunk on it. I mean, I know that the day before the morning of the reviews coming out, uh, some of the keyboards had actually shipped early and so everyone saw that it weighs the 12.9 with the keyboard weighs more than a MacBook Air, um, but weighs about the same as like a 13 inch MacBook Pro. And so I was like, Oh my God, it's so heavy.
[05:10.200 --> 05:22.200]  Um, and so I think they, they knew that that was going to be the reaction probably, but, um, I agree with you. I think they should have just owned it. Just be like, yep, we made the best keyboard we could, and that meant that it weighs a little bit more.
