[00:00.000 --> 00:01.680]  David, happy Thanksgiving.
[00:01.680 --> 00:03.520]  Happy Thanksgiving to you.
[00:03.520 --> 00:06.480]  So you are currently in the UK.
[00:06.480 --> 00:09.400]  What is it like as an American
[00:09.400 --> 00:12.420]  living in the UK for Thanksgiving?
[00:13.960 --> 00:17.600]  It is quiet, I think is probably the best word for it.
[00:17.600 --> 00:20.200]  It's a weird week where I'm just like
[00:20.200 --> 00:22.040]  normally doing work stuff, everything's great.
[00:22.040 --> 00:25.000]  And then everything's gotten quiet, there's no news.
[00:25.000 --> 00:27.200]  Everyone's like quiet on social media.
[00:27.200 --> 00:29.100]  Everything seems to sort of be shutting down,
[00:29.100 --> 00:30.840]  but everything's like totally normal life here.
[00:30.840 --> 00:34.000]  And here it's a funny thing too
[00:34.000 --> 00:35.960]  where I go to the grocery store
[00:35.960 --> 00:39.720]  and they're like, turkeys are coming December 17th.
[00:39.720 --> 00:41.400]  It's like, what?
[00:41.400 --> 00:43.700]  It's like, because turkey's the big Christmas thing here
[00:43.700 --> 00:45.320]  rather than the Thanksgiving thing.
[00:45.320 --> 00:47.720]  And so it's just, it's been a bit of an adjustment
[00:47.720 --> 00:49.740]  and we'll still have some Thanksgiving here.
[00:49.740 --> 00:52.080]  You know, I'm having a, but it's a different event
[00:52.080 --> 00:54.480]  where we're having Thanksgiving on Saturday
[00:54.480 --> 00:57.560]  because that's convenient because no one has time off work.
[00:57.560 --> 01:00.080]  And so it's like, we're doing a little
[01:00.080 --> 01:02.000]  Thanksgiving gathering on Saturday instead.
[01:02.000 --> 01:06.600]  But yeah, it's different, but still nice.
[01:08.120 --> 01:11.360]  It's funny because, you know, Christmas is Christmas
[01:11.360 --> 01:13.920]  and I know it's a religious holiday technically,
[01:13.920 --> 01:17.800]  but it's sort of evolved into a sort of secular Santa Claus
[01:17.800 --> 01:20.380]  as well and it's the same, right?
[01:20.380 --> 01:23.620]  Like everybody, even Canada, even the weirdos in Canada
[01:23.620 --> 01:26.620]  celebrate Christmas on Christmas.
[01:26.620 --> 01:29.800]  But Thanksgiving is such a uniquely US holiday.
[01:29.800 --> 01:32.240]  It's always a bit strange thinking about
[01:32.240 --> 01:34.580]  what it's like to be outside the US.
[01:34.580 --> 01:35.800]  And it's such a big deal.
[01:35.800 --> 01:39.200]  It's like number one travel, holiday in the US,
[01:39.200 --> 01:40.960]  et cetera, et cetera.
[01:40.960 --> 01:42.280]  Anyway, glad to hear it.
[01:42.280 --> 01:44.280]  So you were able to obtain a turkey
[01:44.280 --> 01:46.920]  even though the turkeys are all slated for Christmas?
[01:46.920 --> 01:49.180]  Yes, there's only one store we found
[01:49.180 --> 01:50.600]  that had turkeys this early.
[01:50.600 --> 01:53.400]  But we were able to find one, we were able to acquire one.
[01:53.400 --> 01:56.960]  And so we will be able to have a turkey for Thanksgiving.
[01:56.960 --> 01:58.500]  Well, that is good to hear.
[01:58.500 --> 01:59.340]  There's a lot going on.
[01:59.340 --> 02:00.480]  You know, breaking news,
[02:00.480 --> 02:02.600]  literally right before we started recording,
[02:02.600 --> 02:06.040]  did you see this, that Apple is suing NSO Group,
[02:06.040 --> 02:08.000]  the Israeli spyware firm.
[02:08.000 --> 02:09.160]  We don't have a lot of details,
[02:09.160 --> 02:11.240]  but the thing that struck me,
[02:11.240 --> 02:12.840]  and I stole it from my friend Nat
[02:12.840 --> 02:15.560]  who emailed me about it or texted me about it,
[02:15.560 --> 02:18.040]  but the grounds for the lawsuit is
[02:18.040 --> 02:20.040]  some organization did an investigation
[02:20.040 --> 02:22.640]  into NSO Group's Pegasus spyware.
[02:22.640 --> 02:24.900]  And then in their investigation,
[02:24.900 --> 02:28.680]  revealed apparently heretofore unknown to Apple,
[02:28.680 --> 02:31.560]  proof of how, or examples of how Pegasus worked.
[02:31.560 --> 02:33.560]  And I guess they got to examine a phone
[02:33.560 --> 02:35.140]  that was infected or something like that,
[02:35.140 --> 02:36.200]  and Apple got to study it.
[02:36.200 --> 02:38.680]  And one of the things that Apple figured out
[02:38.680 --> 02:42.100]  was that NSO Group, in the course of making the software,
[02:42.100 --> 02:47.100]  had created a hundred or hundreds of fake Apple IDs
[02:47.820 --> 02:49.480]  to make this work.
[02:49.480 --> 02:51.960]  And that's against the terms of service
[02:51.960 --> 02:53.720]  of the developer agreement.
[02:53.720 --> 02:58.460]  And it says in the developer agreement
[02:58.460 --> 03:00.100]  that if you break these rules,
[03:00.100 --> 03:02.480]  it'll be governed by the laws of Northern California
[03:02.480 --> 03:04.440]  or California, and that's how they're able
[03:04.440 --> 03:06.880]  to bring this federal suit against them.
[03:06.880 --> 03:10.640]  And my quip was that it's like shades
[03:10.640 --> 03:13.000]  of nailing Al Capone for tax evasion,
[03:13.000 --> 03:15.160]  creating fake Apple IDs.
[03:15.160 --> 03:16.760]  That's the thing that got them.
[03:18.040 --> 03:21.080]  But go Apple, go, I say.
[03:21.080 --> 03:24.940]  I'm not a fan of the NSO Group and their business model.
[03:24.940 --> 03:27.240]  I mean, the thing that strikes me about this article,
[03:27.240 --> 03:28.440]  just reading it quickly though,
[03:28.440 --> 03:31.240]  is the sense of you so often in public,
[03:31.240 --> 03:33.860]  Apple executives are very buttoned down,
[03:33.860 --> 03:36.080]  straightforward, very professional.
[03:36.080 --> 03:38.800]  And like the quote the New York Times has
[03:38.800 --> 03:41.800]  from, it's Ivan Krstic.
[03:41.800 --> 03:44.040]  It's like, this is Apple saying,
[03:44.040 --> 03:45.960]  if you do this, if you weaponize our software
[03:45.960 --> 03:48.240]  against innocent users, researchers, dissidents,
[03:48.240 --> 03:51.920]  activists, and journalists, Apple will give you no quarter.
[03:51.920 --> 03:53.560]  Like they're not messing around.
[03:53.560 --> 03:56.520]  Like that is, like in a public, you know,
[03:56.520 --> 03:59.360]  on the record to the New York Times statement,
[03:59.360 --> 04:00.920]  if they're making that, you know,
[04:00.920 --> 04:04.480]  sort of speaking that strongly,
[04:04.480 --> 04:06.800]  clearly this is, you know, they mean business.
[04:06.800 --> 04:08.120]  They're going to do whatever they can
[04:08.120 --> 04:10.600]  to shut things like this down.
[04:10.600 --> 04:12.360]  Tell us what you really think, Ivan.
[04:12.360 --> 04:14.760]  Yeah, it's like, give you no quarter.
[04:14.760 --> 04:17.520]  It's like, that's some strong words.
[04:17.520 --> 04:19.720]  You know, it reminds me of the one time
[04:19.720 --> 04:23.600]  I was doing my live show and I believe it came up,
[04:23.600 --> 04:27.280]  I think it was when Phil Schiller was the guest or a guest.
[04:28.400 --> 04:32.200]  And I asked about what they thought about leaks
[04:32.200 --> 04:35.280]  and man, did it get serious quick.
[04:35.280 --> 04:39.080]  Like they really, really hate leaks.
[04:39.080 --> 04:41.400]  And it was a good moment in the show.
[04:41.400 --> 04:43.800]  I'm glad I was like, man, I'm glad I asked, that was great.
[04:43.800 --> 04:47.080]  But it was also sort of like, oh, this isn't funny anymore.
[04:47.080 --> 04:49.640]  Yeah, I was going to say, and I think it speaks to,
[04:49.640 --> 04:51.320]  there are things that Apple can be flexible on
[04:51.320 --> 04:52.960]  and there are things that I think that internally
[04:52.960 --> 04:54.240]  that they're not flexible.
[04:54.240 --> 04:55.920]  And it's like, and the reason I think,
[04:55.920 --> 04:58.040]  if I remember that talk show episode correctly,
[04:58.040 --> 05:00.840]  it's like the thing that I think where it struck a chord
[05:00.840 --> 05:03.680]  is that it isn't that leaks hurt Apple
[05:03.680 --> 05:04.760]  from a business perspective.
[05:04.760 --> 05:06.320]  I don't think that was the impression I got,
[05:06.320 --> 05:08.640]  is that they get really frustrated
[05:08.640 --> 05:11.640]  because leaks hurt the efforts of the people
[05:11.640 --> 05:14.520]  working inside of Apple to make something
[05:14.520 --> 05:17.440]  that can have a special moment in the sun.
[05:17.440 --> 05:21.440]  When it's, if it appears out, it's surprised,
[05:21.440 --> 05:23.480]  they can tell the story of that feature
[05:23.480 --> 05:26.880]  in a way that does its due.
[05:26.880 --> 05:29.440]  That it isn't, that people have expected this to happen
[05:29.440 --> 05:33.440]  or they got a sort of a leak that only has half the story.
[05:33.440 --> 05:35.240]  And so people have built up in their mind,
[05:35.240 --> 05:38.320]  like with the Apple Watch and people wanted a different,
[05:38.320 --> 05:41.100]  you know, a different case shape and that didn't happen.
[05:41.100 --> 05:42.600]  And then it's a disappointment.
[05:42.600 --> 05:45.360]  And the fact that that like is hurtful to the people
[05:45.360 --> 05:49.740]  who have been working on this for years at a time,
[05:49.740 --> 05:51.760]  and then it's kind of, it's robbing them
[05:51.760 --> 05:53.880]  of that sense of accomplishment.
[05:53.880 --> 05:55.680]  And it's like, this feels very much, it's,
[05:55.680 --> 05:57.720]  it isn't necessarily, I mean, I'm sure Apple doesn't like
[05:57.720 --> 05:59.960]  that people are hacking into this,
[05:59.960 --> 06:03.160]  but Apple doesn't like the impact this is having
[06:03.160 --> 06:06.080]  on users, researchers, dissidents, activists,
[06:06.080 --> 06:09.240]  and journalists, but that is at a personal level,
[06:09.240 --> 06:12.300]  rather than just like a business, dollars and cents,
[06:12.300 --> 06:14.640]  how this shows up on their profit and loss.
[06:14.640 --> 06:18.600]  Like they don't want their software to be used
[06:18.600 --> 06:21.280]  in a way that has this harm in the world.
[06:21.280 --> 06:23.720]  Clearly it struck a nerve in a way that is different
[06:23.720 --> 06:25.720]  than even you think about Apple's,
[06:25.720 --> 06:27.280]  the way they talk about the Epic suit,
[06:27.280 --> 06:28.600]  or they talk about, you know, where it's like,
[06:28.600 --> 06:30.160]  someone sued them and took them to court
[06:30.160 --> 06:31.400]  and did a whole big thing.
[06:31.400 --> 06:33.400]  And it's like, but it's still, it's like,
[06:33.400 --> 06:34.560]  that's a business transaction.
[06:34.560 --> 06:36.760]  That is something that they can, it's not personal.
[06:36.760 --> 06:37.760]  That's just business.
[06:37.760 --> 06:39.820]  Whereas this feels much more personal.
[06:39.820 --> 06:42.220]  Yeah, I don't think they have warm feelings towards
[06:42.220 --> 06:45.920]  Tim Sweeney or Epic, but I also don't think
[06:45.920 --> 06:47.840]  that they're like furiously angry
[06:47.840 --> 06:50.920]  and they're not going to tell Epic that we're,
[06:50.920 --> 06:55.920]  if you try to screw with our in-app purchases,
[06:55.960 --> 06:57.560]  we will give you no quarter.
[06:57.560 --> 06:58.400]  No.
[06:58.400 --> 06:59.560]  It's not going that way.
[07:00.680 --> 07:04.360]  Another recent news story from last week.
[07:04.360 --> 07:05.200]  Did you see this?
[07:05.200 --> 07:07.240]  This was a story by,
[07:07.240 --> 07:08.840]  I hope I'm pronouncing his surname correctly,
[07:08.840 --> 07:13.400]  John Coatsire at Forbes with the headline,
[07:13.400 --> 07:16.560]  Apple quietly buying ads via Google
[07:16.560 --> 07:18.440]  for high value subscription apps
[07:18.440 --> 07:21.020]  to capture app publisher revenue.
[07:21.020 --> 07:23.700]  This came out either a week ago today
[07:23.700 --> 07:25.400]  or a week ago yesterday.
[07:25.400 --> 07:29.000]  And it was the kerfuffle of the day.
[07:29.000 --> 07:31.360]  The general consensus seemed to be that,
[07:31.360 --> 07:34.200]  that this was outrageous and scandalous
[07:34.200 --> 07:37.200]  and that Apple was ripping off subscription app developers
[07:37.200 --> 07:38.800]  by buying Google ads for their things.
[07:38.800 --> 07:40.920]  I think that this is nonsense.
[07:40.920 --> 07:43.200]  To me, I haven't written about it on Daring Fireball yet.
[07:43.200 --> 07:44.040]  I've been meaning to,
[07:44.040 --> 07:46.720]  but I thought maybe I should let it cool down.
[07:46.720 --> 07:48.820]  I should at least link to it and give my quick thoughts,
[07:48.820 --> 07:51.200]  but it's also a good podcast topic.
