[00:00.000 --> 00:01.160]  Let's do something unusual.
[00:01.160 --> 00:03.360]  Let's actually talk about stuff that's in the news.
[00:03.360 --> 00:04.640]  OK.
[00:04.640 --> 00:05.440]  It's your show.
[00:05.440 --> 00:07.520]  Is it?
[00:07.520 --> 00:08.120]  Is it?
[00:08.120 --> 00:10.520]  That's what I've been given to understand.
[00:10.520 --> 00:12.640]  Until somebody comes in and takes it away from me.
[00:12.640 --> 00:14.560]  Is there a hostile takeover happening
[00:14.560 --> 00:15.560]  that I don't know about?
[00:15.560 --> 00:16.760]  Well, I don't know.
[00:16.760 --> 00:19.120]  I grew up thinking that if you have a talk show,
[00:19.120 --> 00:22.000]  then eventually somebody comes and takes it away from you.
[00:22.000 --> 00:23.200]  I guess that's true, yeah.
[00:23.200 --> 00:24.880]  But you had Guy on last week, right?
[00:24.880 --> 00:25.840]  He didn't take it away.
[00:25.840 --> 00:28.480]  So if Guy didn't take it away, then you're probably right.
[00:28.480 --> 00:30.880]  Yeah, if anybody's going to take it away, it's probably Guy.
[00:30.880 --> 00:34.280]  Do you see Letterman is going to be on the late night
[00:34.280 --> 00:36.200]  with Seth Meyers on Tuesday.
[00:36.200 --> 00:37.320]  I did, yeah.
[00:37.320 --> 00:39.420]  That'll probably be worth watching.
[00:39.420 --> 00:43.000]  I'm extremely excited because, of course, a big Letterman fan.
[00:43.000 --> 00:48.040]  I also, my personal favorite of the current late night talk shows
[00:48.040 --> 00:49.520]  is Seth Meyers' show.
[00:49.520 --> 00:50.440]  I really enjoy it.
[00:50.440 --> 00:53.360]  I feel like their closer looks should
[00:53.360 --> 00:55.200]  be winning some sort of awards.
[00:55.200 --> 00:55.920]  I don't know.
[00:55.920 --> 00:58.800]  They're very good, like little mini political current event
[00:58.800 --> 01:00.320]  essays that are also funny.
[01:00.320 --> 01:03.440]  But also, Letterman, I mean, he's my favorite host.
[01:03.440 --> 01:07.480]  But he's also, he's like the prototypical good guest on a show.
[01:07.480 --> 01:07.960]  So.
[01:07.960 --> 01:09.120]  Yeah, absolutely.
[01:09.120 --> 01:11.760]  Ready to nerd out on Tuesday night.
[01:11.760 --> 01:14.720]  You've seen him in the, I think those are the outtakes for the movie
[01:14.720 --> 01:16.160]  of Between Two Ferns.
[01:16.160 --> 01:17.680]  Yes, I think so, yeah.
[01:17.680 --> 01:18.640]  They're very funny.
[01:21.520 --> 01:23.760]  I forget what he called it, Crystal Meth Santa Claus?
[01:23.760 --> 01:26.800]  Is that what he called it?
