[00:00.000 --> 00:00.840]  Do you have one?
[00:00.840 --> 00:01.600]  Do you want one?
[00:01.600 --> 00:03.600]  What's, what's your, what's your display setup at home?
[00:04.000 --> 00:08.700]  So I don't have on my display set up, believe it or not is so I have a MacBook
[00:08.700 --> 00:13.360]  pro and I believe it or not, I'm using with an adapter, an old Thunderbolt display.
[00:13.360 --> 00:16.720]  I shit you not like the non retina one.
[00:17.120 --> 00:18.880]  Like, I think so.
[00:18.880 --> 00:23.920]  Like I, I'm very into just using my laptop and then I use the display if I have to
[00:23.920 --> 00:27.520]  have a second screen, but I'm very like, just, just use my laptop and I'm good.
[00:27.520 --> 00:31.520]  Oh, so primarily though, you're actually, you're, you're, you're just looking at
[00:31.520 --> 00:36.040]  the actual M one Mac, you know, the built-in M one, just laptop display.
[00:36.440 --> 00:36.920]  Exactly.
[00:36.920 --> 00:39.520]  I just, I'm just kind of like, you know, that's my display and that's what I look
[00:39.520 --> 00:43.680]  at and I have everything in one place and I'm good, but six, 16 inch or 14 inch.
[00:43.720 --> 00:47.360]  I have the, it put me on the spot 14 inch.
[00:47.560 --> 00:47.880]  Yeah.
[00:47.880 --> 00:49.840]  Smaller, big, small.
[00:50.840 --> 00:54.080]  Well, to me, the 14 inch as it's gotten bigger and bigger and bigger feels bigger
[00:54.080 --> 00:56.560]  and bigger, but it's funny you mentioned about the old thing because I feel the
[00:56.560 --> 01:00.640]  same way, it's like, I used to be up at night creative and even the screen sizes
[01:00.640 --> 01:03.400]  and stuff, like, I'm like, maybe I should get a studio display.
[01:03.400 --> 01:04.600]  Maybe I should get a bigger display.
[01:04.600 --> 01:07.960]  It's like everything bigger and slower and, you know, older, right.
[01:08.040 --> 01:13.680]  I don't want to rehash it too much, but I spent most of, or over two years, I guess,
[01:13.680 --> 01:16.360]  starting at like the end of summer 2019.
[01:16.440 --> 01:20.880]  And I've told this story, but it was a combination of, I had a retina detachment
[01:20.960 --> 01:25.360]  in my right eye and, and we were doing renovations at our house, including my
[01:25.360 --> 01:33.400]  office. So I packed up my 5k iMac from 2014 and was full-time using a Mac book
[01:33.400 --> 01:38.160]  pro, a 13, an older 13 inch Mac book pro with the built-in display, like in the
[01:38.160 --> 01:42.680]  kitchen for all my work, because I remember this, I remember this and the
[01:42.680 --> 01:48.000]  retina detachment applies because then even after like the renovations were over,
[01:48.040 --> 01:53.680]  like, which were luckily just ahead of COVID, it was, we, we really, the timing
[01:53.680 --> 01:54.640]  was just unbelievable.
[01:54.640 --> 01:58.560]  Like it was literally like the city of Philadelphia said, Hey, this Friday is
[01:58.560 --> 02:02.400]  the last day after this, we're going to have a lockdown, no, no work, you know,
[02:02.400 --> 02:06.160]  would have been illegal for our contractors to, to be in the house.
[02:06.160 --> 02:09.280]  And, you know, and you know, I don't blame them every, you know, it was
[02:09.280 --> 02:13.080]  worrisome, but they, they were literally just finishing up the last few things,
[02:13.080 --> 02:17.360]  putting like some grommets in my desk so I could string cables through.
[02:17.360 --> 02:18.600]  It was just finishing up.
[02:18.640 --> 02:23.600]  But even after that, I didn't set up the 5k iMac again, because that focal
[02:23.600 --> 02:25.840]  distance, I had terrible double vision.
[02:25.840 --> 02:30.840]  Whereas if I was closer, like you are with a laptop, I could see it perfectly.
[02:30.840 --> 02:37.480]  So I just kept working on the MacBook pro and then even as my eyesight got
[02:37.480 --> 02:43.760]  better, and I really realized it a year ago when I tested the iMac, uh, 24
[02:43.760 --> 02:48.640]  inch, you know, the first M1 iMacs from Apple, I was like, Hey, I was like,
[02:48.640 --> 02:50.320]  Hey, I can see this really good.
[02:50.360 --> 02:51.840]  And it's nice to have a big display.
[02:51.840 --> 02:54.560]  But I didn't want to get the 24 inch iMac.
[02:55.120 --> 02:58.960]  And I either wanted to wait to see if Apple came out with a big one or if they
[02:58.960 --> 03:03.360]  came out, you know, with the thing that they actually did come out with the 27
[03:03.360 --> 03:08.480]  inch iMac screen as a standalone, 5k as a standalone display.
[03:08.600 --> 03:09.960]  And I was like, I'm just going to wait for that.
[03:10.840 --> 03:15.200]  And then, you know, there's another year, another year just goes fly by.
[03:15.600 --> 03:16.640]  But I, I know it.
[03:16.880 --> 03:18.880]  And I tell that to people, I have friends.
[03:18.880 --> 03:21.720]  And, and they're like, that's crazy.
[03:21.760 --> 03:25.760]  So you spent like years and years with like a big 27 inch 5k display.
[03:25.760 --> 03:30.880]  And before that I had, you know, uh, 20 inch, the old Apple 20 inch display.
[03:30.920 --> 03:31.560]  Remember that thing?
[03:31.920 --> 03:36.280]  I had that, I had that for forever and I had the 20 inch instead of the 23, because
[03:36.280 --> 03:39.640]  at the time it was all I could afford, but I loved it and it never, it never
[03:39.640 --> 03:44.120]  gave me any trouble and I was like, yeah, it was a bit of an adjustment, but I, I
[03:44.120 --> 03:50.400]  sort of find that only having the laptop screen, it does help me focus.
[03:50.760 --> 03:54.720]  Like, you know, and I think you, knowing you, I think you're a little bit like me,
[03:54.720 --> 03:59.720]  like having too much on screen at once might be counterproductive to productivity.
[04:00.400 --> 04:00.800]  That's it.
[04:00.800 --> 04:04.040]  Well, I think the Thunderbolt display, the reason why I've always kept it is it's 27
[04:04.040 --> 04:04.480]  inches.
[04:04.480 --> 04:05.360]  It's really nice.
[04:05.680 --> 04:06.920]  It's actually a good display.
[04:06.920 --> 04:08.120]  It's one cable plugin.
[04:08.120 --> 04:11.040]  But the thing is, as I start having all the displays exactly, like you said, I
[04:11.040 --> 04:14.120]  start having so many windows and I'm just like, why do I have all these windows
[04:14.120 --> 04:14.440]  open?
[04:14.440 --> 04:16.320]  I eventually close them and I'm back on my laptop.
[04:16.400 --> 04:20.080]  I will say though, now that I'm back and I've got, I've still got the review unit
[04:20.360 --> 04:26.720]  studio display, I've ordered my own and it is, I forget what the shipping date
[04:26.720 --> 04:31.080]  was like July or August or something like that, or end of June, demand and
[04:31.080 --> 04:32.880]  supply chains issues are real, right?
[04:32.920 --> 04:34.240]  So it is nice.
[04:34.240 --> 04:38.280]  And I'm like, oh yeah, this was nice to be able to put two full size browser
[04:38.280 --> 04:41.360]  windows side by side and see both of them completely.
[04:41.360 --> 04:45.400]  And it's great for being able to work on two things side by side and drag and drop
[04:45.400 --> 04:46.160]  things between them.
[04:46.160 --> 04:50.760]  So I'm back hooked on it again, but I totally understand your perspective of
[04:50.800 --> 04:51.560]  living on that.
[04:51.960 --> 04:53.760]  I will probably break down and get one.
[04:53.760 --> 04:54.400]  I'll leave it at that.
[04:54.680 --> 04:54.960]  All right.
[04:54.960 --> 04:57.840]  What's, what is your webcam situation?
[04:57.880 --> 04:59.680]  Do you just use the built-in M1?
[05:00.480 --> 05:01.080]  Yeah, I do.
[05:01.080 --> 05:04.160]  You know, I've been looking, actually a bunch of my friends have really nice
[05:04.160 --> 05:07.320]  ones and I've been thinking about getting like an external, like really hot
[05:07.320 --> 05:11.200]  end one, but I was reading Jason Snell's review of the firmware update and the
[05:11.200 --> 05:13.360]  camera's really looking good with the firmware update.
[05:13.360 --> 05:16.440]  There's, I still have some pickies and we could get into it if you want, but like,
[05:16.720 --> 05:19.360]  it's, you know, that's why I'm thinking about getting one now is it kind of
[05:19.360 --> 05:22.080]  solves two problems with one, you know, with one display.
[05:23.240 --> 05:24.400]  See, now that's interesting.
[05:24.400 --> 05:25.920]  Cause I still think it looks bad.
[05:26.800 --> 05:28.360]  I mean, not bad, bad.
[05:28.400 --> 05:30.040]  I mean, that's why I said, I still have some problems.
[05:30.040 --> 05:30.720]  It's not perfect.
[05:30.720 --> 05:32.760]  It doesn't look as good as it could.
[05:32.760 --> 05:34.360]  And I think it's a firmware issue still.
[05:34.360 --> 05:37.240]  It's, it's nowhere near as good as something, you know, like I think what
[05:37.240 --> 05:40.560]  you're talking about with the really nice ones, like a lot of people have the Sony
[05:40.600 --> 05:42.280]  whatever, it's like a thousand dollars.
[05:42.280 --> 05:42.840]  Exactly.
[05:42.840 --> 05:44.200]  It's like the barrel or whatever it is.
[05:44.200 --> 05:44.360]  Yeah.
[05:44.360 --> 05:44.680]  Yeah.
[05:44.680 --> 05:49.480]  And it's, it's sort of known as the YouTuber's camera because there's a, you
[05:49.480 --> 05:55.960]  know, it's, it's just perfect for a lot of pro or semi-pro or prosumer level,
[05:56.200 --> 06:01.680]  really polished YouTube style talking to the camera videos at a, you know, very
[06:01.680 --> 06:06.480]  affordable price for a thousand dollars and you can use it as a webcam and, you
[06:06.480 --> 06:13.040]  know, you'll, you'll get in your, your team or, or company zoomed calls and just
[06:13.040 --> 06:15.720]  blow everybody away with, with your image quality.
[06:15.760 --> 06:16.280]  Exactly.
[06:16.760 --> 06:21.800]  That's a, you know, a thousand dollars Sony camera is not what you expect from
[06:21.800 --> 06:25.840]  a $1,600 built-in webcam in a, in a studio display.
[06:25.880 --> 06:29.840]  I mean, that's clearly above and beyond for anybody who's had their head in the
[06:29.840 --> 06:33.960]  ground this week, the news this week on the firmware update for the studio
[06:33.960 --> 06:37.640]  display is that Apple finally came out.
[06:37.680 --> 06:39.480]  I know I like to put finally in quotes.
[06:39.560 --> 06:43.440]  You have to, to, to get it though, you have to have a Mac running the
[06:43.440 --> 06:47.000]  beta version of MacOS 12.4.
[06:47.080 --> 06:52.560]  And then once you have a Mac running the beta version of 12.4, if you have a
[06:52.560 --> 06:58.120]  studio display attached software update, we'll see it and tell you there's a
[06:58.120 --> 07:01.840]  software firmware update for the studio display.
[07:02.160 --> 07:07.960]  And it is funny, like firmware is, is one of those words, like, uh huh.
[07:08.040 --> 07:11.560]  What, what exactly did, cause remember we used to call the, I, we used to call the
[07:11.560 --> 07:16.000]  iPhones operating system firmware, like for the first year, nobody really, nobody
[07:16.000 --> 07:18.640]  really knew what to call it because it wasn't, you know, and I think even
[07:18.640 --> 07:20.160]  Apple called it a firmware update.
[07:20.800 --> 07:26.120]  There's a certain line that an operating system can cross where it goes from
[07:26.120 --> 07:30.760]  being firmware to an OS, but it's effectively, it's, it's just a beta
[07:30.760 --> 07:35.840]  version of iOS 15.5 that powers the studio display under the hood.
[07:36.360 --> 07:42.400]  So I did it cause I'm an idiot, but also in my personal experience, the, these,
[07:42.520 --> 07:50.720]  especially like the end of the cycle, OS updates, in other words, you know,
[07:50.720 --> 07:52.520]  we're obviously heading towards WWDC.
[07:52.520 --> 07:59.720]  We're going to get announcements of iOS 16 and Mac OS 13, et cetera.
[07:59.880 --> 08:03.920]  And they're going to have betas for developers that are really, really,
[08:03.920 --> 08:05.760]  really rough at WWDC.
[08:05.760 --> 08:07.880]  That's just the way that the calendar works.
[08:07.920 --> 08:12.320]  But these ones that come out at the end of the previous year's cycle, like
[08:12.320 --> 08:15.320]  around now in April are really pretty.
[08:15.880 --> 08:20.000]  Start, you know, they're, they're, they're very stable, like, and honestly, I've
[08:20.000 --> 08:25.520]  been running and living on Mac OS 12.4 beta three because of this studio
[08:25.520 --> 08:26.960]  display thing all week long.
[08:27.360 --> 08:31.680]  And I could not tell you one thing that I've encountered that seems like a
[08:31.680 --> 08:34.600]  bug or a glitch beta wise, you know, so I don't know that's not great.
[08:34.640 --> 08:35.440]  Yeah, that's great.
[08:35.480 --> 08:36.120]  I wouldn't worry.
[08:36.400 --> 08:39.840]  That's not to say that I'm telling everybody listening to this podcast, go
[08:39.840 --> 08:45.040]  and go, go install a beta version of the OS on your production Mac.
[08:45.680 --> 08:47.920]  Gruber says there are no bugs.
[08:47.960 --> 08:49.920]  I mean, there's a reason they still have no bugs.
[08:49.920 --> 08:53.240]  They still call it beta, but pretty stable, but I installed it.
[08:53.240 --> 08:54.120]  I got the update.
[08:54.200 --> 09:00.960]  It is kind of wild to, to, to have your display updating.
[09:02.080 --> 09:06.280]  It's just such a weird, you know, you just, you just don't think of your
[09:06.720 --> 09:12.200]  display as having an operating system and it's sort of like, I don't know.
[09:12.200 --> 09:15.760]  It's like when your Apple TV updates, I mean, it takes a couple minutes and
[09:15.760 --> 09:19.520]  for the most part day to day, you don't notice that the display
[09:19.520 --> 09:21.520]  is actually an iOS computer.
[09:21.640 --> 09:26.200]  It just, you plug it in and it just runs and runs and runs and wakes up
[09:26.200 --> 09:30.960]  when you want to wake up the, the, the Mac, but when you'd run a software
[09:30.960 --> 09:34.000]  update, it really does seem like a weird thing to be waiting for.
[09:34.680 --> 09:36.000]  I don't blame them for this.
[09:36.080 --> 09:42.120]  I, I, I, I think the camera and getting the image signal processor to, to, to
[09:42.120 --> 09:46.400]  do things with the camera is probably the main reason that they designed it
[09:46.400 --> 09:51.120]  this way, you know, as an iOS computer, instead of just being a traditional
[09:51.440 --> 09:58.880]  dumb display, my, my thoughts on the image quality are, I, I think that
[09:58.880 --> 10:02.800]  what we saw a month ago when it first shipped and I wrote my review and most
[10:02.800 --> 10:06.120]  of the reviews, if, if they mentioned the camera really trashed the image
[10:06.120 --> 10:09.560]  quality were that there, there was something clearly wrong.
[10:09.560 --> 10:13.920]  And I think what a couple of sources within Apple told me that something
[10:13.920 --> 10:19.880]  happened late in the cycle and how it slipped through, I really can't explain
[10:19.920 --> 10:25.160]  best way I can explain it is that in really good light, it, the problems
[10:25.160 --> 10:30.040]  were harder to notice and they were probably, they probably, I don't
[10:30.040 --> 10:33.640]  know what happened, but some kind of bug was introduced to the image
[10:33.640 --> 10:40.240]  processing and it was only tested like inside Apple's beautiful headquarters
[10:40.240 --> 10:44.840]  with beautiful, even light lighting, beautiful, even lighting, not just
[10:44.840 --> 10:51.400]  bright, but like bright and even, and they just, you know, they didn't
[10:51.400 --> 10:55.480]  really notice it and whatever, but yeah, it's definitely, it's definitely a
[10:55.480 --> 11:00.080]  lighting issue because even in like Jason Snell's latest thing, you can see
[11:00.080 --> 11:03.080]  the colors are just off due to the lighting, but you can tell it's a
