[00:00.000 --> 00:02.000]  I've got too many iPads
[00:02.600 --> 00:08.520]  I've got way too many iPads. I I don't just have too many iPads. I have too many iPad keyboards
[00:09.600 --> 00:11.840]  so many iPad keyboards
[00:12.520 --> 00:13.860]  and as
[00:13.860 --> 00:15.860]  Do you hear that as I'm sitting here?
[00:16.440 --> 00:18.640]  They're all falling apart as I try to
[00:19.160 --> 00:22.400]  Prop them open in a space that is not meant for
[00:23.320 --> 00:25.320]  having
[00:25.320 --> 00:31.080]  Multiple iPads configured. Jason, how you doing? Doing great. How are you? I'm discombobulated
[00:31.480 --> 00:35.000]  honestly, but I'm used to Apple product announcements having clarity and
[00:38.400 --> 00:46.560]  Yeah, what a week it's been my theory is that this is pandemic and supply chain related because you got to think
[00:46.560 --> 00:48.000]  This is not how they drew it up
[00:48.000 --> 00:53.320]  I think that Apple took the iPad Pro and was like we can't update it right now and they just punted on that
[00:53.320 --> 00:59.440]  Let's just stick an M2 in it and be done because they would probably rather introduce new features at the high end of the product
[00:59.440 --> 01:00.000]  line, right
[01:00.000 --> 01:06.320]  But they didn't and so we end up in in a weird situation where two features that I think
[01:06.760 --> 01:10.560]  suggest Apple changing its mind about what an iPad should have
[01:11.480 --> 01:13.280]  appearing on the
[01:13.280 --> 01:18.480]  Low cost although not lowest cost because there's still the other one iPad in the line
[01:18.480 --> 01:23.920]  I think it's great that Apple has made those changes, but if you've got an iPad Air or an iPad Pro or want to buy
[01:23.920 --> 01:27.560]  A new one that they're not there yet and maybe they'll be there in 18 months. I don't know
[01:27.560 --> 01:30.000]  Yeah, it's sort of like we're starting with
[01:30.560 --> 01:37.720]  starting with our conclusion, but I am in complete agreement where I think that if you want to make sense out of the
[01:38.360 --> 01:43.400]  Aspects of this week's iPad news that don't make sense it all comes
[01:43.400 --> 01:47.560]  I think it all comes down to this is in the fall of
[01:47.560 --> 01:49.560]  2022
[01:49.600 --> 01:52.640]  We're starting to see more fallout from
[01:53.880 --> 01:56.360]  spring 2020 onward of
[01:57.320 --> 01:59.320]  remote work of
[01:59.640 --> 02:02.920]  inability for people from Apple to travel to China or a
[02:03.440 --> 02:11.040]  Significant reduction for obvious reasons over that time period and given the time frames that hardware gets developed on I don't think it's a stretch
[02:12.480 --> 02:14.960]  Priority wise let's face it iPhone is
[02:14.960 --> 02:21.440]  The top priority of the company for obvious reasons. It's the most popular product. It makes the most money and
[02:23.000 --> 02:28.280]  The I or I foot did I say iPhone? Yeah. Yeah for a second there
[02:28.280 --> 02:34.640]  I thought I said iPad which is the opposite point. Anyway, iPhone is number one and iPhone has
