[00:00.000 --> 00:02.480]  Hello podcast fans
[00:07.080 --> 00:10.560]  We are delighted to be back in San Jose's historic
[00:10.880 --> 00:15.800]  California theater for a very special live edition of the talk show
[00:15.800 --> 00:28.640]  Won't you please make your devices silent, but your voice is loud for Mr. John Gruber
[00:43.440 --> 00:44.920]  Hello
[00:44.920 --> 00:46.920]  Hello
[00:48.000 --> 00:53.040]  Am I on hmm am I on now
[01:05.200 --> 01:07.200]  Technology
[01:07.560 --> 01:09.560]  Never fails
[01:09.840 --> 01:12.640]  Welcome to the talk show live from WWDC
[01:12.640 --> 01:17.680]  2023 it is awesome to be back in the California theater
[01:25.240 --> 01:29.400]  If you were paying attention on Monday, you may have noticed there's a lot to cover
[01:31.480 --> 01:36.360]  So we're gonna mix it up this year and and we are going to have a number of guests
[01:36.360 --> 01:43.720]  But before we start with that, I want to thank our presenting sponsor of the show our good friends at KOLIDE
[01:43.720 --> 01:49.720]  K-O-L-I-D-E, KOLIDE
[01:49.720 --> 01:58.120]  KOLIDE is a security tool for companies with Okta that need to manage their employees devices
[01:58.120 --> 02:07.160]  If an employee's device isn't healthy, isn't in compliance, browser's out of date, software updates aren't up to date
[02:07.160 --> 02:11.240]  Maybe they don't have the lock screen enabled. You can just walk up use their computer
[02:12.680 --> 02:19.000]  KOLIDE identifies it. They can't log in to your company's cloud apps. That's it
[02:19.000 --> 02:22.680]  You can't log in you get in compliance then you can log back in
[02:22.680 --> 02:29.320]  KOLIDE does this in a very employee friendly fashion. They help the employee
[02:29.320 --> 02:34.360]  They teach sort of like the teach a person to fish, you know
[02:34.360 --> 02:39.160]  They'll eat for a lifetime as opposed to giving them a fish and they're hungry tomorrow
[02:41.160 --> 02:45.720]  That's KOLIDE. They teach your employees how to get their devices into compliance
[02:45.720 --> 02:52.680]  They can help with everything, patch management, shadow IT, they can help with fishing, credentials, stuff like that
[02:52.680 --> 02:58.680]  Check them out at KOLIDE.com
[02:58.680 --> 03:03.400]  K-O-L-I-D-E.com slash the talk show
[03:03.400 --> 03:07.080]  That's KOLIDE.com slash the talk show
[03:09.080 --> 03:11.640]  But let's get started with the talk show
[03:11.640 --> 03:19.960]  But let's get started after that. Let me introduce our first two guests
[03:19.960 --> 03:43.960]  John Ternes and Greg Joswiak
[03:43.960 --> 03:50.920]  One week, John. Two Johns and the Jaws. Two Johns and the Jaws? Sounds like a movie
[03:52.120 --> 03:56.120]  Not a very good one. Yeah, are the TP plus people here?
[04:00.120 --> 04:05.080]  Well, John, welcome to the show. This is your first time on the show. No pressure, just a few people
[04:05.080 --> 04:10.760]  Yeah, just a few. No, thanks. Thanks for having me. There was a lot of Mac news this week
[04:10.760 --> 04:28.520]  that got all of 13 minutes in a very crowded keynote. It's hard to get all that into two hours.
[04:28.520 --> 04:37.720]  This is why we have the show. I think in order that you guys introduce new Mac hardware at the show
[04:37.720 --> 04:47.160]  the 15-inch MacBook Air, to me, the most remarkable thing about it is the price.
[04:47.160 --> 04:55.560]  Historically, honestly, going back as far as I can remember, whatever the big screen
[04:56.280 --> 05:03.240]  Apple laptops are, there's never been one at the consumer tier pricing-wise.
[05:03.240 --> 05:09.560]  So, literally, just going back one week, if we went back a week and you wanted a MacBook with
[05:09.560 --> 05:15.000]  a bigger than 13-inch screen, the starting price is $24.99 for the 16-inch MacBook Pro.
[05:15.880 --> 05:19.960]  As of this week, that starting price- $19.99 for the 14-inch.
[05:19.960 --> 05:28.360]  $12.99 for the 13-inch.
