[00:00.000 --> 00:02.680]  How's your week? Oh my god. Oh
[00:07.280 --> 00:09.840]  Geez why did I why did I launch an app? I
[00:11.040 --> 00:12.420]  Forgot how much work this is
[00:12.420 --> 00:15.940]  It's been a while since I've had an app in the store and the last app that was in the store was the magazine
[00:15.940 --> 00:18.140]  Which wasn't very popular and didn't require tech support
[00:19.840 --> 00:21.840]  Man what was I thinking?
[00:23.320 --> 00:25.320]  What what's gone wrong?
[00:25.320 --> 00:32.400]  Um, it's it's mostly the funny thing is it's been a very successful launch overall like there have been very few
[00:34.720 --> 00:38.480]  Real major problems there have been a few minor bugs
[00:39.560 --> 00:45.620]  many of which I've been able to fix server-side just like, you know, some certain podcast feeds weren't being crawled right or something, but
[00:47.640 --> 00:49.200]  Overall the launch have been really good
[00:49.200 --> 00:55.960]  The problem is I've gotten nothing done since yesterday when I launched it because I've been trying to keep up with all the tweet
[00:56.120 --> 01:01.920]  Responses trying to read all the reviews trying to and it you recently charged to try to answer all these emails
[01:02.840 --> 01:04.840]  Yeah, I currently have
[01:05.580 --> 01:07.580]  1099 unread emails on my inbox
[01:08.040 --> 01:12.960]  I've just finally started tackling them tonight after making a bunch of text text spender snippets
[01:12.960 --> 01:19.400]  All the common responses the worst part is the worst part is that that's over a hundred higher than the number you quoted me about
[01:20.640 --> 01:24.240]  Six or seven hours ago when I checked to see if you wanted to be on this show
[01:24.400 --> 01:26.600]  Yeah, and I just bought it to like 150 of them
[01:27.720 --> 01:34.480]  But they're coming in faster. I can respond you're at like 900 around noon or so. Yeah
[01:34.480 --> 01:36.680]  I mean, so I guess that was nine hours ago
[01:36.680 --> 01:40.840]  So that's give you some idea like the over the total downloads of the entire app
[01:40.840 --> 01:46.360]  like the number of people who have even downloaded it not even the people who've made an account just people have downloaded the app at
[01:46.360 --> 01:50.520]  All is roughly 35 to 40 thousand. I don't know. I haven't gotten today's stats yet
[01:50.520 --> 01:55.160]  But so I'm estimating a little bit but roughly 35 or 40 thousand. Wow, and I've gotten I
[01:55.840 --> 01:58.640]  Mean that's and that's a fantastic launch. I'm very happy with that. But
[01:59.320 --> 02:03.120]  Out of those at least 1500 of them have emailed me
[02:04.200 --> 02:09.040]  That seems like a kind of high ratio to me. I don't know that kind of seems too high
[02:09.040 --> 02:15.480]  Yeah, that does seem high but it's I think it's also though the nature though. You're the weird dual nature and you know
[02:16.520 --> 02:21.600]  I'm in the same boat, but but where we're media personalities, you know people read our sites
[02:21.600 --> 02:26.240]  We're sort of have a columnist style and we do podcasts, of course
[02:27.000 --> 02:29.560]  obviously, I think we do I
[02:30.520 --> 02:32.680]  think that encourages a sort of
[02:32.680 --> 02:40.120]  The wanting to give feedback, you know what I mean? Like yeah, and I don't think and again, I yeah
[02:40.120 --> 02:41.240]  I'll bet you'll agree with me
[02:41.240 --> 02:44.960]  I will bet you will agree with me with this that even though you're complaining about being swamped
[02:44.960 --> 02:51.440]  But you're it's a privilege and a thrill that people want to do that and say nice things about your app or ask questions and stuff
[02:51.440 --> 02:53.920]  I don't begrudge it. Oh, definitely
[02:53.920 --> 02:59.020]  I mean, I I really want to do as much of the support of this myself
[02:59.020 --> 03:03.780]  And and I I probably would get saying that. Oh god bless you
[03:04.220 --> 03:09.420]  Well, but what I've done instead is I've tried to ridiculously minimize the number of support emails
[03:09.420 --> 03:11.420]  I actually get so I can actually
[03:11.460 --> 03:16.660]  Treat them like like a human being or at least hire somebody to do it and keep an eye on it very closely
[03:17.020 --> 03:21.300]  Whereas with instant paper, I was never able to do that. There was too much support and that's sort of a
[03:21.300 --> 03:28.420]  a virtuous circle where you being motivated to minimize support issues
[03:29.060 --> 03:32.100]  Design and development wise because you know, you're gonna have to deal with them yourself
[03:33.060 --> 03:37.740]  Means that if you succeed it works and you have less time doing support and vice versa, you know
[03:37.740 --> 03:40.860]  whereas if you had somebody doing support you may not maybe you wouldn't be as
