[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[00:08.480 --> 00:12.160]  Very cool. It was led by the time this episode airs that'll have been last week
[00:12.880 --> 00:14.880]  Lao last week
[00:14.880 --> 00:19.360]  Cool. We're in the future then also. Yeah. Thanks to Facebook for sponsoring this week
[00:19.680 --> 00:25.600]  Dan is referring to last week steering fireball or assess feed sponsor, which was Google who took the spot to
[00:25.600 --> 00:34.080]  Advertise job openings for their iOS apps, which I think is actually a fantastic sponsorship. I think that
[00:35.040 --> 00:39.440]  I think that the I hope they do well. I hope they get some good care if they get one good candidate out of it
[00:39.440 --> 00:40.960]  They'll be delighted
[00:40.960 --> 00:46.160]  Yeah, it's actually really smart, and I'm actually surprised more companies haven't been looking to do
[00:46.160 --> 00:50.600]  I mean, you know, there are job boards like there's that one that a lot of the sites use
[00:50.600 --> 00:58.280]  But companies like Google and Apple too and and all the big tech companies spend so much money on recruiting
[00:58.280 --> 01:02.360]  It's not even funny, so and it's more and more because it's really a
[01:03.720 --> 01:07.720]  They all had all say that it's the biggest the one of the biggest problems they have right now. Oh
[01:08.120 --> 01:12.760]  Totally especially engineers. I mean, they're willing to buy them for like a million dollars each in these equi hires
[01:12.760 --> 01:14.760]  so surely a few
[01:14.760 --> 01:20.600]  Blog sponsorships here and there are good investment. Yeah, but actually it inspired me to
[01:21.160 --> 01:24.200]  Get out my old the only Android device in my house
[01:25.480 --> 01:31.240]  Which I've actually never used until today was it's a Nexus 7 that that I don't even know how we got it
[01:31.240 --> 01:34.760]  but so long had passed between receiving it and
[01:35.880 --> 01:38.040]  Trying to use it that it had actually been bricked
[01:38.040 --> 01:44.680]  Like I I plugged it in for a month and it still didn't charge at all
[01:45.560 --> 01:51.000]  And then today randomly I'm like throwing stuff out and I was like, oh, I should just throw out this stupid
[01:51.400 --> 01:55.720]  Nexus 7 that never worked and I plugged it in and started charging so
[01:56.680 --> 02:03.000]  Who's the same? I've spent the last six hours doing software updates on it and now it's ready to go
[02:03.000 --> 02:13.800]  So I'll get to experience the joy of Android 4.4. I don't know. Yeah, I think the Nexus 7 is the current seven inch tablet
[02:13.800 --> 02:14.760]  Isn't it?
[02:14.760 --> 02:19.720]  Well, this one is definitely not because it doesn't I don't think it runs the
[02:20.360 --> 02:22.360]  What is it kit cat or something?
[02:22.360 --> 02:30.680]  This is definitely a few few years old now, so maybe there's a new Nexus 7, but this is like the first generation
[02:33.080 --> 02:37.000]  But cool we can good stuff we can quibble about or talk about
[02:37.400 --> 02:43.960]  Probably make a whole show about what the names of these devices are and the problems of the way that some of the some of them are named
[02:44.520 --> 02:46.360]  Apple you know right up there with them
[02:47.240 --> 02:49.720]  Like with the way that they've switched to calling iPad
[02:49.720 --> 02:53.640]  You know at one point. They just called it iPad now. It's just iPad Air and iPad mini
[02:54.840 --> 02:58.600]  The new iPad right the new iPad for a while
[02:59.240 --> 03:00.440]  Yeah
[03:00.440 --> 03:06.760]  With Google it seemed like with the Nexus they started naming them after their sizes like the Nexus 5 is a five inch
[03:06.840 --> 03:14.280]  Phone and the Nexus 7 is a seven inch tablet which is kind of cool while they're new but then gets confusing
[03:15.480 --> 03:17.480]  You know if they come out with a
[03:17.480 --> 03:22.360]  The new one like that it says right here. I'm at the Google site and it says Google Nexus 7
[03:22.920 --> 03:24.760]  So I presume there've been more than one
[03:25.960 --> 03:28.520]  Tablet with the name Google Nexus 7
[03:29.240 --> 03:31.240]  like
[03:31.240 --> 03:33.800]  I have no idea but and it's funny because
[03:34.440 --> 03:35.800]  Samsung
[03:35.800 --> 03:42.840]  Does that with their tablets? They do the size but then with the phones. They do like the galaxy s5
[03:42.840 --> 03:48.200]  Goes in order of number of releases like the iPhone. So right
[03:50.600 --> 03:54.600]  So I wonder how wonderful see the end. I wonder you know like for example
[03:54.600 --> 03:59.880]  Will there will there will there be a new phone that you're called the iPhone 6 or are they finally gonna split to you know
[04:00.200 --> 04:02.200]  Yeah, I was just gonna ask you that too because
[04:02.760 --> 04:09.000]  The what is it patchkowski report on was a Friday that that the or sometime this week
[04:09.000 --> 04:16.280]  All right, well now it's two weeks ago. What yeah, all right this month this month sometime in August
[04:16.680 --> 04:20.520]  The report that that September is gonna be the iPhone event
[04:21.080 --> 04:23.720]  But no, you know doesn't say iPhone 6
[04:25.400 --> 04:29.800]  Yeah, he would know however however he get and his stuff on the vents is gold
[04:29.800 --> 04:33.560]  I don't think he's ever had a bad report. No, I don't think so
[04:33.560 --> 04:39.560]  Um, but wherever that would be we'll get to that in a second right wherever that wherever that comes from though
[04:39.560 --> 04:45.560]  I mean presumably I always presume that he's got somebody in Apple PR who who gives him that stuff but
[04:47.560 --> 04:52.120]  Whoever it is my guest to but I have no idea whoever it is isn't gonna give him the name of the products
[04:52.520 --> 04:55.080]  I don't think they ever deliberately leak a name
[04:56.120 --> 04:58.680]  They put the data out there just to sort of you know
[04:58.680 --> 05:03.320]  Yeah, I want that out there is sort of a you know, let everybody know what's coming
[05:03.960 --> 05:10.200]  Without actually committing to it right they could back out of the last second and patchkowski looks bad, but but the Apple doesn't
[05:11.400 --> 05:13.400]  Yeah, I wouldn't give the name
[05:14.280 --> 05:20.760]  I guess it seems weird now, but remember like even the day of the iPad launched no one really knew it was gonna be called
[05:20.760 --> 05:28.360]  Like people were doubting that it would be called the iPad. Nope. Yeah, I totally remember that was I think that was one of the names that had been thrown out there
[05:28.360 --> 05:35.560]  Because of what it like a domain registration or something like well, and I think some people came up with that naturally just because of iPod
[05:36.120 --> 05:44.080]  Oh, yeah, and and pad seems like a natural thing for a pad size device and everybody immediately
[05:44.080 --> 05:48.480]  Dismissed it as sounding like a tampon or something like a family. What was your name?
[05:48.480 --> 05:50.880]  It was the the slate or something no
[05:50.880 --> 05:58.400]  Oh, I actually glass no, I forget what I suggested it wasn't iPad though. It wasn't glass. No, it wasn't glass
[05:59.120 --> 06:03.840]  Huh a forgot I tab did I suggest item? No, no, I don't think you had an eye
[06:04.720 --> 06:10.720]  Yeah, I'm kind of sick of the eyes. Yeah, that's uh, I don't remember although the I actually makes more sense
[06:11.360 --> 06:16.680]  For these things then because I stood for internet right like that was the I Mac was the internet man
[06:16.680 --> 06:22.760]  Supposedly, I mean, that's how it was introduced with the iMac is that it was the first Mac built for the internet age
[06:22.760 --> 06:26.320]  And I think that the iMac was the first eye product
[06:27.400 --> 06:30.080]  Right it was you know, but then again
[06:30.080 --> 06:31.760]  They say it was made for internet
[06:31.760 --> 06:38.680]  But then the one that really cemented the deal and was a decade long foundation of the company the iPod
[06:39.160 --> 06:44.440]  Didn't get internet access until the iPod touch right had nothing to do with the internet
[06:44.440 --> 06:48.840]  Exactly, but then it the iPhone if it's perfectly because
[06:49.960 --> 06:56.920]  That was like the first phone that actually did the internet better than it did the phone. Yeah, I think I think what's happened though
[06:56.920 --> 07:01.920]  I think it's never explained never talked about but like the undercurrent is that
[07:03.120 --> 07:05.120]  lowercase i
[07:05.120 --> 07:09.400]  Capital product name just means Apple product
[07:09.400 --> 07:15.680]  That's it. Yeah, it doesn't really have any other connotation other than that just means Apple product
[07:16.440 --> 07:19.680]  Right like everyone and everyone calls it the I touch still
[07:20.960 --> 07:26.280]  Which yeah, maybe that's what I suggested the iPad maybe I found an old post
[07:26.280 --> 07:30.640]  But I am not gonna read it while I'm talking to you. That's rude. Oh, you could we could edit it out
[07:30.640 --> 07:36.920]  I don't even know it says it's called the tablet. Yeah, that's the piece that December 31st
[07:36.920 --> 07:40.040]  2000 not yeah, yeah, I don't know if I suggested here's a post
[07:40.600 --> 07:46.840]  Well, you say I want to know what Apple refers to it as the tablet, but so far as I can tell that's blah blah
[07:47.480 --> 07:49.480]  Most certainly not the name right
[07:50.920 --> 07:57.200]  I had room I had predicted it would be the iPod touch HD which was you know not
[07:57.840 --> 08:02.600]  Ultimately not it's kind of what it is, but that's that ultimately not obviously what they called it
[08:02.600 --> 08:06.200]  I don't I don't know what you're
[08:07.920 --> 08:09.920]  All right, whatever doesn't matter
[08:10.320 --> 08:14.560]  But speaking of those event dates something weird happened
[08:15.120 --> 08:17.120]  this past week where
[08:17.560 --> 08:22.000]  You like made it out you made a typical John Gruber offhand comment
[08:22.440 --> 08:25.840]  You know seemingly knowing comment about some sort of
[08:25.840 --> 08:35.640]  Risk device coming next month. Well, I was cracking a joke about the Motorola the Moto 270 watch. Yeah, and how stupid it looks on the side
[08:35.640 --> 08:37.240]  285 I
[08:37.240 --> 08:42.640]  Think we measured and it was 270. Oh, okay. I go with 270. I like that sounds good
[08:42.640 --> 08:49.560]  And you know that the bottom of the circle is cut off, but it charges on its side and so when you're charging it
[08:49.560 --> 08:52.640]  it's like the in watch terms the
[08:52.640 --> 08:57.280]  Like eight nine and ten o'clock side is
[08:58.120 --> 09:04.240]  Cut off, but for some inexplicable reason even though they cut off that part of the circular display
[09:04.520 --> 09:09.800]  They decide to show the charge as as a circular meter around the perimeter
[09:09.840 --> 09:16.640]  Which which means that's you know somewhere between like 70 when you're in between 70 and 90 percent you have no idea
[09:17.560 --> 09:20.480]  Whether you're close to 70 or 90 they just cut it off
[09:20.480 --> 09:28.040]  And they're shipping it. They're gonna ship that product. So I was cracking a joke about that and I said I should actually quote it because
[09:28.880 --> 09:32.040]  I guess it's the exact language I chose which is unfortunate
[09:33.080 --> 09:40.440]  I wrote the only way this could get funnier would be if it doesn't even ship until after Apple announces their wrist wearable thing next month
[09:40.440 --> 09:44.000]  And then I'm this now this is a backstory on this is it's true
[09:44.000 --> 09:48.760]  You know my description of the talk show is the director's commentary on their fireball
[09:48.760 --> 09:55.360]  So here we are I posted that this is that was Friday and
[09:56.000 --> 10:02.560]  That we my family and I were in Orlando, Florida after for a week or so of theme park fun
[10:04.160 --> 10:09.000]  On I think I was on my way to the airport. I don't know either on my way to the airport or at the airport when I posted that
[10:10.000 --> 10:15.520]  And what was your intent you were just goofing around? Well, I wanted to see me like if
[10:15.520 --> 10:21.080]  If the the watch the wrist thing comes out at next month's event
[10:21.080 --> 10:26.080]  It would be funny if because but motor motor oil is promises that it's going to ship in this summer
[10:26.080 --> 10:28.120]  Which gives them to like September 21st?
