[00:00.000 --> 00:03.000]  Hello there. Hello.
[00:04.000 --> 00:06.000]  How was the Yankee game?
[00:08.000 --> 00:10.000]  It was
[00:10.000 --> 00:13.000]  Emotional and then it was extraordinarily disappointing.
[00:14.000 --> 00:16.000]  And because I was at the Yankee game today,
[00:16.000 --> 00:20.000]  I'm probably going to sound like I've taken a chainsmoking.
[00:22.000 --> 00:25.000]  Well, you know, they can set up the special events,
[00:25.000 --> 00:28.000]  but they can't usually can't fix the outcome.
[00:28.000 --> 00:30.000]  No, you know,
[00:32.000 --> 00:34.000]  I'm not going to go all baseball.
[00:34.000 --> 00:36.000]  We've got tons and tons of nerd stuff to talk about,
[00:36.000 --> 00:40.000]  but you know it was bad that I don't even know why I haven't,
[00:40.000 --> 00:42.000]  because it's funny when you go to a game sometimes you don't,
[00:42.000 --> 00:44.000]  you know, like the cell phone reception's bad,
[00:44.000 --> 00:47.000]  because there's 48,000 people all trying to use the same network.
[00:48.000 --> 00:50.000]  So I didn't follow the Twitter.
[00:50.000 --> 00:52.000]  I didn't follow any of the Yankee beatwriters.
[00:52.000 --> 00:54.000]  I don't know what the explanation is, but
[00:54.000 --> 00:58.000]  the Yankees designated hitter today was Stephen Drew,
[00:58.000 --> 01:02.000]  who's hitting 160 and has five home runs on the ceiling.
[01:04.000 --> 01:08.000]  They like picked them out of like off waivers like three weeks ago.
[01:08.000 --> 01:10.000]  And they never pinch it for me.
[01:10.000 --> 01:11.000]  They got to the end of the game.
[01:11.000 --> 01:12.000]  They had a man on first.
[01:12.000 --> 01:14.000]  They're down by two and Drew is up again.
[01:14.000 --> 01:16.000]  And there's nobody on the bench.
[01:16.000 --> 01:18.000]  And this is after the roster expansion.
[01:19.000 --> 01:22.000]  That's how that's how bad the Yankees have done.
[01:22.000 --> 01:25.000]  That reminds me as a fan of an Ashley team.
[01:25.000 --> 01:27.000]  This happens a lot when national league teams.
[01:27.000 --> 01:29.000]  Again, yes, we're talking about baseball.
[01:29.000 --> 01:32.000]  When the Ashley teams try to play in the American League sometimes,
[01:32.000 --> 01:35.000]  they're like, they're designated hitter is just some guy.
[01:35.000 --> 01:37.000]  So literally the fourth outfielder,
[01:37.000 --> 01:39.000]  because they don't have a designated hitter.
[01:39.000 --> 01:41.000]  So they're like, I don't know, this guy.
[01:43.000 --> 01:44.000]  But there's like designated,
[01:44.000 --> 01:48.000]  a classic designated hitter is David Ortiz from the Red Sox.
[01:48.000 --> 01:52.000]  He's a great guy who's always going to try to knock the hide off the bond.
[01:52.000 --> 01:53.000]  Just hit it hard.
[01:53.000 --> 01:56.000]  And probably a good hitter, but at least also a power hitter.
[01:56.000 --> 01:57.000]  Right.
[01:57.000 --> 01:59.000]  But in theory, though, you could put anybody there,
[01:59.000 --> 02:01.000]  like you could put each hero there.
[02:01.000 --> 02:02.000]  And he's not a power hitter.
[02:02.000 --> 02:04.000]  But if you had an, you know, you already had.
[02:04.000 --> 02:06.000]  I believe he's not your ninth best hitter.
[02:06.000 --> 02:07.000]  Right.
[02:07.000 --> 02:09.000]  It's like the one.
[02:09.000 --> 02:10.000]  It's just so bad.
[02:10.000 --> 02:15.000]  If the New York Yankees this year were the Minnesota Twins
[02:15.000 --> 02:20.000]  or the Cleveland Indians or name any other team from, you know,
[02:20.000 --> 02:21.000]  some are in the middle of the country.
[02:21.000 --> 02:22.000]  No offense to those teams.
[02:22.000 --> 02:25.000]  I'm just saying a team that's not a perennial powerhouse.
[02:25.000 --> 02:28.000]  And they had this record and they had this lineup
[02:28.000 --> 02:29.000]  and these starting pitchers.
[02:29.000 --> 02:31.000]  And nobody would be paying any attention to them all.
[02:31.000 --> 02:35.000]  It would be a curiosity that they're theoretically still in the wildcard race.
[02:35.000 --> 02:37.000]  But nobody would even know.
[02:37.000 --> 02:41.000]  There wouldn't be like nightly updates on ESPN about where they are in the wildcard race.
[02:41.000 --> 02:42.000]  It's just because of the Yankees.
[02:42.000 --> 02:46.000]  And because there's one particular guy on the roster named Derek Jeter.
[02:46.000 --> 02:47.000]  Right.
[02:47.000 --> 02:50.000]  Which was, I mean, that's kind of the point of, of, of today.
[02:50.000 --> 02:52.000]  So, you know, but it's true.
[02:52.000 --> 02:54.000]  They're, they're not, they're one of those teams.
[02:54.000 --> 02:58.000]  I noticed that the Padres are like six games out or something in the wildcard.
[02:58.000 --> 03:02.000]  And it's like the technically in it still kind of category.
[03:02.000 --> 03:04.000]  People aren't really paying attention.
[03:04.000 --> 03:09.000]  But there's something magical could happen, but probably won't, but could.
[03:09.000 --> 03:12.000]  Yeah. Yeah, probably not.
[03:12.000 --> 03:13.000]  I'm a little worried.
[03:13.000 --> 03:18.000]  I got a little worried by the end of the game that it's because I think they're five games over 500.
[03:18.000 --> 03:21.000]  And I actually think that that's a remarkable achievement given what's happened to them.
[03:21.000 --> 03:24.000]  They've had four out of their five starting pitchers on opening day.
[03:24.000 --> 03:29.000]  Had like season ending injuries or almost season ending injuries.
[03:29.000 --> 03:31.000]  Pineda was out, I don't know, four months.
[03:31.000 --> 03:36.000]  Well, it's remarkable that the team with four out of their five starting pictures having season ending
[03:36.000 --> 03:41.000]  would possibly career ending in the case of CC Sibathia injuries is five games over 500.
[03:41.000 --> 03:42.000]  That's remarkable.
[03:42.000 --> 03:47.000]  But here's the thing I, the takeaway I came from today where I was, I left the Yankee Stadium very depressed.
[03:47.000 --> 03:54.000]  And my thought is, everybody's hoping that Jeter at least gets to finish the season, maybe chasing down a wildcard.
[03:54.000 --> 04:01.000]  My fear is that he's going to finish the season chasing down the first ever losing season that he's had as a Yankee.
[04:01.000 --> 04:08.000]  It could happen, but they, you know, that again, they could be, you know, sometimes again, it depends on what your expectations are.
